Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-05-30,1502.0,2.07,3.07,3.07,3.07,3.07,1.0
2024-06-03,501.0,4.07,5.07,5.07,5.07,5.07,1.0
2024-06-04,38503.0,5.07,6.07,6.07,6.07,6.07,1.0
2024-06-05,4610.0,6.07,7.07,7.07,7.07,7.07,1.0
2024-06-06,1500.0,7.07,8.07,8.07,8.07,8.07,1.0
2024-06-07,1251.0,8.07,9.07,9.07,9.07,9.07,1.0
2024-06-10,16125.0,9.07,10.07,10.07,10.07,10.07,1.0
2024-06-11,10309.0,10.07,11.07,11.07,11.07,11.07,1.0
2024-06-12,119097.0,11.07,12.07,12.07,10.8,12.07,1.0
2024-06-13,29668.0,12.07,12.8,13.1,12.5,13.1,1.03
2024-06-14,21850.0,13.1,14.21,14.21,14.21,14.21,1.11
2024-06-20,13410.0,14.21,15.42,15.42,15.42,15.42,1.21
2024-06-21,28505.0,15.42,16.73,16.73,16.73,16.73,1.31
2024-06-24,31328.0,16.73,18.24,18.24,18.14,18.24,1.51
2024-06-25,40626.0,18.24,19.8,19.88,19.24,19.88,1.64
2024-06-26,4950.0,19.88,21.66,21.67,21.59,21.66,1.78
2024-06-27,27520.0,21.66,23.49,23.61,23.35,23.61,1.95
2024-06-28,83222.0,23.61,25.73,25.73,21.5,25.73,2.12
2024-07-01,28069.0,25.73,28.04,28.05,28.04,28.05,2.32
2024-07-02,75935.0,28.05,30.57,30.57,25.61,30.57,2.52
2024-07-03,103770.0,30.57,33.31,33.32,27.82,27.82,-2.75
2024-07-04,116493.0,27.82,25.5,30.32,25.32,30.32,2.5
2024-07-05,45843.0,30.32,33.05,33.05,30.32,33.05,2.73
2024-07-08,22344.0,33.05,36.19,36.19,34.5,36.19,3.14
2024-07-09,9463.0,36.19,39.63,39.63,39.62,39.63,3.44
2024-07-10,18428.0,39.63,43.39,43.39,43.39,43.39,3.76
2024-07-11,128843.0,43.39,47.51,47.51,39.27,46.84,3.45
2024-07-12,40071.0,46.84,46.84,50.35,42.39,43.0,-3.84
2024-07-15,24864.0,43.0,40.0,40.01,38.92,38.92,-4.08
2024-07-18,1381.0,38.92,35.22,35.22,35.22,35.22,-3.7
2024-07-19,41266.0,35.22,31.87,35.98,31.87,32.41,-2.81
2024-07-22,29939.0,32.41,29.4,31.95,29.17,29.17,-3.24
2024-07-23,62815.0,29.17,26.25,27.9,26.25,26.25,-2.92
2024-07-24,75712.0,26.25,24.3,25.49,23.63,23.74,-2.51
2024-07-25,81781.0,23.74,23.7,24.7,21.37,21.54,-2.2
2024-07-26,43490.0,21.54,21.6,23.69,19.41,23.44,1.9
2024-07-29,45151.0,23.44,23.7,25.78,23.7,25.78,2.34
2024-07-30,11000.0,25.78,28.36,28.36,28.3,28.36,2.58
2024-07-31,8563.0,28.36,31.15,31.2,31.0,31.2,2.84
2024-08-01,1375.0,31.2,34.32,34.32,34.32,34.32,3.12
2024-08-02,13542.0,34.32,37.75,37.75,37.75,37.75,3.43
2024-08-05,58299.0,37.75,41.53,41.53,38.0,41.53,3.78
2024-08-06,12041.0,41.53,45.68,45.68,43.02,45.68,4.15
2024-08-07,18135.0,45.68,50.25,50.25,50.0,50.25,4.57
2024-08-08,117789.0,50.25,55.28,55.28,45.23,45.23,-5.02
2024-08-09,96814.0,45.23,41.0,49.75,41.0,49.75,4.52
2024-08-12,168105.0,49.75,51.35,54.73,45.5,54.73,4.98
2024-08-13,73193.0,54.73,55.15,60.2,55.15,60.2,5.47
2024-08-15,74168.0,60.2,66.0,66.22,55.0,66.22,6.02
2024-08-16,78963.0,66.22,72.8,72.84,59.6,70.2,3.98
2024-08-19,37802.0,70.2,66.0,77.0,64.0,75.48,5.28
2024-08-20,56096.0,75.48,78.4,78.45,70.21,76.7,1.22
2024-08-21,39312.0,76.7,76.0,84.37,75.51,84.37,7.67
2024-08-22,25666.0,84.37,89.0,92.81,89.0,92.81,8.44
2024-08-23,50697.0,92.81,98.99,102.09,94.0,102.09,9.28
2024-08-26,31089.0,102.09,109.5,109.9,91.88,91.88,-10.21
2024-08-27,48584.0,91.88,83.02,86.0,82.69,82.69,-9.19
2024-08-28,76465.0,82.69,75.01,83.77,74.42,78.51,-4.18
2024-08-29,20768.0,78.51,82.0,82.0,70.66,71.02,-7.49
2024-08-30,42541.0,71.02,71.02,75.0,65.5,71.53,0.51
2024-09-02,4251.0,71.53,71.53,73.8,65.0,70.82,-0.71
2024-09-03,2943.0,70.82,73.9,73.9,66.0,68.66,-2.16
2024-09-04,244345.0,68.66,69.99,75.53,68.47,75.45,6.79
2024-09-05,49015.0,75.45,82.99,83.0,79.98,82.64,7.19
2024-09-06,21832.0,82.64,87.86,87.86,74.38,75.67,-6.97
2024-09-09,46271.0,75.67,69.15,79.89,69.0,79.34,3.67
2024-09-10,48549.0,79.34,82.9,82.9,77.0,79.54,0.2
2024-09-11,1908.0,79.54,82.0,82.0,72.0,74.66,-4.88
2024-09-12,259.0,74.66,79.0,79.0,69.2,74.66,0.0
2024-09-13,406.0,74.66,78.5,78.5,70.32,72.16,-2.5
2024-09-16,6875.0,72.16,78.0,78.0,70.0,73.45,1.29
2024-09-18,4877.0,73.45,78.89,78.89,71.0,71.15,-2.3
2024-09-19,1456.0,71.15,73.0,73.0,66.0,68.27,-2.88
2024-09-20,103103.0,68.27,69.99,71.75,62.12,68.94,0.67
2024-09-23,18270.0,68.94,75.8,75.8,62.05,62.65,-6.29
2024-09-24,28625.0,62.65,59.03,68.92,56.39,65.21,2.56
2024-09-25,26162.0,65.21,69.99,71.73,66.01,68.98,3.77
2024-09-26,17576.0,68.98,71.0,71.0,62.08,62.68,-6.3
2024-09-27,2982.0,62.68,64.39,67.0,56.7,62.61,-0.07
2024-09-30,862.0,62.61,65.0,67.55,56.5,63.52,0.91
2024-10-01,1390.0,63.52,67.7,67.7,58.11,60.81,-2.71
2024-10-02,1691.0,60.81,64.9,64.9,57.0,62.29,1.48
2024-10-03,5390.0,62.29,67.99,67.99,58.0,61.63,-0.66
2024-10-04,918.0,61.63,57.8,62.99,57.55,58.02,-3.61
2024-10-07,3317.0,58.02,62.0,62.0,53.05,53.97,-4.05
2024-10-08,11999.0,53.97,57.48,59.37,56.0,59.37,5.4
2024-10-09,36060.0,59.37,65.31,65.31,58.11,64.46,5.09
2024-10-10,7211.0,64.46,69.97,69.97,58.01,58.64,-5.82
2024-10-11,1214.0,58.64,61.8,63.85,54.03,57.77,-0.87
2024-10-14,6612.0,57.77,60.8,63.55,56.1,62.05,4.28
2024-10-15,736.0,62.05,65.0,65.0,56.05,57.23,-4.82
2024-10-16,8604.0,57.23,62.89,62.89,53.01,57.65,0.42
2024-10-17,2854.0,57.65,62.49,62.49,55.09,56.17,-1.48
2024-10-18,18702.0,56.17,58.0,61.79,55.55,61.0,4.83
2024-10-21,9255.0,61.0,64.98,67.1,58.06,64.77,3.77
2024-10-22,5953.0,64.77,65.0,65.0,61.0,61.27,-3.5
2024-10-23,13096.0,61.27,64.99,64.99,55.24,60.5,-0.77
2024-10-24,3196.0,60.5,59.3,65.0,59.3,63.9,3.4
2024-10-25,1307.0,63.9,60.0,67.5,60.0,65.53,1.63
2024-10-28,1999.0,65.53,61.31,64.98,61.31,64.44,-1.09
2024-10-29,1188.0,64.44,62.0,69.0,62.0,64.2,-0.24
2024-10-30,841.0,64.2,64.5,64.5,60.61,62.56,-1.64
2024-10-31,10319.0,62.56,65.0,65.0,61.4,63.89,1.33
2024-11-01,3459.0,63.89,70.0,70.0,60.28,66.86,2.97
2024-11-04,1069.0,66.86,62.26,68.0,62.26,67.51,0.65
2024-11-05,432.0,67.51,65.0,67.0,63.1,63.79,-3.72
2024-11-06,40.0,63.79,61.1,66.5,61.1,63.79,0.0
2024-11-07,1038.0,63.79,67.0,67.0,61.1,64.02,0.23
2024-11-08,631.0,64.02,62.1,66.8,61.0,63.96,-0.06
2024-11-11,2358.0,63.96,62.5,67.5,62.5,66.54,2.58
2024-11-12,28976.0,66.54,66.98,66.98,62.81,64.9,-1.64
2024-11-13,25262.0,64.9,62.11,64.5,62.0,62.51,-2.39
2024-11-14,1529.0,62.51,60.05,61.41,60.05,61.35,-1.16
2024-11-15,4987.0,61.35,61.0,61.0,55.55,56.65,-4.7
2024-11-18,22752.0,56.65,55.7,61.98,55.7,61.62,4.97
2024-11-19,2230.0,61.62,63.8,63.8,56.5,59.8,-1.82
2024-11-20,33737.0,59.8,58.55,65.78,58.06,63.6,3.8
2024-11-21,49730.0,63.6,57.27,69.96,57.27,69.4,5.8
2024-11-22,4168.0,69.4,63.51,76.0,63.13,70.89,1.49
2024-11-25,28522.0,70.89,64.01,75.0,64.01,74.39,3.5
2024-11-26,11943.0,74.39,71.0,75.0,68.01,68.52,-5.87
2024-11-27,627.0,68.52,68.52,74.0,66.0,69.6,1.08
2024-11-28,25076.0,69.6,63.6,72.5,63.6,70.0,0.4
2024-11-29,820.0,70.0,66.02,74.85,65.23,68.33,-1.67
2024-12-02,4580.0,68.33,65.01,70.0,65.01,67.69,-0.64
2024-12-03,25627.0,67.69,64.02,69.9,64.02,68.4,0.71
2024-12-04,30431.0,68.4,64.3,67.98,64.25,64.26,-4.14
2024-12-05,453.0,64.26,63.7,65.0,63.7,64.48,0.22
2024-12-06,51044.0,64.48,68.5,68.5,60.11,63.86,-0.62
2024-12-09,1602.0,63.86,61.0,65.99,61.0,62.51,-1.35
