Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,19000.0,83.0,83.0,85.0,83.0,83.95,0.95
2024-01-02,6000.0,83.95,83.9,84.88,83.31,84.5,0.55
2024-01-03,26000.0,84.5,83.5,84.5,83.01,83.5,1.0
2024-01-04,2500.0,83.5,83.0,83.01,82.9,82.9,-0.6
2024-01-05,6500.0,82.9,83.2,83.99,82.5,83.99,1.09
2024-01-08,13000.0,83.99,84.8,84.83,83.5,83.5,-0.49
2024-01-09,2500.0,83.5,84.0,84.0,83.55,84.0,0.5
2024-01-10,2500.0,84.0,81.6,84.49,81.6,84.49,0.49
2024-01-11,7000.0,84.49,83.5,84.0,83.5,84.0,-0.49
2024-01-12,17000.0,84.0,83.6,84.2,83.5,83.9,-0.1
2024-01-15,18500.0,83.9,83.1,84.0,82.5,83.51,-0.39
2024-01-16,6500.0,83.51,83.05,84.79,83.0,83.5,-0.01
2024-01-17,2000.0,83.5,83.51,83.9,83.51,83.9,0.4
2024-01-18,20500.0,83.9,83.5,85.0,83.3,84.88,0.98
2024-01-19,4000.0,84.88,83.55,85.0,83.55,84.86,-0.02
2024-01-22,7000.0,84.86,83.5,84.51,83.5,83.99,-0.87
2024-01-23,4500.0,83.99,83.51,85.0,83.51,85.0,1.01
2024-01-24,63000.0,85.0,84.01,86.98,84.01,85.79,0.79
2024-01-25,500.0,85.79,86.0,86.0,86.0,86.0,0.21
2024-01-26,66000.0,86.0,87.4,88.4,85.23,87.49,1.49
2024-01-30,16000.0,87.49,84.1,86.0,84.1,85.99,-1.5
2024-01-31,9000.0,85.99,86.0,86.5,86.0,86.0,0.01
2024-02-01,3000.0,86.0,87.95,87.99,85.5,85.5,-0.5
2024-02-02,4000.0,85.5,86.0,86.98,86.0,86.0,0.5
2024-02-06,12500.0,86.0,87.99,89.0,87.99,89.0,3.0
2024-02-07,11500.0,89.0,88.5,89.9,88.5,89.82,0.82
2024-02-12,11000.0,89.82,86.0,86.0,86.0,86.0,-3.82
2024-02-13,17500.0,86.0,87.0,87.0,83.52,84.36,-1.64
2024-02-14,8500.0,84.36,85.0,87.0,85.0,86.0,1.64
2024-02-15,11500.0,86.0,85.5,86.9,85.3,86.45,0.45
2024-02-16,2000.0,86.45,85.1,85.99,85.1,85.99,-0.46
2024-02-19,10500.0,85.99,85.0,85.5,85.0,85.4,-0.59
2024-02-20,1500.0,85.4,85.55,86.35,85.5,86.35,0.95
2024-02-21,9000.0,86.35,86.0,87.0,86.0,87.0,0.65
2024-02-22,5000.0,87.0,86.2,86.45,86.2,86.45,-0.55
2024-02-23,5500.0,86.45,86.8,87.0,86.8,86.95,0.5
2024-02-26,18000.0,86.95,86.51,87.0,86.51,86.73,-0.22
2024-02-27,9000.0,86.73,87.0,87.1,87.0,87.0,0.27
2024-02-28,4500.0,87.0,87.24,87.3,86.0,86.0,1.0
2024-02-29,47500.0,86.0,87.0,87.4,86.5,86.73,0.73
2024-03-01,7500.0,86.73,87.54,87.65,87.0,87.6,0.87
2024-03-04,24500.0,87.6,87.52,87.52,85.51,85.55,-2.05
2024-03-05,2000.0,85.55,87.39,87.4,86.5,86.5,0.95
2024-03-06,2500.0,86.5,87.75,87.75,86.0,86.0,-0.5
2024-03-08,5000.0,86.0,87.0,87.9,87.0,87.1,1.1
2024-03-11,500.0,87.1,87.1,87.1,87.1,87.1,0.0
2024-03-13,500.0,87.1,87.5,87.5,87.5,87.5,0.4
2024-03-15,32000.0,87.5,86.04,87.45,85.99,86.03,-1.47
2024-03-18,3500.0,86.03,86.0,87.88,86.0,87.48,1.45
2024-03-19,55500.0,83.48,85.0,86.0,85.0,85.76,2.28
2024-03-20,1000.0,85.76,86.05,86.05,86.05,86.05,0.29
2024-03-21,16500.0,86.05,86.0,87.0,85.26,85.74,-0.31
2024-03-22,2500.0,85.74,85.5,85.5,85.22,85.22,-0.52
2024-03-25,2000.0,85.22,85.23,85.4,85.22,85.4,0.18
2024-03-26,12000.0,85.4,86.93,87.0,86.0,86.01,0.61
2024-03-27,1500.0,86.01,87.89,87.89,86.01,87.0,0.99
2024-03-28,66000.0,87.0,85.5,86.98,85.0,85.02,-1.98
2024-03-29,51000.0,85.02,87.95,87.95,85.13,85.99,0.97
2024-04-01,473000.0,85.99,86.0,86.0,85.0,85.0,-0.99
2024-04-02,500.0,85.0,85.9,85.9,85.9,85.9,0.9
2024-04-03,5500.0,85.9,86.0,86.49,85.98,86.48,0.58
2024-04-04,11000.0,86.48,87.0,88.0,86.5,87.1,0.62
2024-04-08,9500.0,87.1,85.36,87.0,85.35,86.64,-0.46
