Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-03,1000.0,10.98,10.85,10.86,10.85,10.86,-0.12
2024-01-08,5500.0,10.86,10.86,10.86,10.71,10.71,-0.15
2024-01-10,500.0,10.71,10.82,10.82,10.82,10.82,0.11
2024-01-23,500.0,10.82,0.0,0.0,0.0,10.82,0.0
2024-01-24,66500.0,10.82,9.63,9.84,9.63,9.84,-0.98
2024-01-25,5500.0,9.84,9.81,9.81,9.81,9.81,-0.03
2024-01-26,2500.0,9.81,9.81,9.81,9.64,9.65,-0.16
2024-01-29,1000.0,9.65,9.46,9.46,9.46,9.46,-0.19
2024-01-30,4000.0,9.46,9.41,9.41,9.2,9.2,-0.26
2024-02-02,500.0,9.2,9.38,9.38,9.38,9.38,0.18
2024-02-06,2000.0,9.38,9.38,9.38,9.38,9.38,0.0
2024-02-27,500.0,9.38,0.0,0.0,0.0,9.38,0.0
2024-02-28,500.0,9.38,9.75,9.75,9.75,9.75,0.37
2024-03-04,1500.0,9.75,10.06,10.07,10.06,10.07,0.32
2024-03-08,30000.0,10.07,9.85,9.86,9.85,9.85,-0.22
2024-03-12,1000.0,9.85,9.91,9.91,9.91,9.91,0.06
2024-03-14,500.0,9.91,9.69,9.69,9.69,9.69,-0.22
2024-03-15,2000.0,9.69,9.83,9.83,9.83,9.83,0.14
2024-03-19,240000.0,9.83,9.74,9.74,9.69,9.69,-0.14
2024-03-21,500.0,9.69,9.78,9.78,9.78,9.78,0.09
2024-04-01,1000.0,9.78,9.93,9.93,9.93,9.93,0.15
2024-04-02,1000.0,9.93,9.84,9.84,9.84,9.84,-0.09
2024-04-03,2000.0,9.84,0.0,0.0,0.0,9.84,0.0
2024-04-08,500.0,9.84,10.16,10.16,10.16,10.16,0.32
2024-04-09,1000.0,10.16,10.41,10.41,10.26,10.26,0.1
2024-04-15,2500.0,10.26,10.35,10.35,10.35,10.35,0.09
2024-04-19,1000.0,10.2,10.11,10.11,10.09,10.09,-0.11
2024-04-22,1000.0,10.09,10.31,10.31,10.31,10.31,0.22
2024-04-23,500.0,10.31,10.5,10.5,10.5,10.5,0.19
2024-04-26,2500.0,10.5,10.74,10.75,10.74,10.75,0.25
2024-04-29,8500.0,10.75,10.61,10.69,10.61,10.69,-0.06
2024-05-03,1500.0,10.69,10.17,10.19,10.17,10.19,-0.5
2024-05-07,2000.0,10.19,10.34,10.34,10.34,10.34,0.15
2024-05-08,170000.0,10.34,10.09,10.2,10.09,10.1,-0.24
2024-05-09,500.0,10.1,10.32,10.32,10.32,10.32,0.22
2024-05-14,1000.0,10.32,11.25,12.01,11.25,11.63,1.31
2024-05-20,6500.0,11.63,11.3,11.32,11.14,11.24,-0.39
2024-05-22,500.0,11.24,11.0,11.0,11.0,11.0,-0.24
2024-05-23,1000.0,11.0,11.04,11.04,11.04,11.04,0.04
2024-05-24,2500.0,11.04,11.05,11.05,11.05,11.05,0.01
2024-05-27,4500.0,11.05,11.17,11.17,11.08,11.08,0.03
