Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,240364.0,96.22,98.0,103.44,98.0,102.84,6.62
2024-01-02,454420.0,102.84,103.98,104.75,97.99,99.07,-3.77
2024-01-03,184311.0,99.07,100.75,101.6,98.8,99.42,0.35
2024-01-04,172235.0,99.42,99.3,99.3,96.0,97.5,-1.92
2024-01-05,59506.0,97.5,97.55,98.5,96.55,97.33,-0.17
2024-01-08,528860.0,97.33,98.16,98.16,90.03,91.26,-6.07
2024-01-09,116824.0,91.26,92.0,94.88,90.03,91.21,-0.05
2024-01-10,97275.0,91.21,90.61,93.0,90.61,91.77,0.56
2024-01-11,131054.0,91.77,92.3,94.0,91.5,92.2,0.43
2024-01-12,61999.0,92.2,92.99,93.4,91.0,91.41,-0.79
2024-01-15,43914.0,91.41,91.55,92.9,90.0,90.32,-1.09
2024-01-16,44753.0,90.32,90.04,90.94,89.0,89.91,-0.41
2024-01-17,325478.0,89.91,90.25,93.95,90.25,93.28,3.37
2024-01-18,141171.0,93.28,92.81,93.98,90.01,92.21,-1.07
2024-01-19,106109.0,92.21,93.5,93.5,92.0,92.61,0.4
2024-01-22,26885.0,92.61,92.0,93.0,92.0,92.17,-0.44
2024-01-23,52401.0,92.17,92.2,94.5,92.2,93.43,1.26
2024-01-24,180364.0,93.43,93.5,97.3,93.5,97.0,3.57
2024-01-25,136160.0,97.0,97.49,98.9,96.0,97.03,0.03
2024-01-26,44245.0,97.03,94.05,97.99,94.05,95.6,-1.43
2024-01-29,109000.0,95.6,96.0,96.0,92.5,94.75,-0.85
2024-01-30,139841.0,94.75,94.6,95.0,90.0,92.17,-2.58
2024-01-31,163556.0,92.17,91.5,93.0,89.1,92.17,0.0
2024-02-01,37548.0,92.17,90.5,92.98,90.5,92.22,0.05
2024-02-02,184687.0,92.22,91.5,92.89,91.15,92.15,-0.07
2024-02-06,57048.0,92.15,93.0,93.47,92.11,92.23,0.08
2024-02-07,41339.0,92.23,92.0,92.97,92.0,92.54,0.31
2024-02-09,158424.0,92.54,93.47,93.47,90.1,92.52,-0.02
2024-02-12,48261.0,92.52,90.57,92.7,90.0,90.0,-2.52
2024-02-13,17364.0,90.0,88.2,90.5,88.0,90.12,0.12
2024-02-14,35207.0,90.12,91.0,93.01,90.2,92.62,2.5
2024-02-15,16777.0,90.12,92.15,92.15,88.51,88.97,-1.15
2024-02-16,789056.0,88.97,87.6,89.99,82.3,82.54,-6.43
2024-02-19,177314.0,82.54,82.39,84.9,78.11,84.22,1.68
2024-02-20,18796.0,84.22,85.48,85.48,82.28,83.6,-0.62
2024-02-21,20676.0,83.6,84.99,87.0,84.25,84.98,1.38
2024-02-22,16011.0,84.98,85.95,85.95,84.5,84.99,0.01
2024-02-23,21446.0,84.99,85.85,86.5,85.0,86.38,1.39
2024-02-26,24742.0,86.38,86.49,87.98,85.96,87.07,0.69
2024-02-27,81702.0,87.07,87.5,88.25,86.5,86.96,-0.11
2024-02-28,49607.0,86.96,87.45,89.49,87.01,88.21,1.25
2024-02-29,43433.0,88.21,89.0,91.0,88.0,88.62,0.41
2024-03-01,33574.0,88.62,90.48,90.48,88.0,88.34,-0.28
2024-03-04,17513.0,88.34,89.99,89.99,88.0,88.38,0.04
2024-03-05,26016.0,88.38,89.4,89.4,88.0,88.05,-0.33
2024-03-06,46068.0,88.05,89.3,89.3,88.0,88.0,-0.05
2024-03-07,260886.0,88.0,87.0,88.0,87.0,87.03,-0.97
2024-03-08,19759.0,87.03,87.99,89.0,87.11,88.48,1.45
2024-03-11,28147.0,88.48,89.0,90.5,89.0,89.83,1.35
2024-03-12,68295.0,89.83,89.5,89.89,83.6,87.56,-2.27
2024-03-13,71939.0,87.56,87.6,89.0,85.0,85.09,-2.47
2024-03-14,11434.0,85.09,85.09,88.0,84.0,87.48,2.39
2024-03-15,8782.0,87.48,85.62,87.9,85.62,86.8,-0.68
2024-03-18,9152.0,86.8,87.0,88.0,86.0,86.52,-0.28
2024-03-19,1023720.0,86.52,86.55,89.5,86.55,89.01,2.49
2024-03-20,295505.0,89.01,91.0,93.6,90.0,92.51,3.5
2024-03-21,139403.0,92.51,92.0,92.75,92.0,92.52,0.01
2024-03-22,29894.0,92.52,91.2,92.6,91.2,92.58,0.06
2024-03-25,13992.0,92.58,92.5,94.0,92.05,93.68,1.1
2024-03-26,29471.0,93.68,92.75,94.8,92.75,93.98,0.3
2024-03-27,16990.0,93.98,93.5,93.99,93.0,93.34,-0.64
2024-03-28,113022.0,93.34,93.0,94.1,92.7,94.02,0.68
2024-03-29,16180.0,94.02,95.0,95.0,93.12,94.47,0.45
2024-04-01,23164.0,94.47,94.99,94.99,92.0,94.1,-0.37
2024-04-02,2740.0,94.1,94.97,94.97,92.02,92.7,-1.4
2024-04-03,128882.0,92.7,93.97,98.95,93.0,97.67,4.97
2024-04-04,31949.0,97.67,97.0,99.4,95.0,95.68,-1.99
2024-04-08,48168.0,95.68,97.5,97.5,95.0,95.52,-0.16
2024-04-09,79298.0,95.52,96.0,97.4,95.5,96.27,0.75
2024-04-15,61870.0,96.27,96.5,97.25,96.0,97.15,0.88
2024-04-16,88618.0,97.15,97.5,98.48,89.86,97.45,0.3
2024-04-17,47861.0,97.45,97.5,97.7,96.0,96.5,-0.95
2024-04-18,11870.0,96.5,97.5,97.5,96.0,96.51,0.01
2024-04-19,10284.0,96.51,95.5,96.79,94.98,96.26,-0.25
2024-04-22,87084.0,96.26,94.4,99.45,94.4,97.64,1.38
2024-04-23,234815.0,97.64,97.61,104.0,97.6,102.41,4.77
2024-04-24,130809.0,102.41,102.8,105.5,102.43,103.44,1.03
2024-04-25,199660.0,103.44,104.0,104.8,97.0,98.18,-5.26
2024-04-26,60678.0,98.18,96.01,98.5,96.01,96.17,-2.01
2024-04-29,69532.0,96.17,96.94,97.15,95.41,96.13,-0.04
2024-04-30,75437.0,96.13,95.0,95.15,91.99,92.15,-3.98
2024-05-02,85952.0,92.15,92.89,94.75,91.26,91.5,-0.65
2024-05-03,149142.0,91.5,93.69,94.89,91.2,92.71,1.21
2024-05-06,244339.0,92.71,93.0,95.99,92.3,94.27,1.56
2024-05-07,155571.0,94.27,94.0,95.3,92.1,93.92,-0.35
2024-05-08,39938.0,93.92,94.95,94.95,92.8,92.85,-1.07
2024-05-09,31573.0,92.85,93.0,94.0,92.85,93.29,0.44
2024-05-10,353367.0,93.29,94.44,97.52,94.44,96.42,3.13
2024-05-13,120777.0,96.42,96.6,99.0,95.0,97.43,1.01
2024-05-14,65336.0,97.43,98.0,98.68,96.1,96.84,-0.59
2024-05-15,406713.0,96.84,97.5,103.5,97.0,102.73,5.89
2024-05-16,205731.0,102.73,102.79,104.4,101.5,103.51,0.78
2024-05-17,144024.0,103.51,103.49,106.79,102.0,103.33,-0.18
2024-05-20,63442.0,103.33,103.74,103.74,100.5,102.7,-0.63
2024-05-21,198042.0,102.7,102.5,105.0,101.5,103.37,0.67
2024-05-22,24028.0,103.37,104.4,104.4,101.52,102.07,-1.3
2024-05-23,37268.0,102.07,101.99,102.89,100.15,102.07,0.0
2024-05-24,32761.0,102.07,103.74,103.74,102.1,103.23,1.16
2024-05-27,38486.0,103.23,103.92,103.92,101.1,101.47,-1.76
2024-05-29,73891.0,101.47,101.0,104.89,96.0,99.36,-2.11
2024-05-30,86573.0,99.36,96.0,103.0,96.0,101.98,2.62
2024-05-31,73298.0,101.98,98.65,103.0,98.65,101.95,-0.03
2024-06-03,44856.0,101.95,102.0,102.99,100.6,100.88,-1.07
2024-06-04,35183.0,100.88,100.11,101.7,99.99,100.23,-0.65
2024-06-05,13473.0,100.23,100.51,100.98,99.5,100.0,-0.23
2024-06-06,18106.0,100.0,98.0,101.33,98.0,101.0,1.0
2024-06-07,37140.0,101.0,98.61,101.5,98.1,100.48,-0.52
2024-06-10,28332.0,100.48,101.5,101.5,100.0,100.09,-0.39
2024-06-11,42433.0,100.09,101.25,102.0,99.0,99.37,-0.72
2024-06-12,57573.0,99.37,99.37,100.5,98.01,100.01,0.64
2024-06-13,212723.0,100.01,100.9,104.0,98.35,103.3,3.29
2024-06-14,99283.0,103.3,104.0,104.95,100.25,101.02,-2.28
2024-06-20,170864.0,101.02,102.87,102.87,100.0,100.74,-0.28
2024-06-21,135835.0,100.74,100.5,101.97,99.22,99.98,-0.76
2024-06-24,82901.0,99.98,97.0,99.8,97.0,97.51,-2.47
2024-06-25,91987.0,97.51,98.0,98.92,97.01,98.46,0.95
2024-06-26,88280.0,98.46,98.99,99.59,97.6,97.77,-0.69
2024-06-27,11889.0,97.77,99.55,99.55,97.0,97.27,-0.5
2024-06-28,22880.0,97.27,98.49,99.48,97.0,97.14,-0.13
2024-07-01,6008.0,97.14,97.31,98.0,97.0,97.57,0.43
2024-07-02,45729.0,97.57,97.02,98.32,96.78,97.98,0.41
2024-07-03,16720.0,97.98,98.5,98.88,97.51,98.45,0.47
2024-07-04,8193.0,98.45,98.51,99.43,98.1,99.42,0.97
2024-07-05,13501.0,99.42,98.87,100.0,98.56,99.49,0.07
2024-07-08,13793.0,99.49,99.5,100.03,96.71,99.9,0.41
2024-07-09,41293.0,99.9,100.0,101.88,98.5,100.04,0.14
2024-07-10,47208.0,100.04,101.0,101.89,97.7,97.9,-2.14
2024-07-11,16098.0,97.9,97.5,100.0,97.5,98.19,0.29
2024-07-12,33689.0,98.19,97.6,100.99,97.5,99.27,1.08
2024-07-15,15509.0,99.27,101.79,101.79,99.0,99.44,0.17
2024-07-18,33051.0,99.44,98.0,100.3,98.0,99.17,-0.27
2024-07-19,61528.0,99.17,99.1,100.0,97.1,97.52,-1.65
2024-07-22,9053.0,97.52,97.02,98.56,96.58,97.07,-0.45
2024-07-23,41357.0,97.07,97.95,97.96,96.11,96.86,-0.21
2024-07-24,38708.0,96.86,97.0,97.0,96.51,96.8,-0.06
2024-07-25,61862.0,96.8,96.8,97.0,95.51,96.16,-0.64
2024-07-26,32842.0,96.16,95.45,97.5,91.1,95.59,-0.57
2024-07-29,67271.0,95.59,96.11,96.77,95.05,95.63,0.04
2024-07-30,50498.0,95.63,96.0,96.0,92.0,94.19,-1.44
2024-07-31,35783.0,94.19,94.0,94.5,93.0,93.54,-0.65
2024-08-01,44994.0,93.54,95.49,95.49,93.95,94.95,1.41
2024-08-02,43379.0,94.95,94.6,95.98,94.2,94.68,-0.27
2024-08-05,37979.0,94.68,96.0,96.0,92.21,92.48,-2.2
2024-08-06,44854.0,92.48,94.5,95.0,90.51,91.54,-0.94
2024-08-07,37174.0,91.54,93.0,94.0,92.9,93.22,1.68
2024-08-08,31355.0,93.22,93.98,94.0,92.21,92.73,-0.49
2024-08-09,40924.0,92.73,93.25,94.0,91.6,92.99,0.26
2024-08-12,40954.0,92.99,93.0,93.51,91.5,91.76,-1.23
2024-08-13,57120.0,91.76,92.98,92.99,91.5,91.93,0.17
2024-08-15,40161.0,91.93,92.0,92.92,91.5,92.51,0.58
