Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-11-10,62888.0,10.6,10.95,10.95,9.54,9.54,-1.06
2025-11-11,166196.0,9.54,8.62,8.79,8.54,8.54,1.0
2025-11-12,167422.0,8.54,7.54,7.88,7.54,7.54,1.0
2025-11-13,310733.0,7.54,7.0,7.51,6.54,6.54,1.0
2025-11-14,54618.0,6.54,6.51,6.95,6.25,6.56,0.02
2025-11-17,90385.0,6.56,6.79,6.9,6.32,6.85,0.29
2025-11-18,63215.0,6.85,6.85,7.19,6.5,6.51,-0.34
2025-11-19,32462.0,6.51,6.5,6.92,6.31,6.5,-0.01
2025-11-20,271280.0,6.5,6.32,6.32,5.52,5.87,-0.63
2025-11-21,23057.0,5.87,5.89,6.08,5.6,5.63,-0.24
2025-11-24,350182.0,5.63,5.65,6.63,5.4,5.92,0.29
