Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,5635500.0,13.62,13.5,14.25,13.5,14.05,0.43
2024-01-02,20166500.0,14.05,14.15,15.1,13.72,14.51,0.46
2024-01-03,6044500.0,14.51,14.51,14.7,14.0,14.18,-0.33
2024-01-04,6639500.0,14.18,14.2,14.97,14.2,14.68,0.5
2024-01-05,4276000.0,14.68,14.35,14.9,13.8,14.29,-0.39
2024-01-08,4413000.0,14.29,14.35,14.6,14.0,14.25,-0.04
2024-01-09,6414000.0,14.25,14.5,14.86,14.16,14.46,0.21
2024-01-10,11145500.0,14.46,14.43,15.54,14.36,15.54,1.08
2024-01-11,13816500.0,15.54,15.89,16.65,15.71,16.48,0.94
2024-01-12,10381500.0,16.48,16.45,17.1,16.22,16.83,0.35
2024-01-15,7574500.0,16.83,16.9,17.6,16.3,16.4,-0.43
2024-01-16,2481500.0,16.4,16.39,16.82,15.83,16.43,0.03
2024-01-17,1574000.0,16.43,16.4,16.65,15.96,16.15,-0.28
2024-01-18,2406000.0,16.15,16.11,16.19,15.45,15.73,-0.42
2024-01-19,1828500.0,15.73,15.7,16.24,15.4,15.6,-0.13
2024-01-22,3137000.0,15.6,15.5,16.2,15.35,16.08,0.48
2024-01-23,3125500.0,16.08,16.36,16.67,15.8,16.0,-0.08
2024-01-24,2782.0,16.35,16.35,16.8,16.13,16.6,0.25
2024-01-25,1435500.0,16.35,16.3,16.58,15.65,15.74,-0.61
2024-01-26,1892500.0,15.74,15.75,15.97,15.3,15.45,-0.29
2024-01-29,390500.0,15.45,15.31,15.59,15.06,15.14,-0.31
2024-01-30,2566500.0,15.14,15.24,15.3,14.0,14.01,-1.13
2024-01-31,2103500.0,14.01,13.95,14.3,13.63,14.0,-0.01
2024-02-01,538000.0,14.0,14.0,14.0,13.44,13.61,-0.39
2024-02-02,3115000.0,13.61,13.8,14.63,13.66,14.48,0.87
2024-02-06,2277500.0,14.48,14.7,15.15,14.57,14.9,0.42
2024-02-07,414000.0,14.9,15.0,15.1,14.64,14.67,-0.23
2024-02-09,371500.0,14.67,14.21,14.74,13.8,14.38,-0.29
2024-02-12,960000.0,14.38,14.11,14.11,13.3,13.3,-1.08
2024-02-13,5002500.0,13.3,12.66,12.99,12.3,12.4,-0.9
2024-02-14,983500.0,12.4,12.88,13.18,12.49,12.97,0.57
2024-02-15,1229500.0,12.97,13.0,13.5,12.75,12.89,-0.08
2024-02-16,277.0,13.28,14.27,14.28,13.98,14.28,1.0
2024-02-19,4644000.0,13.89,14.19,14.5,13.35,14.2,0.31
2024-02-20,2394000.0,14.2,13.55,15.25,13.55,15.0,0.8
2024-02-21,1873500.0,15.0,15.5,16.0,15.21,15.62,0.62
2024-02-22,653500.0,15.62,15.84,15.9,15.26,15.55,-0.07
2024-02-23,1708000.0,15.55,15.55,16.1,15.26,15.85,0.3
2024-02-26,517500.0,15.85,16.0,16.16,15.3,15.41,-0.44
2024-02-27,622500.0,15.41,15.36,15.85,15.11,15.38,-0.03
2024-02-28,733500.0,15.38,15.25,15.7,15.1,15.61,0.23
2024-02-29,597000.0,15.61,15.9,16.13,15.5,15.52,-0.09
2024-03-01,665000.0,15.52,15.78,16.09,15.3,15.97,0.45
2024-03-04,4259500.0,15.97,16.06,17.17,16.0,17.17,1.2
2024-03-05,6389500.0,17.17,17.48,18.46,17.25,18.46,1.29
2024-03-06,5374000.0,18.46,18.6,19.79,18.25,18.45,-0.01
2024-03-07,3384500.0,18.45,18.25,19.39,17.9,18.96,0.51
2024-03-08,3751500.0,18.96,19.01,19.8,18.1,18.46,-0.5
2024-03-11,1482000.0,18.46,18.65,18.79,17.97,18.11,-0.35
2024-03-12,638000.0,18.11,18.2,18.2,17.4,17.66,-0.45
2024-03-13,942500.0,17.66,17.7,18.0,17.0,17.53,-0.13
2024-03-14,367500.0,17.53,17.45,18.0,17.45,17.78,0.25
