Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-04-29,5000.0,5.59,6.59,6.59,6.59,6.59,1.0
2024-04-30,500.0,6.59,7.59,7.59,7.59,7.59,1.0
2024-05-02,500.0,7.59,8.59,8.59,8.59,8.59,1.0
2024-05-03,1000.0,8.59,9.59,9.59,9.59,9.59,1.0
2024-05-06,500.0,9.59,10.59,10.59,10.59,10.59,1.0
2024-05-07,500.0,10.59,11.59,11.59,11.59,11.59,1.0
2024-05-08,2000.0,11.59,12.59,12.59,12.59,12.59,1.0
2024-05-09,3000.0,12.59,13.59,13.59,13.59,13.59,1.0
2024-05-10,500.0,13.59,14.61,14.61,14.61,14.61,1.02
2024-05-13,500.0,14.61,15.71,15.71,15.71,15.71,1.1
2024-05-16,500.0,17.96,19.31,19.31,19.31,19.31,1.35
2024-05-17,500.0,19.31,17.86,17.86,17.86,17.86,-1.45
2024-05-31,2.0,17.86,19.29,19.29,19.29,17.86,0.0
2024-06-03,457.0,17.86,16.43,16.43,16.43,17.86,0.0
2024-06-04,1.0,17.86,16.43,16.43,16.43,17.86,0.0
2024-06-05,10.0,17.86,19.29,19.29,19.29,17.86,0.0
2024-06-06,2.0,17.86,19.29,19.29,16.43,17.86,0.0
2024-06-20,1.0,17.86,19.0,19.0,19.0,17.86,0.0
2024-06-28,29.0,17.86,17.68,17.68,17.68,17.86,0.0
2024-07-01,5.0,17.86,19.47,19.47,19.47,17.86,0.0
2024-07-03,7.0,17.86,19.47,19.47,19.47,17.86,0.0
2024-07-04,126.0,17.86,18.86,19.47,18.86,17.86,0.0
2024-07-05,2.0,17.86,19.47,19.47,19.47,17.86,0.0
2024-07-08,2.0,17.86,19.47,19.47,19.47,17.86,0.0
2024-07-09,3.0,17.86,19.56,19.56,19.55,17.86,0.0
2024-07-19,2.0,19.52,21.0,21.0,21.0,19.52,0.0
2024-07-23,1.0,19.52,17.6,17.6,17.6,19.52,0.0
2024-08-27,510.0,19.52,19.4,21.43,19.4,19.44,-0.08
2024-09-18,1.0,19.44,21.36,21.36,21.36,19.44,0.0
2024-09-30,500.0,19.44,19.0,19.0,19.0,19.0,-0.44
2024-10-01,120.0,19.0,19.0,19.0,19.0,19.0,0.0
2024-10-02,10.0,19.0,20.9,20.9,20.9,19.0,0.0
2024-10-03,9.0,19.0,20.0,20.0,20.0,20.0,1.0
2024-10-07,610.0,20.0,0.0,0.0,0.0,20.0,0.0
2024-10-14,1.0,20.0,21.99,21.99,21.99,20.0,0.0
2024-10-15,1.0,20.0,21.99,21.99,21.99,22.0,2.0
2024-10-17,1.0,22.0,0.0,0.0,0.0,22.0,0.0
2024-10-25,1.0,22.0,24.17,24.17,24.17,22.0,0.0
2024-11-20,4.0,22.0,24.19,24.19,21.8,22.0,0.0
2025-01-03,9.0,22.0,0.0,0.0,0.0,22.0,0.0
2025-01-16,200.0,22.0,20.0,20.0,20.0,22.0,0.0
2025-01-17,142.0,22.0,24.2,24.2,24.2,22.0,0.0
2025-02-11,10.0,24.2,26.62,26.62,26.62,24.2,0.0
2025-02-13,2500.0,26.62,26.62,26.62,26.62,26.62,0.0
2025-02-18,1.0,26.62,29.28,29.28,29.28,26.62,0.0
2025-02-28,2505.0,26.62,26.62,26.62,26.62,26.62,0.0
2025-03-06,2500.0,26.62,26.62,26.62,26.62,26.62,0.0
2025-07-25,1.0,26.62,29.23,29.23,29.23,26.62,0.0
2025-09-04,112.0,26.62,26.62,26.62,26.62,26.62,0.0
2025-09-10,1306.0,26.62,29.28,29.28,29.28,29.28,2.66
2025-09-17,51.0,35.42,0.0,0.0,0.0,35.42,0.0
2025-10-21,1.0,35.42,38.96,38.96,38.96,35.42,0.0
2025-10-28,110.0,35.42,38.95,38.96,38.95,35.42,0.0
2025-11-17,1255.0,35.42,31.88,31.88,31.88,31.88,-3.54
2025-12-09,15.0,31.88,35.07,35.07,35.07,31.88,0.0
2025-12-15,5.0,31.88,0.0,0.0,0.0,31.88,0.0
2025-12-17,3.0,31.88,0.0,0.0,0.0,31.88,0.0
2025-12-19,11.0,31.88,28.7,35.07,28.7,31.88,0.0
2025-12-29,2.0,31.88,0.0,0.0,0.0,31.88,0.0
2026-01-07,6.0,31.88,31.88,31.88,31.88,31.88,0.0
2026-01-21,10.0,31.88,28.69,28.69,28.69,31.88,0.0
2026-01-23,1190.0,31.88,35.0,35.07,28.7,35.07,3.19
2026-01-27,101.0,35.07,38.58,38.58,35.0,35.07,0.0
2026-01-30,1.0,35.07,31.56,31.56,31.56,35.07,0.0
