Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,32526.0,70.31,71.0,73.0,71.0,72.8,2.49
2024-01-02,27231.0,72.8,72.81,72.81,70.75,71.25,-1.55
2024-01-03,29776.0,71.25,71.47,73.0,71.15,71.96,0.71
2024-01-04,21287.0,71.96,71.88,71.88,70.0,70.52,-1.44
2024-01-05,105584.0,70.52,71.5,73.0,70.55,70.99,0.47
2024-01-08,20965.0,70.99,71.49,71.95,70.0,70.03,-0.96
2024-01-09,15881.0,70.03,70.5,70.5,69.91,70.0,-0.03
2024-01-10,4787.0,70.0,68.1,70.95,68.1,69.95,-0.05
2024-01-11,11250.0,69.95,70.37,70.5,69.87,70.0,0.05
2024-01-12,19092.0,70.0,70.4,71.0,68.08,68.89,-1.11
2024-01-15,23933.0,68.89,70.35,71.0,68.25,68.81,-0.08
2024-01-16,18911.0,68.81,69.0,69.5,67.91,68.52,-0.29
2024-01-17,46381.0,68.52,69.5,69.5,68.5,69.07,0.55
2024-01-18,21539.0,69.07,69.09,69.09,65.5,68.0,-1.07
2024-01-19,6253.0,68.0,69.0,69.0,68.0,68.05,0.05
2024-01-22,4549.0,68.05,68.5,68.5,67.05,67.73,-0.32
2024-01-23,36302.0,67.73,67.51,70.0,67.51,69.9,2.17
2024-01-24,13458.0,69.9,69.75,69.75,68.5,69.28,-0.62
2024-01-25,5833.0,69.28,69.05,69.49,69.0,69.21,-0.07
2024-01-26,1456.0,69.21,69.48,69.48,68.5,68.88,-0.33
2024-01-29,61454.0,68.88,67.11,69.0,67.11,68.0,-0.88
2024-01-30,4745.0,68.0,67.95,67.95,66.0,66.08,-1.92
2024-01-31,8066.0,66.08,67.0,67.45,65.99,65.99,-0.09
2024-02-01,24339.0,65.99,67.0,67.0,64.76,66.82,0.83
2024-02-02,93746.0,66.82,67.0,69.5,66.03,69.41,2.59
2024-02-06,7442.0,69.41,68.2,69.5,68.2,69.04,-0.37
2024-02-07,58339.0,69.04,69.8,70.0,67.0,67.47,-1.57
2024-02-09,26485.0,67.47,67.0,67.0,65.0,65.35,-2.12
2024-02-12,54836.0,65.35,65.0,65.89,63.5,63.93,-1.42
2024-02-13,34901.0,63.93,60.21,65.4,60.21,64.86,0.93
2024-02-14,52049.0,64.86,66.9,67.34,65.99,66.91,2.05
2024-02-15,657986.0,66.91,67.57,71.5,67.55,69.45,2.54
2024-02-16,99798.0,69.45,66.0,70.45,66.0,68.96,-0.49
2024-02-19,17295.0,68.96,69.5,69.5,68.01,68.01,-0.95
2024-02-20,175471.0,68.01,69.1,73.11,69.1,73.11,5.1
2024-02-21,566736.0,73.11,78.49,78.59,77.25,78.59,5.48
2024-02-22,376030.0,78.59,80.8,81.0,75.5,76.09,-2.5
2024-02-23,60272.0,76.09,76.46,78.39,76.46,77.77,1.68
2024-02-26,27092.0,77.77,78.99,78.99,77.5,77.99,0.22
2024-02-27,22320.0,77.99,77.0,77.99,77.0,77.76,-0.23
2024-02-28,20531.0,77.76,77.5,77.5,73.56,77.01,-0.75
2024-02-29,33266.0,77.01,76.95,76.95,75.5,76.05,-0.96
2024-03-01,22144.0,76.05,76.0,76.0,75.02,75.89,-0.16
2024-03-04,9256.0,75.89,74.71,76.25,74.71,75.99,0.1
2024-03-05,14320.0,75.99,75.5,75.5,74.0,74.69,-1.3
2024-03-06,73863.0,74.69,75.25,75.25,74.5,74.67,-0.02
2024-03-07,13402.0,74.67,74.99,75.0,74.0,74.2,-0.47
2024-03-08,13656.0,71.7,74.0,74.0,71.5,72.29,0.59
2024-03-11,101539.0,72.29,72.0,74.5,70.02,72.81,0.52
2024-03-12,22947.0,72.81,72.0,73.5,70.02,70.82,-1.99
2024-03-13,77390.0,70.82,70.09,71.3,68.5,68.59,-2.23
2024-03-14,8424.0,68.59,68.59,70.0,68.59,69.85,1.26
2024-03-15,11637.0,69.85,70.9,71.0,69.8,69.85,0.0
2024-03-18,2053.0,69.85,70.02,70.02,69.8,69.9,0.05
2024-03-19,38659.0,69.9,70.5,70.5,69.5,70.07,0.17
2024-03-20,11128.0,70.07,70.1,71.49,70.1,71.01,0.94
2024-03-21,415005.0,71.01,71.0,71.72,70.2,70.33,-0.68
2024-03-22,342697.0,70.33,71.0,71.0,70.0,70.35,0.02
2024-03-25,32448.0,70.35,70.35,71.0,70.3,70.3,-0.05
2024-03-26,28551.0,70.3,71.5,71.5,70.06,70.13,-0.17
2024-03-27,35062.0,70.13,70.5,72.95,70.25,72.2,2.07
2024-03-28,52934.0,72.2,73.0,74.13,72.82,73.45,1.25
2024-03-29,27742.0,73.45,72.61,75.0,72.5,74.22,0.77
2024-04-01,15878.0,74.22,74.94,74.94,72.4,72.55,-1.67
2024-04-02,11958.0,72.55,72.6,72.62,71.5,71.96,-0.59
2024-04-03,121147.0,71.96,71.5,72.0,70.7,71.99,0.03
2024-04-04,395670.0,71.99,77.39,77.39,76.98,77.39,5.4
2024-04-08,454620.0,77.39,81.5,81.5,78.0,81.36,3.97
