Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,687000.0,6.84,7.0,7.46,7.0,7.25,0.41
2024-01-02,348000.0,7.25,7.45,7.45,7.0,7.07,-0.18
2024-01-03,215500.0,7.07,7.0,7.35,6.8,7.0,-0.07
2024-01-04,101500.0,7.0,7.0,7.19,6.8,7.01,0.01
2024-01-05,530000.0,7.01,7.05,7.84,7.05,7.63,0.62
2024-01-08,590500.0,7.63,7.8,8.45,7.8,8.1,0.47
2024-01-09,243500.0,8.1,8.1,8.25,7.6,7.83,-0.27
2024-01-10,70500.0,7.83,7.96,7.98,7.7,7.71,-0.12
2024-01-11,77000.0,7.71,7.73,8.17,7.72,7.9,0.19
2024-01-12,91000.0,7.9,8.0,8.25,7.75,7.95,0.05
2024-01-15,79500.0,7.95,8.25,8.25,7.7,7.72,-0.23
2024-01-16,32500.0,7.72,7.6,7.6,7.4,7.4,-0.32
2024-01-17,40500.0,7.4,7.65,7.65,7.03,7.15,-0.25
2024-01-18,14500.0,7.15,7.15,7.2,6.82,6.92,-0.23
2024-01-19,21000.0,6.92,7.49,7.49,7.05,7.3,0.38
2024-01-22,42500.0,7.3,7.05,7.3,7.0,7.22,-0.08
2024-01-23,3500.0,7.22,6.95,7.22,6.95,7.17,-0.05
2024-01-24,54000.0,7.17,7.3,7.3,7.1,7.17,0.0
2024-01-25,26500.0,7.17,7.13,7.13,6.56,6.65,-0.52
2024-01-26,19000.0,6.65,6.7,6.8,6.65,6.66,0.01
2024-01-29,27000.0,6.66,6.66,6.66,6.2,6.29,-0.37
2024-01-30,18500.0,6.29,6.31,6.31,6.0,6.05,-0.24
2024-01-31,11500.0,6.05,6.05,6.25,6.05,6.24,0.19
2024-02-01,1500.0,6.24,5.97,5.97,5.95,5.95,-0.29
2024-02-06,26000.0,5.95,5.98,6.0,5.98,6.0,0.05
2024-02-07,15000.0,6.0,6.0,6.1,6.0,6.1,0.1
2024-02-13,1000.0,6.1,5.99,5.99,5.99,5.99,-0.11
2024-02-16,26000.0,5.99,5.51,6.49,5.51,6.3,0.31
2024-02-19,3500.0,6.3,6.0,6.0,5.95,5.95,-0.35
2024-02-20,17500.0,5.95,5.95,6.0,5.75,5.75,-0.2
2024-02-21,3500.0,5.75,5.55,5.75,5.53,5.75,0.0
2024-02-22,67000.0,5.75,5.8,5.8,5.3,5.32,-0.43
2024-02-23,67500.0,5.32,5.5,6.32,5.5,5.9,0.58
2024-02-26,5500.0,5.9,5.7,5.88,5.7,5.75,-0.15
2024-02-27,26000.0,5.75,5.6,5.6,5.25,5.45,-0.3
2024-02-28,21500.0,5.45,5.5,5.6,5.5,5.51,0.06
2024-02-29,10000.0,5.51,0.0,0.0,0.0,5.51,0.0
2024-03-01,2500.0,5.51,5.51,5.51,5.37,5.37,-0.14
2024-03-05,11500.0,5.37,5.28,5.55,5.25,5.35,-0.02
