Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,3400.0,366.0,374.9,377.0,370.0,374.06,8.06
2024-01-02,4300.0,374.06,397.0,397.0,378.2,378.4,4.34
2024-01-03,5600.0,378.4,378.0,383.98,378.0,379.0,0.6
2024-01-04,900.0,379.0,374.0,379.0,374.0,378.98,-0.02
2024-01-05,3000.0,378.98,380.0,380.0,370.0,380.0,1.02
2024-01-08,3700.0,380.0,375.0,380.0,375.0,380.0,0.0
2024-01-09,3200.0,380.0,370.52,385.0,370.52,384.04,4.04
2024-01-10,900.0,384.04,380.0,384.94,376.0,384.7,0.66
2024-01-11,700.0,384.7,375.03,382.0,375.0,376.0,-8.7
2024-01-15,500.0,376.0,376.0,379.94,376.0,376.0,0.0
2024-01-16,100.0,376.0,375.0,375.0,375.0,375.0,1.0
2024-01-17,1500.0,375.0,371.01,371.01,364.0,365.0,10.0
2024-01-18,1100.0,365.0,361.0,365.5,360.0,365.5,0.5
2024-01-22,5400.0,365.5,350.03,366.5,350.03,353.0,-12.5
2024-01-23,8300.0,353.0,355.2,368.0,354.99,361.03,8.03
2024-01-24,1700.0,361.03,364.99,369.9,364.99,369.9,8.87
2024-01-25,1400.0,369.9,368.5,368.5,361.0,365.0,-4.9
2024-01-26,5300.0,365.0,367.0,368.0,350.01,364.31,-0.69
2024-01-29,1500.0,364.31,360.0,361.9,356.07,356.07,-8.24
2024-01-30,700.0,356.07,351.1,356.0,351.0,351.28,-4.79
2024-01-31,700.0,351.28,350.0,350.0,350.0,350.0,-1.28
2024-02-02,1600.0,350.0,357.0,369.5,357.0,366.98,16.98
2024-02-06,1400.0,366.98,365.0,369.65,365.0,366.0,-0.98
2024-02-07,182100.0,366.0,365.21,372.0,365.0,366.0,0.0
2024-02-09,1300.0,366.0,362.0,370.0,362.0,370.0,4.0
2024-02-12,22300.0,370.0,350.03,355.55,342.25,342.25,-27.75
2024-02-13,32100.0,342.25,322.01,326.98,316.58,316.58,-25.67
2024-02-14,291600.0,316.58,316.49,327.99,306.0,322.5,5.92
2024-02-15,17300.0,322.5,323.23,330.0,317.0,318.07,-4.43
2024-02-16,12700.0,318.07,320.0,325.0,310.0,315.0,-3.07
2024-02-19,4700.0,315.0,324.99,324.99,312.5,314.55,-0.45
2024-02-20,3100.0,314.55,315.0,321.0,315.0,320.99,6.44
2024-02-21,3500.0,320.99,329.4,329.4,321.0,324.13,3.14
2024-02-22,4900.0,324.13,328.0,330.0,324.0,328.0,3.87
2024-02-23,59400.0,328.0,325.0,334.99,325.0,330.8,2.8
2024-02-26,30400.0,330.8,339.96,344.15,334.2,340.13,9.33
2024-02-27,6500.0,340.13,337.01,344.75,337.0,339.1,-1.03
