Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,81000.0,35.92,36.25,37.0,35.75,37.0,1.08
2024-01-02,24500.0,37.0,36.98,37.0,36.98,37.0,0.0
2024-01-03,3500.0,37.0,36.99,37.0,36.9,36.98,-0.02
2024-01-04,50000.0,36.98,36.21,37.0,35.2,36.99,0.01
2024-01-05,45500.0,36.99,36.02,36.85,36.0,36.39,-0.6
2024-01-08,46000.0,36.39,36.2,36.75,35.63,36.7,0.31
2024-01-09,32500.0,36.7,36.2,36.74,35.9,36.72,0.02
2024-01-10,21000.0,36.72,36.2,36.64,36.0,36.32,-0.4
2024-01-11,35000.0,36.32,36.06,36.06,35.33,35.87,-0.45
2024-01-12,2495000.0,35.87,35.99,37.02,35.99,36.84,0.97
2024-01-15,60500.0,36.84,35.2,39.6,35.2,37.04,0.2
2024-01-16,12000.0,37.04,37.9,38.0,37.9,38.0,0.96
2024-01-18,5000.0,38.0,35.35,37.9,35.35,37.81,-0.19
2024-01-19,10000.0,37.81,37.0,37.8,37.0,37.78,-0.03
2024-01-22,7000.0,37.78,36.81,37.99,36.81,37.73,-0.05
2024-01-23,73500.0,37.73,37.1,38.9,37.0,38.14,0.41
2024-01-24,3000.0,38.14,37.55,38.45,37.54,38.44,0.3
2024-01-25,19500.0,38.44,37.5,37.98,37.0,37.77,-0.67
2024-01-26,7000.0,37.77,37.11,37.22,37.0,37.14,-0.63
2024-01-29,11500.0,37.14,36.89,37.89,36.89,37.46,0.32
2024-01-30,2500.0,37.46,37.0,37.8,37.0,37.8,0.34
2024-01-31,15500.0,37.8,37.0,37.79,37.0,37.63,-0.17
2024-02-01,19500.0,37.63,37.1,37.88,37.0,37.73,0.1
2024-02-02,38000.0,37.73,37.12,38.44,37.12,38.24,0.51
2024-02-06,710500.0,38.24,37.11,38.19,36.26,38.0,-0.24
2024-02-07,300000.0,38.0,38.6,40.85,37.5,37.5,-0.5
2024-02-09,500.0,37.5,37.24,37.24,37.24,37.24,-0.26
2024-02-12,16500.0,37.24,36.0,37.0,35.2,36.82,-0.42
2024-02-13,6500.0,36.82,36.15,37.25,36.15,37.17,0.35
2024-02-14,2500.0,37.17,36.52,36.99,36.52,36.99,-0.18
2024-02-15,2000.0,36.99,36.12,36.99,36.12,36.75,-0.24
2024-02-16,28500.0,36.75,35.7,36.7,34.5,35.55,-1.2
2024-02-19,24500.0,35.55,35.01,36.0,34.6,35.51,-0.04
2024-02-20,42500.0,35.51,35.95,36.39,34.68,35.56,0.05
2024-02-21,51500.0,35.56,36.0,38.23,33.15,36.18,0.62
2024-02-22,53000.0,36.18,36.0,36.01,34.2,35.14,-1.04
2024-02-23,38500.0,35.14,35.5,36.0,35.05,35.6,0.46
2024-02-26,106500.0,35.6,36.4,36.4,34.9,35.01,-0.59
2024-02-27,44000.0,35.01,34.55,35.0,34.02,34.52,-0.49
2024-02-28,9500.0,34.52,34.5,34.7,34.5,34.7,0.18
2024-02-29,55500.0,34.7,34.56,35.15,34.55,35.03,0.33
2024-03-01,32500.0,35.03,34.98,35.0,34.98,35.0,-0.03
