Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,884500.0,34.17,34.05,36.7,34.05,36.28,2.11
2024-01-02,603500.0,36.28,36.54,38.18,35.5,36.49,0.21
2024-01-03,217000.0,36.49,36.98,37.0,35.5,36.11,-0.38
2024-01-04,197500.0,36.11,36.04,37.0,35.6,36.67,0.56
2024-01-05,671000.0,36.67,36.49,39.0,35.56,37.62,0.95
2024-01-08,536500.0,37.62,37.5,38.29,37.44,38.17,0.55
2024-01-09,152000.0,38.17,38.4,38.5,37.7,38.09,-0.08
2024-01-10,448500.0,38.09,38.0,38.4,36.99,37.55,-0.54
2024-01-11,84000.0,37.55,37.85,38.25,37.5,38.0,0.45
2024-01-12,442500.0,38.0,38.9,39.28,37.0,37.71,-0.29
2024-01-15,381500.0,37.71,37.98,40.53,37.6,38.33,0.62
2024-01-16,10500.0,38.33,37.52,38.0,37.51,37.96,-0.37
2024-01-17,79000.0,37.96,38.0,38.0,37.5,37.76,-0.2
2024-01-18,122500.0,37.76,37.06,38.0,36.5,37.08,-0.68
2024-01-19,177000.0,37.08,37.43,38.0,36.85,37.32,0.24
2024-01-22,46000.0,37.32,37.25,37.67,37.0,37.61,0.29
2024-01-23,45500.0,37.61,37.36,37.8,37.11,37.57,-0.04
2024-01-24,173500.0,37.57,37.5,37.5,37.0,37.22,-0.35
2024-01-25,289000.0,37.22,37.0,37.4,36.0,36.61,-0.61
2024-01-26,28500.0,36.61,36.61,36.62,36.06,36.27,-0.34
2024-01-29,92500.0,36.27,36.06,37.99,36.01,37.08,0.81
2024-01-30,27000.0,37.08,36.5,37.5,36.5,37.26,0.18
2024-01-31,49000.0,37.26,36.66,37.25,36.5,36.73,-0.53
2024-02-01,36500.0,36.73,37.17,37.55,37.17,37.44,0.71
2024-02-02,50000.0,37.44,37.72,37.72,36.9,37.22,-0.22
2024-02-06,51000.0,37.22,37.4,37.7,37.4,37.5,0.28
2024-02-07,146500.0,37.5,37.45,37.5,36.2,36.62,-0.88
2024-02-12,548500.0,36.62,35.7,35.7,33.87,34.46,-2.16
2024-02-13,90000.0,34.46,34.0,35.88,34.0,35.39,0.93
2024-02-14,16500.0,35.39,35.75,35.98,35.1,35.95,0.56
2024-02-15,81500.0,35.95,35.01,35.9,35.01,35.75,-0.2
2024-02-16,121000.0,35.75,35.11,35.4,34.27,34.99,-0.76
2024-02-19,407000.0,34.99,34.57,35.45,34.57,35.4,0.41
2024-02-20,405500.0,35.4,34.16,35.3,34.16,35.3,-0.1
2024-02-21,14500.0,35.3,35.88,36.39,35.48,35.9,0.6
2024-02-22,64000.0,35.9,36.0,36.0,35.55,35.81,-0.09
2024-02-23,13000.0,35.81,35.99,36.25,35.99,36.12,0.31
2024-02-26,24000.0,36.12,35.9,36.0,35.53,35.99,-0.13
2024-02-27,32000.0,35.99,35.5,35.85,35.32,35.84,-0.15
2024-02-28,7474500.0,35.84,35.5,35.99,35.4,35.69,-0.15
2024-02-29,53000.0,35.69,35.6,36.3,35.5,36.14,0.45
2024-03-01,81500.0,36.14,36.3,37.88,36.26,36.92,0.78
2024-03-04,3433000.0,36.92,36.5,36.69,35.85,36.24,-0.68
2024-03-05,8637500.0,36.24,35.52,36.43,35.52,36.3,0.06
2024-03-06,54000.0,36.3,36.0,36.7,36.0,36.38,0.08
2024-03-07,21500.0,36.38,35.76,36.45,35.76,36.23,-0.15
2024-03-08,64500.0,36.23,36.47,36.5,36.47,36.5,0.27
2024-03-11,25500.0,36.5,36.07,37.0,36.07,36.96,0.46
2024-03-12,12500.0,36.96,36.25,36.45,36.0,36.2,-0.76
2024-03-13,10000.0,36.2,36.0,36.4,36.0,36.17,-0.03
2024-03-14,61000.0,36.17,36.1,36.1,35.81,35.99,-0.18
2024-03-15,9000.0,35.99,36.38,36.38,36.0,36.25,0.26
2024-03-18,20000.0,36.25,36.35,36.5,36.0,36.39,0.14
2024-03-19,29500.0,36.39,36.5,37.0,36.2,36.95,0.56
2024-03-20,111500.0,36.95,36.8,37.0,36.0,36.32,-0.63
2024-03-21,21000.0,36.32,36.01,36.5,35.86,36.42,0.1
2024-03-22,267500.0,36.42,36.0,36.0,34.86,35.38,-1.04
2024-03-25,23000.0,35.38,34.95,35.5,34.95,35.42,0.04
2024-03-26,34000.0,35.42,35.25,35.9,35.0,35.56,0.14
2024-03-27,578500.0,35.56,34.55,35.38,34.0,34.86,-0.7
2024-03-28,170000.0,34.86,34.21,34.9,34.0,34.65,-0.21
2024-03-29,65500.0,34.65,34.65,34.65,33.71,34.44,-0.21
2024-04-01,31000.0,34.44,34.49,34.5,33.7,33.84,-0.6
2024-04-02,442000.0,33.84,33.74,36.18,33.48,35.57,1.73
