Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,14241089.0,60.76,62.75,65.32,61.5,65.11,4.35
2024-01-02,8209228.0,65.11,65.5,65.8,61.37,61.89,-3.22
2024-01-03,4992986.0,61.89,62.01,63.6,61.0,62.07,0.18
2024-01-04,12477264.0,62.07,62.7,65.5,59.0,64.34,2.27
2024-01-05,8511840.0,64.34,64.5,65.0,61.0,62.43,-1.91
2024-01-08,5550001.0,62.43,62.22,63.0,58.5,59.41,-3.02
2024-01-09,9006159.0,59.41,60.75,61.79,58.65,60.9,1.49
2024-01-10,5375413.0,60.9,60.99,61.45,59.1,59.84,-1.06
2024-01-11,5676174.0,59.84,59.85,60.99,58.55,58.92,-0.92
2024-01-12,7429626.0,58.92,59.99,60.9,57.0,57.84,-1.08
2024-01-15,3792941.0,57.84,58.1,58.15,55.51,56.12,-1.72
2024-01-16,13863778.0,56.12,56.1,59.74,54.02,58.67,2.55
2024-01-17,4544397.0,58.67,58.4,58.6,55.35,55.93,-2.74
2024-01-18,6253413.0,55.93,54.55,55.76,53.15,53.94,-1.99
2024-01-19,8663452.0,53.94,54.48,56.05,53.4,54.09,0.15
2024-01-22,2894013.0,54.09,54.79,55.47,53.82,54.3,0.21
2024-01-23,11069.0,54.56,54.99,58.65,54.26,58.65,4.09
2024-01-24,12364533.0,58.37,60.0,62.75,59.77,62.75,4.38
2024-01-25,12481170.0,62.75,64.11,64.88,61.19,61.94,-0.81
2024-01-26,3524855.0,61.94,61.99,62.89,60.3,60.75,-1.19
2024-01-29,6107650.0,60.75,60.12,63.2,59.52,60.08,-0.67
2024-01-30,14758559.0,60.08,62.99,63.4,56.5,57.32,-2.76
2024-01-31,7485942.0,57.32,56.92,59.75,56.29,57.13,-0.19
2024-02-01,11279.0,57.34,57.2,58.5,56.24,57.53,0.19
2024-02-02,13080690.0,57.49,57.34,61.44,56.63,59.95,2.46
2024-02-06,4923902.0,59.95,60.5,61.25,59.11,60.77,0.82
2024-02-07,5759651.0,58.77,59.48,61.28,59.02,60.24,1.47
2024-02-09,7248718.0,60.24,57.05,60.9,56.2,59.83,-0.41
2024-02-12,5717423.0,59.83,60.1,60.7,55.34,55.74,-4.09
2024-02-13,7220456.0,55.74,55.0,59.0,51.9,56.83,1.09
2024-02-14,4838584.0,56.83,57.12,59.13,57.12,58.18,1.35
2024-02-15,2.0,59.97,56.0,56.0,56.0,56.0,-3.97
2024-02-16,4193153.0,55.27,55.0,56.26,53.3,53.87,-1.4
2024-02-19,5250569.0,53.87,53.11,55.7,52.72,55.39,1.52
2024-02-20,5042.0,56.59,56.6,57.6,55.7,56.16,-0.43
2024-02-21,8954277.0,55.02,57.0,58.5,56.2,57.9,2.88
2024-02-22,9039847.0,57.9,58.12,59.67,57.11,58.74,0.84
2024-02-23,10813.0,58.66,58.9,60.0,57.52,58.06,-0.6
2024-02-26,17460496.0,58.23,58.9,61.99,58.5,61.49,3.26
2024-02-27,11357271.0,61.49,62.51,63.19,60.0,60.49,1.0
2024-02-28,3985929.0,60.49,60.37,61.0,59.52,59.74,-0.75
2024-02-29,3759292.0,59.74,60.05,60.85,59.5,59.59,-0.15
2024-03-01,7634474.0,59.59,59.8,62.0,59.2,60.84,1.25
2024-03-04,5339479.0,60.84,61.99,61.99,60.25,60.45,-0.39
2024-03-05,7384007.0,60.45,60.7,61.5,59.4,60.13,-0.32
2024-03-06,5261971.0,60.13,60.13,60.9,59.19,59.62,-0.51
2024-03-07,7233006.0,59.62,59.5,60.39,58.08,59.92,0.3
2024-03-08,10240733.0,59.92,60.25,61.8,60.13,61.16,1.24
2024-03-11,11863990.0,61.16,61.75,65.75,61.55,65.75,4.59
2024-03-12,18280574.0,65.75,67.0,68.5,61.5,62.17,-3.58
2024-03-13,8535510.0,62.17,61.11,63.6,57.81,59.05,-3.12
2024-03-14,9154.0,59.64,60.95,64.11,60.95,63.68,4.04
2024-03-15,7836725.0,63.15,63.4,64.75,62.0,62.41,-0.74
2024-03-18,2339097.0,62.41,63.01,63.4,61.51,62.18,-0.23
2024-03-19,9.0,63.93,64.9,65.45,64.9,65.45,1.52
2024-03-20,290.0,65.45,0.0,0.0,0.0,64.49,-0.96
2024-03-21,4384010.0,62.81,62.99,63.66,61.0,61.55,-1.26
2024-03-22,2804619.0,61.55,61.25,62.25,60.91,61.17,-0.38
2024-03-25,2252834.0,61.17,61.25,61.55,60.39,60.53,-0.64
2024-03-26,3429.0,61.66,61.5,62.6,61.01,61.49,-0.17
2024-03-27,3462.0,60.61,60.69,61.02,60.5,60.77,0.16
