Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2276500.0,24.72,25.0,25.0,24.55,24.81,0.09
2024-01-02,6043000.0,24.81,25.0,25.51,24.65,24.99,0.18
2024-01-03,3228000.0,24.99,24.95,25.1,24.41,24.54,-0.45
2024-01-04,1527000.0,24.54,24.45,24.75,24.2,24.27,-0.27
2024-01-05,3585500.0,24.27,24.25,24.8,23.99,24.29,0.02
2024-01-08,706500.0,24.29,24.1,24.25,23.42,23.49,-0.8
2024-01-09,1308500.0,23.49,23.87,23.87,23.0,23.14,-0.35
2024-01-10,597000.0,23.14,23.01,23.4,23.0,23.08,-0.06
2024-01-11,1351000.0,23.08,23.25,23.77,23.0,23.61,0.53
2024-01-12,1546500.0,23.61,24.34,24.34,23.55,23.79,0.18
2024-01-15,222000.0,23.79,23.85,24.0,23.35,23.48,-0.31
2024-01-16,373500.0,23.48,23.4,23.8,23.4,23.68,0.2
2024-01-17,362500.0,23.68,23.5,23.55,22.75,22.99,-0.69
2024-01-18,293000.0,22.99,22.72,23.65,22.58,23.49,0.5
2024-01-19,229000.0,23.49,23.6,23.87,23.24,23.55,0.06
2024-01-22,87500.0,23.55,23.24,23.51,23.21,23.48,-0.07
2024-01-23,199.0,23.68,23.8,23.95,23.7,23.7,0.02
2024-01-24,424000.0,23.61,23.52,23.97,23.52,23.9,0.29
2024-01-25,464500.0,23.9,24.0,24.0,23.01,23.18,-0.72
2024-01-26,366.0,23.1,23.1,23.55,23.0,23.0,-0.1
2024-01-29,237000.0,23.03,23.02,23.5,22.6,22.73,-0.3
2024-01-30,282500.0,22.73,22.7,23.0,22.31,22.68,-0.05
2024-01-31,748000.0,22.68,22.56,24.0,22.56,23.56,0.88
2024-02-01,728000.0,23.56,23.89,23.89,23.3,23.72,0.16
2024-02-02,79000.0,23.72,23.54,23.85,23.41,23.66,-0.06
2024-02-06,3019000.0,23.66,23.4,25.2,23.4,24.9,1.24
2024-02-07,265500.0,24.9,24.91,25.09,24.6,24.81,-0.09
2024-02-09,311000.0,24.81,24.1,24.25,23.82,24.03,-0.78
2024-02-12,421500.0,24.03,23.96,24.2,22.81,23.11,-0.92
2024-02-13,271000.0,23.11,23.0,23.74,22.75,23.3,0.19
2024-02-14,514000.0,23.3,23.85,24.44,23.4,24.36,1.06
2024-02-15,735000.0,24.36,24.0,24.48,23.75,24.0,-0.36
2024-02-16,479500.0,24.0,23.7,24.2,23.25,23.43,-0.57
2024-02-19,110.0,23.91,23.65,23.96,23.43,23.85,-0.06
2024-02-20,1467000.0,23.44,23.89,24.2,23.36,23.89,0.45
2024-02-21,14536500.0,23.89,24.07,24.7,22.25,22.86,-1.03
2024-02-22,1660500.0,22.86,22.9,22.99,22.5,22.57,-0.29
2024-02-23,2271500.0,22.57,22.75,22.8,22.51,22.71,0.14
2024-02-26,1912000.0,22.71,22.7,23.5,22.5,23.23,0.52
2024-02-27,2252500.0,23.23,22.9,23.7,22.9,23.57,0.34
2024-02-28,666500.0,23.57,23.5,23.57,23.1,23.17,-0.4
2024-02-29,868000.0,23.17,23.2,23.63,23.1,23.42,0.25
2024-03-01,383500.0,23.42,23.12,23.44,22.99,23.11,-0.31
2024-03-04,367500.0,23.11,23.28,23.28,22.81,22.88,-0.23
2024-03-05,219500.0,22.88,23.0,23.0,22.7,22.71,-0.17
2024-03-06,737000.0,22.71,22.68,23.05,22.65,22.8,0.09
2024-03-07,296500.0,22.8,22.71,22.98,22.71,22.96,0.16
2024-03-08,452000.0,22.96,23.15,23.15,22.65,23.01,0.05
2024-03-11,399000.0,23.01,23.14,23.14,22.9,23.0,-0.01
2024-03-12,238500.0,23.0,23.37,23.37,22.51,23.01,0.01
2024-03-13,376000.0,23.01,23.15,23.29,22.7,22.76,-0.25
2024-03-14,1105500.0,22.76,22.9,23.19,22.9,23.13,0.37
2024-03-15,352500.0,23.13,23.0,23.15,22.85,22.92,-0.21
2024-03-18,358000.0,22.92,23.0,23.0,22.7,22.79,-0.13
2024-03-19,3415500.0,22.79,22.7,23.0,22.15,22.31,-0.48
2024-03-20,625000.0,19.81,19.8,20.4,19.7,20.05,0.24
2024-03-21,450500.0,20.05,20.37,20.37,19.98,20.0,-0.05
2024-03-22,256000.0,20.0,20.0,20.1,19.5,19.51,-0.49
2024-03-25,244500.0,19.51,20.0,20.1,19.7,19.97,0.46
2024-03-26,722500.0,19.97,19.75,20.93,19.75,20.17,0.2
2024-03-27,687000.0,20.17,20.13,20.24,19.9,20.15,-0.02
2024-03-28,841000.0,20.15,20.15,20.65,20.15,20.6,0.45
2024-03-29,696500.0,20.6,20.68,20.85,20.29,20.65,0.05
2024-04-01,666500.0,20.65,20.66,20.75,20.3,20.34,-0.31
2024-04-02,1248500.0,20.34,20.36,20.49,20.1,20.14,-0.2
2024-04-03,1449500.0,20.14,20.11,20.5,20.0,20.2,0.06
2024-04-04,2637500.0,20.2,20.4,20.85,20.15,20.34,0.14
2024-04-08,1946000.0,20.34,20.36,20.45,20.22,20.33,-0.01
2024-04-09,2223500.0,20.33,20.5,21.82,20.5,21.73,1.4
2024-04-15,2136000.0,21.73,21.89,23.1,21.75,22.88,1.15
2024-04-16,1703500.0,22.88,23.0,23.95,23.0,23.6,0.72
2024-04-17,1786500.0,23.6,23.25,24.0,23.12,23.91,0.31
2024-04-18,1402500.0,23.91,23.99,24.0,23.5,23.89,-0.02
2024-04-19,484000.0,23.89,23.51,23.9,23.5,23.76,-0.13
2024-04-22,76.0,23.8,24.46,25.0,24.46,24.7,0.9
2024-04-23,263.0,24.7,25.0,25.2,24.71,24.72,0.02
2024-04-24,1056000.0,24.73,24.75,25.2,24.39,25.04,0.31
2024-04-25,2726500.0,25.04,25.0,25.0,24.5,24.85,-0.19
2024-04-26,39174000.0,24.85,25.61,25.8,24.84,25.16,0.31
2024-04-29,3263000.0,25.16,25.2,25.2,23.9,24.5,-0.66
2024-04-30,4186500.0,24.5,24.5,24.5,23.0,23.03,-1.47
2024-05-02,2230000.0,23.03,23.0,23.0,22.0,22.12,-0.91
2024-05-03,1837000.0,22.12,22.1,22.26,21.75,21.89,-0.23
2024-05-06,2526000.0,21.89,22.0,22.98,21.91,22.85,0.96
2024-05-07,1363000.0,22.85,22.62,22.95,22.01,22.14,-0.71
2024-05-08,1208500.0,22.14,22.25,22.69,21.86,22.43,0.29
2024-05-09,2079500.0,22.43,22.06,22.29,21.7,22.12,-0.31
2024-05-10,1290500.0,22.12,22.0,22.19,21.82,21.83,-0.29
2024-05-13,1019000.0,21.83,21.75,22.2,21.75,22.12,0.29
