Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,22800.0,153.99,147.51,165.54,142.53,157.53,3.54
2024-01-02,1700.0,157.53,157.99,158.9,153.05,157.47,-0.06
2024-01-03,1900.0,157.47,155.0,156.9,152.51,156.3,-1.17
2024-01-05,500.0,156.3,0.0,0.0,0.0,156.3,0.0
2024-01-11,100.0,156.3,150.01,150.01,150.01,156.3,0.0
2024-01-15,700.0,156.3,154.96,159.94,154.96,158.92,2.62
2024-01-16,400.0,158.92,152.52,154.84,152.51,154.75,-4.17
2024-01-18,500.0,154.75,150.01,151.48,147.51,151.43,-3.32
2024-01-19,200.0,151.43,152.45,152.45,152.45,152.45,1.02
2024-01-22,2800.0,152.45,145.23,151.9,141.02,150.57,-1.88
2024-01-23,400.0,150.57,145.01,149.95,145.01,149.95,-0.62
2024-01-24,100.0,149.95,148.5,148.5,148.5,149.95,0.0
2024-01-25,2200.0,149.95,144.5,144.5,139.5,142.69,-7.26
2024-01-26,100.0,142.69,137.7,137.7,137.7,142.69,0.0
2024-01-31,200.0,142.69,137.51,140.0,137.51,138.76,-3.93
2024-02-01,300.0,138.76,142.4,142.4,142.4,142.4,3.64
2024-02-09,300.0,142.4,135.01,139.94,135.01,139.92,-2.48
2024-02-12,1400.0,139.92,133.01,133.01,129.43,129.45,-10.47
2024-02-13,100.0,129.45,0.0,0.0,0.0,129.45,0.0
2024-02-15,100.0,129.45,0.0,0.0,0.0,129.45,0.0
2024-02-16,100.0,129.45,125.01,125.01,125.01,129.45,0.0
2024-02-20,500.0,129.45,129.98,132.0,129.98,131.99,2.54
2024-02-21,200.0,131.99,132.48,132.49,132.48,132.49,0.5
2024-02-26,600.0,132.49,127.56,127.56,127.51,127.52,-4.97
2024-02-29,1500.0,127.52,131.95,131.95,131.95,131.95,4.43
2024-03-04,200.0,131.95,125.01,129.97,125.01,127.49,-4.46
2024-03-05,100.0,127.49,123.73,123.73,123.73,127.49,0.0
2024-03-08,100.0,127.49,123.02,123.02,123.02,127.49,0.0
2024-03-11,900.0,127.49,129.98,130.0,129.97,129.99,2.5
2024-03-13,200.0,129.99,125.02,125.02,125.01,125.02,-4.97
2024-03-18,600.0,125.02,128.98,128.98,128.98,128.98,3.96
2024-03-19,700.0,128.98,129.98,132.49,129.98,130.0,1.02
2024-03-20,900.0,130.0,134.89,135.0,134.89,135.0,5.0
2024-03-21,200.0,135.0,130.02,130.02,130.01,130.02,-4.98
2024-03-26,100.0,130.02,0.0,0.0,0.0,130.02,0.0
2024-03-28,500.0,130.02,130.0,130.0,130.0,130.0,-0.02
2024-03-29,6800.0,130.0,134.33,139.75,134.33,139.75,9.75
2024-04-01,8300.0,139.75,142.49,149.0,142.49,147.49,7.74
2024-04-02,2700.0,147.49,145.0,145.0,142.51,143.34,-4.15
2024-04-03,1200.0,143.34,140.08,140.08,135.0,136.09,-7.25
2024-04-04,500.0,136.09,138.95,139.99,138.95,139.47,3.38
2024-04-08,2100.0,139.47,135.51,135.51,129.01,132.75,-6.72
2024-04-09,300.0,132.75,129.05,129.05,128.1,128.58,-4.17
2024-04-15,1800.0,128.58,127.56,128.0,120.01,124.53,-4.05
2024-04-16,700.0,124.53,127.49,127.49,124.56,127.0,2.47
2024-04-17,500.0,127.0,125.12,125.12,124.2,124.74,-2.26
2024-04-18,1200.0,124.74,122.61,123.0,122.6,123.0,-1.74
2024-04-19,1400.0,123.0,127.0,127.0,120.0,120.34,-2.66
2024-04-22,145.0,120.34,125.41,125.41,122.0,120.34,0.0
2024-04-23,12.0,120.34,125.95,125.95,124.0,120.34,0.0
2024-04-24,1.0,120.34,125.99,125.99,125.99,120.34,0.0
2024-04-25,4.0,120.34,127.0,127.0,126.98,120.34,0.0
2024-04-26,402.0,120.34,126.88,126.88,123.0,126.84,6.5
2024-04-29,2.0,126.84,123.0,125.99,123.0,126.84,0.0
2024-04-30,5477.0,126.84,124.79,124.99,120.0,120.0,-6.84
2024-05-02,1.0,120.0,124.0,124.0,124.0,120.0,0.0
2024-05-03,7.0,120.0,123.24,123.24,123.24,120.0,0.0
2024-05-06,2768.0,120.0,125.89,125.89,120.0,121.89,1.89
2024-05-07,315.0,121.89,120.21,120.21,120.01,120.03,-1.86
2024-05-08,261.0,120.03,120.26,120.27,120.0,120.06,0.03
2024-05-09,4.0,120.06,120.5,120.5,120.5,120.06,0.0
2024-05-10,17.0,120.06,121.98,121.98,120.04,120.06,0.0
2024-05-13,59.0,120.06,125.78,125.78,120.53,120.06,0.0
2024-05-15,2006.0,120.06,120.25,122.0,118.01,118.13,-1.93
2024-05-16,5191.0,118.13,118.02,121.98,118.0,119.94,1.81
2024-05-17,410.0,119.94,120.8,121.79,119.01,119.5,-0.44
2024-05-20,23.0,119.5,123.97,123.97,118.25,119.5,0.0
2024-05-21,501.0,119.5,118.01,122.95,117.01,117.16,-2.34
2024-05-22,201.0,117.16,121.97,121.97,116.5,117.16,0.0
2024-05-23,2311.0,117.16,119.9,122.0,119.78,121.06,3.9
2024-05-24,1311.0,121.06,117.65,122.98,117.65,118.3,-2.76
2024-05-27,509.0,118.3,118.05,121.96,117.56,117.89,-0.41
2024-05-29,869.0,117.89,117.07,121.95,116.05,117.63,-0.26
2024-05-30,210.0,117.63,121.93,121.93,121.6,121.61,3.98
2024-05-31,756.0,121.61,116.51,121.95,116.51,121.93,0.32
2024-06-03,1032.0,121.93,116.01,121.97,116.01,116.22,-5.71
2024-06-04,3212.0,116.22,116.33,119.95,115.0,115.01,-1.21
2024-06-05,577.0,115.01,115.99,115.99,114.01,114.44,-0.57
2024-06-06,1140.0,114.44,113.14,113.14,109.01,109.66,-4.78
2024-06-07,970.0,109.66,108.01,112.95,108.0,112.86,3.2
2024-06-10,2104.0,112.86,107.01,107.04,104.01,104.27,-8.59
