Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-05,3500.0,20.97,21.48,21.48,21.48,21.48,0.51
2024-01-10,21500.0,21.48,20.26,20.26,20.2,20.2,-1.28
2024-01-15,4000.0,20.2,20.05,20.05,20.01,20.04,-0.16
2024-01-16,2500.0,20.04,19.75,20.45,19.51,20.45,0.41
2024-01-19,4000.0,20.45,20.44,20.49,20.4,20.4,-0.05
2024-01-24,500.0,20.4,20.5,20.5,20.5,20.5,0.1
2024-02-07,21000.0,20.5,19.51,19.74,18.96,19.25,-1.25
2024-02-09,500.0,19.25,19.7,19.7,19.7,19.7,0.45
2024-02-12,1500.0,19.7,19.0,19.0,19.0,19.0,-0.7
2024-02-16,500.0,19.0,18.51,18.51,18.51,18.51,-0.49
2024-02-19,3500.0,18.51,19.45,19.45,19.45,19.45,0.94
2024-02-20,2500.0,19.45,19.0,19.0,19.0,19.0,-0.45
2024-02-21,10000.0,19.0,18.52,19.2,18.02,18.35,-0.65
2024-02-23,500.0,18.35,18.95,18.95,18.95,18.95,0.6
2024-02-26,4000.0,18.95,0.0,0.0,0.0,18.95,0.0
2024-02-28,12500.0,18.95,18.03,18.05,18.01,18.01,-0.94
2024-02-29,1000.0,18.01,18.9,18.9,18.9,18.9,0.89
2024-03-01,18000.0,18.9,18.9,18.99,18.0,18.0,-0.9
2024-03-04,10500.0,18.0,18.02,18.02,18.0,18.0,0.0
2024-03-05,500.0,18.0,18.0,18.0,18.0,18.0,0.0
2024-03-06,1000.0,18.0,17.75,17.75,17.75,17.75,-0.25
2024-03-08,1000.0,17.75,18.65,18.65,18.65,18.65,0.9
2024-03-11,500.0,18.65,18.7,18.7,18.7,18.7,0.05
2024-03-14,2000.0,18.7,17.6,18.7,17.6,18.7,0.0
2024-03-19,2000.0,18.7,18.7,18.7,18.7,18.7,0.0
2024-03-20,3000.0,18.7,18.75,18.75,18.75,18.75,0.05
2024-03-27,7000.0,18.75,18.7,18.89,18.5,18.7,-0.05
2024-04-09,6000.0,18.7,18.95,18.95,18.5,18.5,-0.2
2024-04-15,8000.0,18.5,18.95,18.95,18.89,18.9,0.4
2024-04-17,13500.0,18.9,17.86,18.99,17.51,18.99,0.09
2024-04-18,9500.0,18.99,18.99,19.75,18.75,19.15,0.16
2024-04-19,5000.0,19.15,19.65,19.65,19.65,19.65,0.5
2024-04-23,500.0,19.65,19.7,19.7,19.7,19.7,0.05
2024-05-02,14000.0,19.7,18.51,19.4,18.5,19.4,-0.3
2024-05-03,500.0,19.4,18.75,18.75,18.75,18.75,-0.65
2024-05-06,1000.0,18.75,18.25,19.1,18.25,19.1,0.35
2024-05-07,500.0,19.1,18.25,18.25,18.25,18.25,-0.85
2024-05-08,2000.0,18.25,18.1,18.1,18.02,18.02,-0.23
2024-05-10,2000.0,18.02,19.05,19.05,19.05,19.05,1.03
2024-05-13,10000.0,19.05,18.02,18.02,18.0,18.01,-1.04
2024-05-16,5500.0,18.01,18.0,18.9,18.0,18.9,0.89
2024-05-17,5000.0,18.9,18.02,18.02,18.0,18.01,-0.89
2024-05-21,500.0,18.01,18.0,18.0,18.0,18.0,-0.01
2024-05-24,4500.0,18.0,18.01,18.01,18.0,18.0,0.0
2024-05-27,1.0,18.0,18.2,18.2,18.2,18.0,0.0
2024-05-29,999.0,18.0,18.2,18.2,18.2,18.2,0.2
2024-05-30,4311.0,18.2,18.2,18.2,17.8,17.82,-0.38
2024-05-31,1578.0,17.82,18.0,18.0,18.0,18.0,0.18
2024-06-03,702.0,18.0,18.0,18.3,18.0,18.0,0.0
2024-06-04,4.0,18.0,18.01,18.01,18.0,18.0,0.0
2024-06-05,10550.0,18.0,18.01,18.05,18.01,18.01,0.01
2024-06-06,1499.0,18.01,18.85,18.85,17.75,17.75,-0.26
2024-06-12,1540.0,17.75,18.65,18.65,18.65,18.65,0.9
2024-06-14,286.0,18.65,18.2,18.48,17.75,18.65,0.0
2024-06-20,3500.0,18.65,18.05,18.05,18.03,18.03,-0.62
2024-06-21,2202.0,18.03,16.5,18.0,16.5,17.75,-0.28
2024-06-24,1.0,17.75,17.98,17.98,17.98,17.75,0.0
2024-06-25,68210.0,17.75,17.51,18.19,17.05,18.18,0.43
2024-06-26,64506.0,18.18,18.19,18.75,17.5,17.53,-0.65
2024-06-27,11.0,17.53,18.1,18.1,18.1,17.53,0.0
2024-06-28,1.0,17.53,18.4,18.4,18.4,17.53,0.0
2024-07-01,298113.0,17.53,15.95,15.95,15.95,15.95,-1.58
2024-07-02,12241302.0,15.95,15.9,16.8,14.51,15.91,-0.04
2024-07-03,15086401.0,15.91,15.95,16.55,15.39,16.07,0.16
2024-07-04,14859549.0,16.07,16.11,16.66,15.82,16.05,-0.02
2024-07-05,3221052.0,16.05,16.32,16.4,15.6,15.7,-0.35
2024-07-08,1718388.0,15.7,15.96,16.2,15.28,16.09,0.39
2024-07-09,5441565.0,16.09,16.19,17.62,16.15,17.62,1.53
2024-07-10,7456270.0,17.62,18.2,19.29,18.2,19.29,1.67
2024-07-11,7594474.0,19.29,20.29,20.99,18.5,18.8,-0.49
2024-07-12,2286986.0,18.8,18.51,19.3,17.57,18.16,-0.64
2024-07-15,2151736.0,18.16,18.31,19.1,17.6,17.75,-0.41
2024-07-18,2658370.0,17.75,18.0,18.6,17.52,18.38,0.63
2024-07-19,1355715.0,18.38,18.26,18.6,17.25,17.38,1.0
2024-07-22,963889.0,17.38,17.69,18.0,16.3,16.58,-0.8
2024-07-23,1033950.0,16.58,16.75,17.01,16.11,16.58,0.0
2024-07-24,933998.0,16.58,16.58,16.79,16.0,16.08,-0.5
2024-07-25,1952828.0,16.08,16.0,16.59,15.0,15.22,-0.86
2024-07-26,857185.0,15.22,15.27,15.28,14.7,14.8,-0.42
2024-07-29,433354.0,14.8,14.95,15.34,14.6,14.79,-0.01
2024-07-30,1477330.0,14.79,14.82,15.5,14.27,14.46,-0.33
2024-07-31,918854.0,14.46,14.89,14.89,14.02,14.12,-0.34
2024-08-01,1194201.0,14.12,14.3,14.49,13.55,13.67,-0.45
2024-08-02,1752268.0,13.67,13.97,14.7,13.75,14.48,0.81
2024-08-05,902617.0,14.48,14.7,14.7,13.95,14.02,-0.46
2024-08-06,680243.0,14.02,14.35,14.5,13.75,13.96,-0.06
2024-08-07,558211.0,13.96,14.15,14.29,13.77,13.82,-0.14
2024-08-08,584961.0,13.82,13.72,14.12,13.68,13.91,0.09
2024-08-09,563886.0,13.91,13.8,14.3,13.7,13.89,-0.02
2024-08-12,1046455.0,13.89,13.8,14.49,13.71,14.2,0.31
2024-08-13,139118.0,14.2,13.75,14.35,13.51,14.03,-0.17
2024-08-15,1224302.0,14.03,14.0,14.5,13.9,14.4,0.37
2024-08-16,1561715.0,14.4,14.65,14.9,13.95,14.1,-0.3
2024-08-19,2334862.0,14.1,14.25,15.51,14.2,15.51,1.41
2024-08-20,3238184.0,15.51,15.89,17.06,15.89,17.06,1.55
2024-08-21,4458263.0,17.06,17.75,18.38,16.75,17.03,-0.03
2024-08-22,1127920.0,17.03,17.3,17.76,16.51,17.01,-0.02
2024-08-23,508313.0,17.01,17.34,17.34,16.77,17.01,0.0
2024-08-26,278157.0,17.01,17.05,17.19,16.11,16.27,-0.74
2024-08-27,308849.0,16.27,16.75,16.75,15.52,16.01,-0.26
2024-08-28,516031.0,16.01,16.39,16.4,15.0,15.41,-0.6
2024-08-29,232410.0,15.41,15.5,15.9,15.41,15.78,0.37
2024-08-30,350698.0,15.78,15.98,16.2,15.62,15.86,0.08
2024-09-02,163274.0,15.86,16.19,16.22,15.4,15.84,-0.02
2024-09-03,70380.0,15.84,15.65,16.24,15.65,16.11,0.27
