Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-11,500.0,30.1,28.0,28.0,28.0,28.0,-2.1
2024-01-18,1500.0,28.0,30.1,30.1,30.1,30.1,2.1
2024-01-31,5000.0,30.1,0.0,0.0,0.0,30.1,0.0
2024-04-30,500.0,30.1,32.36,32.36,32.36,32.36,2.26
2024-06-06,91.0,32.36,29.77,34.0,29.77,32.36,0.0
2024-07-09,1500.0,32.36,34.99,35.0,34.99,35.0,2.64
2024-07-11,1.0,35.0,38.0,38.0,38.0,35.0,0.0
2024-07-12,1.0,35.0,38.0,38.0,38.0,35.0,0.0
2024-07-15,103.0,35.0,38.33,38.33,37.99,35.0,0.0
2024-07-22,1.0,35.0,38.0,38.0,38.0,35.0,0.0
2024-07-24,201.0,35.0,31.5,37.0,31.5,35.0,0.0
2024-07-26,99.0,35.0,35.0,35.0,35.0,35.0,0.0
2024-07-29,1.0,35.0,37.77,37.77,37.77,35.0,0.0
2024-08-05,2.0,35.0,37.0,37.0,36.99,35.0,0.0
2024-08-16,2.0,35.0,38.5,38.5,37.0,35.0,0.0
2024-08-22,1734.0,35.0,31.5,37.37,31.5,34.97,-0.03
2024-08-23,6.0,34.97,31.47,31.48,31.47,34.97,0.0
2024-08-26,1007.0,34.97,31.48,34.99,31.47,31.48,-3.49
2024-08-27,1067.0,31.48,32.0,34.39,28.61,34.27,2.79
2024-08-28,1312.0,34.27,37.7,37.7,32.01,37.63,3.36
2024-08-29,26.0,37.63,36.0,38.0,34.0,37.63,0.0
2024-08-30,2.0,37.63,33.87,37.0,33.87,37.63,0.0
2024-09-02,306.0,37.63,33.87,33.88,33.87,37.63,0.0
2024-09-03,206.0,37.63,33.87,33.88,33.87,37.63,0.0
2024-09-06,32.0,37.63,34.0,34.0,34.0,37.63,0.0
2024-09-09,421.0,37.63,34.0,34.5,33.87,36.42,-1.21
2024-09-10,16.0,36.42,39.0,39.0,39.0,36.42,0.0
2024-09-11,10.0,36.42,32.78,33.06,32.78,36.42,0.0
2024-09-19,1.0,36.42,34.99,34.99,34.99,36.42,0.0
2024-09-23,1.0,36.42,0.0,0.0,0.0,36.42,0.0
2024-09-24,10.0,36.42,34.0,34.0,34.0,36.42,0.0
2024-10-02,1.0,36.42,0.0,0.0,0.0,36.42,0.0
2024-10-09,1.0,36.42,33.0,33.0,33.0,35.2,-1.22
2024-10-14,1000.0,35.2,33.99,34.0,33.99,34.0,-1.2
2024-10-15,1.0,34.0,31.0,31.0,31.0,34.0,0.0
2024-10-22,50.0,34.0,30.6,30.6,30.6,34.0,0.0
2024-10-28,64.0,34.0,33.0,33.0,33.0,34.0,0.0
2024-11-14,2.0,34.0,34.0,34.0,34.0,34.0,0.0
2024-11-18,11.0,34.0,30.6,30.61,30.6,34.0,0.0
2024-11-19,3.0,34.0,31.0,31.01,31.0,34.0,0.0
2024-11-21,12945.0,34.0,36.49,37.4,36.49,37.4,3.4
2024-11-25,1750.0,37.4,35.0,35.0,34.0,35.0,-2.4
2024-11-27,1003.0,35.0,35.0,37.5,35.0,37.5,2.5
2024-12-02,500.0,37.5,38.0,38.0,38.0,38.0,0.5
2024-12-03,1011.0,38.0,34.31,40.99,34.31,38.0,0.0
2024-12-04,501.0,38.0,38.0,38.0,38.0,38.0,0.0
2024-12-05,2.0,38.0,38.0,38.0,38.0,38.0,0.0
2024-12-06,340.0,38.0,38.0,41.41,38.0,38.0,0.0
2024-12-10,3250.0,38.0,40.0,41.77,40.0,40.35,2.35
2024-12-11,540.0,40.35,44.28,44.28,40.0,44.2,3.85
2024-12-12,3185.0,44.2,39.78,48.5,39.78,39.98,-4.22
2024-12-13,1.0,39.98,38.0,38.0,38.0,39.98,0.0
2024-12-16,161.0,39.98,39.98,42.0,39.98,39.98,0.0
2024-12-17,292.0,39.98,36.01,36.01,36.0,39.98,0.0
2024-12-18,645.0,39.98,42.99,43.9,42.0,42.14,2.16
2024-12-19,2520.0,42.14,42.0,46.35,42.0,46.34,4.2
