Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,55500.0,85.52,90.0,91.93,90.0,91.93,6.41
2024-01-02,41500.0,91.93,94.95,98.82,94.95,98.82,6.89
2024-01-03,35500.0,98.82,103.0,106.2,99.0,104.5,5.68
2024-01-04,8000.0,104.5,97.1,97.15,96.66,96.66,-7.84
2024-01-05,11000.0,96.66,91.67,96.0,89.41,95.99,-0.67
2024-01-08,1500.0,95.99,95.0,95.0,95.0,95.0,-0.99
2024-01-09,6500.0,95.0,95.99,96.0,92.1,93.4,-1.6
2024-01-10,1500.0,93.4,94.0,94.5,90.51,90.51,-2.89
2024-01-11,10500.0,90.51,94.93,95.45,94.0,95.45,4.94
2024-01-12,8500.0,95.45,99.42,99.42,95.0,95.0,-0.45
2024-01-15,3000.0,95.0,96.01,99.0,96.01,99.0,4.0
2024-01-16,3000.0,99.0,98.63,98.63,92.04,97.31,-1.69
2024-01-17,1500.0,88.31,90.0,90.0,87.5,87.5,-0.81
2024-01-18,500.0,87.5,81.12,81.12,81.12,81.12,-6.38
2024-01-23,5000.0,81.12,75.07,86.0,75.07,79.0,-2.12
2024-01-24,1500.0,79.0,78.45,78.45,78.4,78.43,-0.57
2024-01-25,2000.0,78.43,78.43,78.75,75.51,78.75,0.32
2024-01-26,1500.0,78.75,82.95,82.99,82.95,82.99,4.24
2024-01-29,12500.0,82.99,85.0,89.21,85.0,89.21,6.22
2024-01-30,5500.0,89.21,95.9,95.9,88.5,88.5,-0.71
2024-01-31,6000.0,88.5,81.86,93.75,81.86,86.02,-2.48
2024-02-01,1000.0,86.02,86.01,86.17,86.01,86.17,0.15
2024-02-06,500.0,86.17,89.95,89.95,89.95,89.95,3.78
2024-02-07,1000.0,89.95,89.95,89.95,89.95,89.95,0.0
2024-02-09,500.0,89.95,85.05,85.05,85.05,85.05,-4.9
2024-02-12,1500.0,85.05,87.02,87.02,86.02,86.02,0.97
2024-02-13,500.0,86.02,83.02,83.02,83.02,83.02,3.0
2024-02-14,500.0,83.02,83.02,83.02,83.02,83.02,0.0
2024-02-16,1000.0,83.02,81.0,82.0,81.0,82.0,-1.02
2024-02-19,500.0,82.0,80.02,80.02,80.02,80.02,-1.98
2024-02-20,1500.0,80.02,83.9,83.95,83.9,83.95,3.93
2024-02-21,4500.0,83.95,86.88,90.0,86.88,89.98,6.03
2024-02-22,1000.0,89.98,90.0,90.0,90.0,90.0,0.02
2024-02-27,1500.0,90.0,87.06,87.06,87.05,87.05,-2.95
2024-02-29,500.0,87.05,87.02,87.02,87.02,87.02,-0.03
2024-03-05,2500.0,87.02,89.6,89.98,89.6,89.98,2.96
2024-03-06,1000.0,89.98,92.5,92.5,92.35,92.35,2.37
2024-03-07,1000.0,92.35,86.12,86.23,86.12,86.23,-6.12
2024-03-08,500.0,86.23,85.01,85.01,85.01,85.01,-1.22
2024-03-11,500.0,85.01,85.25,85.25,85.25,85.25,0.24
2024-03-12,3500.0,85.25,85.02,87.99,83.02,87.99,2.74
2024-03-21,33000.0,87.99,89.95,90.0,89.95,90.0,2.01
2024-03-22,500.0,90.0,90.0,90.0,90.0,90.0,0.0
2024-03-26,3000.0,90.0,90.0,90.0,90.0,90.0,0.0
2024-03-28,5500.0,90.0,92.5,92.5,92.5,92.5,2.5
2024-03-29,11500.0,92.5,93.0,97.0,90.02,94.74,2.24
2024-04-01,8000.0,94.74,90.21,90.21,87.63,88.25,-6.49
2024-04-02,3000.0,88.25,89.95,90.0,89.95,90.0,1.75
2024-04-03,1000.0,90.0,90.5,92.98,90.5,92.98,2.98
2024-04-04,2500.0,92.98,94.88,94.97,94.85,94.9,1.92
2024-04-09,2000.0,94.9,93.0,94.0,93.0,94.0,-0.9
2024-04-15,3500.0,94.0,97.88,99.99,95.02,95.02,1.02
2024-04-16,5000.0,95.02,92.02,95.0,92.02,93.1,-1.92
2024-04-17,2000.0,93.1,93.1,94.9,92.36,94.9,1.8
2024-04-18,1000.0,94.9,100.0,100.0,100.0,100.0,5.1
2024-04-19,7000.0,100.0,95.0,96.0,93.0,94.52,-5.48
2024-04-22,4000.0,94.52,94.0,99.95,94.0,99.95,5.43
2024-04-23,24000.0,99.95,99.88,102.6,99.88,102.52,2.57
2024-04-24,2500.0,102.52,101.25,101.5,101.2,101.5,-1.02
2024-04-25,1000.0,101.5,101.03,101.03,101.01,101.01,-0.49
2024-04-26,3000.0,101.01,102.0,104.95,102.0,102.5,1.49
2024-04-29,2500.0,102.5,102.0,102.0,98.6,98.6,-3.9
2024-04-30,5500.0,98.6,102.0,103.1,101.0,103.1,4.5
2024-05-02,1000.0,103.1,103.8,103.8,102.25,102.25,-0.85
2024-05-06,2500.0,102.25,102.8,103.5,102.8,103.0,0.75
2024-05-07,4500.0,103.0,103.25,104.0,103.02,104.0,1.0
2024-05-08,2000.0,104.0,104.0,105.0,104.0,105.0,1.0
2024-05-09,1500.0,105.0,103.1,105.0,103.1,105.0,0.0
2024-05-13,1000.0,105.0,105.05,105.05,105.0,105.03,0.03
2024-05-14,11000.0,105.03,106.01,106.01,105.0,105.0,-0.03
2024-05-15,4000.0,105.0,105.5,105.5,105.0,105.1,0.1
2024-05-16,1000.0,105.1,105.0,105.0,105.0,105.0,-0.1
2024-05-17,39500.0,105.0,107.07,108.0,106.0,107.07,2.07
2024-05-20,1000.0,107.07,105.53,105.53,105.5,105.52,-1.55
2024-05-21,1500.0,105.52,107.0,107.0,105.5,105.5,-0.02
2024-05-22,2000.0,105.5,107.0,107.98,106.1,106.1,0.6
2024-05-23,12500.0,106.1,104.5,104.5,104.5,104.5,-1.6
2024-05-24,4000.0,104.5,100.0,103.0,100.0,103.0,-1.5
2024-05-27,18303.0,103.0,109.0,109.0,94.76,100.18,-2.82
2024-05-29,25253.0,100.18,99.0,103.5,92.25,92.48,-7.7
2024-05-30,8087.0,92.48,94.99,94.99,85.31,86.19,-6.29
2024-05-31,1547.0,86.19,83.35,92.85,83.26,86.1,-0.09
2024-06-03,601.0,86.1,85.0,88.95,85.0,85.01,-1.09
2024-06-04,2223.0,85.01,85.01,87.9,83.0,84.07,-0.94
2024-06-05,1928.0,84.07,90.0,90.0,80.0,81.9,-2.17
2024-06-06,4602.0,81.9,81.0,82.0,77.0,77.37,-4.53
2024-06-07,449.0,77.37,76.0,80.0,76.0,77.19,-0.18
2024-06-11,243.0,77.19,83.59,83.59,78.02,77.19,0.0
2024-06-12,2.0,77.19,82.74,82.74,77.2,77.19,0.0
2024-06-13,1700.0,77.19,82.45,82.5,82.45,82.46,5.27
2024-06-14,5.0,82.46,84.0,84.0,84.0,82.46,0.0
2024-06-20,8175.0,82.46,89.44,89.44,85.02,88.96,6.5
2024-06-21,14650.0,88.96,88.96,88.96,85.02,88.89,-0.07
2024-06-24,224.0,88.89,87.02,87.02,86.3,88.89,0.0
2024-06-26,5.0,88.89,85.02,85.02,85.02,88.89,0.0
2024-06-27,4500.0,88.89,85.02,85.02,84.1,85.0,-3.89
2024-06-28,1600.0,85.0,85.0,85.0,85.0,85.0,0.0
2024-07-03,540.0,85.0,85.0,85.0,85.0,85.0,0.0
2024-07-04,741.0,85.0,80.02,85.0,80.02,83.31,-1.69
2024-07-08,525.0,83.31,86.66,86.66,85.0,85.0,1.69
2024-07-09,2174.0,85.0,83.0,85.0,83.0,85.0,0.0
2024-07-11,291.0,85.0,82.83,87.0,78.62,85.0,0.0
2024-07-12,501.0,85.0,83.0,85.0,83.0,85.0,0.0
2024-07-15,5462.0,85.0,77.01,84.0,77.0,84.0,1.0
2024-07-18,283.0,84.0,84.0,84.0,84.0,84.0,0.0
2024-07-19,1502.0,84.0,84.0,84.0,83.0,84.0,0.0
2024-07-22,5.0,84.0,83.48,83.83,82.03,84.0,0.0
2024-07-23,550.0,84.0,83.84,89.0,83.84,89.0,5.0
2024-07-24,5814.0,89.0,84.0,85.0,80.1,80.19,-8.81
2024-07-25,358.0,80.19,79.0,83.99,72.44,76.65,-3.54
2024-07-26,1059.0,76.65,82.5,82.5,80.99,82.41,5.76
2024-07-29,21.0,82.41,83.0,83.0,82.0,82.41,0.0
2024-07-30,26.0,82.41,78.9,80.0,78.0,82.41,0.0
2024-07-31,386.0,82.41,82.0,90.0,78.0,88.61,6.2
2024-08-01,103.0,88.61,79.75,84.0,79.75,88.61,0.0
2024-08-02,56.0,88.61,80.0,80.06,80.0,88.61,0.0
2024-08-05,4.0,88.61,80.0,87.0,80.0,88.61,0.0
2024-08-06,3.0,88.61,80.0,88.0,80.0,88.61,0.0
2024-08-07,106.0,88.61,86.5,86.5,83.11,88.61,0.0
2024-08-08,225.0,88.61,85.65,88.0,80.02,88.61,0.0
2024-08-09,75.0,88.61,83.11,83.11,83.11,88.61,0.0
2024-08-12,856.0,88.61,80.12,86.95,80.12,84.74,-3.87
2024-08-13,55358.0,84.74,87.4,87.4,79.99,80.0,-4.74
2024-08-15,501.0,80.0,84.85,84.85,79.01,84.84,4.84
2024-08-16,396.0,84.84,77.2,78.12,77.2,84.84,0.0
2024-08-19,38155.0,84.84,80.0,80.0,77.04,79.99,-4.85
2024-08-20,1480.0,79.99,77.0,77.32,77.0,77.31,-2.68
2024-08-21,500.0,77.31,79.99,79.99,79.99,79.99,2.68
2024-08-22,1132.0,79.99,77.5,79.99,77.5,79.99,0.0
2024-08-23,62.0,79.99,80.0,80.0,80.0,79.99,0.0
2024-08-26,450.0,79.99,79.0,79.0,78.99,78.99,1.0
2024-08-27,530.0,78.99,79.15,83.0,78.99,79.18,0.19
2024-08-28,1052.0,79.18,80.0,81.5,79.5,79.97,0.79
2024-08-30,200.0,79.97,72.08,83.99,72.08,79.97,0.0
2024-09-02,10000.0,79.97,80.0,80.0,80.0,80.0,0.03
2024-09-03,4302.0,80.0,80.0,80.0,79.0,79.5,-0.5
2024-09-04,85.0,79.5,79.5,79.5,79.5,79.5,0.0
2024-09-05,1750.0,79.5,85.99,85.99,79.0,79.0,-0.5
2024-09-09,20671.0,79.0,80.0,80.0,76.07,78.0,1.0
2024-09-10,569.0,78.0,78.1,80.5,78.1,80.5,2.5
2024-09-11,23.0,80.5,81.33,81.33,81.33,80.5,0.0
2024-09-13,16.0,80.5,86.9,86.9,73.0,80.5,0.0
2024-09-19,7900.0,80.5,76.01,80.0,72.45,78.76,-1.74
2024-09-20,20150.0,78.76,80.0,80.0,79.9,79.9,1.14
2024-09-23,4470.0,79.9,73.31,75.1,73.31,74.16,-5.74
2024-09-24,10000.0,74.16,79.0,79.0,79.0,79.0,4.84
2024-09-25,655.0,79.0,79.8,79.8,78.5,78.57,-0.43
2024-09-26,2054.0,78.57,79.0,79.0,78.0,78.97,0.4
2024-09-27,40003.0,78.97,80.0,85.9,78.32,80.0,1.03
2024-09-30,12500.0,80.0,80.0,80.0,80.0,80.0,0.0
2024-10-01,14000.0,80.0,79.75,80.0,79.75,80.0,0.0
2024-10-03,9125.0,80.0,79.83,79.85,79.0,79.01,-0.99
2024-10-07,25.0,79.01,83.5,83.5,83.5,79.01,0.0
2024-10-08,600.0,79.01,80.0,83.49,78.0,82.07,3.06
2024-10-10,7.0,82.07,82.0,82.7,82.0,82.07,0.0
2024-10-11,141.0,82.07,78.05,78.05,78.05,82.07,0.0
2024-10-14,89.0,82.07,82.97,82.97,77.0,82.07,0.0
2024-10-15,238.0,82.07,80.0,81.0,80.0,82.07,0.0
2024-10-16,10.0,82.07,80.0,80.0,80.0,82.07,0.0
2024-10-17,125.0,82.07,85.0,85.0,85.0,82.07,0.0
2024-10-18,304.0,82.07,77.0,82.0,77.0,82.07,0.0
2024-10-21,31.0,82.07,81.99,82.0,80.0,82.07,0.0
2024-10-23,764.0,82.07,79.0,85.99,79.0,80.19,-1.88
2024-10-25,2.0,80.19,78.82,78.82,78.82,80.19,0.0
2024-10-28,190.0,80.19,84.0,84.0,84.0,80.19,0.0
2024-10-30,1.0,80.19,0.0,0.0,0.0,80.19,0.0
2024-10-31,2.0,80.19,83.0,83.0,83.0,80.19,0.0
2024-11-05,24074.0,80.19,85.99,85.99,77.77,80.0,-0.19
2024-11-06,332.0,80.0,85.99,85.99,84.85,80.0,0.0
2024-11-12,255.0,80.0,78.01,83.0,78.01,80.0,0.0
2024-11-13,107.0,80.0,82.0,85.0,80.0,80.0,0.0
2024-11-14,11.0,80.0,0.0,0.0,0.0,80.0,0.0
2024-11-15,401.0,80.0,83.0,85.0,82.0,83.5,3.5
2024-11-18,1748.0,83.5,81.01,82.0,81.0,81.28,-2.22
2024-11-19,2227.0,81.28,80.11,82.99,77.5,80.32,-0.96
2024-11-20,2501.0,80.32,80.32,80.32,80.0,80.0,-0.32
2024-11-21,1000.0,80.0,80.0,80.0,80.0,80.0,0.0
2024-11-22,550.0,80.0,79.5,79.5,79.12,79.12,-0.88
2024-11-25,616.0,79.12,79.12,82.0,79.12,82.0,2.88
2024-11-26,731.0,82.0,80.0,82.0,80.0,80.0,2.0
2024-11-27,811.0,80.0,76.01,80.0,76.01,80.0,0.0
2024-11-28,470.0,80.0,80.0,80.0,80.0,80.0,0.0
2024-11-29,4.0,80.0,77.0,80.0,77.0,80.0,0.0
2024-12-02,10988.0,80.0,85.0,85.0,77.98,79.98,-0.02
2024-12-03,25.0,79.98,82.97,82.97,82.97,79.98,0.0
2024-12-04,405.0,79.98,79.01,83.77,79.0,79.66,-0.32
2024-12-05,2680.0,79.66,87.47,87.47,81.0,84.92,5.26
2024-12-06,2140.0,84.92,88.55,88.65,87.9,88.35,3.43
2024-12-09,5438.0,88.35,88.0,88.0,83.0,85.0,-3.35
2024-12-10,1521.0,85.0,85.0,87.5,78.0,84.17,-0.83
2024-12-11,38203.0,84.17,84.75,88.0,77.77,84.98,0.81
2024-12-12,1106.0,84.98,85.0,88.0,84.03,85.0,0.02
2024-12-13,2129.0,85.0,85.58,87.5,79.04,80.41,-4.59
2024-12-16,835.0,80.41,88.15,88.15,82.01,85.27,4.86
2024-12-17,3855.0,85.27,85.0,90.0,85.0,85.55,0.28
2024-12-18,9902.0,85.55,88.57,89.45,85.0,89.35,3.8
2024-12-19,45.0,89.35,81.0,88.0,81.0,89.35,0.0
2024-12-20,763.0,89.35,89.0,89.0,83.01,87.17,-2.18
2024-12-24,125.0,87.17,89.8,89.8,89.0,87.17,0.0
2024-12-26,1502.0,87.17,93.02,93.02,85.48,85.55,-1.62
2024-12-30,6157.0,85.55,91.5,91.5,77.14,85.55,0.0
2024-12-31,2260.0,85.55,80.99,82.99,77.25,78.59,-6.96
2025-01-01,1088.0,78.59,80.99,81.0,77.6,80.0,1.41
2025-01-02,2502.0,80.0,80.97,80.97,76.66,76.68,-3.32
2025-01-03,2001.0,76.68,76.69,80.0,75.0,75.19,-1.49
2025-01-06,53.0,75.19,78.0,78.0,78.0,75.19,0.0
2025-01-07,125.0,75.19,79.0,79.0,75.0,75.19,0.0
2025-01-08,2501.0,75.19,78.0,78.0,78.0,78.0,2.81
2025-01-09,1704.0,78.0,78.0,78.0,75.0,75.01,-2.99
2025-01-10,155.0,75.01,77.0,77.0,75.0,75.01,0.0
2025-01-13,160.0,75.01,77.0,79.49,76.0,75.01,0.0
2025-01-14,2.0,75.01,79.49,79.49,79.4,75.01,0.0
2025-01-15,151.0,75.01,76.0,76.01,76.0,75.01,0.0
2025-01-16,615.0,75.01,82.51,82.51,75.12,75.01,0.0
2025-01-17,1.0,75.01,78.8,78.8,78.8,75.01,0.0
2025-01-20,505.0,75.01,79.49,79.49,75.0,75.02,0.01
2025-01-21,59428.0,75.02,82.52,82.52,72.0,74.92,-0.1
2025-01-22,5210.0,74.92,79.85,79.85,70.0,72.07,-2.85
2025-01-23,241.0,72.07,78.95,78.98,75.79,72.07,0.0
2025-01-24,626.0,72.07,78.0,78.0,75.0,75.0,2.93
2025-01-27,902.0,75.0,82.0,82.0,78.0,78.0,3.0
2025-01-28,62.0,78.0,71.23,78.0,71.23,78.0,0.0
2025-01-29,654.0,78.0,80.0,80.0,73.02,78.0,0.0
