Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-06-03,2771014.0,0.56,1.56,1.56,1.56,1.56,1.0
2024-06-04,11403366.0,1.56,2.56,2.56,2.01,2.56,1.0
2024-06-05,23587783.0,2.56,2.84,3.56,2.78,3.56,1.0
2024-06-06,9552983.0,3.56,4.19,4.56,4.01,4.56,1.0
2024-06-07,5339210.0,4.56,5.5,5.56,5.01,5.56,1.0
2024-06-10,33746280.0,5.56,6.35,6.56,4.56,4.56,1.0
2024-06-11,20549793.0,4.56,4.56,4.65,3.56,3.58,-0.98
2024-06-12,5822232.0,3.58,3.65,4.2,3.2,3.56,-0.02
2024-06-13,3273516.0,3.56,3.8,3.8,3.41,3.48,-0.08
2024-06-14,6045400.0,3.48,3.5,3.55,2.7,2.91,-0.57
2024-06-20,11555028.0,2.91,2.84,3.79,2.84,3.47,0.56
2024-06-21,4185354.0,3.47,3.47,3.5,2.97,3.12,-0.35
2024-06-24,3142109.0,3.12,3.29,3.49,3.02,3.24,0.12
2024-06-25,2031564.0,3.24,3.23,3.4,3.0,3.05,-0.19
2024-06-26,1346508.0,3.05,3.1,3.25,3.0,3.02,-0.03
2024-06-27,1312265.0,3.02,3.19,3.19,2.95,3.12,0.1
2024-06-28,3513327.0,3.12,3.18,3.48,3.1,3.16,0.04
2024-07-01,1510277.0,3.16,3.25,3.29,3.0,3.04,-0.12
2024-07-02,3882875.0,3.04,3.02,3.33,2.99,3.22,0.18
2024-07-03,2985512.0,3.22,3.24,3.3,3.06,3.09,-0.13
2024-07-04,2033259.0,3.09,3.1,3.17,3.01,3.03,-0.06
2024-07-05,1534299.0,3.03,3.06,3.12,3.0,3.03,0.0
2024-07-08,829044.0,3.03,3.04,3.09,2.96,2.99,-0.04
2024-07-09,1746658.0,2.99,3.0,3.05,2.9,2.91,-0.08
2024-07-10,1404699.0,2.91,2.93,2.94,2.77,2.79,-0.12
2024-07-11,857038.0,2.79,2.76,2.78,2.65,2.67,-0.12
2024-07-12,1282165.0,2.67,2.72,2.72,2.02,2.53,-0.14
2024-07-15,2445053.0,2.53,2.06,2.8,2.06,2.42,-0.11
2024-07-18,622260.0,2.42,2.51,2.67,2.37,2.42,0.0
2024-07-19,802578.0,2.42,2.56,2.56,2.31,2.4,-0.02
2024-07-22,202001.0,2.4,2.33,2.45,2.21,2.32,-0.08
2024-07-23,1902538.0,2.32,2.4,2.77,2.31,2.46,0.14
2024-07-24,324629.0,2.46,2.59,2.59,2.4,2.45,-0.01
2024-07-25,1332891.0,2.45,2.5,2.58,2.3,2.36,-0.09
2024-07-26,482440.0,2.36,2.45,2.45,2.29,2.31,-0.05
2024-07-29,5383147.0,2.31,2.32,3.1,2.21,2.8,0.49
2024-07-30,2830504.0,2.8,3.0,3.0,2.59,2.77,-0.03
2024-07-31,1879042.0,2.77,2.86,2.92,2.66,2.7,-0.07
2024-08-01,529718.0,2.7,2.65,2.79,2.51,2.53,-0.17
2024-08-02,777615.0,2.53,2.65,2.71,2.54,2.58,0.05
2024-08-05,2580402.0,2.58,2.52,2.91,2.51,2.71,0.13
2024-08-06,6712025.0,2.71,2.85,2.98,2.6,2.73,0.02
2024-08-07,4899690.0,2.73,2.67,3.05,2.63,2.91,0.18
2024-08-08,1942073.0,2.91,2.99,3.08,2.8,2.85,-0.06
2024-08-09,679429.0,2.85,2.78,2.9,2.76,2.82,-0.03
2024-08-12,10145039.0,2.82,2.9,3.31,2.85,3.14,0.32
2024-08-13,16849320.0,3.14,3.34,3.75,3.08,3.47,0.33
2024-08-15,5478955.0,3.47,3.6,3.74,3.32,3.56,0.09
2024-08-16,3435570.0,3.56,3.47,3.64,3.16,3.23,-0.33
2024-08-19,2150228.0,3.23,3.24,3.3,2.83,2.87,-0.36
2024-08-20,1243622.0,2.87,2.97,2.97,2.7,2.89,0.02
2024-08-21,1792060.0,2.89,3.07,3.2,2.9,3.06,0.17
2024-08-22,5895442.0,3.06,3.18,3.5,3.03,3.23,0.17
2024-08-23,1822854.0,3.23,3.25,3.39,3.17,3.19,-0.04
2024-08-26,1041068.0,3.19,3.31,3.31,3.06,3.08,-0.11
2024-08-27,1112199.0,3.08,3.12,3.2,3.03,3.06,-0.02
2024-08-28,1351115.0,3.06,3.02,3.19,2.97,3.02,-0.04
2024-08-29,4460767.0,3.02,3.02,3.37,3.0,3.13,0.11
2024-08-30,15597430.0,3.13,3.13,3.95,3.13,3.51,0.38
2024-09-02,5265098.0,3.51,3.7,3.7,3.2,3.26,-0.25
2024-09-03,2195037.0,3.26,3.31,3.48,3.25,3.38,0.12
2024-09-04,27018078.0,3.38,3.44,4.38,3.44,4.38,1.0
2024-09-05,21709832.0,4.38,4.78,4.8,3.85,4.1,-0.28
2024-09-06,8242944.0,4.1,4.15,4.3,3.85,3.92,-0.18
2024-09-09,2120108.0,3.92,4.05,4.05,3.6,3.72,-0.2
2024-09-10,1372102.0,3.72,3.9,3.94,3.75,3.77,0.05
2024-09-11,631195.0,3.77,3.89,3.93,3.71,3.74,-0.03
2024-09-12,5988142.0,3.74,3.8,4.06,3.73,3.8,0.06
2024-09-13,3617085.0,3.8,4.1,4.1,3.71,3.79,-0.01
2024-09-16,4836641.0,3.79,3.89,3.94,3.4,3.49,-0.3
2024-09-18,2377096.0,3.49,3.55,3.6,3.32,3.4,-0.09
2024-09-19,1177041.0,3.4,3.35,3.55,3.35,3.46,0.06
2024-09-20,488959.0,3.46,3.55,3.65,3.32,3.38,-0.08
2024-09-23,1623910.0,3.38,3.41,3.72,3.38,3.67,0.29
2024-09-24,4840698.0,3.67,3.67,3.97,3.67,3.76,0.09
