Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-08-15,5701.0,5.81,6.81,6.81,6.81,6.81,1.0
2025-08-18,1701.0,6.81,7.81,7.81,7.81,7.8,0.99
2025-08-19,101.0,7.8,8.8,8.8,8.8,8.74,0.94
2025-08-20,11101.0,8.74,9.74,9.74,9.74,9.74,1.0
2025-08-21,1200.0,9.74,10.74,10.74,10.74,10.74,1.0
2025-08-22,3626.0,10.74,11.81,11.81,11.81,11.81,1.07
2025-08-25,2824.0,11.81,12.99,12.99,12.99,12.99,1.18
2025-08-26,15897.0,12.99,14.29,14.29,14.29,14.29,1.3
2025-08-28,330020.0,15.72,17.29,17.29,16.5,17.29,1.57
2025-08-29,287023.0,17.29,18.01,19.02,18.01,19.02,1.73
2025-09-01,255037.0,19.02,20.45,20.92,19.6,20.92,1.9
2025-09-02,158766.0,20.92,22.5,23.01,22.5,23.01,2.09
2025-09-03,1081853.0,23.01,25.2,25.31,20.71,21.22,-1.79
2025-09-04,293852.0,21.22,20.99,21.09,19.26,19.42,-1.8
2025-09-05,227519.0,19.42,19.51,20.98,18.11,18.7,-0.72
2025-09-08,100148.0,18.7,18.51,19.4,18.0,18.48,-0.22
2025-09-09,486311.0,18.48,18.79,20.33,18.12,19.8,1.32
2025-09-10,41285.0,19.8,19.02,19.76,19.0,19.13,-0.67
2025-09-11,98830.0,19.13,19.8,19.8,18.5,18.55,-0.58
2025-09-12,48090.0,18.55,19.48,19.48,17.52,18.0,-0.55
2025-09-15,608403.0,18.0,18.2,19.8,17.75,18.0,0.0
2025-09-16,31994.0,18.0,18.5,18.5,17.66,17.7,-0.3
2025-09-17,752317.0,17.7,18.49,19.47,17.5,18.24,0.54
2025-09-18,87192.0,18.24,18.5,18.88,17.8,17.95,-0.29
2025-09-19,43468.0,17.95,18.18,18.45,17.65,17.79,-0.16
2025-09-22,17227.0,17.79,17.7,18.18,17.25,17.56,-0.23
2025-09-23,6396.0,17.56,17.11,18.0,17.11,17.44,-0.12
2025-09-24,19644.0,17.44,17.9,17.9,17.0,17.18,-0.26
2025-09-25,26059.0,17.18,17.2,17.7,16.12,16.96,-0.22
2025-09-26,91020.0,16.96,16.5,17.9,15.76,16.57,-0.39
2025-09-29,41728.0,16.57,16.5,17.47,16.41,16.42,-0.15
2025-09-30,26426.0,16.42,17.0,17.0,15.55,15.79,-0.63
2025-10-01,57005.0,15.79,16.9,16.9,15.05,15.72,-0.07
2025-10-02,329345.0,15.72,16.4,17.29,14.55,17.29,1.57
2025-10-03,943904.0,17.29,19.02,19.02,16.0,16.73,-0.56
2025-10-06,53504.0,16.73,16.9,16.9,15.73,16.31,-0.42
2025-10-07,7001.0,16.31,16.0,16.7,16.0,16.0,-0.31
2025-10-08,32254.0,16.0,16.5,16.5,15.0,15.47,-0.53
2025-10-09,75310.0,15.47,15.1,15.98,15.0,15.19,-0.28
2025-10-10,77199.0,15.19,15.1,15.86,15.0,15.04,-0.15
2025-10-13,18004.0,15.04,15.0,15.0,14.17,14.33,-0.71
2025-10-14,17110.0,14.33,14.95,15.69,14.9,15.14,0.81
2025-10-15,20025.0,15.14,15.52,15.78,14.92,15.02,-0.12
2025-10-16,382985.0,15.02,15.75,16.52,14.51,16.48,1.46
2025-10-17,112880.0,16.48,17.7,17.7,16.0,16.44,-0.04
2025-10-20,36339.0,16.44,16.05,16.66,15.6,16.0,-0.44
2025-10-21,4648.0,16.0,16.3,16.3,15.31,15.85,-0.15
2025-10-22,41257.0,15.85,15.71,16.0,15.51,15.7,-0.15
2025-10-23,215247.0,15.7,15.65,15.7,15.1,15.5,-0.2
2025-10-24,217550.0,15.5,15.01,15.64,14.75,14.95,-0.55
2025-10-27,16015.0,14.95,15.0,15.8,15.0,15.16,0.21
2025-10-28,35304.0,15.16,15.2,15.6,15.0,15.04,-0.12
2025-10-29,4304.0,15.04,15.79,15.79,14.75,14.97,-0.07
2025-10-30,16003.0,14.97,15.74,15.74,14.6,14.9,-0.07
2025-10-31,79650.0,14.9,15.74,15.74,14.5,14.53,-0.37
2025-11-03,277564.0,14.53,15.3,15.3,13.7,14.0,-0.53
2025-11-04,31984.0,14.0,14.0,14.4,13.5,14.01,0.01
2025-11-05,28108.0,14.01,14.75,14.75,14.01,14.05,0.04
2025-11-06,28765.0,14.05,14.39,14.64,14.1,14.4,0.35
2025-11-07,3082.0,14.4,14.8,14.8,13.51,14.11,-0.29
2025-11-10,69207.0,14.11,14.75,14.75,13.86,13.96,-0.15
2025-11-11,16311.0,13.96,14.65,14.65,13.3,13.97,0.01
2025-11-12,507618.0,13.97,14.5,14.5,13.25,13.86,-0.11
2025-11-13,21967.0,13.86,13.17,13.9,13.11,13.56,-0.3
2025-11-14,282071.0,13.56,13.98,14.92,13.98,14.92,1.36
2025-11-17,1316434.0,14.92,16.41,16.41,15.49,16.36,1.44
2025-11-18,426488.0,16.36,16.9,17.35,15.75,15.92,-0.44
2025-11-19,78368.0,15.92,16.0,16.0,15.56,15.6,-0.32
2025-11-20,100230.0,15.6,15.41,16.8,15.35,16.38,0.78
2025-11-21,255435.0,16.38,16.01,16.86,15.21,15.57,-0.81
2025-11-24,45970.0,15.57,15.3,15.64,15.0,15.07,-0.5
2025-11-25,16330.0,15.07,15.5,15.5,14.85,14.98,-0.09
2025-11-26,26118.0,14.98,15.31,15.31,14.6,14.87,-0.11
2025-11-27,40158.0,14.87,15.25,15.25,14.42,14.42,-0.45
2025-11-28,20002.0,14.42,15.25,15.25,14.61,14.65,0.23
2025-12-01,8762.0,14.65,14.95,15.0,14.52,15.0,0.35
2025-12-02,77191.0,15.0,15.03,16.0,15.02,15.49,0.49
2025-12-03,58409.0,15.49,15.72,16.2,15.6,15.65,0.16
2025-12-04,7049.0,15.65,15.2,15.6,15.05,15.34,-0.31
2025-12-05,37005.0,15.34,15.1,15.45,15.0,15.0,-0.34
2025-12-08,43139.0,15.0,15.4,15.4,15.0,15.0,0.0
2025-12-09,11886.0,15.0,15.0,15.4,15.0,15.0,0.0
2025-12-10,26219.0,15.0,15.35,15.7,14.02,14.64,-0.36
2025-12-11,25020.0,14.64,14.97,15.48,14.37,15.0,0.36
2025-12-12,34292.0,15.0,14.95,14.95,14.11,14.83,-0.17
2025-12-15,89372.0,14.83,15.25,15.7,14.85,15.4,0.57
2025-12-16,10676.0,15.4,15.9,15.9,15.11,15.25,-0.15
2025-12-17,37343.0,15.25,15.17,15.9,15.01,15.06,-0.19
2025-12-18,9941.0,15.06,15.67,15.67,15.02,15.1,0.04
2025-12-19,6901.0,15.1,15.65,15.65,15.0,15.02,-0.08
2025-12-22,4003.0,15.02,15.3,15.3,14.8,14.99,-0.03
2025-12-23,2439.0,14.99,15.3,15.3,14.6,14.82,-0.17
2025-12-24,13234.0,14.82,15.2,15.2,14.3,14.41,-0.41
2025-12-26,50899.0,14.41,14.2,15.8,14.0,14.62,0.21
2025-12-29,65447.0,14.62,14.22,14.6,14.2,14.29,-0.33
2025-12-30,70022.0,14.29,14.5,14.5,13.82,14.27,-0.02
2025-12-31,20785.0,14.27,14.2,14.55,14.1,14.29,0.02
2026-01-01,529171.0,14.29,14.4,15.72,14.31,14.88,0.59
2026-01-02,90050.0,14.88,15.25,15.75,14.9,15.25,0.37
2026-01-05,115102.0,15.25,15.48,15.48,14.85,14.97,-0.28
2026-01-06,19645.0,14.97,15.04,15.44,14.78,14.84,-0.13
2026-01-07,91526.0,14.84,15.0,15.18,14.2,14.37,-0.47
2026-01-08,117548.0,14.37,14.33,15.02,14.11,14.57,0.2
2026-01-09,6101.0,14.57,14.88,14.88,14.41,14.42,-0.15
2026-01-12,66048.0,14.42,14.1,14.5,14.0,14.23,-0.19
2026-01-13,22457.0,14.23,14.1,14.5,14.01,14.5,0.27
2026-01-14,17203.0,14.5,14.7,14.7,14.0,14.05,-0.45
