Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,64044.0,378.51,382.0,400.0,382.0,398.82,20.31
2024-01-02,75834.0,398.82,398.91,404.74,387.77,389.08,-9.74
2024-01-03,42565.0,389.08,388.01,392.99,384.0,387.13,-1.95
2024-01-04,20487.0,387.13,382.1,390.0,380.02,387.95,0.82
2024-01-05,41197.0,387.95,384.02,389.99,383.0,384.41,-3.54
2024-01-08,17374.0,384.41,384.45,384.48,378.8,379.91,-4.5
2024-01-09,3843.0,379.91,379.91,382.89,377.2,378.0,-1.91
2024-01-10,7840.0,378.0,377.01,381.0,377.0,377.91,-0.09
2024-01-11,6945.0,377.91,376.2,380.0,376.2,379.96,2.05
2024-01-12,16355.0,379.96,382.0,382.0,378.0,379.8,-0.16
2024-01-15,12309.0,379.8,380.0,384.88,374.0,374.95,-4.85
2024-01-16,26896.0,374.95,379.4,379.4,369.0,374.03,-0.92
2024-01-17,184484.0,374.03,377.13,385.0,377.0,381.99,7.96
2024-01-18,63526.0,381.99,384.49,384.49,376.15,382.42,0.43
2024-01-19,11246.0,382.42,384.5,385.81,382.0,383.63,1.21
2024-01-22,27752.0,383.63,383.0,390.5,383.0,388.52,4.89
2024-01-23,35685.0,388.52,383.8,389.0,381.01,384.07,-4.45
2024-01-24,231600.0,384.07,381.5,412.88,381.2,412.88,28.81
2024-01-25,6.0,416.5,444.85,444.85,413.0,438.0,21.5
2024-01-26,74696.0,423.29,428.0,428.0,413.0,421.34,-1.95
2024-01-29,25953.0,421.34,420.0,420.01,412.0,416.12,-5.22
2024-01-30,45755.0,416.12,410.12,415.01,399.0,407.19,-8.93
2024-01-31,18112.0,407.19,409.0,411.0,400.0,401.04,-6.15
2024-02-01,31458.0,401.04,404.5,406.5,395.0,405.45,4.41
2024-02-02,29647.0,405.45,408.0,411.99,405.01,409.73,4.28
2024-02-06,75755.0,409.73,409.0,409.0,385.21,397.85,-11.88
2024-02-07,122050.0,397.85,395.51,402.0,393.0,399.97,2.12
2024-02-09,31651.0,399.97,400.0,400.0,388.03,389.48,-10.49
2024-02-12,483317.0,389.48,392.0,392.0,362.0,363.61,-25.87
2024-02-13,380329.0,363.61,361.0,365.85,354.0,359.87,-3.74
2024-02-14,281470.0,359.87,363.5,386.86,363.5,382.13,22.26
2024-02-15,16159.0,372.13,372.51,378.45,368.0,368.76,-3.37
2024-02-16,39951.0,368.76,374.94,374.94,358.55,361.32,-7.44
2024-02-19,38666.0,361.32,351.0,366.45,351.0,363.26,1.94
2024-02-20,16689.0,363.26,363.0,372.0,360.0,365.27,2.01
2024-02-21,32516.0,365.27,371.0,375.0,365.0,371.44,6.17
2024-02-22,18926.0,371.44,369.99,375.0,365.0,367.78,-3.66
2024-02-23,32185.0,367.78,372.95,385.0,366.28,379.19,11.41
2024-02-26,144987.0,379.19,371.0,398.0,371.0,395.33,16.14
2024-02-27,32083.0,395.33,398.0,399.9,385.01,391.22,-4.11
2024-02-28,8701.0,391.22,391.23,394.98,389.0,390.0,-1.22
2024-02-29,16269.0,390.0,394.79,395.9,390.05,391.08,1.08
2024-03-01,21226.0,391.08,390.05,395.5,385.0,393.75,2.67
2024-03-04,100239.0,393.75,399.89,416.25,395.0,415.22,21.47
2024-03-05,21215.0,415.22,424.9,424.9,406.11,410.28,-4.94
2024-03-06,21646.0,410.28,412.0,415.0,404.99,406.73,-3.55
2024-03-07,14256.0,406.73,405.8,413.4,403.69,408.08,1.35
2024-03-08,15653.0,408.08,406.55,409.0,398.99,401.69,-6.39
2024-03-11,7207.0,401.69,401.75,405.5,400.5,402.32,0.63
2024-03-12,12776.0,402.32,403.01,406.0,400.01,401.91,-0.41
2024-03-13,63579.0,401.91,401.0,401.0,394.51,395.16,-6.75
2024-03-14,49730.0,395.16,399.99,399.99,388.0,394.89,-0.27
2024-03-15,8548.0,394.89,397.95,397.95,388.0,390.56,-4.33
2024-03-18,93602.0,390.56,394.89,394.89,387.0,388.93,-1.63
2024-03-19,168710.0,388.93,394.8,402.47,386.68,398.0,9.07
