Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,19000.0,7.35,7.7,8.35,7.7,8.35,1.0
2024-01-02,7500.0,8.35,8.7,8.7,8.22,8.22,-0.13
2024-01-03,1500.0,8.22,8.22,8.6,8.22,8.6,0.38
2024-01-04,6500.0,8.6,8.5,8.95,8.5,8.95,0.35
2024-01-05,1500.0,8.95,8.11,8.57,8.11,8.57,-0.38
2024-01-08,1500.0,8.57,8.11,8.87,8.11,8.11,-0.46
2024-01-09,29000.0,8.11,8.15,8.4,8.11,8.36,0.25
2024-01-10,8500.0,8.36,8.6,8.6,8.3,8.45,0.09
2024-01-11,5000.0,8.45,8.26,8.53,8.26,8.36,-0.09
2024-01-12,17500.0,8.36,8.16,8.25,8.16,8.25,-0.11
2024-01-15,5500.0,8.25,8.0,8.25,8.0,8.25,0.0
2024-01-19,500.0,8.25,8.45,8.45,8.45,8.45,0.2
2024-01-22,3000.0,8.45,8.49,8.49,7.9,8.0,-0.45
2024-01-24,500.0,8.0,7.7,7.7,7.7,7.7,-0.3
2024-01-25,2000.0,7.7,7.41,7.41,7.41,7.41,-0.29
2024-01-26,2000.0,7.41,8.0,8.0,7.5,7.5,0.09
2024-01-29,500.0,7.5,7.55,7.55,7.55,7.55,0.05
2024-02-01,1000.0,7.55,6.9,6.9,6.56,6.56,-0.99
2024-02-02,2500.0,6.56,7.29,7.3,7.25,7.25,0.69
2024-02-09,500.0,7.25,6.9,6.9,6.9,6.9,-0.35
2024-02-12,500.0,6.9,6.9,6.9,6.9,6.9,0.0
2024-02-13,5500.0,6.9,6.5,6.5,5.91,6.2,-0.7
2024-02-14,3500.0,6.2,6.49,6.8,6.49,6.8,0.6
2024-02-15,6500.0,6.8,6.4,7.75,6.4,7.34,0.54
2024-02-19,1000.0,7.34,7.0,7.0,7.0,7.0,-0.34
2024-02-20,16000.0,7.0,7.4,7.4,6.71,7.24,0.24
2024-02-21,1000.0,7.24,7.6,7.85,7.6,7.85,0.61
2024-02-22,10500.0,7.85,7.8,7.85,7.8,7.85,0.0
2024-02-23,1000.0,7.85,7.88,7.9,7.88,7.89,0.04
2024-02-28,500.0,7.89,7.99,7.99,7.99,7.99,0.1
2024-03-04,6500.0,7.99,6.99,7.5,6.99,7.2,-0.79
2024-03-05,2000.0,7.2,7.61,7.61,7.5,7.5,0.3
2024-03-06,500.0,7.5,7.2,7.2,7.2,7.2,-0.3
