Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,178754.0,12.41,12.5,12.74,12.5,12.64,0.23
2024-01-02,490259.0,12.64,12.3,12.8,12.3,12.65,0.01
2024-01-03,7601884.0,12.65,12.8,13.3,12.7,12.76,0.11
2024-01-04,1330920.0,12.76,12.8,12.96,12.35,12.56,-0.2
2024-01-05,1440324.0,12.56,12.6,12.7,11.66,12.01,-0.55
2024-01-08,767291.0,12.01,11.56,12.4,11.56,11.89,-0.12
2024-01-09,781926.0,11.89,12.15,12.15,11.72,11.9,0.01
2024-01-10,341759.0,11.9,12.25,12.34,11.9,11.92,0.02
2024-01-11,244661.0,11.92,11.91,12.0,11.75,11.81,-0.11
2024-01-12,299719.0,11.81,12.08,12.08,11.7,11.75,-0.06
2024-01-15,702216.0,11.75,11.88,11.96,11.25,11.33,-0.42
2024-01-16,333400.0,11.33,11.35,11.4,11.0,11.3,-0.03
2024-01-17,262321.0,11.3,11.28,11.35,10.9,10.92,-0.38
2024-01-18,682239.0,10.92,10.8,10.8,10.22,10.71,-0.21
2024-01-19,79521.0,10.71,10.75,10.98,10.67,10.91,0.2
2024-01-22,89796.0,10.91,11.09,11.09,10.65,10.8,-0.11
2024-01-23,407268.0,10.8,10.66,11.1,10.5,11.05,0.25
2024-01-24,9565.0,11.1,11.15,11.16,11.0,11.0,-0.1
2024-01-25,676.0,11.0,11.45,11.53,11.3,11.3,0.3
2024-01-26,562051.0,11.04,10.81,11.02,10.31,10.51,-0.53
2024-01-29,230486.0,10.51,10.25,10.45,10.11,10.22,-0.29
2024-01-30,510956.0,10.22,10.28,10.4,9.45,9.67,-0.55
2024-01-31,99394.0,9.67,9.71,9.71,9.5,9.69,0.02
2024-02-01,52129.0,9.69,9.8,9.8,9.5,9.66,-0.03
2024-02-02,200783.0,9.66,9.6,10.19,9.51,9.76,0.1
2024-02-06,503048.0,9.76,9.89,10.1,9.75,9.93,0.17
2024-02-07,226103.0,9.93,9.95,10.26,9.9,10.24,0.31
2024-02-09,654291.0,10.24,9.95,10.23,9.55,9.9,-0.34
2024-02-12,781423.0,9.9,9.7,9.93,8.9,8.99,-0.91
2024-02-13,531096.0,8.99,9.0,9.24,8.51,9.1,0.11
2024-02-14,78283.0,9.1,9.24,9.4,9.15,9.24,0.14
2024-02-15,305661.0,9.24,9.21,9.35,9.15,9.25,0.01
2024-02-16,103853.0,9.25,8.95,9.23,8.8,8.96,-0.29
2024-02-19,55982.0,8.96,8.96,9.17,8.75,8.98,0.02
2024-02-20,422173.0,8.98,9.15,9.2,9.1,9.12,0.14
