Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,6682623.0,8.68,8.71,9.0,8.7,8.85,0.17
2024-01-02,3804238.0,8.85,9.05,9.05,8.42,8.51,-0.34
2024-01-03,8609183.0,8.51,8.65,9.2,8.5,8.78,0.27
2024-01-04,1981130.0,8.78,8.75,8.85,8.43,8.52,-0.26
2024-01-05,1607227.0,8.52,8.69,8.74,8.25,8.43,-0.09
2024-01-08,1755193.0,8.43,8.27,8.65,8.24,8.31,-0.12
2024-01-09,2013952.0,8.31,8.4,8.44,8.15,8.4,0.09
2024-01-10,1336011.0,8.4,8.49,8.55,8.25,8.34,-0.06
2024-01-11,2779706.0,8.34,8.4,8.55,8.31,8.38,0.04
2024-01-12,4291189.0,8.38,8.45,8.6,8.25,8.29,-0.09
2024-01-15,1234916.0,8.29,8.31,8.34,8.01,8.03,-0.26
2024-01-16,2076231.0,8.03,8.0,8.07,7.7,7.73,-0.3
2024-01-17,2285088.0,7.73,7.88,8.2,7.69,7.84,0.11
2024-01-18,1834643.0,7.84,7.98,7.98,7.5,7.77,-0.07
2024-01-19,1302070.0,7.77,7.9,7.95,7.46,7.52,-0.25
2024-01-22,634566.0,7.52,7.69,7.69,7.38,7.47,-0.05
2024-01-23,1433.0,7.5,7.6,7.7,7.46,7.55,0.05
2024-01-24,233.0,7.68,7.73,7.74,6.73,7.4,-0.28
2024-01-25,829798.0,7.55,7.65,7.7,7.46,7.52,-0.03
2024-01-26,5964299.0,7.52,7.63,8.0,7.42,7.85,0.33
2024-01-29,1965941.0,7.85,8.1,8.1,7.7,7.76,-0.09
2024-01-30,944404.0,7.76,7.56,7.9,7.55,7.63,-0.13
2024-01-31,7180987.0,7.63,7.69,7.9,7.26,7.3,-0.33
2024-02-01,545674.0,7.3,7.35,7.42,7.2,7.26,-0.04
2024-02-02,402536.0,7.26,7.35,7.45,7.27,7.36,0.1
2024-02-06,800492.0,7.36,7.36,7.58,7.36,7.52,0.16
2024-02-07,319244.0,7.52,7.6,7.61,7.51,7.57,0.05
2024-02-09,321725.0,7.57,7.41,7.41,7.01,7.29,-0.28
2024-02-12,1943740.0,7.29,7.3,7.35,6.6,6.73,-0.56
2024-02-13,697233.0,6.73,6.65,6.9,6.53,6.73,0.0
2024-02-14,687592.0,6.73,6.9,7.06,6.75,6.93,0.2
2024-02-15,1889710.0,6.93,7.0,7.04,6.55,6.64,-0.29
2024-02-16,899798.0,6.64,6.9,6.9,6.35,6.52,-0.12
2024-02-19,748536.0,6.52,6.5,6.75,6.3,6.63,0.11
2024-02-20,20.0,6.81,6.8,6.8,6.8,6.8,-0.01
2024-02-21,1651611.0,6.54,6.69,7.3,6.69,7.06,0.52
2024-02-22,727690.0,7.06,7.07,7.4,7.04,7.3,0.24
2024-02-23,965103.0,7.3,7.31,7.49,7.15,7.36,0.06
2024-02-26,3790087.0,7.36,7.25,7.39,6.9,6.95,-0.41
2024-02-27,472398.0,6.95,7.04,7.1,6.8,6.85,-0.1
2024-02-28,906302.0,6.85,6.89,7.03,6.78,6.87,0.02
2024-02-29,340162.0,6.87,6.87,7.03,6.87,6.9,0.03
2024-03-01,226938.0,6.9,7.0,7.0,6.81,6.9,0.0
2024-03-04,518991.0,6.9,6.99,7.05,6.8,6.87,-0.03
2024-03-05,1373645.0,6.87,6.95,7.13,6.9,6.96,0.09
2024-03-06,931631.0,6.96,7.0,7.11,6.99,7.04,0.08
2024-03-07,377455.0,7.04,7.14,7.14,6.83,6.91,-0.13
