Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-07-02,2.0,24.9,25.0,25.0,22.66,24.9,0.0
2024-08-30,1.0,24.9,27.0,27.0,27.0,24.9,0.0
2024-10-16,100.0,24.9,0.0,0.0,0.0,24.9,0.0
2025-02-26,900.0,20.17,20.17,20.17,20.17,20.17,0.0
2025-06-11,6077.0,19.0,17.1,20.8,17.1,17.11,-1.89
2025-06-12,1011.0,17.11,18.82,18.82,17.01,18.75,1.64
2025-06-17,463.0,18.75,18.0,20.63,17.0,18.75,0.0
2025-06-20,11.0,18.75,0.0,0.0,0.0,18.75,0.0
2025-06-27,1.0,18.75,18.7,18.7,18.7,18.75,0.0
2025-07-15,3758.0,18.75,17.0,20.63,17.0,20.63,1.88
2025-07-16,200.0,20.63,20.0,20.0,20.0,20.1,-0.53
2025-07-17,3889.0,20.1,18.09,22.11,18.09,21.99,1.89
2025-07-18,1804.0,21.99,24.0,24.0,19.79,23.0,1.01
2025-07-23,1001.0,23.0,20.7,23.0,20.7,20.7,-2.3
2025-07-24,41.0,20.7,22.7,22.7,22.7,20.7,0.0
2025-07-25,202.0,20.7,22.7,22.7,22.0,20.7,0.0
2025-07-29,7635.0,21.96,24.15,24.16,24.15,24.16,2.2
2025-07-30,4355.0,24.16,21.74,26.58,21.74,21.79,-2.37
2025-07-31,6.0,21.79,23.9,23.9,23.9,21.79,0.0
2025-08-01,4517.0,21.79,23.9,23.9,19.61,19.63,-2.16
2025-08-04,1313.0,19.63,21.0,21.5,19.63,21.48,1.85
2025-08-05,707.0,21.48,23.6,23.6,22.5,23.25,1.77
2025-08-06,332.0,23.25,23.5,23.5,20.96,23.25,0.0
2025-08-07,1462.0,23.25,25.5,25.5,21.0,21.22,-2.03
2025-08-08,2533.0,21.22,23.0,23.32,19.2,21.22,0.0
2025-08-11,18.0,21.22,19.5,23.0,19.5,21.22,0.0
2025-08-12,754.0,21.22,19.15,23.0,19.15,22.98,1.76
2025-08-13,3907.0,22.98,20.7,25.28,20.7,25.27,2.29
2025-08-15,42.0,25.27,27.69,27.78,22.8,25.27,0.0
2025-08-18,120.0,25.27,27.8,27.8,27.8,26.54,1.27
2025-08-19,500.0,26.54,29.19,29.19,29.19,29.19,2.65
2025-08-20,400.0,29.19,32.11,32.11,32.11,31.81,2.62
2025-08-22,400.0,34.96,38.46,38.46,38.46,38.46,3.5
2025-08-25,1250.0,38.46,42.31,42.31,42.31,42.31,3.85
2025-08-26,1000.0,42.31,46.54,46.54,46.54,46.54,4.23
2025-08-28,1012.0,51.19,56.31,56.31,46.07,56.29,5.1
2025-08-29,800.0,56.29,61.92,61.92,61.92,61.92,5.63
2025-09-01,9158.0,61.92,68.11,68.11,68.0,68.11,6.19
2025-09-02,5818.0,68.11,67.0,67.99,61.3,61.31,-6.8
2025-09-03,515.0,61.31,67.0,67.0,55.2,56.1,-5.21
2025-09-04,6751.0,56.1,55.99,61.5,50.49,51.08,-5.02
2025-09-05,1806.0,51.08,56.15,56.15,50.7,52.63,1.55
2025-09-08,323.0,52.63,57.5,57.5,47.37,52.63,0.0
2025-09-09,732.0,52.63,54.5,54.5,48.2,49.89,-2.74
2025-09-10,2738.0,49.89,45.0,53.9,45.0,46.72,-3.17
2025-09-11,30.0,46.72,45.0,49.0,45.0,46.72,0.0
2025-09-12,6865.0,46.72,51.39,51.39,43.0,50.52,3.8
2025-09-15,1436.0,50.52,55.57,55.57,55.57,55.57,5.05
2025-09-16,262.0,55.57,61.13,61.13,61.13,61.13,5.56
2025-09-17,1320.0,61.13,67.24,67.24,67.24,67.24,6.11
2025-09-18,20.0,67.24,73.96,73.96,73.96,73.96,6.72
2025-09-19,2568.0,73.96,81.36,81.36,78.0,79.0,5.04
2025-09-22,173.0,79.0,86.9,86.9,86.9,86.86,7.86
2025-09-23,3853.0,86.86,95.55,95.55,93.0,95.55,8.69
2025-09-24,2780.0,95.55,102.1,105.11,95.6,99.12,3.57
2025-09-25,281.0,99.12,100.0,100.0,96.0,99.12,0.0
2025-09-26,1766.0,99.12,96.0,109.0,96.0,98.0,-1.12
2025-09-29,1316.0,98.0,105.0,107.8,105.0,107.8,9.8
2025-09-30,1081.0,107.8,118.57,118.58,118.57,118.58,10.78
2025-10-01,102.0,118.58,130.44,130.44,130.44,129.7,11.12
2025-10-02,1676.0,129.7,142.67,142.67,140.0,141.02,11.32
2025-10-03,3064.0,141.02,141.0,155.12,126.95,137.01,-4.01
2025-10-06,2047.0,137.01,140.0,150.71,140.0,140.23,3.22
2025-10-07,2020.0,140.23,140.0,141.5,139.1,139.66,-0.57
2025-10-08,1288.0,139.66,140.0,140.0,125.69,132.85,-6.81
2025-10-09,657.0,132.85,139.0,139.0,132.85,138.98,6.13
2025-10-10,453.0,138.98,139.0,139.0,132.0,139.0,0.02
2025-10-13,128.0,139.0,139.0,139.0,139.0,139.0,0.0
2025-10-14,1090.0,139.0,139.0,139.0,139.0,139.0,0.0
2025-10-15,102.0,139.0,139.0,139.0,139.0,139.0,0.0
2025-10-16,307.0,139.0,149.0,149.0,149.0,149.0,10.0
2025-10-17,5612.0,149.0,158.0,163.9,135.2,145.61,-3.39
2025-10-20,1809.0,145.61,159.98,159.98,131.1,133.09,-12.52
2025-10-21,99.0,133.09,126.0,138.98,125.0,133.09,0.0
2025-10-23,763.0,133.09,137.89,146.4,137.89,145.51,12.42
2025-10-24,5.0,145.51,160.0,160.0,147.0,145.51,0.0
2025-10-27,116.0,145.51,160.0,160.0,150.0,145.51,0.0
2025-10-29,2196.0,145.51,160.0,160.06,131.0,159.51,14.0
2025-10-30,2663.0,159.51,159.52,175.46,155.0,155.01,-4.5
2025-10-31,1017.0,155.01,158.0,158.0,152.0,152.0,-3.01
2025-11-03,301.0,152.0,167.0,167.0,154.0,152.0,0.0
2025-11-04,280.0,152.0,154.0,157.5,154.0,154.13,2.13
2025-11-05,8.0,154.13,0.0,0.0,0.0,154.13,0.0
2025-11-06,3.0,154.13,147.0,147.0,147.0,154.13,0.0
2025-11-07,560.0,154.13,155.0,155.0,155.0,155.0,0.87
2025-11-10,1527.0,155.0,170.0,170.0,139.6,142.78,-12.22
2025-11-11,535.0,142.78,155.98,156.0,155.98,156.0,13.22
2025-11-12,1864.0,156.0,149.0,171.6,140.4,170.81,14.81
2025-11-13,617.0,170.81,187.0,187.0,187.0,187.0,16.19
2025-11-14,8.0,187.0,180.0,205.0,180.0,187.0,0.0
2025-11-17,5.0,187.0,0.0,0.0,0.0,187.0,0.0
2025-11-18,1521.0,187.0,187.0,187.0,168.3,168.3,-18.7
2025-11-19,7601.0,168.3,170.0,170.0,151.47,152.21,-16.09
2025-11-20,5400.0,152.21,152.0,152.0,136.99,139.85,-12.36
2025-11-21,1183.0,139.85,139.85,152.98,139.85,141.79,1.94
2025-11-24,511.0,141.79,140.5,153.0,140.5,141.79,0.0
2025-11-25,1420.0,141.79,141.79,141.79,127.61,127.66,-14.13
2025-11-26,615.0,127.66,129.0,129.0,114.89,121.65,-6.01
2025-11-27,298.0,121.65,128.0,129.0,114.9,127.23,5.58
2025-12-01,7609.0,127.23,115.0,139.0,114.51,116.76,-10.47
2025-12-02,500.0,116.76,116.76,116.76,116.76,116.76,0.0
2025-12-05,109.0,116.76,116.76,126.98,116.76,116.76,0.0
2025-12-08,365.0,116.76,107.0,128.44,107.0,116.76,0.0
2025-12-11,22.0,116.76,116.0,116.0,116.0,116.76,0.0
2025-12-15,100.0,116.76,116.76,116.76,116.76,116.76,0.0
2025-12-16,450.0,116.76,120.0,120.0,120.0,120.0,3.24
2025-12-17,3551.0,120.0,110.0,110.0,108.0,108.0,12.0
2025-12-18,3159.0,108.0,107.0,107.0,97.2,97.2,-10.8
2025-12-19,374.0,97.2,105.0,105.0,87.48,101.02,3.82
2025-12-22,278.0,101.02,92.0,100.0,92.0,101.02,0.0
2025-12-24,197.0,100.42,92.0,99.99,90.38,97.6,-2.82
2025-12-26,354.0,97.6,89.0,107.3,87.84,97.6,0.0
2025-12-30,127.0,97.6,92.0,97.2,87.85,95.5,-2.1
2025-12-31,912.0,95.5,103.0,103.0,86.1,100.02,4.52
2026-01-01,995.0,100.02,92.0,99.0,90.1,98.0,-2.02
2026-01-02,857.0,98.0,105.21,105.21,92.01,105.19,7.19
2026-01-05,414.0,105.19,96.5,102.0,94.67,101.52,-3.67
2026-01-06,566.0,101.52,93.0,101.0,93.0,100.0,-1.52
2026-01-07,1039.0,100.0,102.0,102.0,90.0,95.8,-4.2
2026-01-08,5.0,95.8,86.23,100.5,86.23,95.8,0.0
2026-01-09,8.0,95.8,86.25,100.0,86.25,95.8,0.0
2026-01-12,571.0,95.8,100.0,102.9,93.0,97.92,2.12
2026-01-13,13.0,97.92,98.92,103.0,94.0,97.92,0.0
2026-01-14,20.0,97.92,90.0,93.0,90.0,97.92,0.0
2026-01-15,2.0,97.92,102.0,102.0,94.5,97.92,0.0
2026-01-16,4295.0,97.92,91.0,102.0,88.13,88.17,-9.75
2026-01-19,36.0,88.17,88.9,93.0,88.3,88.17,0.0
2026-01-20,420.0,88.17,93.0,96.88,79.35,87.92,-0.25
2026-01-21,32.0,87.92,82.0,90.0,82.0,87.92,0.0
2026-01-22,234.0,87.92,88.0,96.6,84.0,87.92,0.0
2026-01-23,2.0,87.92,90.0,90.0,83.01,87.92,0.0
2026-01-26,3.0,87.92,83.15,83.15,83.15,87.92,0.0
2026-01-27,11.0,87.92,83.0,83.0,83.0,87.92,0.0
2026-01-28,59.0,87.92,96.0,96.0,83.01,87.92,0.0
2026-01-29,98.0,87.92,88.02,88.02,88.0,87.92,0.0
