Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1000.0,8.8,8.5,8.5,7.84,7.84,-0.96
2024-01-03,3500.0,7.84,8.84,8.84,8.84,8.84,1.0
2024-01-04,1500.0,8.84,9.83,9.83,8.5,8.5,-0.34
2024-01-12,500.0,8.5,8.99,8.99,8.99,8.99,0.49
2024-01-15,500.0,8.99,8.79,8.79,8.79,8.79,-0.2
2024-01-19,1500.0,8.79,8.0,8.0,8.0,8.0,-0.79
2024-02-13,1500.0,8.0,7.1,7.1,7.05,7.07,-0.93
2024-02-16,2500.0,7.07,6.1,6.1,6.1,6.1,-0.97
2024-02-21,500.0,6.1,6.1,6.1,6.1,6.1,0.0
2024-02-22,500.0,6.1,6.99,6.99,6.99,6.99,0.89
2024-02-27,1000.0,6.99,7.0,7.0,7.0,7.0,0.01
2024-03-01,2000.0,7.0,6.75,6.75,6.75,6.75,-0.25
2024-03-04,500.0,6.75,0.0,0.0,0.0,6.75,0.0
2024-03-06,1000.0,6.75,6.7,7.0,6.7,7.0,0.25
2024-03-07,2000.0,7.0,6.95,7.0,6.95,7.0,0.0
2024-03-11,2000.0,7.0,6.5,7.1,6.5,7.1,0.1
2024-04-02,500.0,7.1,6.5,6.5,6.5,6.5,-0.6
2024-04-16,5000.0,6.5,7.0,7.5,7.0,7.5,1.0
2024-04-22,4000.0,7.5,7.2,7.2,6.66,6.8,-0.7
2024-04-23,2000.0,6.8,6.77,6.77,6.77,6.77,-0.03
2024-04-24,500.0,6.77,7.0,7.0,7.0,7.0,0.23
2024-04-25,3000.0,7.0,7.2,7.77,7.2,7.77,0.77
2024-04-26,11500.0,7.77,7.7,7.7,7.7,7.7,-0.07
2024-04-29,3000.0,7.7,7.5,7.5,7.5,7.5,-0.2
2024-04-30,1000.0,7.5,7.5,7.5,7.41,7.41,-0.09
2024-05-06,2500.0,7.41,7.77,7.79,7.7,7.7,0.29
2024-05-08,500.0,7.7,7.7,7.7,7.7,7.7,0.0
2024-05-14,1500.0,7.76,8.02,8.02,8.02,8.02,0.26
2024-05-17,2500.0,8.02,8.25,8.25,8.25,8.25,0.23
2024-05-21,500.0,8.25,8.5,8.5,8.5,8.5,0.25
2024-05-22,2000.0,8.5,8.8,8.81,8.8,8.8,0.3
2024-05-29,985.0,8.8,8.8,8.8,8.8,8.8,0.0
2024-05-31,68.0,8.8,8.22,8.22,8.22,8.8,0.0
2024-06-03,2459.0,8.8,8.2,8.8,8.11,8.8,0.0
2024-06-05,4015.0,8.8,9.2,9.2,8.8,9.1,0.3
2024-06-06,2500.0,9.1,0.0,0.0,0.0,9.1,0.0
2024-06-10,500.0,9.1,0.0,0.0,0.0,9.1,0.0
2024-06-12,68.0,9.1,0.0,0.0,0.0,9.1,0.0
2024-06-13,913.0,9.1,9.2,9.2,8.85,9.04,-0.06
2024-06-14,158.0,9.04,8.91,9.0,8.91,9.04,0.0
2024-06-20,6500.0,9.04,9.0,9.0,9.0,9.0,-0.04
2024-06-21,650.0,9.0,9.0,9.0,8.2,9.0,0.0
2024-06-24,1008.0,9.0,8.0,9.0,8.0,9.0,0.0
2024-06-25,1078.0,9.0,8.01,9.0,8.01,9.0,0.0
2024-06-26,92.0,9.0,8.8,8.8,8.8,9.0,0.0
2024-06-28,68.0,9.0,8.9,8.9,8.9,9.0,0.0
2024-07-01,1596.0,9.0,8.5,9.0,8.5,9.0,0.0
2024-07-02,280.0,9.0,9.0,9.0,9.0,9.0,0.0
2024-07-03,68.0,9.0,8.8,8.8,8.8,9.0,0.0
2024-07-04,473.0,9.0,8.81,9.0,8.8,9.0,0.0
2024-07-05,137.0,9.0,8.9,8.9,8.9,9.0,0.0
2024-07-08,2000.0,9.0,9.0,9.0,9.0,9.0,0.0
2024-07-09,1044.0,9.0,9.0,9.2,9.0,9.2,0.2
2024-07-11,113.0,9.2,9.01,9.01,9.0,9.2,0.0
2024-07-12,138.0,9.2,8.95,8.95,8.95,9.2,0.0
2024-07-15,500.0,9.2,9.2,9.2,9.2,9.2,0.0
