Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,19900.0,238.11,238.1,244.0,238.1,243.0,4.89
2024-01-02,11100.0,243.0,244.0,244.0,241.0,241.18,-1.82
2024-01-03,11700.0,241.18,240.1,243.99,240.1,241.54,0.36
2024-01-04,13600.0,241.54,241.55,243.0,240.0,241.11,-0.43
2024-01-05,377900.0,241.11,242.0,259.19,242.0,259.19,18.08
2024-01-08,136000.0,259.19,262.0,269.23,255.03,258.05,-1.14
2024-01-09,120500.0,258.05,259.75,269.0,256.47,263.88,5.83
2024-01-10,153800.0,263.88,262.5,283.67,262.0,283.67,19.79
2024-01-11,193900.0,283.67,286.5,296.0,280.0,283.63,-0.04
2024-01-12,66700.0,283.63,284.0,287.7,274.0,276.43,-7.2
2024-01-15,28500.0,276.43,277.0,280.0,269.0,270.63,-5.8
2024-01-16,47000.0,270.63,269.0,269.0,260.57,261.89,-8.74
2024-01-17,167300.0,261.89,264.0,281.53,264.0,281.53,19.64
2024-01-18,221400.0,281.53,287.88,290.3,276.0,276.23,-5.3
2024-01-19,85300.0,276.23,280.0,282.0,276.0,276.13,-0.1
2024-01-22,69000.0,276.13,277.13,284.0,276.0,277.26,1.13
2024-01-23,17100.0,277.26,278.0,279.0,276.0,276.68,-0.58
2024-01-24,102000.0,276.68,278.93,295.0,278.93,284.38,7.7
2024-01-25,46300.0,284.38,287.0,289.97,278.0,278.9,-5.48
2024-01-26,35200.0,278.9,279.0,280.0,276.0,276.26,-2.64
2024-01-29,43100.0,276.26,277.99,278.0,270.0,276.0,-0.26
2024-01-30,48800.0,276.0,271.01,280.0,271.01,276.08,0.08
2024-01-31,40600.0,276.08,272.0,279.0,272.0,276.11,0.03
2024-02-01,16100.0,276.11,276.0,277.01,268.2,276.89,0.78
2024-02-02,14800.0,276.89,279.33,281.79,277.5,278.06,1.17
2024-02-06,16700.0,278.06,272.1,280.0,272.1,277.15,-0.91
2024-02-07,9400.0,277.15,277.0,279.85,276.03,276.74,-0.41
2024-02-09,47000.0,276.74,272.3,279.94,262.01,276.03,-0.71
2024-02-12,124900.0,276.03,271.0,278.0,270.01,275.41,-0.62
2024-02-13,116300.0,275.41,277.9,296.07,271.1,291.06,15.65
2024-02-14,35900.0,291.06,291.0,300.0,287.0,295.11,4.05
2024-02-15,34100.0,295.11,290.0,294.89,285.22,289.57,-5.54
2024-02-16,10900.0,289.57,276.0,286.0,275.0,278.0,-11.57
2024-02-19,8600.0,278.0,274.01,283.0,274.0,278.84,0.84
2024-02-20,13600.0,278.84,277.6,284.0,277.6,278.83,-0.01
2024-02-21,15300.0,278.83,287.0,287.0,280.5,284.03,5.2
2024-02-22,9400.0,284.03,286.0,290.5,285.0,285.07,1.04
2024-02-23,1800.0,285.07,285.0,287.5,282.05,283.82,-1.25
2024-02-26,143200.0,283.82,285.0,289.0,262.53,262.98,-20.84
2024-02-27,184000.0,262.98,245.01,276.0,245.01,261.1,-1.88
2024-02-28,25500.0,261.1,264.5,264.5,260.0,261.07,-0.03
2024-02-29,25300.0,261.07,261.07,263.5,257.22,258.49,-2.58
2024-03-01,22200.0,258.49,259.6,260.0,256.5,258.41,-0.08
2024-03-04,11200.0,258.41,259.99,263.9,255.63,256.94,-1.47
2024-03-05,9000.0,256.94,259.0,259.0,251.01,254.25,-2.69
2024-03-06,9300.0,254.25,258.0,258.0,254.0,254.23,-0.02
2024-03-07,5900.0,254.23,254.99,255.0,252.0,254.0,-0.23
2024-03-08,6400.0,254.0,251.0,255.0,251.0,254.0,0.0
2024-03-11,10900.0,254.0,256.0,258.65,254.2,256.5,2.5
2024-03-12,6800.0,256.5,257.89,258.0,253.5,253.99,-2.51
2024-03-13,4400.0,253.99,251.01,257.15,250.0,250.45,-3.54
2024-03-14,4900.0,250.45,250.5,254.0,250.5,253.95,3.5
2024-03-15,2000.0,253.95,252.55,255.0,252.55,253.74,-0.21
2024-03-18,3800.0,253.74,251.4,253.32,246.0,253.32,-0.42
2024-03-19,5600.0,253.32,252.5,255.0,251.0,253.19,-0.13
2024-03-20,11400.0,253.19,253.98,254.0,249.5,249.89,-3.3
2024-03-21,5900.0,249.89,252.49,254.6,249.0,249.75,-0.14
2024-03-22,3600.0,249.75,250.0,251.86,250.0,251.0,1.25
2024-03-25,3000.0,251.0,249.01,253.0,249.01,251.85,0.85
2024-03-26,3100.0,251.85,252.0,252.19,246.33,251.99,0.14
2024-03-27,6600.0,251.99,251.9,252.4,250.0,250.05,-1.94
2024-03-28,7800.0,250.05,249.01,252.0,249.0,250.2,0.15
2024-03-29,1700.0,250.2,250.0,251.51,249.52,249.91,-0.29
2024-04-01,3800.0,249.91,247.63,252.0,247.63,250.97,1.06
2024-04-02,1400.0,250.97,250.0,252.0,250.0,251.26,0.29
2024-04-03,13000.0,251.26,252.0,267.89,252.0,256.65,5.39
2024-04-04,5900.0,256.65,259.0,264.77,255.0,256.24,-0.41
2024-04-08,15300.0,256.24,259.97,260.0,255.66,258.52,2.28
2024-04-09,8900.0,258.52,258.0,259.99,256.5,258.16,-0.36
2024-04-15,21500.0,258.16,257.5,261.0,254.2,259.28,1.12
2024-04-16,14900.0,259.28,258.0,261.0,256.9,260.41,1.13
2024-04-17,5600.0,260.41,260.0,260.0,255.0,257.93,-2.48
2024-04-18,3000.0,257.93,258.2,259.64,258.1,258.26,0.33
2024-04-19,22500.0,258.26,258.0,267.0,258.0,263.76,5.5
2024-04-22,35409.0,263.76,266.0,271.99,264.01,267.18,3.42
2024-04-23,8220.0,267.18,266.0,270.38,265.0,265.81,-1.37
2024-04-24,11830.0,265.81,270.0,270.0,260.1,263.28,-2.53
2024-04-25,7585.0,263.28,264.99,265.0,261.06,261.14,-2.14
2024-04-26,151269.0,261.14,259.5,280.73,259.5,266.86,5.72
2024-04-29,51276.0,266.86,267.01,272.0,263.99,264.11,-2.75
2024-04-30,18957.0,264.11,262.05,266.0,255.01,257.08,-7.03
2024-05-02,12334.0,257.08,260.0,261.0,257.0,258.53,1.45
2024-05-03,14842.0,258.53,257.26,262.0,257.0,260.51,1.98
2024-05-06,19700.0,260.51,260.1,265.51,260.0,263.82,3.31
2024-05-07,13814.0,263.82,262.06,266.0,262.05,263.86,0.04
2024-05-08,9825.0,263.86,265.0,267.0,260.1,262.97,-0.89
2024-05-09,14993.0,262.97,263.0,264.85,261.61,263.29,0.32
2024-05-10,13834.0,263.29,262.51,267.0,262.5,265.12,1.83
2024-05-13,13161.0,265.12,266.0,267.0,264.0,266.7,1.58
2024-05-14,174409.0,266.7,265.05,286.7,265.03,286.7,20.0
2024-05-15,237559.0,286.7,295.02,306.8,286.7,301.39,14.69
2024-05-16,396352.0,301.39,303.0,323.99,301.0,304.33,2.94
2024-05-17,65406.0,304.33,301.0,313.0,300.0,301.66,-2.67
2024-05-20,39738.0,301.66,301.0,301.0,285.55,291.03,-10.63
2024-05-21,22017.0,291.03,292.99,293.01,285.0,286.0,-5.03
2024-05-22,18414.0,286.0,284.0,289.0,280.0,280.35,-5.65
2024-05-23,15014.0,280.35,280.0,280.0,273.0,274.7,-5.65
2024-05-24,17660.0,274.7,275.0,286.0,271.0,280.07,5.37
2024-05-27,110921.0,280.07,286.0,301.94,280.01,295.6,15.53
2024-05-29,132090.0,295.6,299.5,307.5,295.4,297.53,1.93
2024-05-30,41838.0,297.53,297.0,300.0,285.01,289.91,-7.62
2024-05-31,30643.0,289.91,290.51,299.0,286.01,290.0,0.09
2024-06-03,33595.0,290.0,297.8,297.8,288.55,289.18,-0.82
2024-06-04,25869.0,289.18,288.01,289.0,278.91,279.71,-9.47
2024-06-05,90658.0,279.71,280.0,302.09,275.0,302.09,22.38
2024-06-06,105708.0,302.09,309.8,310.0,286.0,287.9,-14.19
2024-06-07,34752.0,287.9,295.0,295.0,280.05,289.44,1.54
2024-06-10,10253.0,289.44,286.06,291.0,285.0,289.02,-0.42
2024-06-11,14293.0,289.02,291.5,295.5,287.01,287.79,-1.23
2024-06-12,7233.0,287.79,288.0,292.0,284.51,288.07,0.28
2024-06-13,29848.0,288.07,291.0,297.47,291.0,295.11,7.04
