Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1800.0,350.82,360.0,369.5,360.0,369.16,18.34
2024-01-02,800.0,369.16,360.0,361.0,357.01,361.0,-8.16
2024-01-03,1500.0,361.0,360.0,365.0,360.0,364.09,3.09
2024-01-04,1700.0,364.09,362.9,363.0,355.06,359.38,-4.71
2024-01-05,138200.0,359.38,367.99,386.0,355.0,375.0,15.62
2024-01-08,32300.0,375.0,380.0,400.0,380.0,384.41,9.41
2024-01-09,9400.0,384.41,390.0,399.3,381.0,392.9,8.49
2024-01-10,4000.0,392.9,390.0,394.9,388.0,388.3,-4.6
2024-01-11,3200.0,388.3,394.0,394.0,390.0,390.0,1.7
2024-01-12,1400.0,390.0,397.99,397.99,388.01,388.01,-1.99
2024-01-15,2700.0,388.01,380.12,383.0,380.12,383.0,-5.01
2024-01-16,300.0,383.0,380.0,380.0,380.0,380.0,3.0
2024-01-18,4100.0,380.0,361.34,382.9,356.0,373.0,7.0
2024-01-19,2200.0,373.0,370.0,370.0,370.0,370.0,3.0
2024-01-22,1000.0,370.0,376.0,376.0,365.0,366.0,4.0
2024-01-23,1500.0,366.0,385.0,385.0,370.0,370.0,4.0
2024-01-24,1000.0,370.0,353.13,379.99,353.13,370.0,0.0
2024-01-25,7100.0,370.0,372.0,380.75,371.0,380.25,10.25
2024-01-26,29600.0,380.25,385.0,408.77,380.5,408.77,28.52
2024-01-29,19800.0,408.77,415.0,426.0,394.0,395.39,-13.38
2024-01-30,2300.0,395.39,391.0,391.0,376.0,385.06,-10.33
2024-01-31,700.0,385.06,381.0,390.0,381.0,386.0,0.94
2024-02-01,1700.0,386.0,381.0,383.0,380.0,382.11,-3.89
2024-02-02,1400.0,382.11,377.0,387.0,377.0,386.75,4.64
2024-02-06,100.0,386.75,388.0,388.0,388.0,388.0,1.25
2024-02-07,300.0,388.0,382.5,382.5,382.5,382.5,-5.5
2024-02-13,2200.0,382.5,379.0,380.0,379.0,379.33,-3.17
2024-02-14,800.0,379.33,390.0,390.0,383.0,383.0,3.67
2024-02-15,1300.0,383.0,378.0,378.0,375.0,376.55,-6.45
2024-02-16,700.0,376.55,377.15,377.15,367.13,367.13,-9.42
2024-02-19,1200.0,367.13,365.05,365.05,361.0,365.0,-2.13
2024-02-20,200.0,365.0,365.14,365.14,365.13,365.13,0.13
2024-02-23,500.0,365.13,378.0,383.99,378.0,380.0,14.87
2024-02-26,1700.0,380.0,385.0,392.0,385.0,390.05,10.05
2024-02-27,3800.0,390.05,375.0,390.0,375.0,385.0,-5.05
2024-02-28,2200.0,385.0,379.0,387.0,377.0,381.04,-3.96
2024-02-29,1800.0,381.04,380.0,395.0,378.0,385.0,3.96
2024-03-01,1400.0,385.0,385.0,395.0,381.05,385.0,0.0
2024-03-04,600.0,385.0,383.01,394.0,383.01,391.0,6.0
2024-03-05,2300.0,391.0,390.0,390.0,383.5,383.5,-7.5
2024-03-06,1100.0,383.5,382.0,392.0,382.0,383.0,-0.5
2024-03-07,700.0,383.0,380.02,387.0,380.02,386.0,3.0
2024-03-08,300.0,386.0,383.02,386.01,383.02,386.01,0.01
2024-03-11,5000.0,386.01,385.01,393.95,385.0,390.24,4.23
2024-03-12,600.0,390.24,0.0,0.0,0.0,390.24,0.0
2024-03-13,1800.0,390.24,389.0,389.0,380.0,380.0,-10.24
2024-03-14,4300.0,380.0,380.0,390.0,380.0,389.33,9.33
2024-03-19,4900.0,389.33,390.0,399.0,389.06,394.0,4.67
2024-03-20,100.0,394.0,391.11,391.11,391.11,391.11,-2.89
2024-03-21,800.0,391.11,386.0,390.0,386.0,390.0,-1.11
2024-03-22,7800.0,390.0,385.0,395.0,385.0,385.95,-4.05
2024-03-25,4800.0,385.95,385.0,387.0,380.0,380.63,-5.32
2024-03-26,2700.0,380.63,389.0,390.0,388.05,390.0,9.37
2024-03-27,1800.0,390.0,395.0,395.0,391.55,394.75,4.75
2024-03-28,2700.0,394.75,395.0,397.0,394.9,397.0,2.25
2024-03-29,2000.0,397.0,395.0,395.0,392.3,392.3,-4.7
2024-04-01,100.0,392.3,386.0,386.0,386.0,386.0,-6.3
2024-04-02,2600.0,386.0,395.0,400.0,394.5,400.0,14.0
2024-04-03,1600.0,400.0,400.25,403.0,398.0,400.75,0.75
2024-04-04,400.0,400.75,400.0,400.0,400.0,400.0,-0.75
2024-04-08,1000.0,400.0,400.0,400.0,399.75,399.85,-0.15
2024-04-09,6400.0,399.85,415.0,415.0,405.0,406.07,6.22
2024-04-15,2700.0,406.07,400.01,407.0,400.01,406.0,-0.07
2024-04-16,12600.0,406.0,414.0,414.96,405.0,409.89,3.89
2024-04-17,2300.0,409.89,409.89,413.0,409.0,412.39,2.5
2024-04-18,1900.0,412.39,412.0,414.0,412.0,412.0,-0.39
2024-04-19,900.0,412.0,411.0,414.5,411.0,412.97,0.97
2024-04-22,5536.0,412.97,391.0,423.0,391.0,415.11,2.14
2024-04-23,3712.0,415.11,411.33,416.0,411.33,414.0,-1.11
2024-04-24,10861.0,414.0,420.99,422.0,417.5,418.95,4.95
2024-04-25,6198.0,418.95,423.89,424.0,412.0,414.54,-4.41
2024-04-26,70289.0,414.54,415.0,443.0,414.0,436.05,21.51
2024-04-29,26585.0,436.05,439.0,445.98,425.01,430.58,-5.47
2024-04-30,124891.0,430.58,430.0,462.87,426.0,462.87,32.29
2024-05-02,94790.0,462.87,487.0,487.0,472.02,479.59,16.72
2024-05-03,22641.0,479.59,482.0,485.0,470.01,476.64,-2.95
2024-05-06,24578.0,476.64,483.9,485.8,478.0,479.15,2.51
2024-05-07,29450.0,479.15,483.85,500.0,473.2,476.38,-2.77
2024-05-08,6526.0,476.38,484.0,484.0,472.0,474.54,-1.84
2024-05-09,4724.0,474.54,475.99,479.99,472.25,475.03,0.49
2024-05-10,11223.0,475.03,480.0,485.0,475.0,478.06,3.03
2024-05-13,7545.0,478.06,476.05,485.0,469.0,484.44,6.38
2024-05-14,10594.0,484.44,480.05,490.0,480.05,487.99,3.55
2024-05-15,7478.0,487.99,482.55,496.9,482.55,488.53,0.54
2024-05-16,69582.0,488.53,489.98,525.17,487.02,506.79,18.26
2024-05-17,21240.0,506.79,510.0,528.0,507.0,524.13,17.34
2024-05-20,33548.0,524.13,525.0,532.0,525.0,530.74,6.61
2024-05-21,18965.0,530.74,534.0,538.0,533.0,534.3,3.56
2024-05-22,9366.0,534.3,535.3,538.66,525.0,525.27,-9.03
2024-05-23,8671.0,525.27,521.0,528.0,520.0,523.71,-1.56
2024-05-24,3578.0,523.71,530.0,535.0,526.0,528.27,4.56
2024-05-27,11496.0,528.27,530.0,534.9,527.0,529.05,0.78
2024-05-29,11699.0,529.05,530.5,530.5,523.0,524.48,-4.57
2024-05-30,10535.0,524.48,523.0,527.99,519.0,523.64,-0.84
2024-05-31,18670.0,523.64,524.99,526.9,520.0,522.83,-0.81
2024-06-03,4352.0,522.83,525.0,525.0,520.01,520.71,-2.12
2024-06-04,2130.0,520.71,524.89,524.89,515.16,518.01,-2.7
2024-06-05,8274.0,518.01,516.7,522.0,512.0,518.82,0.81
2024-06-06,1655.0,518.82,519.99,523.0,517.0,517.76,-1.06
2024-06-07,3406.0,517.76,515.01,518.0,505.0,515.37,-2.39
2024-06-10,7734.0,515.37,520.0,520.0,515.0,516.33,0.96
2024-06-11,21020.0,516.33,525.0,525.0,515.0,520.88,4.55
2024-06-12,6185.0,490.88,488.0,494.8,475.0,483.9,-6.98
2024-06-13,5916.0,483.9,499.0,499.0,485.1,491.97,8.07
2024-06-14,8109.0,491.97,490.0,499.9,485.0,487.53,-4.44
2024-06-20,7068.0,487.53,495.0,498.0,490.0,493.7,6.17
2024-06-21,8473.0,493.7,495.0,497.0,480.0,483.15,-10.55
2024-06-24,14173.0,483.15,487.99,487.99,480.0,481.29,-1.86
2024-06-25,4144.0,481.29,475.0,489.98,450.0,484.83,3.54
2024-06-26,4744.0,484.83,489.82,490.0,481.0,483.04,-1.79
2024-06-27,7299.0,483.04,488.35,488.35,480.01,485.01,1.97
2024-06-28,1683.0,485.01,487.0,492.8,480.0,486.64,1.63
2024-07-01,3577.0,486.64,486.63,490.0,486.6,489.69,3.05
2024-07-02,17021.0,489.69,489.99,501.4,486.0,497.85,8.16
2024-07-03,39778.0,497.85,519.99,537.99,505.0,536.86,39.01
2024-07-04,13605.0,536.86,544.5,544.5,520.99,525.83,-11.03
2024-07-05,30476.0,525.83,526.0,560.0,521.0,550.95,25.12
2024-07-08,16694.0,550.95,551.0,595.0,551.0,578.69,27.74
2024-07-09,128324.0,578.69,585.01,633.67,585.01,633.67,54.98
