Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,5145889.0,57.34,58.3,60.95,57.74,60.73,3.39
2024-01-02,2626003.0,60.73,61.0,61.2,58.67,58.9,-1.83
2024-01-03,964456.0,58.9,58.95,59.6,57.75,58.02,-0.88
2024-01-04,758459.0,58.02,57.9,58.75,57.2,58.52,0.5
2024-01-05,1203371.0,58.52,58.59,59.27,54.6,57.42,-1.1
2024-01-08,1283940.0,57.42,57.0,57.8,56.15,56.39,-1.03
2024-01-09,652961.0,56.39,56.52,57.44,55.25,56.09,-0.3
2024-01-10,1233065.0,56.09,55.6,57.29,55.6,56.09,0.0
2024-01-11,510008.0,56.09,56.69,56.69,55.9,56.1,0.01
2024-01-12,1016325.0,56.1,56.49,57.14,55.7,55.94,-0.16
2024-01-15,307947.0,55.94,55.6,56.49,55.5,55.55,-0.39
2024-01-16,486396.0,55.55,55.55,55.96,54.2,54.88,-0.67
2024-01-17,690044.0,54.88,54.65,55.65,54.16,54.52,-0.36
2024-01-18,557683.0,54.52,55.1,55.1,52.55,53.81,-0.71
2024-01-19,232861.0,53.81,54.39,54.47,53.25,53.36,-0.45
2024-01-22,1239.0,53.59,54.0,54.0,52.55,53.76,0.17
2024-01-23,510.0,53.76,53.5,55.48,53.35,54.87,1.11
2024-01-24,991924.0,54.7,54.99,55.44,54.0,54.28,-0.42
2024-01-25,619609.0,54.28,54.4,54.58,52.9,53.05,-1.23
2024-01-26,3084.0,53.11,53.0,53.1,51.41,51.76,-1.35
2024-01-29,710212.0,51.89,52.29,52.29,51.4,51.63,-0.26
2024-01-30,963784.0,51.63,51.6,52.5,49.75,50.09,-1.54
2024-01-31,677513.0,50.09,50.5,51.1,50.0,50.64,0.55
2024-02-01,238829.0,50.64,51.1,51.4,50.3,51.01,0.37
2024-02-02,349343.0,51.01,51.55,52.44,51.0,51.92,0.91
2024-02-06,1216920.0,51.92,51.9,52.89,51.86,52.52,0.6
2024-02-07,419325.0,52.52,52.6,53.3,52.6,52.74,0.22
2024-02-09,445239.0,52.74,51.51,51.68,49.5,50.88,-1.86
2024-02-12,454211.0,50.88,50.21,50.95,48.45,49.15,-1.73
2024-02-13,2075625.0,49.15,49.0,50.34,46.11,49.4,0.25
2024-02-14,860263.0,49.4,50.01,51.35,49.93,50.4,1.0
2024-02-15,304215.0,50.4,50.5,50.79,49.0,49.31,-1.09
2024-02-16,580064.0,49.31,47.9,49.09,46.7,48.06,-1.25
2024-02-19,1395.0,48.19,47.1,48.75,47.05,48.46,0.27
2024-02-20,904157.0,48.42,48.6,50.49,48.5,48.89,0.47
2024-02-21,3480037.0,48.89,49.6,52.56,49.6,52.23,3.34
2024-02-22,5911812.0,52.23,52.79,55.35,52.5,54.86,2.63
2024-02-23,2050488.0,54.86,54.25,54.86,52.85,53.59,-1.27
2024-02-26,4194110.0,53.59,53.76,56.2,53.52,54.83,1.24
2024-02-27,2794013.0,54.83,55.38,56.0,52.93,55.44,0.61
2024-02-28,1084602.0,55.44,54.0,55.49,54.0,54.27,-1.17
2024-02-29,938101.0,54.27,54.7,55.3,53.8,54.02,-0.25
2024-03-01,630814.0,54.02,54.02,54.69,53.75,53.94,-0.08
2024-03-04,1425724.0,53.94,54.6,55.34,54.0,54.38,0.44
2024-03-05,4264081.0,54.38,54.55,56.2,54.2,55.6,1.22
2024-03-06,1726001.0,55.6,55.6,55.99,53.6,54.02,-1.58
2024-03-07,1353483.0,54.02,54.39,54.68,53.02,54.19,0.17
2024-03-08,474497.0,54.19,54.29,54.85,54.0,54.18,-0.01
2024-03-11,1248921.0,54.18,54.2,55.5,53.76,54.65,0.47
2024-03-12,1157880.0,54.65,54.65,55.4,53.71,53.87,-0.78
2024-03-13,757988.0,53.87,54.0,54.45,51.47,52.0,-1.87
2024-03-14,590316.0,52.0,52.21,53.74,51.79,53.27,1.27
2024-03-15,431027.0,53.27,53.27,53.7,52.2,52.45,-0.82
2024-03-18,272574.0,52.45,52.93,52.94,52.0,52.63,0.18
2024-03-19,364624.0,52.63,52.15,53.4,52.15,52.85,0.22
2024-03-20,359987.0,52.85,53.0,53.99,52.49,52.59,-0.26
2024-03-21,508139.0,52.59,52.98,53.0,50.9,51.5,-1.09
2024-03-22,651958.0,51.5,51.68,53.1,50.9,51.65,0.15
2024-03-25,167126.0,51.65,51.76,51.89,51.08,51.62,-0.03
