Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-03-13,20.0,1460.0,1352.0,1352.0,1352.0,1352.0,108.0
2024-04-16,20.0,1352.0,1255.0,1255.0,1255.0,1255.0,97.0
2024-06-03,20.0,1255.0,1255.0,1255.0,1255.0,1255.0,0.0
2024-08-21,71.0,1302.81,1201.0,1250.0,1200.0,1250.0,-52.81
2024-08-22,1.0,1250.0,1255.0,1255.0,1255.0,1265.31,15.31
2024-10-02,1.0,1297.54,1200.0,1200.0,1200.0,1297.54,0.0
2024-10-16,1.0,1297.54,1200.0,1200.0,1200.0,1297.54,0.0
2024-11-12,2.0,1297.54,1167.79,1427.0,1167.79,1297.54,0.0
2024-12-20,1.0,1297.54,1200.0,1200.0,1200.0,1297.54,0.0
2025-03-27,10.0,1299.95,1429.95,1429.95,1429.95,1299.95,0.0
2025-04-07,10.0,1299.95,1429.95,1429.95,1429.95,1299.95,0.0
2025-07-01,1.0,1299.95,1200.1,1200.1,1200.1,1299.95,0.0
2025-07-04,1.0,1299.95,1429.0,1429.0,1429.0,1299.95,0.0
2025-07-07,1.0,1299.95,1429.0,1429.0,1429.0,1299.95,0.0
2025-07-09,1.0,1409.56,1550.52,1550.52,1550.52,1409.56,0.0
2025-07-14,1.0,1409.56,1550.52,1550.52,1550.52,1409.56,0.0
2025-07-15,1.0,1409.56,1550.0,1550.0,1550.0,1409.56,0.0
2025-07-16,1.0,1409.56,1550.51,1550.51,1550.51,1409.56,0.0
2025-07-22,2.0,1409.56,1550.0,1550.52,1550.0,1409.56,0.0
2025-07-24,1.0,1409.56,1550.51,1550.51,1550.51,1409.56,0.0
2025-07-30,1.0,1409.56,1550.51,1550.51,1550.51,1409.56,0.0
2025-08-13,1.0,1409.56,1550.52,1550.52,1550.52,1409.56,0.0
2025-09-25,1.0,1409.56,1550.52,1550.52,1550.52,1409.56,0.0
2025-10-07,3.0,1409.56,1400.0,1550.5,1400.0,1409.56,0.0
2025-11-03,11.0,1409.56,1270.0,1550.52,1270.0,1409.56,0.0
