Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-08,5500.0,99.45,0.0,0.0,0.0,99.45,0.0
2024-01-17,4000.0,99.45,0.0,0.0,0.0,99.45,0.0
2024-02-27,1570.0,99.45,0.0,0.0,0.0,99.45,0.0
2024-03-27,43845.0,99.45,0.0,0.0,0.0,99.45,0.0
2024-04-24,10000.0,96.78,0.0,0.0,0.0,96.78,0.0
2024-08-30,4000.0,96.78,0.0,0.0,0.0,96.78,0.0
2024-09-04,28400.0,99.45,0.0,0.0,0.0,99.45,0.0
2024-10-16,13000.0,96.78,94.0,94.0,94.0,94.0,-2.78
2024-10-17,13000.0,94.0,0.0,0.0,0.0,94.0,0.0
2025-03-27,1.0,99.45,91.0,91.0,91.0,99.45,0.0
2025-10-14,5000.0,99.45,0.0,0.0,0.0,99.45,0.0
2025-12-23,150000.0,94.0,100.0,100.0,100.0,100.0,6.0
