Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,500.0,37.78,40.6,40.6,40.6,40.6,2.82
2024-01-03,1000.0,40.6,43.65,43.65,43.65,43.65,3.05
2024-01-04,1000.0,43.65,46.85,46.92,46.85,46.92,3.27
2024-01-05,500.0,46.92,50.44,50.44,50.44,50.44,3.52
2024-01-09,500.0,54.22,58.29,58.29,58.29,58.29,4.07
2024-01-11,500.0,58.29,60.49,60.49,60.49,60.49,2.2
2024-04-26,500.0,65.0,60.13,60.13,60.13,60.13,-4.87
2024-04-29,500.0,60.13,60.0,60.0,60.0,60.0,-0.13
2024-05-17,500.0,60.0,59.21,59.21,59.21,59.21,-0.79
2024-06-07,1.0,59.21,0.0,0.0,0.0,59.21,0.0
2024-07-22,1.0,59.21,61.39,61.39,61.39,59.21,0.0
2024-08-01,1.0,59.21,61.25,61.25,61.25,59.21,0.0
2024-08-12,1.0,59.21,57.0,57.0,57.0,59.21,0.0
2024-08-20,2.0,59.21,53.29,53.29,53.29,59.21,0.0
2024-08-23,49.0,59.21,60.0,60.0,60.0,59.21,0.0
2024-08-28,600.0,59.21,59.21,59.21,59.21,59.21,0.0
2024-09-06,860.0,59.21,53.29,54.01,53.29,54.01,-5.2
2024-09-10,94.0,54.01,48.75,59.41,48.75,54.01,0.0
2024-09-11,2.0,54.01,54.0,54.0,54.0,54.01,0.0
2024-09-16,611.0,54.01,48.65,48.65,48.65,48.65,-5.36
2024-09-19,2.0,48.65,45.0,53.5,45.0,48.65,0.0
2024-09-26,100.0,48.65,45.0,45.0,45.0,48.65,0.0
2024-10-02,625.0,48.65,44.0,50.0,44.0,45.0,-3.65
2024-10-08,1.0,45.0,41.0,41.0,41.0,45.0,0.0
2024-10-24,15.0,45.0,40.5,40.5,40.5,45.0,0.0
2024-11-04,294.0,45.0,41.0,41.0,41.0,45.0,0.0
2024-11-06,99.0,45.0,41.0,41.0,41.0,45.0,0.0
2024-11-11,100.0,45.0,49.5,49.5,49.5,45.0,0.0
2024-11-15,4.0,45.0,41.5,49.5,41.5,45.0,0.0
2024-11-18,600.0,45.0,49.5,49.5,41.0,44.4,-0.6
2024-11-19,1.0,44.4,41.5,41.5,41.5,44.4,0.0
2024-11-20,1.0,44.4,48.75,48.75,48.75,44.4,0.0
2024-11-25,1.0,44.4,41.0,41.0,41.0,44.4,0.0
2024-11-26,10.0,44.4,41.0,41.0,41.0,44.4,0.0
2024-12-05,91.0,44.4,48.84,48.84,48.84,44.4,0.0
2024-12-09,100.0,44.4,41.0,41.0,41.0,44.4,0.0
2024-12-16,1.0,44.4,41.0,41.0,41.0,44.4,0.0
