Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,500.0,10.5,10.11,10.11,10.11,10.11,-0.39
2024-01-02,500.0,10.11,10.3,10.3,10.3,10.3,0.19
2024-01-03,1500.0,10.3,10.0,10.0,10.0,10.0,-0.3
2024-01-04,500.0,10.0,9.75,9.75,9.75,9.75,-0.25
2024-01-26,13500.0,10.29,9.56,10.0,9.31,9.8,-0.49
2024-01-29,6000.0,9.8,9.79,9.9,9.75,9.82,0.02
2024-01-30,4000.0,9.82,9.65,9.65,9.51,9.51,-0.31
2024-02-02,500.0,9.51,9.85,9.85,9.85,9.85,0.34
2024-02-13,7000.0,9.81,9.35,9.65,9.2,9.63,-0.18
2024-02-14,52000.0,9.63,10.5,10.5,9.56,9.56,-0.07
2024-02-15,15000.0,9.56,9.6,9.62,9.55,9.55,-0.01
2024-02-16,1000.0,9.55,9.7,9.7,9.65,9.65,0.1
2024-02-19,4000.0,9.65,10.45,10.65,10.45,10.65,1.0
2024-02-20,22500.0,10.65,10.35,11.64,10.15,11.41,0.76
2024-02-21,6000.0,11.41,11.0,11.25,10.7,10.7,-0.71
2024-02-22,8500.0,10.7,10.76,10.9,10.75,10.9,0.2
2024-02-23,500.0,10.9,11.4,11.4,11.4,11.4,0.5
2024-02-26,2000.0,11.4,10.63,10.63,10.5,10.58,-0.82
2024-02-27,39500.0,10.58,9.76,11.58,9.61,11.58,1.0
2024-02-28,500.0,11.58,11.1,11.1,11.1,11.1,-0.48
2024-02-29,24500.0,11.1,10.65,10.83,10.65,10.83,-0.27
2024-03-01,1500.0,10.83,11.39,11.4,11.39,11.4,0.57
2024-03-07,6000.0,11.4,10.6,11.98,10.6,11.83,0.43
2024-03-08,29000.0,11.83,11.95,12.83,11.75,12.83,1.0
2024-03-11,12500.0,12.83,13.01,13.01,12.41,12.41,-0.42
2024-03-12,1500.0,12.41,11.75,11.75,11.7,11.72,-0.69
2024-03-13,500.0,11.72,10.8,10.8,10.8,10.8,-0.92
2024-03-14,1000.0,10.8,11.75,11.75,11.75,11.75,0.95
2024-03-15,6500.0,11.75,11.95,12.2,11.95,12.0,0.25
2024-03-18,8000.0,12.0,12.8,12.95,12.49,12.5,0.5
2024-03-19,1500.0,12.5,12.9,12.9,12.25,12.47,-0.03
2024-03-20,5500.0,12.47,11.47,12.3,11.47,11.85,-0.62
2024-03-21,7500.0,11.85,12.29,12.85,12.29,12.85,1.0
2024-03-22,8500.0,12.85,13.85,13.85,13.5,13.5,0.65
2024-03-25,500.0,13.5,13.0,13.0,13.0,13.0,-0.5
2024-03-27,5000.0,13.0,12.99,13.0,12.99,13.0,0.0
2024-03-28,1000.0,13.0,13.2,13.5,13.2,13.5,0.5
2024-03-29,8000.0,13.5,13.5,13.5,13.0,13.5,0.0
2024-04-01,56000.0,13.5,13.75,14.51,13.75,14.51,1.01
2024-04-02,56500.0,14.51,15.6,15.6,15.6,15.6,1.09
2024-04-03,15500.0,15.6,16.77,16.77,16.77,16.77,1.17
2024-04-04,119500.0,16.77,16.85,18.03,15.51,16.22,-0.55
2024-04-08,21000.0,16.22,17.39,17.39,15.16,15.17,-1.05
2024-04-09,31500.0,15.17,16.31,16.31,14.58,14.58,-0.59
2024-04-15,6000.0,14.58,14.6,15.45,14.6,15.21,0.63
2024-04-16,19500.0,15.21,15.5,16.18,15.41,15.58,0.37
2024-04-17,5500.0,15.58,15.9,16.7,14.51,15.9,0.32
2024-04-18,12000.0,15.9,15.5,16.9,15.5,16.4,0.5
2024-04-19,15000.0,16.4,16.5,17.25,16.0,17.25,0.85
2024-04-22,130000.0,17.25,17.45,18.54,17.45,18.26,1.01
2024-04-23,20000.0,18.26,18.26,19.0,17.5,18.75,0.49
2024-04-24,11000.0,18.75,18.01,19.0,17.8,18.4,-0.35
2024-04-25,16500.0,18.4,18.0,18.0,17.02,17.02,-1.38
2024-04-26,14500.0,17.02,17.0,17.6,16.71,17.46,0.44
2024-04-29,34500.0,17.46,17.4,17.48,17.0,17.0,-0.46
2024-04-30,32000.0,17.0,16.1,17.0,16.0,17.0,0.0
2024-05-02,27500.0,17.0,16.05,17.0,16.05,16.5,-0.5
2024-05-03,25500.0,16.5,17.0,17.0,16.5,16.5,0.0
2024-05-06,13500.0,16.5,16.98,17.0,16.5,16.5,0.0
