Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,17000.0,48.9,49.96,51.0,49.51,50.25,1.35
2024-01-02,14000.0,50.25,50.51,50.51,49.0,49.0,-1.25
2024-01-03,22000.0,49.0,50.0,51.0,49.0,49.08,0.08
2024-01-04,7000.0,49.08,49.5,49.5,49.0,49.0,-0.08
2024-01-05,16000.0,49.0,49.51,51.0,47.01,49.5,0.5
2024-01-08,7500.0,49.5,48.15,48.15,47.0,47.34,-2.16
2024-01-09,39000.0,47.34,48.0,48.0,44.0,44.38,-2.96
2024-01-10,78000.0,44.38,44.41,46.3,42.0,43.92,-0.46
2024-01-11,9500.0,43.92,45.5,45.5,44.0,44.13,0.21
2024-01-12,1500.0,44.13,44.01,44.01,44.01,44.01,-0.12
2024-01-15,2000.0,44.01,43.55,43.7,43.55,43.65,-0.36
2024-01-17,2000.0,43.65,43.0,43.0,43.0,43.0,-0.65
2024-01-18,48500.0,43.0,43.0,43.0,40.01,42.0,1.0
2024-01-19,5500.0,42.0,41.0,42.0,41.0,42.0,0.0
2024-01-22,7000.0,42.0,42.0,42.0,41.0,41.4,-0.6
2024-01-23,6500.0,41.4,40.9,43.4,40.9,42.77,1.37
2024-01-24,11000.0,42.77,44.43,45.44,43.11,44.54,1.77
2024-01-25,7500.0,44.54,45.29,46.84,43.61,43.87,-0.67
2024-01-26,5500.0,43.87,43.11,43.11,43.11,43.11,-0.76
2024-01-29,7000.0,43.11,42.02,42.02,41.22,41.22,-1.89
2024-01-30,16500.0,41.22,41.0,42.4,40.98,42.4,1.18
2024-01-31,3000.0,42.4,40.7,40.7,40.01,40.25,-2.15
2024-02-01,1000.0,40.25,41.0,41.01,41.0,41.01,0.76
2024-02-02,4000.0,41.01,40.2,41.94,40.2,41.94,0.93
2024-02-06,3500.0,41.94,42.0,42.75,42.0,42.37,0.43
2024-02-07,14500.0,42.37,42.88,43.25,42.79,43.25,0.88
2024-02-09,7000.0,43.25,42.02,42.02,41.38,41.39,-1.86
2024-02-12,11000.0,41.39,41.0,41.0,40.0,40.0,-1.39
2024-02-13,7000.0,40.0,40.5,40.5,40.01,40.01,0.01
2024-02-14,4500.0,40.01,41.5,41.5,40.25,40.25,0.24
2024-02-15,2000.0,40.25,40.5,40.5,40.0,40.0,-0.25
2024-02-16,8500.0,40.0,40.0,42.95,40.0,40.8,0.8
2024-02-19,36500.0,40.8,40.95,43.86,39.01,42.9,2.1
2024-02-20,37500.0,42.9,46.12,46.12,46.12,46.12,3.22
2024-02-21,129000.0,46.12,49.0,49.58,47.0,49.26,3.14
2024-02-22,83000.0,49.26,51.0,52.9,49.05,52.0,2.74
2024-02-23,12000.0,52.0,52.02,53.0,51.04,51.46,-0.54
2024-02-26,49500.0,51.46,51.0,53.88,51.0,52.0,0.54
2024-02-27,146500.0,52.0,53.0,55.9,52.0,55.9,3.9
2024-02-28,140000.0,55.9,57.5,58.5,55.5,57.16,1.26
2024-02-29,112000.0,57.16,57.0,57.4,55.8,55.97,-1.19
2024-03-01,24500.0,55.97,56.0,56.0,54.04,55.21,-0.76
2024-03-04,45000.0,55.21,55.0,55.77,53.35,53.35,-1.86
2024-03-05,67500.0,53.35,53.25,54.78,53.0,53.97,0.62
2024-03-06,175500.0,53.97,54.8,58.02,54.6,58.02,4.05
2024-03-07,98000.0,58.02,61.88,62.37,61.0,62.37,4.35
2024-03-08,41500.0,62.37,67.05,67.05,67.05,67.05,4.68
2024-03-11,257500.0,67.05,72.08,72.08,70.2,72.08,5.03
2024-03-12,143000.0,72.08,77.0,77.0,67.18,69.38,-2.7
