Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2000.0,24.85,26.71,26.71,26.71,26.71,1.86
2024-01-02,500.0,26.71,28.71,28.71,28.71,28.71,2.0
2024-01-03,500.0,28.71,30.86,30.86,30.86,30.86,2.15
2024-01-04,500.0,30.86,33.17,33.17,33.17,33.17,2.31
2024-01-08,1000.0,35.66,38.33,38.33,38.33,38.33,2.67
2024-01-12,500.0,46.28,49.75,49.75,49.75,49.75,3.47
2024-01-18,500.0,61.8,66.44,66.44,66.44,66.44,4.64
2024-01-22,2500.0,66.44,71.42,71.42,71.42,71.42,4.98
2024-01-23,500.0,71.42,76.78,76.78,76.78,76.78,5.36
2024-01-26,1500.0,88.73,95.38,95.38,84.0,95.38,6.65
2024-01-29,8500.0,95.38,102.53,102.53,88.23,102.49,7.11
2024-01-31,2000.0,102.49,94.85,95.0,94.82,94.82,-7.67
2024-02-01,1000.0,94.82,87.71,87.71,87.71,87.71,-7.11
2024-02-02,500.0,87.71,81.13,81.13,81.13,81.13,-6.58
2024-02-07,1500.0,76.69,70.94,70.94,70.94,70.94,-5.75
2024-02-13,3000.0,64.72,59.87,63.0,59.87,63.0,-1.72
2024-02-14,500.0,63.0,58.28,58.28,58.28,58.28,-4.72
2024-02-15,7500.0,58.28,53.91,62.65,53.91,53.91,-4.37
2024-02-16,12500.0,53.91,49.87,54.0,49.87,49.87,-4.04
2024-02-19,11500.0,49.87,46.13,51.25,46.13,46.13,-3.74
2024-02-20,3000.0,46.13,42.67,45.95,42.67,42.67,-3.46
2024-02-21,15000.0,42.67,39.47,42.0,39.47,39.47,-3.2
2024-02-22,31500.0,39.47,36.53,42.43,36.51,42.43,2.96
2024-02-23,4000.0,42.43,45.39,45.39,41.19,41.19,-1.24
2024-02-26,3500.0,41.19,40.0,40.0,39.55,39.55,-1.64
2024-02-27,8000.0,39.55,37.05,39.0,37.05,38.4,-1.15
2024-02-28,3000.0,38.4,37.5,37.5,35.52,35.52,-2.88
2024-03-01,8500.0,35.52,37.0,38.15,35.95,37.5,1.98
2024-03-04,13000.0,37.5,39.0,40.31,39.0,40.31,2.81
2024-03-05,6500.0,40.31,42.0,43.33,42.0,42.0,1.69
2024-03-06,4500.0,42.0,43.0,45.15,43.0,45.15,3.15
2024-03-07,10000.0,45.15,47.0,48.54,46.0,48.54,3.39
2024-03-08,9000.0,48.54,52.17,52.18,52.17,52.18,3.64
2024-03-11,2500.0,52.18,56.09,56.09,56.09,56.09,3.91
2024-03-12,1500.0,56.09,60.3,60.3,60.3,60.3,4.21
2024-03-13,7000.0,60.3,64.82,64.82,55.8,55.87,-4.43
2024-03-14,2500.0,55.87,59.55,59.55,56.2,58.95,3.08
2024-03-15,17500.0,58.95,55.01,56.0,54.53,54.55,-4.4
2024-03-19,4500.0,54.55,50.46,51.0,50.46,50.71,-3.84
2024-03-20,9500.0,50.71,52.7,52.7,47.01,49.75,-0.96
2024-03-21,3500.0,49.75,50.98,51.35,50.98,51.35,1.6
2024-03-25,2000.0,51.35,48.0,48.0,47.51,47.71,-3.64
2024-03-28,500.0,47.71,44.35,44.35,44.35,44.35,-3.36
2024-04-01,2000.0,44.35,41.12,41.12,41.11,41.11,-3.24
2024-04-08,500.0,41.11,41.0,41.0,41.0,41.0,-0.11
2024-04-29,500.0,41.0,38.0,38.0,38.0,38.0,3.0
2024-05-02,6500.0,38.0,38.51,40.85,38.5,40.85,2.85
2024-05-03,3000.0,40.85,43.9,43.91,43.89,43.9,3.05
2024-05-06,4000.0,43.9,47.19,47.19,47.19,47.19,3.29
2024-05-07,2000.0,47.19,50.73,50.73,50.73,50.73,3.54
2024-05-08,7000.0,50.73,54.53,54.53,46.93,49.99,-0.74
2024-05-09,4500.0,49.99,53.73,53.74,53.0,53.64,3.65
2024-05-10,4000.0,53.64,49.62,53.0,49.62,53.0,-0.64
2024-05-13,2000.0,53.0,50.15,52.49,50.1,52.49,-0.51
2024-05-14,3500.0,52.49,49.3,53.0,49.2,53.0,0.51
2024-05-15,1000.0,53.0,53.5,53.5,53.5,53.5,0.5
2024-05-17,500.0,53.5,49.5,49.5,49.5,49.5,4.0
2024-05-20,1500.0,49.5,49.52,49.52,49.51,49.52,0.02
2024-05-21,3000.0,49.52,51.99,52.0,51.99,52.0,2.48
2024-05-27,1150.0,52.0,52.95,52.95,49.25,50.01,-1.99
2024-05-30,1101.0,50.01,46.25,50.49,46.25,46.64,-3.37
2024-05-31,2299.0,46.64,49.99,50.37,49.99,50.37,3.73
2024-06-04,1749.0,50.37,50.0,53.0,46.4,52.99,2.62
2024-06-05,1150.0,52.99,52.95,53.0,52.95,52.99,0.0
2024-06-07,500.0,52.99,52.0,52.0,52.0,52.0,-0.99
2024-06-10,1000.0,52.0,48.5,50.5,48.5,50.5,-1.5
2024-06-11,1050.0,50.5,54.75,54.79,54.75,54.79,4.29
2024-06-12,1653.0,54.79,59.45,59.45,59.45,59.45,4.66
2024-06-13,1450.0,59.45,64.5,64.5,64.5,64.5,5.05
2024-06-14,3050.0,64.5,69.98,69.98,69.98,69.98,5.48
2024-06-20,2031.0,69.98,75.93,75.93,75.93,75.93,5.95
2024-06-21,17516.0,75.93,82.38,82.38,82.0,82.38,6.45
2024-06-24,4041.0,82.38,89.79,89.79,89.79,89.79,7.41
2024-06-25,8758.0,89.79,97.87,97.87,97.87,97.87,8.08
2024-06-26,9212.0,97.87,106.68,106.68,106.68,106.68,8.81
2024-06-27,7721.0,106.68,116.28,116.28,116.28,116.28,9.6
2024-06-28,26091.0,116.28,126.75,126.75,105.81,105.81,-10.47
2024-07-01,3438.0,105.81,96.29,96.29,96.29,96.29,-9.52
2024-07-02,1477.0,96.29,87.62,87.62,87.62,87.62,-8.67
2024-07-03,23994.0,87.62,79.73,95.51,79.73,95.51,7.89
2024-07-04,3330.0,95.51,104.11,104.11,104.11,104.11,8.6
2024-07-05,9654.0,104.11,113.48,113.48,111.9,113.48,9.37
2024-07-08,13711.0,113.48,124.26,124.26,120.5,124.26,10.78
2024-07-09,12195.0,124.26,136.06,136.06,135.0,136.06,11.8
2024-07-10,76223.0,136.06,148.99,148.99,123.13,136.26,0.2
2024-07-11,35377.0,136.26,124.06,138.9,124.06,131.98,-4.28
2024-07-12,30029.0,131.98,124.02,138.0,122.05,136.61,4.63
2024-07-15,14996.0,136.61,140.0,140.0,130.01,133.39,-3.22
2024-07-18,12861.0,133.39,131.5,135.99,125.0,128.71,-4.68
2024-07-19,18398.0,128.71,125.01,125.01,116.48,119.22,-9.49
2024-07-22,4722.0,119.22,111.01,118.5,111.01,115.71,-3.51
2024-07-23,1879.0,115.71,118.0,124.0,104.14,112.29,-3.42
2024-07-24,1852.0,112.29,110.0,118.0,108.01,115.8,3.51
2024-07-25,2750.0,115.8,110.0,113.0,104.22,104.45,-11.35
2024-07-26,4840.0,104.45,105.0,110.0,94.51,99.3,-5.15
2024-07-29,17363.0,99.3,105.0,105.0,95.1,102.62,3.32
2024-07-30,5017.0,102.62,100.1,102.88,97.01,98.77,-3.85
2024-07-31,915.0,98.77,102.8,102.8,92.0,93.93,-4.84
2024-08-01,1509.0,93.93,93.93,101.0,90.0,97.73,3.8
2024-08-02,1308.0,97.73,103.8,103.8,93.25,100.64,2.91
2024-08-05,3741.0,100.64,108.0,108.0,97.0,99.98,-0.66
2024-08-06,4867.0,99.98,102.8,104.9,94.0,100.17,0.19
2024-08-07,9780.0,100.17,107.8,107.8,100.0,100.01,-0.16
2024-08-08,1324.0,100.01,104.5,104.5,97.0,97.67,-2.34
2024-08-09,13446.0,97.67,103.0,107.44,100.0,107.44,9.77
2024-08-12,13055.0,107.44,118.18,118.18,102.26,112.15,4.71
2024-08-13,4593.0,112.15,119.0,119.0,100.94,104.2,-7.95
2024-08-15,2781.0,104.2,100.94,110.0,100.94,104.96,0.76
2024-08-16,311.0,104.96,108.0,108.0,100.01,102.36,-2.6
2024-08-19,2540.0,102.36,101.0,109.9,100.0,101.71,-0.65
2024-08-20,228.0,101.71,110.0,110.0,107.0,101.71,0.0
2024-08-21,704.0,101.71,110.0,110.0,95.51,105.05,3.34
2024-08-22,14848.0,105.05,110.0,115.56,109.95,115.56,10.51
2024-08-23,2281.0,115.56,120.0,127.1,113.5,120.7,5.14
2024-08-26,1038.0,120.7,120.7,127.99,111.75,125.11,4.41
2024-08-27,1067.0,125.11,125.0,125.0,114.0,114.09,-11.02
2024-08-28,4268.0,114.09,108.0,121.0,108.0,120.11,6.02
2024-08-29,3240.0,120.11,123.0,126.0,123.0,125.79,5.68
2024-08-30,10028.0,125.79,130.0,132.37,114.0,130.0,4.21
2024-09-02,975.0,130.0,134.49,135.0,134.0,135.0,5.0
2024-09-03,10315.0,135.0,135.0,135.0,125.1,130.01,-4.99
2024-09-04,2530.0,130.01,130.0,134.5,124.0,124.0,-6.01
2024-09-05,2190.0,124.0,130.0,135.0,125.0,134.8,10.8
2024-09-06,2017.0,134.8,132.99,135.0,123.0,134.88,0.08
2024-09-09,2374.0,134.88,135.0,148.37,125.0,135.5,0.62
2024-09-10,49.0,135.5,135.0,144.0,135.0,135.5,0.0
2024-09-11,169.0,135.5,136.11,136.3,136.11,135.5,0.0
2024-09-12,5616.0,135.5,144.0,149.05,142.9,148.63,13.13
2024-09-13,190.0,148.63,159.0,160.0,134.0,158.74,10.11
2024-09-16,1706.0,158.74,144.0,158.99,144.0,149.85,-8.89
2024-09-18,1.0,149.85,150.0,150.0,150.0,149.85,0.0
2024-09-20,3220.0,149.85,140.0,160.75,140.0,159.43,9.58
2024-09-23,531.0,159.43,150.0,151.0,150.0,150.0,-9.43
2024-09-25,894.0,150.0,165.0,165.0,163.0,165.0,15.0
2024-09-26,5712.0,165.0,181.5,181.5,181.5,181.5,16.5
2024-09-27,450.0,181.5,195.0,199.65,165.0,199.18,17.68
2024-09-30,2555.0,199.18,219.1,219.1,179.26,180.11,-19.07
2024-10-01,1122.0,180.11,162.2,184.0,162.2,180.47,0.36
2024-10-04,500.0,180.47,162.5,169.5,162.5,167.17,-13.3
2024-10-08,160.0,167.17,177.5,177.5,177.5,167.17,0.0
2024-10-09,190.0,167.17,167.17,167.17,167.17,167.17,0.0
2024-10-14,500.0,167.17,151.5,151.55,151.5,151.5,-15.67
2024-10-15,76.0,151.5,137.0,166.65,137.0,151.5,0.0
2024-10-16,370.0,151.5,165.0,165.0,140.0,160.01,8.51
2024-10-21,14808.0,160.01,144.01,176.01,144.01,176.01,16.0
2024-10-22,636.0,176.01,187.86,193.61,187.86,193.61,17.6
2024-10-23,237.0,193.61,212.95,212.95,185.5,212.83,19.22
2024-10-24,219.0,212.83,231.0,231.0,192.0,230.99,18.16
2024-10-25,3879.0,230.99,230.0,254.09,207.9,254.09,23.1
2024-10-28,1295.0,254.09,256.0,279.5,256.0,277.23,23.14
2024-10-29,964.0,277.23,304.85,304.95,304.75,304.95,27.72
2024-10-30,349.0,304.95,335.45,335.45,335.45,335.45,30.5
2024-10-31,571.0,335.45,369.0,369.0,369.0,369.0,33.55
2024-11-01,516.0,369.0,405.9,405.9,405.9,405.9,36.9
2024-11-04,27821.0,405.9,446.49,446.49,365.31,365.31,-40.59
2024-11-05,2481.0,365.31,365.0,365.0,328.78,328.78,-36.53
2024-11-06,5391.0,328.78,295.9,327.9,295.9,298.07,-30.71
2024-11-07,1284.0,298.07,290.0,290.0,268.26,268.26,-29.81
2024-11-08,1671.0,268.26,242.0,262.0,241.43,241.43,-26.83
2024-11-11,2420.0,241.43,218.03,218.11,217.29,217.29,-24.14
2024-11-12,7382.0,217.29,197.0,217.0,195.56,195.56,-21.73
2024-11-13,3799.0,195.56,176.0,176.0,176.0,176.0,-19.56
2024-11-14,12217.0,176.0,161.0,188.6,158.4,168.91,-7.09
2024-11-15,9862.0,168.91,168.91,183.0,168.91,174.97,6.06
2024-11-18,3611.0,174.97,174.97,179.98,170.0,170.88,-4.09
2024-11-19,972.0,170.88,174.0,174.0,162.0,169.92,-0.96
2024-11-20,1693.0,169.92,162.16,170.0,160.02,168.04,-1.88
2024-11-21,2134.0,168.04,160.0,167.99,160.0,164.9,-3.14
2024-11-22,4599.0,164.9,160.12,164.98,158.0,158.54,-6.36
2024-11-25,1170.0,158.54,158.0,158.0,143.1,143.82,-14.72
2024-11-26,2799.0,143.82,140.0,140.0,129.44,129.44,-14.38
2024-11-27,16962.0,129.44,129.44,129.44,116.5,116.5,-12.94
2024-11-28,8758.0,116.5,116.0,128.15,113.75,119.83,3.33
2024-11-29,3891.0,119.83,130.8,130.8,116.5,125.87,6.04
2024-12-02,4424.0,125.87,126.0,138.46,126.0,138.46,12.59
2024-12-03,1362.0,138.46,140.0,152.31,140.0,152.31,13.85
2024-12-04,5165.0,152.31,167.54,167.54,167.53,167.54,15.23
2024-12-05,2634.0,167.54,179.0,184.29,179.0,184.29,16.75
2024-12-06,9654.0,184.29,202.72,202.72,190.0,202.5,18.21
2024-12-09,16820.0,202.5,203.05,222.75,183.55,217.96,15.46
2024-12-10,7425.0,217.96,217.96,223.0,200.0,208.69,-9.27
2024-12-11,9796.0,208.69,200.0,220.0,190.0,203.88,-4.81
2024-12-12,2823.0,203.88,208.9,208.9,194.5,200.05,-3.83
2024-12-13,3634.0,200.05,202.0,207.0,185.0,194.37,-5.68
2024-12-16,2924.0,194.37,209.0,209.0,174.93,190.05,-4.32
2024-12-17,4513.0,190.05,196.89,196.98,181.0,184.0,-6.05
2024-12-18,445.0,184.0,180.92,188.4,172.6,183.61,-0.39
2024-12-19,203.0,183.61,192.5,192.8,169.0,174.68,-8.93
2024-12-20,374.0,174.68,174.68,182.96,161.0,173.69,-0.99
2024-12-23,494.0,173.69,188.0,188.0,157.8,185.36,11.67
2024-12-24,571.0,185.36,194.5,194.5,167.0,182.33,-3.03
2024-12-26,526.0,182.33,188.0,188.0,168.0,168.08,-14.25
2024-12-27,862.0,168.08,180.0,180.0,168.0,170.08,2.0
2024-12-30,3717.0,170.08,175.0,179.0,156.0,170.08,0.0
2024-12-31,842.0,170.08,180.0,180.0,165.0,171.06,0.98
2025-01-01,857.0,171.06,177.99,179.0,155.55,170.04,-1.02
2025-01-02,1339.0,170.04,171.0,173.4,165.0,171.0,0.96
2025-01-03,583.0,171.0,181.0,188.0,164.0,178.69,7.69
2025-01-06,1280.0,178.69,165.0,179.89,165.0,170.13,-8.56
2025-01-07,1213.0,170.13,165.0,175.88,164.1,174.0,3.87
2025-01-08,46.0,174.0,170.01,177.8,170.0,174.0,0.0
2025-01-09,432.0,174.0,178.85,178.85,156.65,157.76,-16.24
2025-01-10,30.0,157.76,157.0,172.95,157.0,157.76,0.0
2025-01-13,372.0,157.76,173.54,173.54,157.0,160.46,2.7
2025-01-14,280.0,160.46,171.68,171.68,161.75,163.4,2.94
2025-01-15,503.0,163.4,171.0,171.0,163.0,163.19,-0.21
2025-01-16,716.0,163.19,173.0,173.0,146.87,155.97,-7.22
2025-01-17,1045.0,155.97,155.99,171.57,155.99,169.86,13.89
2025-01-20,5228.0,169.86,186.85,186.85,170.0,173.92,4.06
2025-01-21,231.0,173.92,171.0,172.99,163.21,170.18,-3.74
2025-01-22,505.0,170.18,178.0,178.0,156.02,160.73,-9.45
2025-01-23,351.0,160.73,174.99,176.8,161.0,170.92,10.19
2025-01-24,233.0,170.92,188.0,188.0,170.0,173.25,2.33
2025-01-27,189.0,173.25,189.9,189.9,166.0,169.6,-3.65
2025-01-28,80.0,169.6,170.0,170.0,167.0,169.6,0.0
2025-01-29,108.0,169.6,178.0,178.0,166.0,169.6,0.0
2025-01-30,1785.0,169.6,169.6,170.5,153.01,159.8,-9.8
2025-01-31,1670.0,159.8,169.55,169.55,154.1,155.78,-4.02
2025-02-03,1993.0,155.78,162.0,170.0,162.0,166.65,10.87
2025-02-04,2305.0,166.65,177.5,177.5,152.22,160.32,-6.33
2025-02-06,1010.0,160.32,161.56,161.56,144.29,149.13,-11.19
2025-02-07,642.0,149.13,139.0,145.56,136.0,143.1,-6.03
2025-02-10,1039.0,143.1,143.1,144.66,139.99,140.24,-2.86
2025-02-11,140.0,140.24,148.0,148.0,140.0,140.24,0.0
2025-02-12,133.0,140.24,149.99,149.99,135.78,140.24,0.0
2025-02-13,153.0,140.24,147.0,147.0,139.99,140.24,0.0
2025-02-14,236.0,140.24,134.56,154.0,134.01,145.64,5.4
2025-02-17,65.0,145.64,140.05,140.05,140.0,145.64,0.0
2025-02-18,32.0,145.64,135.56,144.85,135.56,145.64,0.0
2025-02-19,1608.0,145.64,136.02,144.0,131.08,133.85,-11.79
2025-02-20,719.0,133.85,134.5,135.01,134.0,134.01,0.16
2025-02-21,881.0,134.01,125.56,146.49,124.0,141.96,7.95
