Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,57000.0,72.02,73.0,76.0,73.0,75.87,3.85
2024-01-02,59000.0,75.87,76.69,76.69,74.61,75.08,-0.79
2024-01-03,41000.0,75.08,75.97,75.97,74.0,74.47,-0.61
2024-01-04,251000.0,74.47,73.51,79.87,73.51,78.5,4.03
2024-01-05,82000.0,78.5,78.5,79.84,76.31,77.33,-1.17
2024-01-08,18000.0,77.33,77.5,77.5,75.63,75.87,-1.46
2024-01-09,37000.0,75.87,75.5,76.86,74.85,75.03,-0.84
2024-01-10,122500.0,75.03,75.13,78.0,75.11,75.67,0.64
2024-01-11,26000.0,75.67,75.51,77.13,75.45,75.9,0.23
2024-01-12,69500.0,75.9,76.0,77.5,74.01,74.33,-1.57
2024-01-15,34500.0,74.33,74.55,75.0,73.0,73.19,-1.14
2024-01-16,20000.0,73.19,72.5,72.5,71.0,72.08,-1.11
2024-01-17,25000.0,72.08,72.0,73.4,71.5,71.99,-0.09
2024-01-18,19500.0,71.99,72.0,72.99,70.01,71.34,-0.65
2024-01-19,23500.0,71.34,72.47,73.35,70.5,70.96,-0.38
2024-01-22,13500.0,70.96,71.95,71.99,70.13,70.23,-0.73
2024-01-23,7000.0,70.23,70.3,71.75,70.3,71.75,1.52
2024-01-24,35500.0,71.75,72.0,73.45,71.0,71.03,-0.72
2024-01-25,9500.0,71.03,71.0,71.38,70.3,70.65,-0.38
2024-01-26,3500.0,70.65,70.5,71.5,70.3,71.5,0.85
2024-01-30,35500.0,71.5,70.21,70.21,68.0,69.0,-2.5
2024-01-31,24000.0,69.0,68.13,70.69,67.7,67.95,-1.05
2024-02-01,12500.0,67.95,67.95,68.0,67.01,67.4,-0.55
2024-02-02,6000.0,67.4,67.7,68.29,67.51,67.7,0.3
2024-02-06,6500.0,67.7,67.5,68.25,67.0,67.98,0.28
2024-02-07,26500.0,67.98,68.85,70.45,68.85,69.03,1.05
2024-02-09,28000.0,69.03,67.02,67.21,66.5,67.0,-2.03
2024-02-12,6000.0,67.0,66.55,66.55,66.0,66.0,1.0
2024-02-13,4500.0,66.0,64.0,66.0,63.16,66.0,0.0
2024-02-14,11500.0,66.0,67.48,68.43,66.5,68.0,2.0
2024-02-15,2500.0,68.0,68.0,68.0,67.05,67.05,-0.95
2024-02-16,5500.0,67.05,65.07,65.75,64.25,64.33,-2.72
2024-02-19,9000.0,64.33,64.0,65.5,63.4,63.77,-0.56
2024-02-20,15000.0,63.77,64.21,66.49,63.0,63.12,-0.65
2024-02-21,102500.0,63.12,65.9,67.85,65.51,67.1,3.98
2024-02-22,14500.0,67.1,68.01,69.49,68.01,68.36,1.26
2024-02-23,22000.0,68.36,68.0,69.98,67.1,68.0,-0.36
2024-02-26,9000.0,68.0,67.25,69.56,67.25,68.0,0.0
2024-02-27,7000.0,68.0,68.0,68.86,67.1,67.25,-0.75
2024-02-28,5000.0,67.25,68.5,68.5,67.0,67.09,-0.16
2024-02-29,14500.0,67.09,67.09,68.99,66.42,67.14,0.05
2024-03-01,38500.0,67.14,67.8,69.9,66.75,69.16,2.02
2024-03-04,54000.0,69.16,69.05,73.0,68.7,72.7,3.54
2024-03-05,70000.0,72.7,73.5,74.39,69.9,70.05,-2.65
2024-03-06,21000.0,70.05,70.0,71.0,69.01,70.88,0.83
2024-03-07,9500.0,70.88,71.0,71.0,70.25,70.33,-0.55
2024-03-08,33000.0,70.33,70.5,72.45,70.0,71.92,1.59
2024-03-11,29500.0,71.92,73.0,73.0,71.0,72.13,0.21
2024-03-12,26000.0,72.13,72.0,72.0,68.51,69.29,-2.84
2024-03-13,10000.0,69.29,69.9,70.99,68.52,68.57,-0.72
2024-03-14,22000.0,68.57,68.8,71.48,67.1,69.5,0.93
2024-03-15,5000.0,69.5,70.0,70.0,69.01,69.45,-0.05
2024-03-18,4500.0,69.45,68.11,69.99,68.11,69.5,0.05
2024-03-19,52000.0,69.5,69.5,71.0,68.06,69.84,0.34
2024-03-20,49000.0,69.84,70.15,71.9,70.0,70.66,0.82
2024-03-21,4500.0,70.66,70.5,70.5,70.0,70.0,-0.66
2024-03-22,150000.0,70.0,70.0,71.5,70.0,71.43,1.43
2024-03-25,48500.0,71.43,70.5,72.6,69.16,70.76,-0.67
2024-03-26,17000.0,70.76,71.0,72.85,71.0,71.15,0.39
2024-03-27,21000.0,71.15,69.5,73.39,69.5,71.07,-0.08
2024-03-28,9500.0,71.07,71.0,72.99,70.52,72.0,0.93
2024-03-29,10500.0,72.0,71.01,72.93,70.5,71.5,-0.5
2024-04-01,9500.0,71.5,71.32,72.98,70.5,70.51,-0.99
2024-04-02,13500.0,70.51,70.51,71.99,69.51,70.16,-0.35
2024-04-03,29000.0,70.16,71.0,73.62,70.8,71.59,1.43
2024-04-04,24000.0,71.59,71.51,73.89,70.5,70.81,-0.78
