Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2025-03-07,1584522.0,18.2,20.02,20.02,20.02,20.02,1.82
2025-03-10,38928.0,20.02,22.02,22.02,22.02,22.02,2.0
2025-03-11,41405.0,22.02,24.22,24.22,24.22,24.22,2.2
2025-03-12,4468001.0,24.22,26.64,26.64,26.64,26.64,2.42
2025-03-13,24680233.0,26.64,29.0,29.25,27.1,28.4,1.76
2025-03-14,9717375.0,28.4,28.4,30.0,28.05,29.48,1.08
2025-03-17,7596593.0,29.48,29.5,29.5,27.05,27.54,-1.94
2025-03-18,10258343.0,27.54,27.4,28.74,26.75,27.52,-0.02
2025-03-19,2693230.0,27.52,27.9,28.26,27.4,27.55,0.03
2025-03-20,3791460.0,27.55,27.54,28.35,27.3,27.77,0.22
2025-03-21,708805.0,27.77,27.83,27.83,27.18,27.3,-0.47
2025-03-24,1867083.0,27.3,27.3,27.4,26.75,26.98,-0.32
2025-03-25,2624228.0,26.98,27.02,27.1,25.51,25.9,-1.08
2025-03-26,919693.0,25.9,26.1,26.64,26.1,26.25,0.35
2025-03-27,475811.0,26.25,26.26,26.5,25.99,26.05,-0.2
2025-04-03,2571625.0,26.05,26.0,26.74,25.95,26.13,0.08
2025-04-04,1293836.0,26.13,26.19,26.19,25.07,25.29,-0.84
2025-04-07,3754722.0,25.29,25.05,25.06,22.76,24.0,-1.29
2025-04-08,674619.0,24.0,23.55,25.0,23.55,24.76,0.76
2025-04-09,490517.0,24.76,24.51,24.69,23.88,24.2,-0.56
2025-04-10,2094925.0,24.2,24.9,26.13,24.6,24.77,0.57
2025-04-11,611734.0,24.77,24.7,25.25,24.2,24.93,0.16
2025-04-14,4374632.0,24.93,25.01,27.42,25.01,27.42,2.49
2025-04-15,5047752.0,27.42,28.0,28.61,26.8,27.12,-0.3
2025-04-16,1463493.0,27.12,27.1,27.5,26.56,26.71,-0.41
2025-04-17,286664.0,26.71,26.75,26.95,26.51,26.6,-0.11
2025-04-18,5411885.0,26.6,26.58,28.8,26.1,28.08,1.48
2025-04-21,6796752.0,28.08,28.9,29.98,28.63,29.26,1.18
2025-04-22,12092164.0,29.26,29.31,32.19,28.45,32.19,2.93
2025-04-23,16119243.0,32.19,32.8,34.73,31.27,32.35,0.16
2025-04-24,5988007.0,32.35,30.76,31.86,29.6,30.17,-2.18
2025-04-25,2955711.0,30.17,30.15,31.1,28.58,29.08,-1.09
2025-04-28,3547428.0,29.08,29.3,29.75,26.6,26.9,-2.18
2025-04-29,3541309.0,26.9,26.66,29.14,26.66,28.61,1.71
2025-04-30,2714063.0,28.61,28.3,28.3,26.4,27.01,-1.6
2025-05-02,1526874.0,27.01,27.6,28.74,27.6,27.98,0.97
2025-05-05,1168827.0,27.98,28.3,28.74,27.6,28.52,0.54
2025-05-06,2330838.0,28.52,29.0,29.5,28.5,28.79,0.27
2025-05-07,2896610.0,28.79,26.04,28.24,26.04,27.13,-1.66
2025-05-08,2077568.0,27.13,27.31,28.24,24.42,24.99,-2.14
2025-05-09,1387044.0,24.99,24.81,26.69,24.1,26.42,1.43
2025-05-12,988881.0,26.42,29.06,29.06,29.0,29.06,2.64
2025-05-13,2823558.0,29.06,31.0,31.0,28.46,28.63,-0.43
2025-05-14,4747186.0,28.63,28.88,29.9,28.3,28.64,0.01
2025-05-15,2381344.0,28.64,28.97,29.43,28.51,28.74,0.1
2025-05-16,1975714.0,28.74,29.0,29.33,28.45,28.64,-0.1
2025-05-19,2781737.0,28.64,28.78,29.68,28.32,28.78,0.14
2025-05-20,2376729.0,28.78,28.65,29.48,28.58,28.99,0.21
2025-05-21,1833950.0,28.99,29.0,29.35,28.8,28.93,-0.06
2025-05-22,3835149.0,28.93,29.08,29.6,28.5,28.79,-0.14
2025-05-23,730725.0,28.79,28.73,29.0,28.6,28.68,-0.11
2025-05-26,1097044.0,28.68,28.7,28.8,28.0,28.19,-0.49
2025-05-27,1011366.0,28.19,28.19,28.48,27.9,28.33,0.14
2025-05-29,2397467.0,28.33,28.5,28.99,28.3,28.69,0.36
2025-05-30,754403.0,28.69,28.69,28.8,28.35,28.45,-0.24
2025-06-02,481892.0,28.45,28.5,28.69,28.2,28.27,-0.18
2025-06-03,918773.0,28.27,28.44,28.44,27.75,28.11,-0.16
2025-06-04,620934.0,28.11,28.11,28.35,27.99,28.14,0.03
2025-06-05,492830.0,28.14,28.29,28.29,27.99,28.15,0.01
2025-06-10,4796971.0,28.15,28.49,29.5,28.31,28.8,0.65
2025-06-11,17124632.0,28.8,29.05,31.68,29.0,30.07,1.27
2025-06-12,6308181.0,30.07,30.2,31.44,29.8,30.37,0.3
2025-06-13,3614714.0,30.37,29.56,30.84,29.45,30.46,0.09
2025-06-16,11826100.0,30.46,30.5,33.51,30.5,32.4,1.94
