Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-10-21,5237439.0,77.0,78.48,78.48,74.55,76.55,-0.45
2024-10-22,6084146.0,76.55,76.5,84.21,76.06,83.86,7.31
2024-10-23,7359678.0,83.86,85.85,92.25,84.11,85.86,2.0
2024-10-24,2255061.0,85.86,85.79,87.0,82.78,84.77,-1.09
2024-10-25,2362772.0,84.77,84.7,88.5,83.9,86.11,1.34
2024-10-28,3654507.0,86.11,91.0,93.0,88.2,91.8,5.69
2024-10-29,1462857.0,91.8,93.0,95.5,92.2,94.06,2.26
2024-10-30,1682856.0,94.06,95.4,98.0,93.25,93.69,-0.37
2024-10-31,865080.0,93.69,95.0,95.0,87.0,89.81,-3.88
2024-11-01,471897.0,89.81,89.89,93.7,89.6,91.14,1.33
2024-11-04,493370.0,91.14,93.99,94.25,91.0,91.33,0.19
2024-11-05,553801.0,91.33,93.0,93.9,91.0,93.16,1.83
2024-11-06,1158867.0,93.16,93.99,96.0,93.0,93.41,0.25
2024-11-07,369350.0,93.41,93.59,94.55,93.01,94.33,0.92
2024-11-08,220796.0,94.33,94.0,95.0,93.0,94.73,0.4
2024-11-11,1971014.0,94.73,94.0,101.98,93.5,99.11,4.38
2024-11-12,1544819.0,99.11,100.12,102.0,96.0,96.75,-2.36
2024-11-13,735672.0,96.75,97.25,100.1,95.1,98.07,1.32
2024-11-14,1432093.0,98.07,99.88,104.2,97.01,102.73,4.66
2024-11-15,845275.0,102.73,104.24,113.0,104.0,113.0,10.27
2024-11-18,4768093.0,113.0,124.3,124.3,120.0,124.3,11.3
2024-11-19,2585327.0,124.3,128.49,136.73,128.49,136.73,12.43
2024-11-20,6253351.0,136.73,139.9,150.4,135.1,149.9,13.17
2024-11-21,4539616.0,149.9,153.89,160.0,147.02,150.22,0.32
2024-11-22,3486346.0,150.22,148.98,150.0,135.2,140.31,-9.91
2024-11-25,3750423.0,140.31,140.5,151.7,140.22,148.92,8.61
2024-11-26,4161311.0,148.92,150.0,153.9,135.05,141.57,-7.35
2024-11-27,3938584.0,141.57,150.0,154.25,145.0,148.94,7.37
2024-11-28,2827002.0,148.94,149.89,163.83,149.0,163.83,14.89
2024-11-29,1325482.0,163.83,180.21,180.21,180.21,180.21,16.38
2024-12-02,2040978.0,180.21,189.74,198.23,188.0,198.23,18.02
2024-12-03,6887099.0,198.23,214.9,218.05,183.0,214.29,16.06
2024-12-04,3921887.0,214.29,224.34,235.5,211.0,231.04,16.75
2024-12-05,3518287.0,231.04,233.89,249.45,229.25,243.36,12.32
2024-12-06,3544612.0,243.36,246.0,251.5,230.0,234.71,-8.65
2024-12-09,3468774.0,234.71,235.38,237.0,211.24,214.33,-20.38
2024-12-10,3464878.0,214.33,217.96,217.96,192.9,192.9,-21.43
2024-12-11,2232494.0,192.9,186.0,201.0,185.51,188.18,-4.72
2024-12-12,2342419.0,188.18,189.98,207.0,187.02,207.0,18.82
2024-12-13,4003067.0,207.0,218.0,227.7,212.0,216.77,9.77
2024-12-16,2417475.0,216.77,220.0,226.98,204.0,206.98,-9.79
2024-12-17,2128086.0,206.98,202.98,215.9,198.0,205.13,-1.85
2024-12-18,2166819.0,205.13,206.0,213.0,195.0,197.36,-7.77
2024-12-19,1345141.0,197.36,200.0,202.88,187.0,191.26,-6.1
2024-12-20,2177492.0,191.26,191.26,210.39,189.5,210.39,19.13
2024-12-23,3384624.0,210.39,221.0,231.43,218.0,231.43,21.04
2024-12-24,3936196.0,231.43,235.0,253.9,215.0,233.6,2.17
2024-12-26,1579225.0,233.6,234.9,246.95,229.0,236.73,3.13
2024-12-27,1900465.0,236.73,242.0,243.4,230.02,236.97,0.24
2024-12-30,1304751.0,236.97,240.0,244.12,237.5,240.51,3.54
2024-12-31,849042.0,240.51,243.8,245.0,233.6,234.85,-5.66
2025-01-01,726019.0,234.85,235.0,237.49,229.9,231.15,-3.7
2025-01-02,1468431.0,231.15,233.0,245.0,231.5,234.11,2.96
2025-01-03,2292081.0,234.11,235.5,244.88,235.0,242.93,8.82
2025-01-06,1933849.0,242.93,246.99,253.97,236.0,237.2,-5.73
2025-01-07,1117414.0,237.2,240.0,242.0,224.01,228.33,-8.87
2025-01-08,792094.0,228.33,230.01,234.0,215.1,220.04,-8.29
2025-01-09,606266.0,220.04,222.99,223.0,204.0,208.22,-11.82
2025-01-10,1663918.0,208.22,208.8,214.0,188.11,191.19,-17.03
2025-01-13,2143102.0,191.19,193.0,196.01,184.5,191.15,-0.04
2025-01-14,1596341.0,191.15,193.0,210.27,192.45,210.27,19.12
2025-01-15,2981826.0,210.27,219.89,231.3,219.89,231.3,21.03
2025-01-16,3535573.0,231.3,240.0,245.97,222.0,223.45,-7.85
2025-01-17,2121771.0,223.45,226.0,231.49,219.01,227.81,4.36
2025-01-20,1944566.0,227.81,228.0,236.23,225.0,229.23,1.42
2025-01-21,2930614.0,229.23,231.9,242.99,225.0,229.04,-0.19
2025-01-22,1979699.0,229.04,230.0,236.86,221.55,223.92,-5.12
2025-01-23,2203924.0,223.92,224.74,230.0,221.0,222.84,-1.08
2025-01-24,2313182.0,222.84,224.03,234.97,222.9,225.13,2.29
2025-01-27,1171042.0,225.13,225.94,227.0,208.17,212.98,-12.15
2025-01-28,1340623.0,212.98,213.01,218.5,208.63,212.8,-0.18
2025-01-29,3196788.0,212.8,213.89,230.0,211.0,219.32,6.52
2025-01-30,2377059.0,219.32,219.11,228.0,219.0,224.61,5.29
2025-01-31,1568926.0,224.61,227.99,229.0,222.0,223.48,-1.13
2025-02-03,522180.0,223.48,224.0,224.5,211.5,213.41,-10.07
2025-02-04,572955.0,213.41,216.85,219.0,208.0,209.19,-4.22
2025-02-06,759479.0,209.19,210.11,213.1,201.2,203.1,-6.09
2025-02-07,1344941.0,203.1,204.05,210.0,202.0,205.72,2.62
2025-02-10,2464924.0,205.72,206.98,214.98,203.95,212.6,6.88
2025-02-11,2281446.0,212.6,213.98,221.98,213.0,217.55,4.95
2025-02-12,1991499.0,217.55,220.0,224.0,216.0,218.83,1.28
2025-02-13,759673.0,218.83,220.0,221.55,215.65,217.05,-1.78
2025-02-14,1486264.0,217.05,218.0,219.0,210.0,212.78,-4.27
2025-02-17,1108105.0,212.78,213.0,214.5,197.1,199.22,-13.56
2025-02-18,1378780.0,199.22,198.99,202.0,195.0,195.94,-3.28
2025-02-19,4503274.0,195.94,195.94,204.39,195.0,201.23,5.29
2025-02-20,2568154.0,201.23,201.99,203.8,196.49,197.16,-4.07
2025-02-21,1784921.0,197.16,198.0,198.3,188.8,190.72,-6.44
2025-02-24,3172431.0,190.72,191.11,199.8,191.05,195.82,5.1
2025-02-25,2407159.0,195.82,196.98,198.2,189.0,190.38,-5.44
2025-02-26,2166419.0,190.38,192.0,193.98,182.02,185.01,-5.37
2025-02-27,2869426.0,185.01,183.99,184.83,166.51,166.52,-18.49
2025-02-28,2064275.0,166.52,156.57,173.0,155.11,166.12,-0.4
2025-03-03,404731.0,166.12,168.01,169.0,156.51,157.88,-8.24
2025-03-04,1191277.0,157.88,155.0,173.67,155.0,173.67,15.79
2025-03-05,951746.0,173.67,177.01,180.05,165.4,167.13,-6.54
2025-03-06,378149.0,167.13,167.8,171.5,167.02,168.26,1.13
2025-03-07,683586.0,168.26,169.98,173.44,164.1,172.07,3.81
2025-03-10,3233860.0,172.07,180.0,189.28,170.11,189.28,17.21
2025-03-11,1298689.0,189.28,189.4,191.0,181.16,182.84,-6.44
2025-03-12,1897044.0,182.84,181.97,192.0,179.2,184.45,1.61
2025-03-13,1376306.0,184.45,182.15,188.0,182.15,185.14,0.69
2025-03-14,1315198.0,185.14,187.0,188.0,182.5,183.55,-1.59
2025-03-17,1111116.0,183.55,184.79,185.5,177.5,178.62,-4.93
2025-03-18,961592.0,178.62,179.9,180.01,172.01,172.98,-5.64
2025-03-19,1410096.0,172.98,174.48,177.5,167.0,168.49,-4.49
2025-03-20,1527788.0,168.49,170.49,170.49,163.6,164.26,-4.23
2025-03-21,1576596.0,164.26,165.1,172.0,164.9,165.94,1.68
2025-03-24,1033389.0,165.94,166.99,171.6,165.5,166.2,0.26
2025-03-25,508572.0,166.2,166.98,167.5,163.3,165.02,-1.18
2025-03-26,668144.0,165.02,168.96,168.99,164.5,165.09,0.07
2025-03-27,325453.0,165.09,166.5,167.0,164.83,166.57,1.48
2025-04-03,614587.0,166.57,167.0,169.9,166.5,167.26,0.69
2025-04-04,330064.0,167.26,167.26,168.65,164.5,164.98,-2.28
