Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,2500.0,5.5,5.5,5.5,5.5,5.5,0.0
2024-01-03,1500.0,5.5,5.5,5.5,5.5,5.5,0.0
2024-01-04,1000.0,5.5,5.5,5.5,5.5,5.5,0.0
2024-01-05,4000.0,5.5,5.6,5.8,5.6,5.8,0.3
2024-01-08,2000.0,5.8,5.7,5.8,5.7,5.8,0.0
2024-02-20,1000.0,5.8,5.5,5.5,5.5,5.5,-0.3
2024-03-06,7500.0,5.5,6.0,6.4,4.5,6.0,0.5
2024-03-08,5500.0,6.0,5.0,5.5,5.0,5.5,-0.5
2024-03-28,500.0,5.5,4.75,4.75,4.75,4.75,-0.75
2024-04-03,500.0,4.75,5.0,5.0,5.0,5.0,0.25
2024-04-16,5000.0,5.0,4.67,4.67,4.65,4.65,-0.35
2024-04-17,500.0,4.65,0.0,0.0,0.0,4.65,0.0
2024-04-29,1500.0,4.65,5.0,5.1,5.0,5.1,0.45
2024-05-03,1000.0,5.1,5.75,5.9,5.75,5.83,0.73
2024-05-06,4000.0,5.83,5.95,6.0,5.95,6.0,0.17
2024-05-08,3000.0,6.0,5.75,6.0,5.75,5.98,-0.02
2024-05-30,501.0,5.98,5.06,5.12,5.06,5.12,-0.86
2024-06-04,1.0,5.12,4.56,4.56,4.56,5.12,0.0
2024-06-06,10.0,5.12,5.6,5.6,5.6,5.12,0.0
2024-06-20,738.0,5.12,4.4,5.0,4.4,5.0,-0.12
2024-07-04,1.0,5.0,5.95,5.95,5.95,5.0,0.0
2024-07-09,1.0,5.0,4.1,4.1,4.1,5.0,0.0
2024-07-11,169206.0,5.0,0.0,0.0,0.0,5.0,0.0
2024-07-15,16944.0,5.0,5.95,6.0,5.95,6.0,1.0
2024-07-18,174101.0,6.0,6.5,7.0,6.25,6.89,0.89
2024-07-19,25145.0,6.89,7.0,7.87,7.0,7.0,0.11
2024-07-22,65.0,7.0,7.95,7.95,7.8,7.0,0.0
2024-07-23,64020.0,7.0,6.05,8.0,6.05,7.5,0.5
2024-07-24,114908.0,7.5,7.25,8.25,7.25,8.0,0.5
2024-07-25,70653.0,8.0,8.43,9.0,8.39,9.0,1.0
2024-07-26,32800.0,9.0,9.84,10.0,8.5,9.8,0.8
2024-07-29,3105.0,9.8,10.3,10.3,9.01,9.98,0.18
2024-07-30,4034.0,9.98,10.35,10.35,9.02,9.95,-0.03
2024-07-31,27799.0,9.95,9.01,10.95,9.01,10.94,0.99
2024-08-01,3450.0,10.94,11.94,11.94,10.6,11.8,0.86
2024-08-02,69148.0,11.8,11.71,12.98,11.0,12.53,0.73
2024-08-05,15208.0,12.53,12.5,13.5,11.8,11.85,-0.68
2024-08-06,6954.0,11.85,12.47,12.47,10.67,11.11,-0.74
2024-08-07,5202.0,11.11,11.11,11.95,10.25,11.5,0.39
2024-08-08,3.0,11.5,11.95,11.95,11.85,11.5,0.0
2024-08-09,1283.0,11.5,11.85,12.49,11.7,11.85,0.35
2024-08-12,2001.0,11.85,12.5,12.5,11.0,11.99,0.14
2024-08-13,3698.0,11.99,10.79,11.99,10.79,11.8,-0.19
2024-08-15,1100.0,11.8,12.42,12.44,12.0,12.0,0.2
2024-08-16,240.0,12.0,12.0,12.45,12.0,12.0,0.0
2024-08-19,120.0,12.0,12.0,12.48,12.0,12.0,0.0
2024-08-20,2230.0,12.0,10.8,13.2,10.8,13.14,1.14
2024-08-21,14441.0,13.14,11.83,14.0,11.83,11.92,-1.22
