Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,223700.0,117.94,121.9,126.79,119.0,123.38,5.44
2024-01-02,79300.0,123.38,126.2,128.28,122.0,122.98,-0.4
2024-01-03,41600.0,122.98,122.0,125.98,122.0,123.53,0.55
2024-01-04,24600.0,123.53,123.5,124.0,121.5,123.16,-0.37
2024-01-05,91800.0,123.16,122.0,126.5,118.0,122.12,-1.04
2024-01-08,72100.0,122.12,120.11,122.8,120.0,120.11,-2.01
2024-01-09,49200.0,120.11,119.5,121.0,118.0,120.07,-0.04
2024-01-10,28100.0,120.07,121.41,122.95,120.0,120.7,0.63
2024-01-11,433600.0,120.7,122.98,129.75,122.51,128.18,7.48
2024-01-12,75800.0,128.18,129.0,129.0,125.0,126.32,-1.86
2024-01-15,30200.0,126.32,127.0,127.0,122.03,122.84,-3.48
2024-01-16,40900.0,122.84,120.02,126.5,118.02,119.67,-3.17
2024-01-17,47500.0,119.67,118.28,121.89,118.0,119.8,0.13
2024-01-18,12700.0,119.8,118.0,119.0,117.0,118.13,-1.67
2024-01-19,9300.0,118.13,118.3,121.5,118.0,119.0,0.87
2024-01-22,11200.0,119.0,116.55,119.9,116.55,119.07,0.07
2024-01-23,83100.0,119.07,120.95,125.0,117.0,122.4,3.33
2024-01-24,28500.0,122.4,123.0,124.0,122.0,122.94,0.54
2024-01-25,63000.0,122.94,123.0,124.99,121.7,123.31,0.37
2024-01-26,38200.0,123.31,125.0,126.99,120.9,123.0,-0.31
2024-01-29,65000.0,123.0,121.01,123.0,120.0,121.77,-1.23
2024-01-30,64400.0,121.77,123.49,123.95,117.0,118.18,-3.59
2024-01-31,13500.0,118.18,119.9,120.0,117.99,118.0,-0.18
2024-02-01,26300.0,118.0,116.66,117.99,116.0,116.94,-1.06
2024-02-02,10200.0,116.94,117.5,121.97,117.0,117.04,0.1
2024-02-06,25700.0,117.04,118.0,121.0,118.0,120.79,3.75
2024-02-07,13700.0,120.79,121.0,123.0,120.0,121.5,0.71
2024-02-09,9300.0,121.5,115.75,121.0,115.75,119.0,-2.5
2024-02-12,30000.0,119.0,120.0,120.0,110.08,112.04,-6.96
2024-02-13,32500.0,112.04,110.0,115.0,109.8,112.2,0.16
2024-02-14,37000.0,112.2,115.0,115.0,112.0,114.02,1.82
2024-02-15,34500.0,114.02,112.55,114.0,112.05,113.5,-0.52
2024-02-19,23300.0,113.5,111.6,112.5,109.0,109.9,-3.6
2024-02-20,9300.0,109.9,111.8,112.49,109.9,109.99,0.09
2024-02-21,10700.0,109.99,112.44,114.98,110.21,114.42,4.43
2024-02-22,8000.0,114.42,114.79,114.79,110.0,113.15,-1.27
2024-02-23,30500.0,113.15,110.0,112.5,104.66,104.66,-8.49
2024-02-26,18500.0,104.66,96.81,96.81,96.81,96.81,-7.85
2024-02-27,247100.0,96.81,92.0,99.0,92.0,96.74,-0.07
2024-02-28,74100.0,96.74,96.5,100.0,96.01,96.72,-0.02
2024-02-29,11900.0,96.72,97.88,97.99,95.51,95.68,-1.04
2024-03-01,41900.0,95.68,95.01,96.0,94.0,95.04,-0.64
2024-03-04,16300.0,95.04,97.5,97.95,94.1,94.86,-0.18
2024-03-05,108400.0,94.86,94.5,94.5,92.0,93.01,-1.85
2024-03-06,61900.0,93.01,94.4,97.99,94.4,95.69,2.68
2024-03-07,9200.0,95.69,94.55,98.0,94.55,96.25,0.56
2024-03-08,10200.0,96.25,97.5,98.5,96.25,98.32,2.07
2024-03-11,41900.0,98.32,100.0,102.75,99.5,100.5,2.18
2024-03-12,6600.0,100.5,100.0,100.0,97.8,97.85,-2.65
2024-03-13,20900.0,97.85,97.0,100.0,97.0,99.02,1.17
2024-03-14,2200.0,99.02,100.0,100.0,99.99,99.99,0.97
2024-03-15,5000.0,99.99,101.0,101.0,99.99,100.68,0.69
2024-03-18,36200.0,100.68,100.0,104.5,100.0,102.42,1.74
2024-03-19,45400.0,102.42,101.25,101.25,99.0,100.24,-2.18
2024-03-20,4600.0,100.24,101.0,103.0,101.0,102.0,1.76
2024-03-21,55000.0,102.0,103.0,106.44,99.0,100.33,-1.67
2024-03-22,58000.0,100.33,100.0,100.01,99.0,99.99,-0.34
2024-03-25,46100.0,99.99,101.9,104.88,101.75,102.15,2.16
2024-03-26,34000.0,102.15,104.9,105.0,102.0,103.92,1.77
2024-03-27,8800.0,103.92,105.85,107.5,104.0,104.0,0.08
