Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1431000.0,2.28,2.34,2.4,2.25,2.37,0.09
2024-01-02,2679000.0,2.37,2.36,2.5,2.2,2.21,-0.16
2024-01-03,1466000.0,2.21,2.32,2.32,2.19,2.25,0.04
2024-01-04,425500.0,2.25,2.31,2.31,2.2,2.27,0.02
2024-01-05,814500.0,2.27,2.32,2.32,2.22,2.28,0.01
2024-01-08,608500.0,2.28,2.28,2.33,2.22,2.24,-0.04
2024-01-09,1547500.0,2.24,2.26,2.27,2.2,2.2,-0.04
2024-01-10,493500.0,2.2,2.17,2.25,2.15,2.21,0.01
2024-01-11,1324500.0,2.21,2.2,2.3,2.17,2.2,-0.01
2024-01-12,424500.0,2.2,2.28,2.28,2.2,2.21,0.01
2024-01-15,754500.0,2.21,2.31,2.31,2.16,2.24,0.03
2024-01-16,393000.0,2.24,2.16,2.2,2.13,2.16,-0.08
2024-01-17,617000.0,2.16,2.25,2.25,2.13,2.15,-0.01
2024-01-18,351000.0,2.15,2.15,2.19,2.11,2.12,-0.03
2024-01-19,287000.0,2.12,2.2,2.2,2.15,2.15,0.03
2024-01-22,94500.0,2.15,2.19,2.19,2.11,2.15,0.0
2024-01-23,233000.0,2.15,2.19,2.19,2.12,2.15,0.0
2024-01-24,294500.0,2.15,2.17,2.17,2.11,2.15,0.0
2024-01-25,316500.0,2.15,2.13,2.16,2.12,2.14,-0.01
2024-01-26,179500.0,2.14,2.14,2.16,2.12,2.13,-0.01
2024-01-29,127500.0,2.13,2.13,2.15,2.1,2.13,0.0
2024-01-30,386500.0,2.13,2.11,2.14,2.08,2.09,-0.04
2024-01-31,1109500.0,2.09,2.1,2.1,2.03,2.05,-0.04
2024-02-01,52500.0,2.05,2.03,2.07,2.01,2.06,0.01
2024-02-02,133500.0,2.06,2.07,2.2,2.05,2.1,0.04
2024-02-06,263500.0,2.1,2.05,2.2,2.05,2.16,0.06
2024-02-07,241000.0,2.16,2.11,2.2,2.11,2.17,0.01
2024-02-09,20500.0,2.17,2.1,2.15,2.06,2.1,-0.07
2024-02-12,57500.0,2.1,2.15,2.15,2.03,2.06,-0.04
2024-02-13,641500.0,2.06,2.05,2.1,2.0,2.1,0.04
2024-02-14,289500.0,2.1,2.1,2.22,2.06,2.15,0.05
2024-02-15,836000.0,2.15,2.15,2.28,2.04,2.07,-0.08
2024-02-16,143000.0,2.07,2.14,2.16,2.05,2.15,0.08
2024-02-19,217500.0,2.15,2.14,2.18,2.1,2.15,0.0
2024-02-20,252500.0,2.15,2.12,2.2,2.1,2.18,0.03
2024-02-21,332500.0,2.18,2.19,2.19,2.1,2.18,0.0
2024-02-22,78500.0,2.18,2.13,2.18,2.11,2.16,-0.02
2024-02-23,350500.0,2.16,2.16,2.18,2.12,2.14,-0.02
2024-02-26,132500.0,2.14,2.19,2.19,2.1,2.15,0.01
2024-02-27,41500.0,2.15,2.15,2.16,2.11,2.15,0.0
2024-02-28,389000.0,2.15,2.1,2.15,2.0,2.09,-0.06
2024-02-29,89500.0,2.09,2.11,2.15,2.05,2.12,0.03
2024-03-01,748500.0,2.12,2.2,2.25,2.14,2.21,0.09
2024-03-04,676000.0,2.21,2.21,2.22,2.15,2.17,-0.04
2024-03-05,424000.0,2.17,2.18,2.2,2.15,2.18,0.01
2024-03-06,251500.0,2.18,2.19,2.2,2.15,2.17,-0.01
2024-03-07,224000.0,2.17,2.13,2.18,2.1,2.17,0.0
2024-03-08,686500.0,2.17,2.15,2.15,2.0,2.09,-0.08
2024-03-11,89500.0,2.09,2.16,2.16,2.08,2.12,0.03
2024-03-12,219500.0,2.12,2.08,2.14,2.0,2.07,-0.05
2024-03-13,708000.0,2.07,2.05,2.09,2.0,2.0,-0.07
2024-03-14,91500.0,2.0,2.11,2.11,2.04,2.09,0.09
2024-03-15,149500.0,2.09,2.03,2.1,2.01,2.04,-0.05
2024-03-18,26000.0,2.04,2.15,2.15,2.03,2.09,0.05
2024-03-19,1669500.0,2.09,2.09,2.1,2.0,2.0,-0.09
2024-03-20,94000.0,2.0,2.04,2.08,2.01,2.07,0.07
2024-03-21,164500.0,2.07,2.03,2.05,2.0,2.0,-0.07
2024-03-22,182500.0,2.0,2.09,2.09,2.0,2.05,0.05
2024-03-25,310000.0,2.05,2.14,2.17,1.98,2.0,-0.05
2024-03-26,71000.0,2.0,2.0,2.08,1.99,2.0,0.0
2024-03-27,715000.0,2.0,2.1,2.4,1.95,2.11,0.11
2024-03-28,123000.0,2.11,2.08,2.15,2.05,2.1,-0.01
2024-03-29,19500.0,2.1,2.04,2.1,2.02,2.07,-0.03
2024-04-01,153500.0,2.07,2.09,2.1,2.05,2.07,0.0
2024-04-02,50500.0,2.07,2.09,2.09,2.02,2.05,-0.02
2024-04-03,51000.0,2.05,2.12,2.12,2.03,2.09,0.04
2024-04-04,552000.0,2.09,2.1,2.15,2.0,2.08,-0.01
2024-04-08,163000.0,2.08,2.05,2.15,2.02,2.09,0.01
2024-04-09,88500.0,2.09,2.07,2.12,2.03,2.1,0.01
2024-04-15,180500.0,2.1,2.1,2.12,2.06,2.08,-0.02
2024-04-16,46000.0,2.08,2.1,2.11,2.07,2.08,0.0
2024-04-17,403000.0,2.08,2.1,2.11,2.02,2.04,-0.04
2024-04-18,754500.0,2.04,2.09,2.11,2.0,2.07,0.03
2024-04-19,295500.0,2.07,2.14,2.14,2.03,2.09,0.02
2024-04-22,395500.0,2.09,2.04,2.11,2.03,2.03,-0.06
2024-04-23,782500.0,2.03,2.05,2.05,2.01,2.01,-0.02
2024-04-24,825000.0,2.01,2.01,2.05,2.01,2.02,0.01
2024-04-25,110000.0,2.02,2.03,2.06,2.02,2.05,0.03
2024-04-26,132.0,2.1,2.08,2.09,2.08,2.09,-0.01
2024-04-29,1035500.0,2.05,2.02,2.05,1.96,1.98,-0.07
2024-04-30,820500.0,1.98,1.92,2.0,1.9,1.9,-0.08
2024-05-02,420500.0,1.9,1.89,1.94,1.89,1.91,0.01
2024-05-03,368500.0,1.91,1.92,1.99,1.89,1.95,0.04
2024-05-06,99500.0,1.95,1.89,2.0,1.89,1.99,0.04
2024-05-07,821500.0,1.99,2.0,2.03,1.6,1.9,-0.09
2024-05-08,121500.0,1.9,1.96,1.97,1.84,1.94,0.04
2024-05-09,106000.0,1.94,1.99,1.99,1.87,1.96,0.02
2024-05-10,154000.0,1.96,1.9,2.0,1.9,1.99,0.03
2024-05-13,309000.0,1.99,1.99,2.05,1.95,2.01,0.02
2024-05-14,973500.0,2.01,2.03,2.05,1.9,1.91,-0.1
2024-05-15,1751500.0,1.91,1.98,2.02,1.92,2.0,0.09
2024-05-16,434000.0,2.0,2.0,2.04,1.91,1.95,-0.05
2024-05-17,528000.0,1.95,1.93,1.95,1.9,1.9,-0.05
2024-05-20,234500.0,1.9,1.95,1.95,1.88,1.93,0.03
2024-05-21,428500.0,1.93,1.99,1.99,1.89,1.9,-0.03
2024-05-22,311500.0,1.9,1.85,1.93,1.84,1.86,-0.04
2024-05-23,537000.0,1.86,1.86,1.9,1.85,1.89,0.03
2024-05-24,1275000.0,1.89,1.77,2.02,1.77,1.97,0.08
2024-05-27,24552.0,1.97,2.02,2.02,1.85,1.93,-0.04
2024-05-29,1186044.0,1.93,1.95,1.96,1.87,1.88,-0.05
2024-05-30,369020.0,1.88,1.88,1.91,1.86,1.89,0.01
2024-05-31,275501.0,1.89,1.9,1.92,1.86,1.9,0.01
2024-06-03,209296.0,1.9,1.94,1.94,1.85,1.89,-0.01
2024-06-04,230943.0,1.89,1.94,1.94,1.86,1.89,0.0
2024-06-05,522911.0,1.89,1.9,1.9,1.8,1.83,-0.06
2024-06-06,902920.0,1.83,1.84,1.89,1.8,1.88,0.05
2024-06-07,590685.0,1.88,1.81,1.89,1.79,1.85,-0.03
2024-06-10,197764.0,1.85,1.9,1.9,1.8,1.87,0.02
2024-06-11,436232.0,1.87,1.84,1.94,1.81,1.84,-0.03
2024-06-12,475801.0,1.84,1.86,1.86,1.8,1.8,-0.04
2024-06-13,438940.0,1.8,1.86,1.89,1.78,1.82,0.02
2024-06-14,1175388.0,1.82,1.88,1.9,1.79,1.83,0.01
2024-06-20,1538117.0,1.83,1.85,1.95,1.85,1.94,0.11
2024-06-21,2365453.0,1.94,1.94,2.09,1.9,1.93,-0.01
2024-06-24,501849.0,1.93,1.95,2.0,1.9,1.98,0.05
2024-06-25,204022.0,1.98,1.99,2.0,1.86,1.95,-0.03
2024-06-26,857651.0,1.95,1.97,1.98,1.85,1.88,-0.07
2024-06-27,253513.0,1.88,1.84,1.94,1.84,1.89,0.01
2024-06-28,381781.0,1.89,1.97,1.97,1.82,1.84,-0.05
2024-07-01,4370764.0,1.84,1.92,2.15,1.84,2.08,0.24
2024-07-02,1671366.0,2.08,2.15,2.15,2.02,2.08,0.0
2024-07-03,4141522.0,2.08,2.1,2.3,2.06,2.1,0.02
2024-07-04,947735.0,2.1,2.09,2.14,2.03,2.08,-0.02
2024-07-05,1382334.0,2.08,2.02,2.15,2.02,2.09,0.01
2024-07-08,698927.0,2.09,2.09,2.19,2.09,2.15,0.06
2024-07-09,5195672.0,2.15,2.09,2.39,2.08,2.22,0.07
2024-07-10,2512252.0,2.22,2.23,2.36,2.22,2.31,0.09
2024-07-11,2311490.0,2.31,2.33,2.42,2.2,2.25,-0.06
2024-07-12,1425192.0,2.25,2.23,2.29,2.06,2.15,-0.1
2024-07-15,1147542.0,2.15,2.1,2.31,2.1,2.27,0.12
2024-07-18,579485.0,2.27,2.3,2.3,2.18,2.29,0.02
2024-07-19,1007308.0,2.29,2.29,2.3,2.1,2.12,-0.17
2024-07-22,620508.0,2.12,2.15,2.19,2.0,2.06,-0.06
2024-07-23,531719.0,2.06,2.14,2.16,2.01,2.09,0.03
2024-07-24,579257.0,2.09,2.04,2.13,2.0,2.1,0.01
2024-07-25,334612.0,2.1,2.15,2.15,2.04,2.05,-0.05
2024-07-26,641549.0,2.05,2.1,2.13,2.0,2.01,-0.04
2024-07-29,282759.0,2.01,2.09,2.09,2.0,2.01,0.0
2024-07-30,597164.0,2.01,2.05,2.05,1.95,2.0,-0.01
2024-07-31,563625.0,2.0,2.05,2.08,1.98,2.0,0.0
2024-08-01,326367.0,2.0,2.05,2.09,1.99,2.0,0.0
2024-08-02,127250.0,2.0,2.07,2.07,2.02,2.03,0.03
2024-08-05,136161.0,2.03,1.93,2.05,1.93,2.01,-0.02
2024-08-06,306058.0,2.01,2.02,2.05,2.0,2.0,-0.01
2024-08-07,175309.0,2.0,2.0,2.05,1.98,2.0,0.0
2024-08-08,109479.0,2.0,2.0,2.04,1.95,2.0,0.0
2024-08-09,123223.0,2.0,1.92,2.04,1.92,1.94,-0.06
2024-08-12,186718.0,1.94,2.05,2.05,1.95,1.98,0.04
2024-08-13,149084.0,1.98,1.97,2.0,1.95,1.99,0.01
2024-08-15,351746.0,1.99,2.0,2.02,1.95,1.95,-0.04
2024-08-16,313722.0,1.95,2.08,2.08,1.94,1.96,0.01
2024-08-19,141722.0,1.96,2.0,2.0,1.92,1.96,0.0
2024-08-20,1075958.0,1.96,2.0,2.08,1.94,2.0,0.04
2024-08-21,593732.0,2.0,2.02,2.12,2.02,2.08,0.08
2024-08-22,498392.0,2.08,2.08,2.08,2.0,2.04,-0.04
2024-08-23,389659.0,2.04,2.09,2.14,2.04,2.07,0.03
2024-08-26,792521.0,2.07,2.15,2.17,2.1,2.11,0.04
2024-08-27,308718.0,2.11,2.15,2.2,2.11,2.2,0.09
2024-08-28,812431.0,2.2,2.19,2.2,2.0,2.02,-0.18
2024-08-29,807516.0,2.02,2.02,2.18,2.01,2.06,0.04
2024-08-30,1143825.0,2.06,2.09,2.09,1.97,2.0,-0.06
2024-09-02,810327.0,2.0,2.07,2.07,1.9,1.92,-0.08
2024-09-03,275192.0,1.92,2.02,2.02,1.94,1.95,0.03
2024-09-04,2620395.0,1.95,2.03,2.14,1.94,2.11,0.16
2024-09-05,3070510.0,2.11,2.17,2.29,2.09,2.17,0.06
2024-09-06,2250147.0,2.17,2.19,2.3,2.1,2.16,-0.01
2024-09-09,373642.0,2.16,2.22,2.25,2.07,2.1,-0.06
2024-09-10,50319.0,2.1,2.19,2.19,2.08,2.13,0.03
2024-09-11,1074644.0,2.13,2.1,2.15,1.97,2.0,-0.13
2024-09-12,2527950.0,2.0,2.1,2.23,2.05,2.07,0.07
2024-09-13,1445695.0,2.07,2.19,2.19,2.09,2.1,0.03
2024-09-16,1159279.0,2.1,2.16,2.17,2.0,2.02,-0.08
2024-09-18,1737322.0,2.02,2.14,2.14,2.0,2.02,0.0
2024-09-19,602184.0,2.02,2.02,2.09,2.0,2.01,-0.01
2024-09-20,157943.0,2.01,2.08,2.08,2.0,2.03,0.02
2024-09-23,255159.0,2.03,2.09,2.09,2.01,2.03,0.0
2024-09-24,397182.0,2.03,2.02,2.05,2.01,2.02,-0.01
2024-09-25,823875.0,2.02,2.06,2.15,2.02,2.05,0.03
2024-09-26,579417.0,2.05,2.14,2.15,2.06,2.06,0.01
2024-09-27,751878.0,2.06,2.14,2.14,2.0,2.04,-0.02
2024-09-30,236451.0,2.04,2.05,2.08,1.96,2.01,-0.03
2024-10-01,781739.0,2.01,2.0,2.08,1.96,2.03,0.02
