Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,16500.0,12.17,11.5,13.17,11.5,13.17,1.0
2024-01-03,2500.0,13.17,12.22,12.99,12.22,12.28,-0.89
2024-01-04,1500.0,12.28,11.41,12.46,11.41,12.46,0.18
2024-01-05,6000.0,12.46,12.0,12.5,11.46,11.46,1.0
2024-01-08,5500.0,11.46,11.03,11.96,11.03,11.16,-0.3
2024-01-09,2000.0,11.16,0.0,0.0,0.0,11.16,0.0
2024-01-10,7000.0,11.16,11.12,11.75,11.08,11.75,0.59
2024-01-11,6500.0,11.75,11.5,12.68,11.5,12.6,0.85
2024-01-12,33500.0,12.6,11.63,12.0,11.6,11.63,-0.97
2024-01-15,4000.0,11.63,11.1,12.28,11.1,12.28,0.65
2024-01-17,2000.0,12.28,11.44,11.99,11.43,11.99,-0.29
2024-01-18,3000.0,11.99,11.11,11.11,11.1,11.1,-0.89
2024-01-22,5000.0,11.1,11.03,11.03,11.0,11.0,-0.1
2024-01-23,9500.0,11.0,11.03,11.84,11.02,11.55,0.55
2024-01-25,1500.0,11.55,11.03,11.05,11.03,11.05,-0.5
2024-01-30,3000.0,11.05,11.1,11.1,11.05,11.06,0.01
2024-01-31,500.0,11.06,11.05,11.05,11.05,11.05,-0.01
2024-02-02,1000.0,11.05,11.03,11.2,11.03,11.2,0.15
2024-02-06,13500.0,11.2,11.02,12.0,11.02,11.27,0.07
2024-02-07,2000.0,11.27,11.35,11.35,11.3,11.33,0.06
2024-02-12,4000.0,11.33,11.06,11.95,11.05,11.95,0.62
2024-02-13,500.0,11.95,11.78,11.78,11.78,11.78,-0.17
2024-02-15,1500.0,11.78,11.11,11.11,11.09,11.1,-0.68
2024-02-19,11000.0,11.1,11.3,11.3,11.0,11.0,-0.1
2024-02-20,7000.0,11.0,10.61,11.85,10.61,11.27,0.27
2024-02-21,15000.0,11.27,11.74,11.75,11.74,11.75,0.48
2024-02-22,1000.0,11.75,11.13,11.13,11.13,11.13,-0.62
2024-02-29,11000.0,11.13,11.0,12.0,11.0,11.88,0.75
2024-03-04,1000.0,11.88,11.3,11.3,11.3,11.3,-0.58
2024-03-05,2500.0,11.3,11.75,11.75,11.74,11.75,0.45
2024-03-06,9500.0,11.75,10.76,12.1,10.76,11.08,-0.67
2024-03-07,10500.0,11.08,12.06,12.08,12.06,12.08,1.0
2024-03-08,24500.0,12.08,13.08,13.08,13.08,13.08,1.0
2024-03-11,80000.0,13.08,14.08,14.08,13.84,14.07,0.99
2024-03-12,45500.0,14.07,14.1,15.0,14.1,14.46,0.39
2024-03-13,18500.0,14.46,14.47,14.8,14.47,14.5,0.04
2024-03-14,25000.0,14.5,14.55,15.0,14.1,14.6,0.1
2024-03-15,15500.0,14.6,14.4,14.95,14.4,14.63,0.03
2024-03-18,20500.0,14.63,14.79,14.79,14.0,14.5,-0.13
2024-03-19,26500.0,14.5,14.5,14.85,14.42,14.77,0.27
2024-03-20,23000.0,14.77,14.85,14.95,14.71,14.85,0.08
2024-03-21,16000.0,12.71,11.8,13.48,11.8,12.5,-0.21
2024-03-22,16000.0,12.5,12.5,12.5,11.8,12.05,-0.45
2024-03-25,6000.0,12.05,11.92,12.49,11.91,12.36,0.31
2024-03-26,1000.0,12.36,12.89,12.9,12.89,12.9,0.54
2024-03-27,3500.0,12.9,12.5,12.51,12.5,12.5,-0.4
2024-03-28,8000.0,12.5,12.02,12.49,12.02,12.05,-0.45
2024-03-29,1500.0,12.05,12.0,12.15,11.92,11.92,-0.13
2024-04-01,1000.0,11.92,12.69,12.69,12.69,12.69,0.77
2024-04-02,12000.0,12.69,12.95,12.95,11.9,12.06,-0.63
2024-04-03,9500.0,12.06,12.0,12.75,12.0,12.25,0.19
2024-04-04,1500.0,12.25,12.73,12.73,12.32,12.33,0.08
2024-04-08,11500.0,12.33,12.46,12.46,12.15,12.15,-0.18
2024-04-09,15500.0,12.15,12.15,12.69,12.15,12.32,0.17
2024-04-15,14500.0,12.32,12.1,12.1,11.9,11.91,-0.41
2024-04-16,3500.0,11.91,11.91,12.0,11.91,11.94,0.03
2024-04-17,18500.0,11.94,12.05,12.49,11.85,12.43,0.49
2024-04-18,6500.0,12.43,12.3,12.43,12.13,12.16,-0.27
2024-04-19,6500.0,12.16,12.0,12.48,11.64,12.01,-0.15
2024-04-23,2000.0,12.01,12.1,12.15,12.0,12.0,-0.01
2024-04-24,5000.0,12.0,11.8,12.19,11.78,11.78,-0.22
2024-04-25,2500.0,11.78,11.7,11.77,11.7,11.77,-0.01
2024-04-26,4500.0,11.77,11.73,11.73,11.58,11.58,-0.19
2024-04-29,7500.0,11.58,11.0,12.0,11.0,12.0,0.42
2024-04-30,4000.0,12.0,11.3,11.8,11.3,11.62,-0.38
2024-05-02,4500.0,11.62,10.96,11.31,10.96,11.3,-0.32
2024-05-03,12500.0,11.3,11.5,11.73,10.9,11.36,0.06
2024-05-06,7500.0,11.36,12.28,12.28,11.7,11.7,0.34
2024-05-07,21500.0,11.7,11.5,11.9,11.5,11.9,0.2
2024-05-08,3000.0,11.9,11.56,11.56,11.55,11.55,-0.35
2024-05-10,4000.0,11.55,11.88,11.89,10.76,11.88,0.33
2024-05-13,4000.0,11.88,11.13,11.23,11.11,11.22,-0.66
2024-05-15,18500.0,11.22,11.5,12.0,11.32,11.8,0.58
2024-05-16,5000.0,11.8,11.5,11.5,11.11,11.25,-0.55
2024-05-17,4500.0,11.25,10.93,11.49,10.93,11.49,0.24
2024-05-20,21000.0,11.49,11.21,11.38,11.0,11.38,-0.11
2024-05-21,13000.0,11.38,11.36,12.0,11.36,12.0,0.62
