Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,32263113.0,6.48,6.48,6.99,6.48,6.94,0.46
2024-01-02,34951735.0,6.94,6.95,7.31,6.66,6.88,-0.06
2024-01-03,29654166.0,6.88,6.89,7.18,6.81,6.97,0.09
2024-01-04,19261224.0,6.97,6.93,7.08,6.85,6.99,0.02
2024-01-05,28423802.0,6.99,7.01,7.19,6.6,6.92,-0.07
2024-01-08,10728003.0,6.92,6.95,7.03,6.7,6.75,-0.17
2024-01-09,16830685.0,6.75,6.99,6.99,6.4,6.53,-0.22
2024-01-10,10299362.0,6.53,6.58,6.65,6.4,6.51,-0.02
2024-01-11,6248487.0,6.51,6.48,6.69,6.48,6.62,0.11
2024-01-12,11128476.0,6.62,6.65,6.79,6.46,6.54,-0.08
2024-01-15,10068627.0,6.54,6.58,6.68,6.46,6.48,-0.06
2024-01-16,8838046.0,6.48,6.42,6.55,6.22,6.45,-0.03
2024-01-17,6534948.0,6.45,6.36,6.5,6.32,6.4,-0.05
2024-01-18,4888.0,6.42,6.32,6.47,5.96,6.28,-0.14
2024-01-19,3123509.0,6.22,6.22,6.39,6.2,6.27,0.05
2024-01-22,3684324.0,6.27,6.27,6.33,6.2,6.26,-0.01
2024-01-23,3198.0,6.27,6.25,6.5,6.25,6.47,0.2
2024-01-24,9231.0,6.47,6.5,6.58,6.42,6.45,-0.02
2024-01-25,7930191.0,6.41,6.42,6.5,6.27,6.3,-0.11
2024-01-26,6924189.0,6.3,6.3,6.35,6.12,6.17,-0.13
2024-01-29,5029530.0,6.17,6.2,6.25,6.01,6.03,-0.14
2024-01-30,15921977.0,6.03,6.09,6.1,5.7,5.8,-0.23
2024-01-31,20853316.0,5.8,5.8,6.26,5.72,6.2,0.4
2024-02-01,11856210.0,6.2,6.23,6.39,6.07,6.23,0.03
2024-02-02,4203295.0,6.23,6.2,6.39,6.19,6.22,-0.01
2024-02-06,5861770.0,6.22,6.27,6.37,6.27,6.35,0.13
2024-02-07,5658230.0,6.35,6.41,6.48,6.29,6.41,0.06
2024-02-09,5904364.0,6.41,6.25,6.25,5.8,6.04,-0.37
2024-02-12,11127312.0,6.04,6.0,6.17,5.8,6.08,0.04
2024-02-13,12529415.0,6.08,6.0,6.43,5.92,6.18,0.1
2024-02-14,8564843.0,6.18,6.34,6.42,6.26,6.37,0.19
2024-02-15,14408647.0,6.37,6.39,6.45,5.99,6.03,-0.34
2024-02-16,11684920.0,6.03,6.01,6.06,5.84,5.88,-0.15
2024-02-19,1000.0,6.04,6.0,6.96,5.9,6.14,0.1
2024-02-20,15277.0,6.14,6.23,6.8,5.95,6.39,0.25
2024-02-21,4701.0,6.39,6.46,6.58,6.2,6.32,-0.07
2024-02-22,7235137.0,6.24,6.29,6.29,6.16,6.2,-0.04
2024-02-23,12235161.0,6.2,6.18,6.32,6.12,6.24,0.04
2024-02-26,5948354.0,6.24,6.24,6.33,6.22,6.25,0.01
2024-02-27,47571335.0,6.25,6.25,6.47,6.19,6.27,0.02
2024-02-28,8362283.0,6.27,6.28,6.38,6.24,6.27,0.0
2024-02-29,6121004.0,6.27,6.28,6.35,6.25,6.27,0.0
2024-03-01,8336479.0,6.27,6.31,6.36,6.23,6.32,0.05
2024-03-04,12040373.0,6.32,6.36,6.45,6.26,6.32,0.0
2024-03-05,8576025.0,6.32,6.38,6.38,6.18,6.2,-0.12
2024-03-06,10161968.0,6.2,6.21,6.28,6.15,6.16,-0.04
2024-03-07,11080427.0,6.16,6.2,6.25,6.09,6.15,-0.01
2024-03-08,6160551.0,6.15,6.12,6.27,6.12,6.19,0.04
2024-03-11,9495698.0,6.19,6.13,6.38,6.13,6.22,0.03
2024-03-12,5020932.0,6.22,6.29,6.3,6.15,6.17,-0.05
2024-03-13,18744663.0,6.17,6.2,6.27,5.97,6.02,-0.15
2024-03-14,3968.0,6.04,6.15,6.2,6.1,6.17,0.13
2024-03-15,6931.0,5.38,5.4,5.7,5.3,5.38,0.0
2024-03-18,7545903.0,6.22,6.22,6.26,6.15,6.23,0.01
2024-03-19,17912724.0,6.23,6.19,6.23,6.05,6.14,-0.09
2024-03-20,45010786.0,5.14,5.36,5.36,5.19,5.28,0.14
2024-03-21,29102209.0,5.28,5.4,5.62,5.35,5.44,0.16
2024-03-22,220.0,5.59,5.41,5.6,5.41,5.6,0.01
2024-03-25,3331395.0,5.43,5.47,5.5,5.28,5.39,-0.04
2024-03-26,968.0,5.48,5.41,5.5,5.4,5.45,-0.03
2024-03-27,6268578.0,5.35,5.35,5.5,5.2,5.36,0.01
2024-03-28,5000978.0,5.36,5.32,5.42,5.31,5.34,-0.02
2024-03-29,3056257.0,5.34,5.4,5.4,5.31,5.34,0.0
2024-04-01,2340701.0,5.34,5.35,5.44,5.29,5.31,-0.03
2024-04-02,5487193.0,5.31,5.35,5.35,5.19,5.24,-0.07
2024-04-03,4565990.0,5.24,5.26,5.33,5.24,5.28,0.04
2024-04-04,8316403.0,5.28,5.3,5.44,5.29,5.35,0.07
2024-04-08,3207757.0,5.35,5.35,5.41,5.3,5.4,0.05
2024-04-09,8207555.0,5.4,5.36,5.53,5.36,5.47,0.07
2024-04-15,14072774.0,5.47,5.5,5.68,5.37,5.59,0.12
2024-04-16,11557018.0,5.59,5.72,5.77,5.65,5.67,0.08
2024-04-17,9423506.0,5.67,5.6,5.79,5.5,5.69,0.02
2024-04-18,11267977.0,5.69,5.7,5.77,5.56,5.59,-0.1
2024-04-19,21408159.0,5.59,5.65,5.73,5.39,5.46,-0.13
2024-04-22,15420.0,5.48,5.5,5.55,5.4,5.45,-0.03
2024-04-23,5611939.0,5.44,5.5,5.51,5.35,5.36,-0.08
2024-04-24,886.0,5.35,5.46,5.46,5.3,5.31,-0.04
2024-04-25,10396140.0,5.3,5.38,5.38,5.24,5.29,-0.01
2024-04-26,13428775.0,5.29,5.31,5.5,5.25,5.27,-0.02
2024-04-29,8563701.0,5.27,5.28,5.31,5.15,5.18,-0.09
2024-04-30,7936919.0,5.18,5.38,5.38,5.06,5.1,-0.08
2024-05-02,20168992.0,5.1,5.0,5.12,4.87,4.9,-0.2
2024-05-03,6231873.0,4.9,4.95,5.07,4.94,5.01,0.11
2024-05-06,4848114.0,5.01,5.05,5.05,4.98,5.0,-0.01
2024-05-07,3243941.0,5.0,5.11,5.11,4.97,4.99,-0.01
2024-05-08,4340483.0,4.99,5.0,5.05,4.91,4.93,-0.06
2024-05-09,5777825.0,4.93,4.98,5.08,4.94,5.01,0.08
2024-05-10,2937556.0,5.01,5.0,5.06,4.96,4.99,-0.02
2024-05-13,6953515.0,4.99,5.0,5.11,4.97,5.05,0.06
2024-05-14,4422084.0,5.05,5.08,5.24,5.06,5.11,0.06
2024-05-15,3799100.0,5.11,5.17,5.17,5.06,5.13,0.02
2024-05-16,1718749.0,5.13,5.13,5.15,5.05,5.07,-0.06
2024-05-17,5272771.0,5.07,5.1,5.22,5.0,5.16,0.09
2024-05-20,3419162.0,5.16,5.15,5.2,5.02,5.06,-0.1
2024-05-21,1.0,5.2,6.08,6.08,6.08,6.08,0.88
2024-05-22,7828131.0,5.0,5.01,5.08,4.92,4.95,-0.05
2024-05-23,5508421.0,4.95,5.0,5.0,4.92,4.98,0.03
2024-05-24,3906368.0,4.98,4.92,5.05,4.92,5.01,0.03
2024-05-27,1308.0,5.03,5.1,5.1,4.9,4.95,-0.08
2024-05-29,6466817.0,4.91,4.97,4.97,4.87,4.91,0.0
2024-05-30,2593579.0,4.91,4.99,4.99,4.87,4.91,0.0
2024-05-31,4778029.0,4.91,4.92,4.97,4.85,4.88,-0.03
2024-06-03,1386929.0,4.88,4.94,4.97,4.88,4.92,0.04
2024-06-04,3295795.0,4.92,4.91,4.92,4.83,4.87,-0.05
2024-06-05,1322065.0,4.87,4.92,4.92,4.83,4.84,-0.03
2024-06-06,5353917.0,4.84,4.85,4.89,4.73,4.75,-0.09
2024-06-07,10547974.0,4.75,4.75,4.8,4.59,4.69,-0.06
2024-06-10,741139.0,4.69,4.7,4.79,4.68,4.72,0.03
2024-06-11,2354681.0,4.72,4.73,4.78,4.6,4.63,-0.09
2024-06-12,1382998.0,4.63,4.61,4.68,4.59,4.64,0.01
2024-06-13,3532671.0,4.64,4.65,4.85,4.65,4.78,0.14
2024-06-14,1981190.0,4.78,4.85,4.85,4.71,4.83,0.05
2024-06-20,20657396.0,4.83,4.88,5.09,4.83,5.02,0.19
2024-06-21,7768926.0,5.02,5.06,5.14,4.92,4.97,-0.05
2024-06-24,10443245.0,4.97,4.95,5.0,4.88,4.93,-0.04
2024-06-25,2281918.0,4.93,4.96,4.96,4.82,4.84,-0.09
2024-06-26,7351307.0,4.84,4.83,4.88,4.72,4.73,-0.11
2024-06-27,454.0,4.82,4.85,4.85,4.8,4.8,-0.02
2024-06-28,5797301.0,4.73,4.77,4.99,4.75,4.87,0.14
2024-07-01,1956302.0,4.87,4.93,4.93,4.84,4.87,0.0
