Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,100.0,340.0,320.01,320.01,320.01,320.01,-19.99
2024-01-23,100.0,320.01,327.0,327.0,327.0,327.0,6.99
2024-01-24,400.0,327.0,327.0,327.0,327.0,327.0,0.0
2024-02-27,1200.0,327.0,303.02,303.02,302.48,302.48,-24.52
2024-02-28,1500.0,302.48,302.47,325.0,302.47,306.77,4.29
2024-02-29,300.0,306.77,324.0,324.0,324.0,324.0,17.23
2024-03-01,800.0,324.0,325.0,348.0,325.0,345.0,21.0
2024-03-26,200.0,309.0,309.85,320.0,309.85,320.0,11.0
2024-04-02,100.0,319.8,300.0,300.0,300.0,300.0,-19.8
2024-04-04,100.0,300.0,310.0,310.0,310.0,310.0,10.0
2024-04-09,100.0,310.0,310.0,310.0,310.0,310.0,0.0
2024-04-17,100.0,310.0,320.0,320.0,320.0,320.0,10.0
2024-04-18,200.0,320.0,335.0,335.0,330.0,330.0,10.0
2024-04-19,300.0,330.0,309.0,325.0,309.0,325.0,5.0
2024-04-22,7.0,325.0,325.0,325.0,325.0,325.0,0.0
2024-04-23,1316.0,325.0,348.99,348.99,300.63,300.84,-24.16
2024-04-24,412.0,300.84,308.99,308.99,299.0,299.07,-1.77
2024-04-25,360.0,299.07,302.9,307.99,300.0,300.11,1.04
2024-04-26,11.0,300.11,308.9,308.98,308.9,300.11,0.0
2024-04-29,56.0,300.11,305.0,305.0,295.96,300.11,0.0
2024-04-30,101.0,300.11,299.0,299.99,282.0,298.84,-1.27
2024-05-02,225.0,298.84,298.84,298.84,290.0,292.45,-6.39
2024-05-03,110.0,292.45,276.0,300.0,270.52,275.69,-16.76
2024-05-06,39.0,275.69,276.06,289.99,276.06,275.69,0.0
2024-05-07,5.0,275.69,256.2,290.0,256.2,275.69,0.0
2024-05-08,23.0,275.69,255.03,290.0,255.03,275.69,0.0
2024-05-09,199.0,275.69,290.0,290.0,290.0,275.69,0.0
2024-05-10,574.0,275.69,259.01,296.37,259.01,286.04,10.35
2024-05-13,301.0,286.04,301.0,301.0,280.1,286.09,0.05
2024-05-14,871.0,286.09,300.0,300.0,270.1,271.45,-14.64
2024-05-15,28.0,271.45,256.0,290.98,256.0,271.45,0.0
2024-05-16,415.0,271.45,270.0,287.0,270.0,270.96,-0.49
2024-05-17,277.0,270.96,287.0,287.0,260.0,269.32,-1.64
2024-05-20,13.0,269.32,279.0,279.0,279.0,269.32,0.0
2024-05-21,11.0,269.32,269.32,269.32,269.32,269.32,0.0
2024-05-22,545.0,269.32,260.02,261.0,250.0,250.54,-18.78
2024-05-23,515.0,250.54,251.0,268.8,250.0,264.72,14.18
2024-05-24,101.0,264.72,255.01,284.0,255.01,282.28,17.56
2024-05-27,7.0,282.28,282.28,282.28,282.28,282.28,0.0
2024-05-29,424.0,282.28,259.71,279.0,259.71,260.0,-22.28
2024-05-30,104.0,260.0,260.0,277.77,260.0,277.41,17.41
2024-05-31,605.0,277.41,298.0,298.0,260.0,265.23,-12.18
2024-06-03,49.0,265.23,269.9,279.0,269.9,265.23,0.0
2024-06-04,190.0,265.23,281.99,282.0,265.0,265.23,0.0
2024-06-05,640.0,265.23,266.0,267.99,244.1,261.32,-3.91
2024-06-06,37.0,261.32,261.0,262.0,260.02,261.32,0.0
2024-06-07,33.0,261.32,261.0,269.0,261.0,261.32,0.0
2024-06-10,5.0,261.32,0.0,0.0,0.0,261.32,0.0
2024-06-13,342.0,261.32,280.0,280.0,250.0,259.91,-1.41
2024-06-14,37.0,259.91,255.0,263.0,241.2,259.91,0.0
2024-06-20,5.0,259.91,240.6,265.99,240.6,259.91,0.0
2024-06-26,748.0,259.91,245.01,245.01,236.52,241.99,-17.92
2024-06-27,52.0,241.99,226.0,249.0,226.0,241.99,0.0
2024-06-28,11.0,241.99,254.9,254.9,242.0,241.99,0.0
2024-07-01,367.0,241.99,238.0,251.0,230.0,239.7,-2.29
