Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,11000.0,188.06,189.9,194.9,189.9,194.25,6.19
2024-01-02,9100.0,194.25,194.0,194.0,190.01,191.97,-2.28
2024-01-03,15500.0,191.97,194.0,197.5,190.11,197.35,5.38
2024-01-04,8800.0,197.35,196.99,196.99,191.12,195.07,-2.28
2024-01-05,9700.0,195.07,194.88,196.94,192.0,194.0,-1.07
2024-01-08,11000.0,194.0,190.15,196.94,190.15,192.18,-1.82
2024-01-09,8600.0,192.18,192.25,195.0,192.0,193.5,1.32
2024-01-10,5700.0,193.5,192.01,196.98,191.0,191.25,-2.25
2024-01-11,49100.0,191.25,190.5,200.0,190.0,199.73,8.48
2024-01-12,17700.0,199.73,198.95,201.0,195.0,196.0,-3.73
2024-01-15,3200.0,196.0,194.03,195.0,193.0,193.0,3.0
2024-01-16,3200.0,193.0,193.45,193.49,191.5,192.0,1.0
2024-01-17,35900.0,192.0,194.99,197.5,194.99,196.5,4.5
2024-01-18,57600.0,196.5,191.5,198.0,191.5,196.51,0.01
2024-01-19,13800.0,196.51,198.3,199.0,194.0,196.6,0.09
2024-01-22,2300.0,196.6,194.02,198.9,194.02,196.57,-0.03
2024-01-23,30700.0,196.57,196.51,204.0,196.5,204.0,7.43
2024-01-24,21900.0,204.0,203.95,210.0,201.04,204.79,0.79
2024-01-25,17800.0,204.79,206.0,206.0,196.06,196.89,-7.9
2024-01-26,3200.0,196.89,203.0,203.0,195.0,196.15,-0.74
2024-01-29,27300.0,196.15,196.51,197.9,196.5,197.21,1.06
2024-01-30,35200.0,197.21,193.2,197.0,193.2,196.5,-0.71
2024-01-31,14000.0,196.5,197.5,200.0,196.5,196.55,0.05
2024-02-01,1100.0,196.55,196.52,198.0,196.51,197.26,0.71
2024-02-02,1800.0,197.26,197.01,198.9,197.01,198.51,1.25
2024-02-06,14600.0,198.51,204.0,205.0,194.2,200.06,1.55
2024-02-07,4300.0,200.06,200.1,205.0,200.05,204.81,4.75
2024-02-09,300.0,204.81,200.0,200.02,200.0,200.01,-4.8
2024-02-12,10900.0,200.01,195.01,200.0,195.0,199.07,-0.94
2024-02-13,6900.0,199.07,196.63,198.0,196.5,197.26,-1.81
2024-02-14,1100.0,197.26,198.52,204.0,198.52,204.0,6.74
2024-02-15,2300.0,204.0,200.0,204.5,197.01,199.15,-4.85
2024-02-16,2100.0,199.15,197.0,203.0,197.0,200.0,0.85
2024-02-19,4100.0,200.0,197.0,200.01,195.0,200.0,0.0
2024-02-20,1500.0,200.0,201.74,203.0,201.0,202.42,2.42
2024-02-21,3100.0,202.42,197.65,202.47,197.65,200.03,-2.39
2024-02-22,48600.0,200.03,204.0,206.0,198.25,205.82,5.79
2024-02-23,51600.0,205.82,214.99,214.99,202.65,208.0,2.18
2024-02-26,31300.0,208.0,202.02,211.0,202.02,207.27,-0.73
2024-02-27,22000.0,207.27,211.88,211.88,208.0,210.9,3.63
2024-02-28,9600.0,210.9,206.0,213.9,206.0,213.25,2.35
2024-02-29,50600.0,213.25,210.01,220.0,210.01,217.5,4.25
2024-03-01,3800.0,211.5,201.55,215.99,201.55,211.25,-0.25
