Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-03,500.0,195.49,180.85,180.85,180.85,180.85,-14.64
2024-01-09,100.0,180.85,168.0,168.0,168.0,180.85,0.0
2024-01-15,1000.0,180.85,175.0,175.0,175.0,175.0,-5.85
2024-01-17,500.0,175.0,178.0,178.0,178.0,178.0,3.0
2024-01-18,500.0,178.0,175.0,175.0,175.0,175.0,3.0
2024-01-22,100.0,175.0,174.9,174.9,174.9,175.0,0.0
2024-01-25,10600.0,175.0,176.16,176.16,175.0,175.5,0.5
2024-01-26,300.0,175.5,179.99,180.0,179.99,180.0,4.5
2024-01-29,500.0,180.0,180.0,180.0,175.0,176.0,4.0
2024-01-30,1400.0,176.0,162.8,174.0,162.8,174.0,2.0
2024-01-31,200.0,174.0,172.1,172.1,171.99,172.05,-1.95
2024-02-01,200.0,172.05,176.0,176.0,172.0,174.0,1.95
2024-02-02,1500.0,174.0,182.0,182.0,181.5,182.0,8.0
2024-02-06,6900.0,182.0,182.0,182.0,171.01,171.13,-10.87
2024-02-07,400.0,166.13,174.9,174.9,170.0,170.0,3.87
2024-02-09,100.0,170.0,0.0,0.0,0.0,170.0,0.0
2024-02-14,1000.0,170.0,170.0,170.0,170.0,170.0,0.0
2024-02-19,4000.0,170.0,160.0,160.0,160.0,160.0,10.0
2024-02-26,100.0,160.0,168.99,168.99,168.99,160.0,0.0
2024-02-29,33700.0,160.0,170.5,172.0,170.5,171.0,11.0
2024-03-01,4600.0,171.0,169.0,170.0,161.0,161.06,-9.94
2024-03-04,600.0,161.06,163.0,166.0,163.0,166.0,4.94
2024-03-06,100.0,166.0,167.9,167.9,167.9,166.0,0.0
2024-03-07,1700.0,166.0,161.0,164.77,160.0,163.14,-2.86
2024-03-08,500.0,163.14,167.5,174.0,167.5,173.44,10.3
2024-03-11,10100.0,173.44,171.94,178.0,171.94,177.0,3.56
2024-03-12,1500.0,177.0,175.0,175.0,167.1,168.55,-8.45
2024-03-13,1000.0,168.55,0.0,0.0,0.0,168.55,0.0
2024-03-14,500.0,168.55,165.0,165.0,165.0,165.0,-3.55
2024-03-15,3600.0,165.0,164.0,164.0,158.0,159.95,-5.05
2024-03-18,1000.0,159.95,156.0,156.0,155.0,155.0,-4.95
2024-03-19,300.0,155.0,154.99,154.99,154.99,154.99,-0.01
2024-03-22,200.0,154.99,155.0,155.0,155.0,154.99,0.0
2024-03-25,9600.0,154.99,155.0,166.61,155.0,164.97,9.98
2024-03-26,1100.0,164.97,167.86,173.84,165.0,165.01,0.04
2024-03-27,1600.0,165.01,160.0,165.0,160.0,165.0,-0.01
