Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,500.0,45.0,43.0,43.0,43.0,43.0,2.0
2024-01-08,12500.0,43.0,43.5,43.5,43.0,43.0,0.0
2024-01-09,12000.0,43.0,45.0,45.0,45.0,45.0,2.0
2024-01-15,12000.0,45.0,45.0,45.0,45.0,45.0,0.0
2024-01-18,220500.0,45.0,47.0,47.0,46.0,46.0,1.0
2024-01-22,6000.0,46.0,49.0,49.45,49.0,49.45,3.45
2024-01-23,500.0,49.45,53.16,53.16,53.16,53.16,3.71
2024-01-24,16000.0,53.16,57.15,57.15,57.14,57.15,3.99
2024-01-25,26000.0,57.15,60.75,61.44,60.75,61.44,4.29
2024-01-26,1000.0,61.44,0.0,0.0,0.0,61.44,0.0
2024-01-30,5000.0,61.44,0.0,0.0,0.0,61.44,0.0
2024-02-01,4000.0,61.44,0.0,0.0,0.0,61.44,0.0
2024-02-02,4000.0,61.44,56.83,57.0,56.83,57.0,-4.44
2024-02-06,500.0,57.0,59.89,59.89,59.89,59.89,2.89
2024-02-09,11500.0,59.89,63.0,64.38,63.0,64.38,4.49
2024-02-12,13500.0,64.38,69.21,69.21,69.21,69.21,4.83
2024-02-14,1000.0,69.21,72.0,72.0,72.0,72.0,2.79
2024-02-15,500.0,72.0,77.4,77.4,77.4,77.4,5.4
2024-02-16,1500.0,77.4,83.21,83.21,83.21,83.21,5.81
2024-02-19,3000.0,83.21,85.0,85.0,85.0,85.0,1.79
2024-02-20,2000.0,85.0,90.0,90.0,90.0,90.0,5.0
2024-02-22,1000.0,90.0,96.0,96.0,96.0,96.0,6.0
2024-02-23,1000.0,96.0,103.0,103.0,103.0,103.0,7.0
2024-02-29,1500.0,103.0,102.0,102.0,102.0,102.0,1.0
2024-03-06,500.0,102.0,99.0,99.0,99.0,99.0,3.0
2024-04-22,500.0,99.0,104.5,104.5,104.5,104.5,5.5
2024-05-03,500.0,104.5,111.94,111.94,111.94,111.94,7.44
2024-05-22,6000.0,107.0,107.0,107.0,101.0,101.0,6.0
2024-05-30,100.0,101.0,92.92,92.92,92.92,101.0,0.0
2024-06-04,690.0,101.0,92.92,109.0,92.92,101.0,0.0
2024-06-05,2.0,101.0,92.92,92.92,92.92,101.0,0.0
2024-06-06,9.0,101.0,92.92,92.92,92.92,101.0,0.0
2024-06-26,7.0,92.1,100.3,100.3,100.3,92.1,0.0
2024-06-27,12923.0,92.1,92.1,92.1,92.1,92.1,0.0
2024-07-02,11.0,92.1,90.0,90.0,89.95,92.1,0.0
2024-07-10,5.0,92.1,0.0,0.0,0.0,92.1,0.0
2024-07-11,734.0,92.1,99.88,99.88,83.35,94.64,2.54
2024-07-18,100.0,94.64,0.0,0.0,0.0,94.64,0.0
