Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-04,2000.0,21.09,21.1,21.18,21.1,21.18,0.09
2024-01-08,500.0,21.18,22.55,22.55,22.55,22.55,1.37
2024-01-10,3500.0,22.55,22.5,23.25,22.5,23.25,0.7
2024-01-11,5000.0,23.25,23.9,24.0,23.9,24.0,0.75
2024-01-22,2500.0,24.0,23.25,23.89,23.25,23.66,-0.34
2024-01-23,2500.0,23.66,21.91,22.15,21.89,22.15,-1.51
2024-01-24,4500.0,22.15,22.0,23.0,22.0,22.94,0.79
2024-01-25,6500.0,22.94,22.0,23.5,22.0,23.5,0.56
2024-01-29,5000.0,23.5,22.01,22.01,21.75,21.75,-1.75
2024-01-30,500.0,21.75,20.51,20.51,20.51,20.51,-1.24
2024-01-31,1000.0,20.51,20.9,20.95,20.9,20.95,0.44
2024-02-01,3500.0,20.95,20.95,20.95,20.95,20.95,0.0
2024-02-06,2000.0,20.95,20.51,20.55,20.51,20.55,-0.4
2024-02-12,2500.0,20.55,20.01,20.01,20.01,20.01,-0.54
2024-02-15,7500.0,20.01,21.45,21.45,21.3,21.3,1.29
2024-02-16,1000.0,21.3,21.0,21.0,21.0,21.0,-0.3
2024-02-20,10000.0,21.0,21.0,21.0,21.0,21.0,0.0
2024-03-11,500.0,21.0,21.3,21.3,21.3,21.3,0.3
2024-03-12,500.0,21.3,22.65,22.65,22.65,22.65,1.35
2024-03-14,4500.0,22.65,24.35,24.35,24.35,24.35,1.7
2024-03-15,6000.0,24.35,26.18,26.18,26.18,26.18,1.83
2024-03-18,137500.0,26.18,28.14,28.14,27.01,27.69,1.51
2024-03-19,12000.0,27.69,28.5,28.5,26.0,27.28,-0.41
2024-03-20,20000.0,27.28,27.65,27.68,27.05,27.32,0.04
2024-03-21,32000.0,27.32,29.0,29.0,27.65,27.92,0.6
2024-03-22,1000.0,27.92,26.77,27.1,26.77,27.1,-0.82
2024-03-25,11500.0,27.1,27.75,27.9,27.25,27.54,0.44
2024-03-26,18000.0,27.54,27.95,28.0,27.95,28.0,0.46
2024-03-27,1000.0,28.0,27.95,27.98,27.95,27.98,-0.02
2024-03-28,50500.0,27.98,27.98,27.98,26.95,27.88,-0.1
2024-03-29,14500.0,27.88,26.9,27.7,26.9,27.3,-0.58
2024-04-01,22000.0,27.3,27.2,27.6,26.0,27.45,0.15
2024-04-02,10000.0,27.45,27.55,27.88,27.5,27.88,0.43
2024-04-03,47000.0,27.88,29.0,29.97,28.02,29.58,1.7
2024-04-04,36000.0,29.58,29.95,30.95,29.95,30.51,0.93
2024-04-08,62500.0,30.51,31.0,32.79,30.31,32.17,1.66
2024-04-09,70500.0,27.67,26.0,27.3,25.59,26.13,-1.54
2024-04-15,13500.0,26.13,25.01,25.01,24.17,25.0,-1.13
2024-04-16,8500.0,25.0,25.0,25.0,24.17,24.5,-0.5
2024-04-17,16500.0,24.5,24.01,24.5,23.5,24.44,-0.06
2024-04-18,5500.0,24.44,22.61,24.49,22.61,23.4,-1.04
2024-04-22,7000.0,23.4,23.47,23.5,23.3,23.3,-0.1
2024-04-24,6500.0,23.3,22.25,23.25,22.0,23.25,-0.05
2024-04-25,5500.0,23.25,23.0,23.0,23.0,23.0,-0.25
2024-04-26,3000.0,23.0,23.0,23.0,23.0,23.0,0.0
2024-04-29,4000.0,23.0,22.11,22.5,22.11,22.5,-0.5
2024-04-30,1500.0,22.5,22.5,23.0,22.5,23.0,0.5
2024-05-03,1000.0,23.0,23.5,23.5,23.35,23.35,0.35
2024-05-06,16500.0,23.35,23.35,23.35,23.0,23.1,-0.25
2024-05-07,15000.0,23.1,22.55,23.35,22.52,23.35,0.25
2024-05-08,2000.0,23.35,23.2,23.49,23.0,23.0,-0.35
2024-05-09,1000.0,23.0,23.0,23.0,23.0,23.0,0.0
