Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,33500.0,65.8,66.0,69.0,66.0,67.1,1.3
2024-01-02,2500.0,67.1,68.34,68.34,66.5,66.77,-0.33
2024-01-03,36000.0,66.77,67.0,69.0,66.0,66.0,-0.77
2024-01-04,3000.0,66.0,64.64,65.01,64.64,65.01,-0.99
2024-01-05,12500.0,65.01,69.89,69.89,65.01,66.5,1.49
2024-01-08,500.0,66.5,66.5,66.5,66.5,66.5,0.0
2024-01-09,3500.0,66.5,66.99,67.0,66.99,67.0,0.5
2024-01-10,1000.0,67.0,65.08,65.08,65.07,65.07,-1.93
2024-01-11,10000.0,65.07,68.45,68.45,66.97,66.97,1.9
2024-01-12,2500.0,66.97,67.7,67.7,67.0,67.2,0.23
2024-01-15,2500.0,67.2,67.58,67.58,67.58,67.58,0.38
2024-01-16,8000.0,67.58,66.26,66.26,66.25,66.25,-1.33
2024-01-17,19500.0,66.25,67.49,67.49,65.01,65.03,-1.22
2024-01-18,4000.0,65.03,65.0,65.0,64.0,64.0,-1.03
2024-01-23,5000.0,64.0,65.01,65.65,64.53,64.53,0.53
2024-01-24,5500.0,64.53,66.66,66.8,65.0,65.46,0.93
2024-01-25,7000.0,65.46,65.0,66.66,65.0,66.66,1.2
2024-01-26,2000.0,66.66,67.0,68.99,66.1,66.1,-0.56
2024-01-29,4000.0,66.1,65.9,66.0,65.02,65.02,-1.08
2024-01-30,14000.0,65.02,66.97,67.99,66.97,67.0,1.98
2024-01-31,2000.0,67.0,67.0,67.0,67.0,67.0,0.0
2024-02-01,500.0,67.0,0.0,0.0,0.0,67.0,0.0
2024-02-02,127000.0,67.0,69.0,72.03,67.0,72.03,5.03
2024-02-06,34000.0,72.03,75.5,75.5,72.0,72.49,0.46
2024-02-07,18000.0,72.49,72.99,72.99,71.0,71.3,-1.19
2024-02-09,18500.0,71.3,66.5,69.45,66.5,68.99,-2.31
2024-02-12,10500.0,68.99,69.0,69.87,66.02,68.5,-0.49
2024-02-13,5000.0,68.5,69.25,71.1,69.25,70.46,1.96
2024-02-14,2500.0,65.46,65.1,65.1,63.0,63.5,-1.96
2024-02-15,1500.0,63.5,63.0,63.0,63.0,63.0,-0.5
2024-02-16,6500.0,63.0,63.0,63.0,60.5,60.5,-2.5
2024-02-19,2000.0,60.5,60.0,60.0,60.0,60.0,-0.5
2024-02-20,8000.0,60.0,61.0,61.0,58.0,60.0,0.0
2024-02-21,6500.0,60.0,60.0,60.0,60.0,60.0,0.0
2024-02-22,5000.0,60.0,60.0,61.0,60.0,61.0,1.0
2024-02-23,1000.0,61.0,61.99,62.0,61.99,62.0,1.0
2024-02-26,3500.0,62.0,62.3,62.3,62.25,62.25,0.25
2024-02-27,31000.0,62.25,59.9,66.92,59.9,66.92,4.67
2024-02-28,13000.0,66.92,65.5,65.5,64.0,64.0,-2.92
2024-02-29,7500.0,64.0,67.75,67.75,62.0,63.94,-0.06
2024-03-01,5500.0,63.94,64.0,68.0,64.0,67.9,3.96
2024-03-04,500.0,67.9,66.89,66.89,66.89,66.89,-1.01
2024-03-05,500.0,66.89,66.99,66.99,66.99,66.99,0.1
2024-03-06,2000.0,66.99,66.61,66.61,64.1,64.1,-2.89
2024-03-07,1000.0,64.1,65.0,65.0,65.0,65.0,0.9
2024-03-14,4000.0,65.0,65.0,65.0,65.0,65.0,0.0
