Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-06-03,1083200.0,2.41,3.41,3.41,3.41,3.41,1.0
2024-06-04,2232177.0,3.41,4.24,4.24,3.5,3.69,0.28
2024-06-05,442886.0,3.69,3.89,3.89,3.1,3.19,-0.5
2024-06-06,3383469.0,3.19,3.3,4.19,3.13,4.19,1.0
2024-06-07,4655282.0,4.19,4.49,5.19,4.41,5.19,1.0
2024-06-10,3215509.0,5.19,5.5,5.94,4.19,4.26,-0.93
2024-06-11,3913205.0,4.26,4.24,4.46,3.4,3.95,-0.31
2024-06-12,576869.0,3.95,4.0,4.25,3.93,4.12,0.17
2024-06-13,586600.0,4.12,3.98,4.4,3.61,4.26,0.14
2024-06-14,447325.0,4.26,3.9,4.3,3.9,4.14,-0.12
2024-06-20,1471937.0,4.14,4.25,4.64,4.0,4.13,-0.01
2024-06-21,556365.0,4.13,4.29,4.29,3.8,3.88,-0.25
2024-06-24,97569.0,3.88,3.88,3.98,3.66,3.72,-0.16
2024-06-25,500966.0,3.72,3.71,3.95,3.52,3.69,-0.03
2024-06-26,314824.0,3.69,3.84,3.84,3.45,3.5,-0.19
2024-06-27,77556.0,3.5,3.55,3.56,3.4,3.51,0.01
2024-06-28,1155196.0,3.51,3.8,4.3,3.6,3.86,0.35
2024-07-01,50507.0,3.86,4.08,4.09,3.73,3.88,0.02
2024-07-02,368026.0,3.88,3.96,3.96,3.58,3.81,-0.07
2024-07-03,497598.0,3.81,4.13,4.13,3.6,3.75,-0.06
2024-07-04,89612.0,3.75,3.7,3.8,3.5,3.65,-0.1
2024-07-05,264616.0,3.65,3.6,3.75,3.48,3.5,-0.15
2024-07-08,199404.0,3.5,3.5,3.55,3.32,3.38,-0.12
2024-07-09,119066.0,3.38,3.42,3.49,3.3,3.31,-0.07
2024-07-10,1363287.0,3.31,3.31,3.4,2.9,3.08,-0.23
2024-07-11,712129.0,3.08,3.01,3.15,2.66,3.07,-0.01
2024-07-12,165650.0,3.07,3.15,3.2,2.95,3.02,-0.05
2024-07-15,238912.0,3.02,3.2,3.3,2.95,2.97,-0.05
2024-07-18,293744.0,2.97,3.01,3.09,2.95,3.0,0.03
2024-07-19,91611.0,3.0,2.95,2.98,2.66,2.9,-0.1
2024-07-22,28513.0,2.9,3.0,3.0,2.74,2.81,-0.09
2024-07-23,465793.0,2.81,2.97,3.11,2.78,2.87,0.06
2024-07-24,168759.0,2.87,3.0,3.0,2.75,2.9,0.03
2024-07-25,287968.0,2.9,2.83,3.14,2.83,3.0,0.1
2024-07-26,570280.0,3.0,3.0,3.06,2.82,3.0,0.0
2024-07-29,1060047.0,3.0,2.82,3.98,2.82,3.83,0.83
2024-07-30,1135717.0,3.83,4.0,4.0,3.31,3.52,-0.31
2024-07-31,211684.0,3.52,3.63,3.63,3.1,3.14,-0.38
2024-08-01,317339.0,3.14,3.14,3.15,2.88,2.92,-0.22
2024-08-02,184427.0,2.92,3.15,3.2,2.9,2.93,0.01
2024-08-05,472224.0,2.93,3.0,3.3,3.0,3.08,0.15
2024-08-06,626056.0,3.08,3.1,3.69,3.1,3.4,0.32
2024-08-07,509902.0,3.4,3.7,3.7,3.0,3.43,0.03
2024-08-08,104938.0,3.43,3.19,3.66,3.19,3.4,-0.03
2024-08-09,36116.0,3.4,3.57,3.62,3.21,3.4,0.0
2024-08-12,946404.0,3.4,3.3,3.94,3.3,3.56,0.16
2024-08-13,1473695.0,3.56,3.75,4.07,3.5,3.74,0.18
2024-08-15,540988.0,3.74,3.74,4.0,3.73,3.83,0.09
2024-08-16,856748.0,3.83,3.94,4.25,3.82,3.95,0.12
2024-08-19,210152.0,3.95,4.15,4.15,3.51,3.6,-0.35
2024-08-20,164175.0,3.6,3.85,3.85,3.31,3.8,0.2
2024-08-21,637962.0,3.8,3.7,4.14,3.7,4.06,0.26
2024-08-22,1259845.0,4.06,4.2,4.28,3.86,4.24,0.18
2024-08-23,3127576.0,4.24,4.1,4.78,4.1,4.47,0.23
2024-08-26,613619.0,4.47,4.74,4.75,4.31,4.35,-0.12
2024-08-27,1408733.0,4.35,4.0,4.85,4.0,4.5,0.15
2024-08-28,813745.0,4.5,4.74,4.75,4.23,4.34,-0.16
2024-08-29,4329576.0,4.34,4.5,4.99,4.0,4.47,0.13
2024-08-30,2517013.0,4.47,4.3,4.94,4.3,4.68,0.21
2024-09-02,489096.0,4.68,4.4,4.6,4.2,4.27,-0.41
2024-09-03,245181.0,4.27,4.27,4.49,4.19,4.27,0.0
2024-09-04,7741180.0,4.27,4.4,5.27,4.4,4.72,0.45
2024-09-05,3586602.0,4.72,4.74,5.49,4.73,5.22,0.5
2024-09-06,2991005.0,5.22,5.49,5.95,5.1,5.16,-0.06
2024-09-09,352150.0,5.16,5.54,5.54,4.95,5.02,-0.14
2024-09-10,632391.0,5.02,5.23,5.23,4.85,5.01,-0.01
2024-09-11,472789.0,5.01,4.85,5.19,4.78,4.82,-0.19
2024-09-12,1196243.0,4.82,4.8,5.2,4.8,5.07,0.25
2024-09-13,1975476.0,5.07,5.5,5.55,5.1,5.3,0.23
2024-09-16,991006.0,5.3,5.3,5.8,5.1,5.35,0.05
2024-09-18,821625.0,5.35,5.4,5.75,5.2,5.28,-0.07
2024-09-19,870127.0,5.28,5.4,5.63,4.95,5.03,-0.25
2024-09-20,318215.0,5.03,5.2,5.22,4.9,5.09,0.06
2024-09-23,3474236.0,5.09,5.0,6.09,5.0,6.01,0.92
2024-09-24,1213433.0,6.01,5.72,6.38,5.72,6.18,0.17
2024-09-25,2561081.0,6.18,6.11,7.15,6.11,7.07,0.89
2024-09-26,2789914.0,7.07,7.24,7.88,7.15,7.33,0.26
2024-09-27,614841.0,7.33,7.5,7.5,6.62,7.02,-0.31
2024-09-30,683314.0,7.02,7.29,7.29,6.6,7.04,0.02
2024-10-01,416327.0,7.04,6.85,7.3,6.65,6.73,-0.31
2024-10-02,580463.0,6.73,6.7,7.25,6.65,6.76,0.03
2024-10-03,570781.0,6.76,7.0,7.0,6.38,6.41,-0.35
2024-10-04,2104820.0,6.41,6.3,6.73,5.88,5.97,-0.44
2024-10-07,544993.0,5.97,6.33,6.33,5.97,6.06,0.09
2024-10-08,360307.0,6.06,6.09,6.09,5.79,5.88,-0.18
2024-10-09,380538.0,5.88,6.0,6.14,5.75,5.92,0.04
2024-10-10,137637.0,5.92,5.9,6.05,5.8,5.82,-0.1
2024-10-11,182825.0,5.82,5.9,5.98,5.55,5.66,-0.16
2024-10-14,224721.0,5.66,5.75,5.79,5.48,5.61,-0.05
2024-10-15,54226.0,5.61,5.75,5.8,5.5,5.7,0.09
2024-10-16,192728.0,5.7,5.79,5.99,5.6,5.83,0.13
2024-10-17,140691.0,5.83,5.95,6.2,5.86,5.96,0.13
2024-10-18,76631.0,5.96,6.08,6.08,5.66,5.72,-0.24
2024-10-21,496261.0,5.72,5.98,5.98,5.48,5.51,-0.21
2024-10-22,288887.0,5.51,5.5,6.0,5.46,5.85,0.34
2024-10-23,682811.0,5.85,6.04,6.7,5.6,6.43,0.58
2024-10-24,468832.0,6.43,6.55,6.7,6.13,6.41,-0.02
2024-10-25,263730.0,6.41,6.69,6.69,6.3,6.45,0.04
2024-10-28,668795.0,6.45,6.64,7.0,6.5,6.78,0.33
2024-10-29,126886.0,6.78,6.44,6.73,6.44,6.68,-0.1
2024-10-30,729975.0,6.68,6.88,7.0,6.65,6.69,0.01
2024-10-31,199026.0,6.69,6.6,6.94,6.6,6.67,-0.02
2024-11-01,77213.0,6.67,6.91,6.91,6.6,6.83,0.16
2024-11-04,287688.0,6.83,6.6,6.97,6.5,6.7,-0.13
2024-11-05,865328.0,6.7,6.5,7.15,6.5,6.79,0.09
2024-11-06,453565.0,6.79,6.79,6.99,6.75,6.81,0.02
2024-11-07,3762692.0,6.81,6.81,7.81,6.81,7.81,1.0
2024-11-08,2989848.0,7.81,8.3,8.39,7.22,7.5,-0.31
2024-11-11,3246381.0,7.5,7.31,7.65,6.8,7.02,-0.48
2024-11-12,445658.0,7.02,7.29,7.4,7.08,7.22,0.2
2024-11-13,460284.0,7.22,7.4,7.4,7.13,7.21,-0.01
2024-11-14,339602.0,7.21,7.49,7.49,7.25,7.3,0.09
2024-11-15,714372.0,7.3,7.49,7.72,7.32,7.61,0.31
2024-11-18,533792.0,7.61,7.71,8.0,7.4,7.91,0.3
2024-11-19,843238.0,7.91,7.98,8.08,7.7,7.75,-0.16
2024-11-20,589293.0,7.75,7.9,7.9,7.52,7.55,-0.2
2024-11-21,247650.0,7.55,7.8,7.8,7.45,7.61,0.06
2024-11-22,112674.0,7.61,7.94,7.94,7.25,7.28,-0.33
2024-11-25,890802.0,7.28,7.1,7.87,7.1,7.84,0.56
2024-11-26,819379.0,7.84,7.84,7.84,7.5,7.6,-0.24
2024-11-27,725194.0,7.6,7.2,7.95,7.2,7.8,0.2
2024-11-28,872292.0,7.8,7.86,8.3,7.67,8.11,0.31
2024-11-29,851869.0,8.11,7.9,8.4,7.9,8.32,0.21
2024-12-02,587609.0,8.32,8.06,8.65,8.06,8.49,0.17
2024-12-03,873727.0,8.49,8.49,8.83,8.26,8.69,0.2
2024-12-04,810814.0,8.69,8.39,8.97,8.26,8.32,-0.37
2024-12-05,554750.0,8.32,8.22,8.7,8.2,8.26,-0.06
2024-12-06,250454.0,8.26,8.26,8.59,7.7,8.05,-0.21
2024-12-09,255605.0,8.05,7.8,8.2,7.7,7.78,-0.27
2024-12-10,467312.0,7.78,7.79,8.2,7.53,7.65,-0.13
2024-12-11,334566.0,7.65,7.99,7.99,6.99,7.39,-0.26
2024-12-12,581253.0,7.39,7.39,7.75,7.12,7.53,0.14
2024-12-13,361370.0,7.53,7.55,7.7,7.3,7.48,-0.05
2024-12-16,149680.0,7.48,7.01,7.64,7.01,7.38,-0.1
2024-12-17,309536.0,7.38,7.3,7.62,7.3,7.48,0.1
2024-12-18,318350.0,7.48,7.6,7.62,7.28,7.34,-0.14
2024-12-19,89946.0,7.34,7.3,7.59,7.3,7.4,0.06
2024-12-20,84957.0,7.4,7.69,7.7,7.05,7.55,0.15
2024-12-23,888482.0,7.55,7.3,8.17,7.3,8.12,0.57
2024-12-24,450920.0,8.12,8.42,8.42,8.07,8.19,0.07
2024-12-26,619320.0,8.19,8.49,8.88,8.05,8.61,0.42
2024-12-27,3369522.0,8.61,8.88,9.61,8.32,9.51,0.9
2024-12-30,911246.0,9.51,9.49,9.65,9.0,9.28,-0.23
2024-12-31,2654878.0,9.28,10.28,10.28,9.45,9.56,0.28
2025-01-01,419034.0,9.56,9.99,9.99,9.35,9.48,-0.08
2025-01-02,360511.0,9.48,9.59,9.59,9.25,9.3,-0.18
2025-01-03,607899.0,9.3,9.02,9.5,8.61,8.99,-0.31
2025-01-06,412938.0,8.99,8.97,9.2,8.4,8.6,-0.39
2025-01-07,270149.0,8.6,8.8,8.8,8.2,8.25,-0.35
2025-01-08,518392.0,8.25,8.5,8.5,7.67,7.9,-0.35
