Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,280216.0,162.98,167.9,167.9,162.6,166.62,3.64
2024-01-02,1024954.0,166.62,168.0,173.5,164.55,167.24,0.62
2024-01-03,325652.0,167.24,167.89,170.0,163.4,168.99,1.75
2024-01-04,84035.0,168.99,168.01,171.53,165.0,167.26,-1.73
2024-01-05,326721.0,167.26,168.98,170.5,164.5,168.14,0.88
2024-01-08,73984.0,168.14,169.53,169.53,163.0,163.79,-4.35
2024-01-09,163308.0,163.79,164.1,168.0,160.5,161.9,-1.89
2024-01-10,18860.0,161.9,160.25,163.9,160.25,162.06,0.16
2024-01-11,259831.0,162.06,163.99,165.69,161.5,162.04,-0.02
2024-01-12,107723.0,162.04,161.12,164.88,158.2,159.88,-2.16
2024-01-15,55447.0,159.88,162.0,162.0,156.74,157.88,2.0
2024-01-16,55867.0,157.88,157.01,159.39,154.5,156.23,-1.65
2024-01-17,27756.0,156.23,156.95,157.9,153.95,154.85,-1.38
2024-01-18,36809.0,154.85,152.6,155.5,151.0,153.84,-1.01
2024-01-19,27444.0,153.84,155.84,155.84,151.13,152.43,-1.41
2024-01-22,21450.0,152.43,154.4,154.4,150.1,150.33,-2.1
2024-01-23,228162.0,150.33,151.77,154.0,149.0,151.15,0.82
2024-01-24,456001.0,151.15,151.99,156.45,151.2,154.78,3.63
2024-01-25,614606.0,154.78,155.0,159.0,155.0,157.57,2.79
2024-01-26,568178.0,157.57,158.2,159.0,152.07,157.72,0.15
2024-01-29,366241.0,157.72,157.29,158.89,154.5,157.91,0.19
2024-01-30,741615.0,157.91,157.01,158.0,155.0,155.01,-2.9
2024-01-31,31377.0,155.01,155.55,158.95,152.0,152.54,-2.47
2024-02-01,43339.0,152.54,155.8,155.8,150.05,152.86,0.32
2024-02-02,59566.0,152.86,154.0,159.84,151.0,159.28,6.42
2024-02-06,129820.0,159.28,160.0,163.0,159.0,160.96,1.68
2024-02-07,53010.0,160.96,161.38,162.56,159.0,160.5,-0.46
2024-02-09,66177.0,160.5,149.11,160.0,149.11,155.46,-5.04
2024-02-12,26706.0,155.46,147.01,155.0,147.01,151.25,-4.21
2024-02-13,97491.0,151.25,146.52,159.4,146.0,152.12,0.87
2024-02-14,43546.0,152.12,150.3,155.0,150.3,153.89,1.77
2024-02-15,24510.0,153.89,154.97,155.5,146.1,148.65,-5.24
2024-02-16,145640.0,148.65,144.0,151.0,141.5,145.7,-2.95
2024-02-19,25693.0,145.7,146.0,148.5,144.06,148.32,2.62
2024-02-20,4869.0,148.32,147.62,149.0,146.0,146.27,-2.05
2024-02-21,33411.0,146.27,148.05,153.0,147.02,152.41,6.14
2024-02-22,92.0,155.0,153.0,153.0,153.0,153.0,2.0
2024-02-23,84533.0,150.96,152.5,153.0,149.05,150.2,-0.76
2024-02-26,139834.0,148.7,149.01,156.0,149.01,154.59,5.89
2024-02-27,185541.0,154.59,154.1,160.0,154.1,157.37,2.78
2024-02-28,493728.0,157.37,157.35,163.47,156.14,159.32,1.95
2024-02-29,976789.0,159.32,160.0,161.9,155.9,157.8,-1.52
2024-03-01,352745.0,157.8,159.0,159.0,153.6,154.63,-3.17
2024-03-04,144674.0,154.63,156.5,156.99,153.55,154.47,-0.16
2024-03-05,111764.0,154.47,153.0,156.99,152.5,152.68,-1.79
2024-03-06,304675.0,152.68,154.0,154.0,151.5,151.98,-0.7
2024-03-07,43469.0,151.98,153.39,153.39,150.3,152.05,0.07
2024-03-08,40999.0,152.05,150.8,154.47,150.8,152.61,0.56
2024-03-11,272830.0,152.61,154.75,157.0,151.47,155.07,2.46
2024-03-12,37040.0,155.07,155.5,156.0,153.0,153.37,-1.7
2024-03-13,68442.0,153.37,154.35,155.0,150.0,154.49,1.12
2024-03-14,113733.0,154.49,153.55,157.17,153.55,155.26,0.77
2024-03-15,15638.0,155.26,156.0,156.0,153.0,153.98,-1.28
2024-03-18,12593.0,153.98,153.0,155.0,153.0,153.27,-0.71
2024-03-19,183176.0,153.27,155.87,155.87,151.2,152.73,-0.54
2024-03-20,256613.0,152.73,153.78,155.0,151.0,153.1,0.37
2024-03-21,122733.0,153.1,152.89,153.0,148.0,149.1,4.0
2024-03-22,71232.0,149.1,149.99,152.25,149.1,150.03,0.93
2024-03-25,34873.0,150.03,150.0,151.1,149.55,150.87,0.84
2024-03-26,336161.0,150.87,148.1,152.0,146.0,150.39,-0.48
2024-03-27,5.0,151.0,151.5,152.0,151.5,151.5,0.5
2024-03-28,161237.0,152.43,153.0,154.4,152.1,153.47,1.04
2024-03-29,79203.0,153.47,153.9,154.5,151.57,152.11,-1.36
2024-04-01,179265.0,152.11,153.0,153.0,151.01,152.89,0.78
2024-04-02,37637.0,152.89,152.85,152.95,150.0,150.07,-2.82
