Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-06-03,28001.0,3.4,4.4,4.4,4.4,4.4,1.0
2024-06-04,647994.0,4.4,4.8,4.8,3.49,3.53,-0.87
2024-06-05,89250.0,3.53,3.6,3.6,3.1,3.1,-0.43
2024-06-06,901177.0,3.1,3.19,4.1,2.8,3.57,0.47
2024-06-07,980900.0,3.57,3.9,4.57,3.01,4.38,0.81
2024-06-10,190827.0,4.38,4.11,4.22,3.45,3.51,-0.87
2024-06-11,71537.0,3.51,3.71,3.71,3.25,3.26,-0.25
2024-06-12,66824.0,3.26,3.49,3.49,3.09,3.13,-0.13
2024-06-13,3330.0,3.13,2.75,3.31,2.75,3.07,-0.06
2024-06-14,26015.0,3.07,3.37,3.37,2.92,2.96,-0.11
2024-06-20,229035.0,2.96,3.0,3.5,2.9,3.13,0.17
2024-06-21,60648.0,3.13,3.04,3.04,2.9,2.96,-0.17
2024-06-24,7900.0,2.96,2.9,2.9,2.7,2.83,-0.13
2024-06-25,79666.0,2.83,2.85,2.9,2.5,2.63,-0.2
2024-06-26,224294.0,2.63,2.4,3.39,2.4,2.65,0.02
2024-06-27,18314.0,2.65,2.97,2.97,2.74,2.9,0.25
2024-06-28,1292370.0,2.9,2.6,3.21,2.6,3.06,0.16
2024-07-01,371315.0,3.06,3.04,3.24,2.81,2.88,-0.18
2024-07-02,386847.0,2.88,3.1,3.12,2.82,3.02,0.14
2024-07-03,962451.0,3.02,3.15,3.52,2.85,3.1,0.08
2024-07-04,377481.0,3.1,3.23,3.28,2.72,3.14,0.04
2024-07-05,450745.0,3.14,3.25,3.32,3.01,3.06,-0.08
2024-07-08,1058526.0,3.06,3.27,4.06,3.27,3.46,0.4
2024-07-09,819370.0,3.46,3.47,3.85,3.13,3.24,-0.22
2024-07-10,317814.0,3.24,3.39,3.39,2.93,3.0,-0.24
2024-07-11,132207.0,3.0,3.0,3.1,2.8,2.89,-0.11
2024-07-12,179487.0,2.89,2.99,3.24,2.76,2.95,0.06
2024-07-15,2525161.0,2.95,3.1,3.95,3.0,3.31,0.36
2024-07-18,1054130.0,3.31,3.39,3.42,2.75,2.82,-0.49
2024-07-19,95618.0,2.82,2.99,2.99,2.73,2.84,0.02
2024-07-22,96627.0,2.84,2.9,2.9,2.52,2.75,-0.09
2024-07-23,64986.0,2.75,2.85,2.96,2.71,2.76,0.01
2024-07-24,37091.0,2.76,2.93,2.93,2.74,2.79,0.03
2024-07-25,9040.0,2.79,2.79,2.92,2.73,2.73,-0.06
2024-07-26,9245.0,2.73,2.94,2.94,2.62,2.7,-0.03
2024-07-29,685000.0,2.7,2.93,3.49,2.64,3.17,0.47
2024-07-30,1016902.0,3.17,3.39,3.5,2.85,2.91,-0.26
2024-07-31,141574.0,2.91,3.07,3.07,2.7,2.79,-0.12
2024-08-01,16151.0,2.79,2.81,2.93,2.7,2.81,0.02
2024-08-02,197722.0,2.81,2.92,2.95,2.67,2.7,-0.11
2024-08-05,98900.0,2.7,3.08,3.08,2.61,2.8,0.1
2024-08-06,112746.0,2.8,2.9,3.1,2.8,2.86,0.06
2024-08-07,170321.0,2.86,2.97,3.15,2.7,2.95,0.09
2024-08-08,227465.0,2.95,3.09,3.18,2.72,2.97,0.02
2024-08-09,219501.0,2.97,3.14,3.14,2.56,2.74,-0.23
2024-08-12,326827.0,2.74,2.98,3.27,2.85,3.02,0.28
2024-08-13,126394.0,3.02,3.17,3.24,3.05,3.09,0.07
2024-08-15,120184.0,3.09,3.24,3.24,2.97,3.0,-0.09
2024-08-16,75751.0,3.0,3.14,3.14,2.85,2.92,-0.08
2024-08-19,63622.0,2.92,2.91,3.05,2.81,2.82,-0.1
2024-08-20,121071.0,2.82,2.76,2.94,2.7,2.79,-0.03
2024-08-21,980785.0,2.79,2.9,3.29,2.9,3.12,0.33
2024-08-22,191752.0,3.12,3.28,3.34,3.1,3.13,0.01
2024-08-23,241364.0,3.13,3.02,3.19,3.0,3.01,-0.12
2024-08-26,124842.0,3.01,3.02,3.02,2.81,2.9,-0.11
2024-08-27,158196.0,2.9,3.1,3.15,2.91,2.92,0.02
2024-08-28,69399.0,2.92,3.09,3.1,2.9,2.9,-0.02
2024-08-29,272569.0,2.9,3.1,3.28,3.07,3.09,0.19
2024-08-30,2789137.0,3.09,3.18,4.09,3.15,3.85,0.76
2024-09-02,2185872.0,3.85,3.99,4.85,3.75,4.85,1.0
2024-09-03,735719.0,4.85,5.3,5.85,5.2,5.85,1.0
2024-09-04,2086503.0,5.85,6.85,6.85,6.25,6.85,1.0
2024-09-05,5383096.0,6.85,7.85,7.85,7.07,7.85,1.0
2024-09-06,1509482.0,7.85,8.83,8.83,7.01,7.38,-0.47
2024-09-09,503770.0,7.38,7.45,7.45,6.6,7.2,-0.18
2024-09-10,492081.0,7.2,7.2,8.15,6.6,7.53,0.33
2024-09-11,2516691.0,7.53,7.65,8.53,7.32,7.62,0.09
2024-09-12,461798.0,7.62,7.98,7.98,6.99,7.04,-0.58
2024-09-13,1307991.0,7.04,7.43,8.04,7.0,7.84,0.8
2024-09-16,313547.0,7.84,7.95,8.12,7.5,7.6,-0.24
2024-09-18,163296.0,7.6,7.79,7.8,7.0,7.62,0.02
2024-09-19,245111.0,7.62,7.68,7.68,6.9,7.03,-0.59
2024-09-20,63570.0,7.03,7.48,7.48,6.05,6.65,-0.38
2024-09-23,106753.0,6.65,6.79,6.79,6.1,6.37,-0.28
2024-09-24,151905.0,6.37,5.8,6.4,5.8,6.11,-0.26
2024-09-25,193503.0,6.11,6.0,6.4,5.16,6.28,0.17
2024-09-26,215640.0,6.28,6.31,6.48,5.95,6.1,-0.18
2024-09-27,44911.0,6.1,5.61,6.45,5.61,5.96,-0.14
2024-09-30,65908.0,5.96,6.29,6.29,5.65,6.0,0.04
2024-10-01,13377.0,6.0,6.33,6.33,5.7,5.74,-0.26
2024-10-02,36754.0,5.74,6.24,6.24,5.76,5.91,0.17
2024-10-03,66577.0,5.91,6.24,6.24,5.36,5.54,-0.37
2024-10-04,12740.0,5.54,6.13,6.13,5.1,5.33,-0.21
2024-10-07,101359.0,5.33,5.8,5.8,4.5,5.22,-0.11
2024-10-08,45334.0,5.22,5.69,5.69,4.64,4.93,-0.29
2024-10-09,152400.0,4.93,5.3,5.3,4.77,5.1,0.17
2024-10-10,248197.0,5.1,5.05,5.74,5.05,5.14,0.04
2024-10-11,82447.0,5.14,5.67,5.67,5.0,5.1,-0.04
2024-10-14,143861.0,5.1,5.48,5.64,4.81,4.89,-0.21
2024-10-15,2551.0,4.89,5.25,5.25,5.0,5.09,0.2
2024-10-16,91918.0,5.09,5.1,5.2,4.22,5.06,-0.03
2024-10-17,71721.0,5.06,4.98,5.3,4.65,4.69,-0.37
2024-10-18,18639.0,4.69,4.99,4.99,4.56,4.67,-0.02
2024-10-21,11801.0,4.67,4.65,4.7,4.52,4.59,-0.08
2024-10-22,79932.0,4.59,4.7,4.7,4.5,4.52,-0.07
2024-10-23,90366.0,4.52,4.65,4.65,3.62,4.51,-0.01
2024-10-24,122189.0,4.51,4.6,4.94,4.3,4.68,0.17
2024-10-25,1804.0,4.68,4.79,4.99,4.52,4.52,-0.16
2024-10-28,39019.0,4.52,4.65,5.0,4.31,4.6,0.08
2024-10-29,60338.0,4.6,4.56,4.8,4.5,4.63,0.03
2024-10-30,58934.0,4.63,4.8,4.8,4.25,4.66,0.03
2024-10-31,16605.0,4.66,4.98,4.98,4.51,4.6,-0.06
2024-11-01,35475.0,4.6,4.99,4.99,4.6,4.89,0.29
2024-11-04,57398.0,4.89,4.88,5.2,4.86,5.19,0.3
2024-11-05,105276.0,5.19,5.2,6.19,5.1,6.01,0.82
2024-11-06,267487.0,6.01,6.05,6.96,6.05,6.44,0.43
2024-11-07,53088.0,6.44,6.75,6.75,6.16,6.56,0.12
2024-11-08,4748.0,6.56,6.79,6.79,5.81,6.7,0.14
2024-11-11,40520.0,6.7,7.5,7.5,6.15,6.22,-0.48
2024-11-12,25699.0,6.22,6.4,6.4,5.81,6.01,-0.21
2024-11-13,23315.0,6.01,6.4,6.4,5.61,6.04,0.03
2024-11-14,13048.0,6.04,6.3,6.7,5.72,6.0,-0.04
2024-11-15,43646.0,6.0,6.35,6.35,5.5,5.51,-0.49
2024-11-18,7779.0,5.51,6.0,6.0,5.45,5.5,-0.01
2024-11-19,7539.0,5.5,5.85,5.85,5.2,5.38,-0.12
2024-11-20,25040.0,5.38,5.6,5.6,5.3,5.44,0.06
2024-11-21,11093.0,5.44,5.5,5.65,5.1,5.41,-0.03
2024-11-22,4547.0,5.41,5.7,5.7,5.2,5.24,-0.17
2024-11-25,11022.0,5.24,4.71,5.25,4.71,5.03,-0.21
2024-11-26,34927.0,5.03,5.7,5.7,4.8,5.06,0.03
2024-11-27,8984.0,5.06,5.8,5.8,4.31,5.05,-0.01
2024-11-28,25895.0,5.05,5.23,5.23,4.8,5.0,-0.05
2024-11-29,9131.0,5.0,5.74,5.74,4.75,5.06,0.06
2024-12-02,6304.0,5.06,5.35,5.35,5.0,5.12,0.06
2024-12-03,28842.0,5.12,5.4,5.4,4.87,5.3,0.18
2024-12-04,21972.0,5.3,5.49,5.49,5.0,5.1,-0.2
2024-12-05,12553.0,5.1,5.44,5.45,5.1,5.44,0.34
2024-12-06,17902.0,5.44,5.38,5.38,5.0,5.2,-0.24
2024-12-09,86571.0,5.2,5.2,6.14,4.77,5.65,0.45
2024-12-10,54679.0,5.65,5.64,5.64,4.9,4.97,-0.68
2024-12-11,70392.0,4.97,5.25,5.39,4.81,5.03,0.06
2024-12-12,32511.0,5.03,5.24,5.25,4.91,5.03,0.0
2024-12-13,14367.0,5.03,5.45,5.8,4.75,5.33,0.3
2024-12-16,123025.0,5.33,5.69,5.69,5.0,5.01,-0.32
2024-12-17,45735.0,5.01,5.24,5.24,4.05,4.76,-0.25
2024-12-18,137639.0,4.76,4.99,5.24,4.55,4.74,-0.02
2024-12-19,1423452.0,4.74,4.6,5.1,3.74,3.8,-0.94
2024-12-20,1974967.0,3.8,4.24,4.8,3.52,4.21,0.41
2024-12-23,209554.0,4.21,4.21,4.4,4.08,4.35,0.14
2024-12-24,447843.0,4.35,3.98,4.58,3.98,4.13,-0.22
2024-12-26,53121.0,4.13,3.77,4.3,3.75,4.24,0.11
2024-12-27,236318.0,4.24,4.3,4.4,4.05,4.1,-0.14
2024-12-30,192201.0,4.1,4.29,4.49,4.15,4.2,0.1
2024-12-31,141546.0,4.2,4.2,4.36,4.2,4.33,0.13
2025-01-02,222896.0,4.39,4.58,4.7,4.49,4.5,0.11
2025-01-03,78625.0,4.5,4.6,4.6,4.35,4.54,0.04
2025-01-06,940566.0,4.54,4.7,5.54,4.7,5.54,1.0
2025-01-07,1295837.0,5.54,5.84,6.52,5.7,5.82,0.28
2025-01-08,225008.0,5.82,6.14,6.14,5.25,5.39,-0.43
2025-01-09,283075.0,5.39,5.1,5.2,4.76,4.99,-0.4
2025-01-10,292702.0,4.99,4.99,5.83,4.7,5.38,0.39
2025-01-13,23395.0,5.38,5.9,5.9,5.2,5.44,0.06
2025-01-14,2147828.0,5.44,5.82,6.44,5.33,6.34,0.9
2025-01-15,179608.0,6.34,6.47,6.47,6.0,6.03,-0.31
2025-01-16,67625.0,6.03,5.85,6.19,5.74,5.84,-0.19
2025-01-17,114248.0,5.84,6.69,6.69,5.74,6.02,0.18
2025-01-20,142262.0,6.02,6.02,6.09,5.5,5.55,-0.47
2025-01-21,51700.0,5.55,5.51,5.73,5.3,5.54,-0.01
2025-01-22,44234.0,5.54,5.45,5.46,5.25,5.34,-0.2
2025-01-23,70178.0,5.34,5.1,5.28,5.01,5.06,-0.28
2025-01-24,39123.0,5.06,5.25,5.34,5.0,5.04,-0.02
2025-01-27,66044.0,5.04,5.28,5.75,5.26,5.27,0.23
2025-01-28,53010.0,5.27,5.12,5.49,5.0,5.18,-0.09
2025-01-29,58647.0,5.18,5.33,5.33,4.95,5.07,-0.11
2025-01-30,80510.0,5.07,5.29,5.3,4.9,5.2,0.13
2025-01-31,222731.0,5.2,5.02,5.2,4.85,5.08,-0.12
2025-02-03,124292.0,5.08,4.8,5.13,4.62,4.7,-0.38
2025-02-04,507933.0,4.7,4.8,4.88,4.5,4.75,0.05
2025-02-06,196168.0,4.75,4.6,4.86,4.58,4.61,-0.14
2025-02-07,73032.0,4.61,4.7,4.85,4.4,4.52,-0.09
2025-02-10,141892.0,4.52,4.56,4.6,4.26,4.44,-0.08
2025-02-11,57758.0,4.44,4.6,4.6,4.3,4.35,-0.09
2025-02-12,4102.0,4.35,4.49,4.6,4.41,4.54,0.19
2025-02-13,45846.0,4.54,4.25,4.84,4.25,4.39,-0.15
2025-02-14,27023.0,4.39,4.62,4.62,4.15,4.27,-0.12
2025-02-17,10065.0,4.27,4.21,4.42,4.2,4.25,-0.02
2025-02-18,9433.0,4.25,4.43,4.43,4.22,4.28,0.03
2025-02-19,59708.0,4.28,4.44,4.5,4.15,4.16,-0.12
2025-02-20,113881.0,4.16,4.17,4.85,4.17,4.75,0.59
2025-02-21,58101.0,4.75,4.85,4.95,4.5,4.51,-0.24
2025-02-24,6485.0,4.51,4.75,4.75,4.38,4.47,-0.04
2025-02-25,17442.0,4.47,4.38,4.67,4.38,4.52,0.05
2025-02-26,9583.0,4.52,4.6,4.6,4.4,4.4,-0.12
2025-02-27,16560.0,4.4,4.3,4.5,4.3,4.41,0.01
2025-02-28,9085.0,4.41,4.64,4.64,4.11,4.41,0.0
2025-03-03,4200.0,4.41,4.33,4.49,4.17,4.49,0.08
2025-03-04,62500.0,4.49,4.22,4.22,4.06,4.13,-0.36
2025-03-05,26343.0,4.13,4.2,4.2,4.05,4.16,0.03
2025-03-06,34006.0,4.16,4.16,4.19,4.1,4.19,0.03
2025-03-07,20761.0,4.19,4.4,4.4,4.0,4.2,0.01
2025-03-10,38111.0,4.2,4.2,4.22,4.09,4.1,-0.1
2025-03-11,9866.0,4.1,4.29,4.29,4.05,4.05,-0.05
2025-03-12,59359.0,4.05,4.25,4.25,3.95,4.0,-0.05
2025-03-13,73981.0,4.0,4.05,4.05,3.85,3.87,-0.13
2025-03-14,84529.0,3.87,3.89,4.0,3.77,3.85,-0.02
2025-03-17,31315.0,3.85,3.92,4.05,3.91,4.0,0.15
2025-03-18,41806.0,4.0,4.03,4.1,3.9,3.93,-0.07
2025-03-19,16273.0,3.93,3.85,4.0,3.85,4.0,0.07
2025-03-20,20601.0,4.0,4.05,4.05,3.81,3.81,-0.19
2025-03-21,3501.0,3.81,4.0,4.0,4.0,4.0,0.19
2025-03-24,132249.0,4.0,4.05,4.05,3.7,3.77,-0.23
2025-03-25,60514.0,3.77,3.92,3.92,3.6,3.65,-0.12
2025-03-26,26331.0,3.65,3.8,3.84,3.66,3.67,0.02
2025-03-27,5536.0,3.67,3.79,3.79,3.7,3.77,0.1
2025-04-03,69824.0,3.77,3.89,3.89,3.7,3.86,0.09
2025-04-04,6787.0,3.86,3.95,3.95,3.77,3.85,-0.01
2025-04-07,16786.0,3.85,3.61,4.0,3.5,3.52,-0.33
2025-04-08,318676.0,3.52,3.9,3.9,3.24,3.27,-0.25
2025-04-09,197519.0,3.27,3.28,3.4,3.0,3.21,-0.06
2025-04-10,28841.0,3.21,3.3,3.3,3.12,3.23,0.02
2025-04-11,14523.0,3.23,3.35,3.35,3.16,3.2,-0.03
2025-04-14,23471.0,3.2,3.3,3.35,3.16,3.26,0.06
2025-04-15,123146.0,3.26,3.4,3.4,3.0,3.18,-0.08
2025-04-16,33409.0,3.18,3.2,3.41,3.2,3.23,0.05
2025-04-17,16965.0,3.23,3.4,3.4,3.25,3.4,0.17
2025-04-18,95859.0,3.4,3.23,3.37,3.05,3.21,-0.19
2025-04-21,57539.0,3.21,3.2,3.47,3.2,3.36,0.15
2025-04-22,462478.0,3.36,3.44,4.15,3.38,3.89,0.53
2025-04-23,161493.0,3.89,4.08,4.08,3.52,3.59,-0.3
2025-04-24,9808.0,3.59,3.56,3.58,3.43,3.53,-0.06
2025-04-25,21877.0,3.53,3.5,4.0,3.4,3.4,-0.13
2025-04-28,45537.0,3.4,3.81,3.81,3.15,3.2,-0.2
2025-04-29,30412.0,3.2,3.49,3.49,3.15,3.3,0.1
2025-04-30,75952.0,3.3,3.6,3.6,3.0,3.09,-0.21
2025-05-02,26055.0,3.09,3.16,3.45,3.04,3.15,0.06
2025-05-05,1128061.0,3.15,3.15,4.15,3.15,3.48,0.33
2025-05-06,18070.0,3.48,3.48,3.67,3.35,3.41,-0.07
2025-05-07,512337.0,3.41,2.99,3.39,2.97,3.04,-0.37
2025-05-08,833380.0,3.04,3.19,3.24,2.25,2.41,-0.63
2025-05-09,232734.0,2.41,2.35,2.75,2.35,2.6,0.19
2025-05-12,618218.0,2.6,3.0,3.3,2.83,3.15,0.55
2025-05-13,247633.0,3.15,3.08,3.25,2.86,3.1,-0.05
2025-05-14,63547.0,3.1,3.25,3.34,3.08,3.24,0.14
2025-05-15,213420.0,3.24,3.34,3.64,3.22,3.25,0.01
2025-05-16,153345.0,3.25,3.47,3.47,3.11,3.22,-0.03
2025-05-19,141430.0,3.22,3.27,3.27,3.1,3.11,-0.11
2025-05-20,98080.0,3.11,3.23,3.23,3.07,3.13,0.02
2025-05-21,105282.0,3.13,3.2,3.33,3.01,3.24,0.11
