Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-07-29,886515.0,50.31,50.0,55.34,50.0,55.34,5.03
2024-07-30,5287019.0,55.34,58.21,60.87,53.0,60.84,5.5
2024-07-31,1983334.0,60.84,61.0,66.92,60.87,66.92,6.08
2024-08-01,4806573.0,66.92,69.0,73.61,67.0,73.61,6.69
2024-08-02,3482665.0,73.61,79.0,80.97,76.5,80.97,7.36
2024-08-05,2162996.0,80.97,81.11,89.07,81.11,89.07,8.1
2024-08-06,2123588.0,89.07,97.98,97.98,96.99,97.98,8.91
2024-08-07,869485.0,97.98,107.78,107.78,104.01,107.78,9.8
2024-08-08,522456.0,107.78,118.56,118.56,118.56,118.56,10.78
2024-08-09,211619.0,118.56,130.42,130.42,130.42,130.42,11.86
2024-08-12,7245607.0,130.42,140.99,143.46,118.0,143.44,13.02
2024-08-13,4125939.0,143.44,145.1,148.98,129.1,131.22,-12.22
2024-08-15,3257311.0,131.22,137.89,144.34,130.05,144.34,13.12
2024-08-16,3010970.0,144.34,158.77,158.77,144.0,156.33,11.99
2024-08-19,3258170.0,156.33,164.98,168.0,140.7,140.78,-15.55
2024-08-20,2816666.0,140.78,135.0,154.86,128.31,153.98,13.2
2024-08-21,2197623.0,153.98,154.74,159.49,140.0,141.76,-12.22
2024-08-22,880351.0,141.76,142.88,145.0,133.0,141.69,-0.07
2024-08-23,1091890.0,141.69,138.2,155.86,138.0,155.86,14.17
2024-08-26,1937009.0,155.86,158.0,165.55,148.0,156.5,0.64
2024-08-27,498426.0,156.5,154.11,159.49,150.1,155.23,-1.27
2024-08-28,1221444.0,155.23,155.88,162.0,150.5,153.5,-1.73
2024-08-29,1606136.0,153.5,154.98,158.0,138.15,138.15,-15.35
2024-08-30,1265282.0,138.15,135.0,146.25,124.34,135.9,-2.25
2024-09-02,33317.0,135.9,122.31,122.31,122.31,122.31,-13.59
2024-09-03,2142386.0,122.31,110.08,125.88,110.08,114.36,-7.95
2024-09-04,1633376.0,114.36,113.85,125.8,112.0,117.74,3.38
2024-09-05,800622.0,117.74,117.69,122.98,105.97,106.34,-11.4
2024-09-06,725222.0,106.34,100.1,110.0,95.71,95.71,-10.63
2024-09-09,1569146.0,95.71,93.0,100.0,87.1,95.0,-0.71
2024-09-10,1293350.0,95.0,95.0,104.5,92.0,104.5,9.5
2024-09-11,363314.0,104.5,114.95,114.95,110.11,114.95,10.45
2024-09-12,2618630.0,114.95,126.45,126.45,103.46,103.7,-11.25
2024-09-13,741997.0,103.7,105.0,109.5,96.11,99.3,-4.4
2024-09-16,1213378.0,99.3,102.98,109.23,100.5,109.23,9.93
2024-09-18,591331.0,109.23,113.49,116.0,101.85,102.51,-6.72
2024-09-19,1636752.0,102.51,102.55,104.49,92.26,92.26,-10.25
2024-09-20,1010544.0,92.26,87.0,89.0,83.03,83.03,-9.23
2024-09-23,718651.0,83.03,79.88,89.4,78.3,82.29,-0.74
2024-09-24,476186.0,82.29,81.44,85.3,80.78,82.82,0.53
2024-09-25,2156005.0,82.82,84.0,91.1,83.98,87.3,4.48
2024-09-26,886896.0,87.3,87.0,89.45,78.57,78.57,-8.73
2024-09-27,538444.0,78.57,70.71,73.99,70.71,70.71,-7.86
2024-09-30,707247.0,70.71,63.64,69.98,63.64,63.64,-7.07
2024-10-01,4767380.0,63.64,59.31,69.4,57.5,67.06,3.42
2024-10-02,946691.0,67.06,66.0,67.7,60.35,61.02,-6.04
2024-10-03,1509238.0,61.02,58.02,59.73,54.92,54.92,-6.1
2024-10-04,2385607.0,54.92,53.0,57.5,49.43,52.46,-2.46
2024-10-07,2572668.0,52.46,50.02,57.71,49.75,57.71,5.25
2024-10-08,1176484.0,57.71,59.48,63.48,59.4,63.48,5.77
2024-10-09,1024112.0,63.48,69.69,69.83,68.42,69.83,6.35
2024-10-10,81957.0,69.83,62.85,62.85,62.85,62.85,-6.98
