Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,58500.0,6.7,6.89,7.5,6.75,6.99,0.29
2024-01-02,12000.0,6.99,6.94,6.94,6.15,6.27,-0.72
2024-01-03,500.0,6.27,6.5,6.5,6.5,6.5,0.23
2024-01-04,9500.0,6.5,6.5,6.5,6.02,6.47,-0.03
2024-01-05,8000.0,6.47,6.46,6.87,6.3,6.51,0.04
2024-01-08,3000.0,6.51,6.51,6.55,6.51,6.54,0.03
2024-01-09,10000.0,6.54,6.5,6.5,6.5,6.5,-0.04
2024-01-10,12000.0,6.5,6.25,6.5,6.25,6.5,0.0
2024-01-11,39500.0,6.5,6.66,6.98,6.0,6.2,-0.3
2024-01-12,1500.0,6.2,6.3,6.4,6.1,6.4,0.2
2024-01-15,3500.0,6.4,6.13,6.4,6.13,6.4,0.0
2024-01-16,4000.0,6.4,6.12,6.35,6.1,6.14,-0.26
2024-01-17,51000.0,6.14,6.3,6.83,6.1,6.29,0.15
2024-01-18,500.0,6.29,6.4,6.4,6.4,6.4,0.11
2024-01-19,10000.0,6.4,6.11,6.48,6.11,6.48,0.08
2024-01-22,30000.0,6.48,6.45,6.78,6.45,6.78,0.3
2024-01-23,49500.0,6.78,6.36,6.37,5.78,6.18,-0.6
2024-01-24,2000.0,6.18,6.06,6.3,6.06,6.18,0.0
2024-01-25,1500.0,6.18,6.06,6.34,6.06,6.34,0.16
2024-01-26,10000.0,6.34,6.01,6.31,6.0,6.3,-0.04
2024-01-29,306000.0,6.3,5.9,6.32,5.5,5.82,-0.48
2024-01-30,500.0,5.82,6.15,6.15,6.15,6.15,0.33
2024-02-01,2500.0,6.15,5.92,6.14,5.92,6.14,-0.01
2024-02-06,2000.0,6.14,6.45,6.45,6.45,6.45,0.31
2024-02-07,5000.0,6.45,6.15,6.15,6.0,6.0,-0.45
2024-02-09,2500.0,6.0,6.0,6.0,6.0,6.0,0.0
2024-02-12,1000.0,6.0,5.9,5.9,5.64,5.64,-0.36
2024-02-13,6500.0,5.64,5.75,5.9,5.53,5.66,0.02
2024-02-14,30500.0,5.66,5.58,5.92,5.58,5.6,-0.06
2024-02-15,7500.0,5.6,5.95,5.95,5.42,5.81,0.21
2024-02-16,500.0,5.81,5.99,5.99,5.99,5.99,0.18
2024-02-19,4500.0,5.99,6.11,6.11,5.5,5.6,-0.39
2024-02-20,2000.0,5.6,5.5,5.85,5.5,5.7,0.1
2024-02-21,500.0,5.7,5.9,5.9,5.9,5.9,0.2
2024-02-22,11000.0,5.9,5.6,5.76,5.2,5.64,-0.26
2024-02-23,6000.0,5.64,5.5,5.93,5.5,5.93,0.29
2024-02-26,4500.0,5.93,5.75,5.75,5.42,5.55,-0.38
2024-02-27,4000.0,5.55,5.3,5.6,5.3,5.5,-0.05
2024-02-28,1000.0,5.5,5.86,5.86,5.8,5.8,0.3
2024-02-29,5500.0,5.8,5.65,5.87,5.57,5.79,-0.01
2024-03-01,5000.0,5.79,5.5,5.78,5.5,5.64,-0.15
2024-03-04,3000.0,5.64,5.6,5.6,5.5,5.5,-0.14
2024-03-05,500.0,5.5,5.84,5.84,5.84,5.84,0.34
2024-03-06,1500.0,5.84,5.61,5.85,5.61,5.85,0.01
2024-03-07,6000.0,5.85,5.55,5.75,5.5,5.75,-0.1
2024-03-08,8000.0,5.75,5.61,5.61,5.6,5.6,-0.15
2024-03-11,500.0,5.6,5.79,5.79,5.79,5.79,0.19
2024-03-14,56500.0,5.79,5.97,5.97,5.0,5.53,-0.26
2024-03-15,1000.0,5.53,5.5,5.65,5.5,5.65,0.12
2024-03-18,21500.0,5.65,5.7,6.49,5.6,6.04,0.39
2024-03-19,29000.0,6.04,6.2,6.27,6.0,6.0,-0.04
2024-03-20,96500.0,6.0,6.2,6.45,5.85,6.39,0.39
2024-03-21,429500.0,6.39,6.4,7.39,6.4,7.39,1.0
2024-03-22,100500.0,7.39,8.0,8.0,7.37,7.5,0.11
2024-03-25,56000.0,7.5,7.75,7.75,7.0,7.14,-0.36
2024-03-26,46000.0,7.14,7.0,7.4,6.91,7.05,-0.09
2024-03-27,55500.0,7.05,7.5,7.5,7.0,7.07,0.02
2024-03-28,3500.0,7.07,7.0,7.09,6.81,7.09,0.02
2024-03-29,4500.0,7.09,6.81,7.05,6.8,6.9,-0.19
2024-04-01,4000.0,6.9,6.7,6.7,6.5,6.58,-0.32
2024-04-02,1000.0,6.58,6.8,6.8,6.8,6.8,0.22
2024-04-03,1500.0,6.8,7.28,7.28,6.8,6.9,0.1
2024-04-04,10500.0,6.9,6.9,6.9,6.66,6.66,-0.24
2024-04-08,500.0,6.66,6.85,6.85,6.85,6.85,0.19
2024-04-09,5000.0,6.85,6.55,6.75,6.33,6.46,-0.39
2024-04-15,14500.0,6.46,6.4,6.4,6.0,6.15,-0.31
2024-04-16,20500.0,6.15,6.2,6.69,6.1,6.11,-0.04
2024-04-17,6000.0,6.11,6.03,6.2,5.93,6.11,0.0
2024-04-18,2000.0,6.11,6.01,6.01,6.0,6.0,-0.11
2024-04-19,3000.0,6.0,6.0,6.0,5.91,5.91,-0.09
2024-04-22,46000.0,5.91,5.97,6.25,5.81,6.02,0.11
2024-04-23,8500.0,6.02,5.88,6.0,5.88,5.91,-0.11
2024-04-24,7500.0,5.91,5.9,6.44,5.88,6.3,0.39
2024-04-25,23000.0,6.3,6.15,7.22,6.11,6.98,0.68
2024-04-26,12500.0,6.98,6.55,7.09,6.35,6.69,-0.29
2024-04-29,97000.0,6.69,6.31,7.69,6.11,7.43,0.74
2024-04-30,321000.0,7.43,7.0,8.43,7.0,7.91,0.48
2024-05-02,67500.0,7.91,8.0,8.5,7.91,8.38,0.47
2024-05-03,465500.0,8.38,7.53,9.29,7.53,8.55,0.17
2024-05-06,132500.0,8.55,9.02,9.55,8.4,9.55,1.0
2024-05-07,189000.0,9.55,10.4,10.55,10.25,10.55,1.0
2024-05-08,332500.0,10.55,11.2,11.55,10.9,11.55,1.0
2024-05-09,215500.0,11.55,12.01,12.55,11.86,12.55,1.0
2024-05-10,241000.0,12.55,12.99,13.49,11.55,11.55,1.0
2024-05-13,97500.0,11.55,10.91,10.91,10.55,10.59,-0.96
2024-05-14,94500.0,10.59,10.59,11.49,9.66,10.74,0.15
2024-05-15,87500.0,10.74,10.1,11.15,10.03,10.69,-0.05
