Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1503896.0,23.74,23.95,25.18,23.95,24.97,1.23
2024-01-02,1377287.0,24.97,25.1,25.25,24.0,24.13,-0.84
2024-01-03,959568.0,24.13,24.15,24.89,24.01,24.56,0.43
2024-01-04,312836.0,24.56,24.32,24.54,24.05,24.18,-0.38
2024-01-05,4251090.0,24.18,24.12,25.69,22.6,24.76,0.58
2024-01-08,776216.0,24.76,25.0,25.39,24.5,24.53,-0.23
2024-01-09,235198.0,24.53,24.54,24.99,24.11,24.4,-0.13
2024-01-10,1038969.0,24.4,24.5,24.6,24.1,24.2,-0.2
2024-01-11,993520.0,24.2,24.1,24.49,23.91,24.09,-0.11
2024-01-12,1106770.0,24.09,24.4,24.55,23.7,23.84,-0.25
2024-01-15,489567.0,23.84,23.91,24.39,23.51,23.66,-0.18
2024-01-16,584344.0,23.66,23.69,23.7,22.9,23.03,-0.63
2024-01-17,509573.0,23.03,23.0,23.3,22.5,22.63,-0.4
2024-01-18,644950.0,22.63,22.8,23.0,22.06,22.41,-0.22
2024-01-19,243491.0,22.41,22.85,22.95,22.4,22.48,0.07
2024-01-22,120.0,22.45,22.0,22.5,21.7,22.27,-0.18
2024-01-23,113.0,22.27,22.0,23.27,22.0,23.1,0.83
2024-01-24,858560.0,22.49,22.5,22.78,22.32,22.54,0.05
2024-01-25,497525.0,22.54,22.64,22.64,22.01,22.07,-0.47
2024-01-26,1000.0,22.21,22.15,22.21,21.35,22.0,-0.21
2024-01-29,308722.0,22.05,22.06,22.1,21.7,21.82,-0.23
2024-01-30,426440.0,21.82,21.98,22.25,21.3,21.48,-0.34
2024-01-31,198415.0,21.48,21.63,21.85,21.4,21.52,0.04
2024-02-01,390217.0,21.52,21.52,22.08,21.3,21.89,0.37
2024-02-02,1213191.0,21.89,22.0,22.6,22.0,22.41,0.52
2024-02-06,468222.0,22.41,22.69,22.91,22.5,22.62,0.21
2024-02-07,709669.0,22.62,23.1,23.2,22.6,22.77,0.15
2024-02-09,299945.0,22.77,22.8,22.8,21.5,21.88,-0.89
2024-02-12,562952.0,21.88,21.75,21.9,20.75,20.82,-1.06
2024-02-13,459505.0,20.82,20.51,21.25,20.01,20.9,0.08
2024-02-14,360229.0,20.9,21.19,21.5,21.0,21.28,0.38
2024-02-15,1173435.0,21.28,21.4,22.74,21.2,21.86,0.58
2024-02-16,2019987.0,21.86,21.89,22.49,21.1,21.25,-0.61
2024-02-19,133.0,21.84,21.91,21.91,21.75,21.79,-0.05
2024-02-20,2024286.0,21.37,21.7,22.97,21.7,22.97,1.6
2024-02-21,8771458.0,22.97,24.49,24.67,22.62,24.26,1.29
2024-02-22,2018728.0,24.26,24.26,24.3,22.75,22.86,-1.4
2024-02-23,811349.0,22.86,22.65,23.33,22.65,22.97,0.11
