Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,13100.0,112.48,114.4,116.55,108.1,116.37,3.89
2024-01-02,20300.0,116.37,116.0,116.0,113.0,113.84,-2.53
2024-01-03,2900.0,113.84,117.0,117.0,115.0,116.4,2.56
2024-01-04,22900.0,116.4,117.5,117.5,113.25,114.67,-1.73
2024-01-05,17200.0,114.67,115.98,116.45,113.0,115.95,1.28
2024-01-08,16700.0,115.95,115.0,117.3,113.51,115.73,-0.22
2024-01-09,9500.0,115.73,116.25,116.5,114.01,115.5,-0.23
2024-01-10,2600.0,115.5,113.25,116.94,113.25,115.0,-0.5
2024-01-11,15500.0,115.0,114.99,115.0,113.0,113.0,2.0
2024-01-12,8500.0,113.0,114.0,114.95,112.15,112.15,-0.85
2024-01-15,14700.0,112.15,110.0,112.33,110.0,111.0,-1.15
2024-01-16,6500.0,111.0,110.1,110.5,110.0,110.5,-0.5
2024-01-18,3900.0,110.5,110.0,110.0,109.5,109.5,1.0
2024-01-19,12700.0,109.5,111.79,114.5,111.79,113.0,3.5
2024-01-22,7000.0,113.0,113.25,114.0,113.0,113.3,0.3
2024-01-23,98000.0,113.3,114.75,121.8,114.01,121.8,8.5
2024-01-24,242300.0,121.8,124.79,129.8,122.09,123.21,1.41
2024-01-25,13400.0,123.21,126.0,126.0,120.06,121.53,-1.68
2024-01-26,1300.0,121.53,123.88,123.88,120.0,120.0,-1.53
2024-01-29,11000.0,120.0,117.1,118.5,115.0,116.15,-3.85
2024-01-30,14400.0,116.15,118.0,118.0,112.65,112.69,-3.46
2024-01-31,2100.0,112.69,111.25,113.5,111.25,113.5,0.81
2024-02-01,6100.0,113.5,111.56,113.0,111.1,112.0,-1.5
2024-02-02,100.0,112.0,111.7,111.7,111.7,112.0,0.0
2024-02-06,8300.0,112.0,112.0,114.45,111.99,112.94,0.94
2024-02-07,900.0,112.94,112.5,112.5,111.6,111.9,-1.04
2024-02-12,241900.0,111.9,110.0,114.99,109.88,113.66,1.76
2024-02-13,81700.0,113.66,114.0,118.5,113.9,117.93,4.27
2024-02-14,9700.0,117.93,118.8,120.15,118.0,120.15,2.22
2024-02-15,140100.0,120.15,115.56,118.0,115.0,117.14,-3.01
2024-02-16,64800.0,117.14,115.1,118.75,114.25,114.96,-2.18
2024-02-19,94500.0,114.96,114.5,118.0,114.16,117.03,2.07
2024-02-20,43900.0,117.03,119.0,124.45,119.0,123.96,6.93
2024-02-21,79200.0,123.96,125.0,130.1,125.0,129.74,5.78
2024-02-22,45800.0,129.74,129.75,132.0,129.25,131.5,1.76
2024-02-23,58400.0,130.5,132.0,133.0,128.25,131.76,1.26
2024-02-26,3200.0,131.76,133.95,133.95,130.76,133.0,1.24
2024-02-27,85000.0,133.0,136.44,136.45,131.4,135.0,2.0
2024-02-28,600200.0,135.0,135.0,135.5,135.0,135.01,0.01
2024-02-29,665800.0,135.01,135.15,140.74,130.0,131.2,-3.81
2024-03-01,19400.0,131.2,125.01,133.49,125.01,129.93,-1.27
2024-03-04,40500.0,129.93,131.0,131.8,129.0,129.72,-0.21
2024-03-05,4200.0,129.72,133.33,133.33,126.1,126.81,-2.91
2024-03-06,22700.0,126.81,126.94,127.95,125.0,125.73,-1.08
2024-03-07,1800.0,125.73,124.2,126.75,124.0,126.75,1.02
2024-03-08,35300.0,126.75,126.0,127.9,123.15,127.18,0.43
2024-03-11,8800.0,127.18,121.31,127.6,121.31,125.52,-1.66
2024-03-12,3400.0,125.52,125.0,126.0,123.0,123.84,-1.68
2024-03-13,5800.0,123.84,121.06,122.2,121.0,122.01,-1.83
2024-03-15,1600.0,122.01,122.01,122.01,122.0,122.0,-0.01
2024-03-19,3600.0,122.0,121.01,124.0,121.01,122.0,0.0
2024-03-20,4900.0,122.0,122.1,124.0,122.0,122.0,0.0
2024-03-21,3700.0,122.0,124.95,124.95,121.04,121.88,-0.12
2024-03-22,13500.0,121.88,121.0,122.01,119.0,120.82,-1.06
2024-03-25,2700.0,120.82,121.0,121.5,121.0,121.5,0.68
2024-03-26,2500.0,121.5,122.0,122.0,122.0,122.0,0.5
2024-03-27,3400.0,122.0,122.5,122.5,122.01,122.43,0.43
2024-03-28,5400.0,122.43,122.5,123.0,122.0,123.0,0.57
2024-03-29,4200.0,123.0,123.0,123.95,123.0,123.8,0.8
2024-04-01,300.0,123.8,122.5,122.5,122.5,122.5,-1.3
2024-04-02,500.0,122.5,125.25,125.25,125.25,125.25,2.75
2024-04-03,4000.0,125.25,124.95,126.0,124.95,125.38,0.13
2024-04-04,15200.0,125.38,122.7,124.4,120.75,124.06,-1.32
2024-04-08,100.0,124.06,121.5,121.5,121.5,124.06,0.0
2024-04-15,6300.0,124.06,124.0,125.0,124.0,124.8,0.74
2024-04-16,700.0,124.8,124.84,124.84,124.5,124.5,-0.3
2024-04-17,6000.0,124.5,124.0,125.0,124.0,124.0,-0.5
2024-04-18,5600.0,124.0,125.85,125.85,123.01,124.74,0.74
2024-04-19,11200.0,124.74,125.0,126.0,122.0,122.0,-2.74
2024-04-22,3144.0,122.0,123.5,123.99,122.16,123.07,1.07
2024-04-23,12181.0,123.07,127.99,127.99,123.01,124.11,1.04
2024-04-24,19753.0,124.11,126.95,127.5,122.75,124.0,-0.11
2024-04-25,11722.0,124.0,122.27,126.0,122.27,123.65,-0.35
2024-04-26,222542.0,123.65,123.27,132.92,122.51,130.77,7.12
2024-04-29,61653.0,130.77,125.1,127.95,122.56,123.29,-7.48
2024-04-30,30203.0,123.29,124.95,124.95,118.0,118.25,-5.04
2024-05-02,93625.0,118.25,118.99,120.0,116.02,118.44,0.19
2024-05-03,111117.0,118.44,119.8,121.95,117.0,117.67,-0.77
2024-05-06,16842.0,117.67,120.95,121.89,116.5,119.32,1.65
2024-05-07,39730.0,119.32,120.98,121.8,119.13,121.33,2.01
2024-05-08,12994.0,121.33,122.0,122.0,119.21,119.21,-2.12
2024-05-09,74462.0,119.21,121.9,126.49,120.0,122.82,3.61
2024-05-10,102489.0,122.82,123.9,131.74,123.85,125.42,2.6
2024-05-13,14292.0,125.42,125.0,127.0,124.14,124.77,-0.65
2024-05-14,16814.0,124.77,126.94,126.94,122.5,123.52,-1.25
2024-05-15,34036.0,123.52,124.9,125.5,122.0,123.2,-0.32
2024-05-16,28610.0,123.2,122.01,125.0,121.75,123.24,0.04
2024-05-17,8426.0,123.24,125.3,125.3,121.6,122.77,-0.47
2024-05-20,14095.0,122.77,126.45,126.45,123.0,123.72,0.95
2024-05-21,20140.0,123.72,126.9,126.9,124.0,125.71,1.99
2024-05-22,13390.0,125.71,123.14,126.5,122.1,124.0,-1.71
2024-05-23,5774.0,124.0,125.7,125.7,123.25,124.0,0.0
2024-05-24,9815.0,124.0,125.0,125.84,120.01,123.71,-0.29
2024-05-27,13085.0,123.71,122.1,124.85,122.0,123.0,-0.71
2024-05-29,27067.0,123.0,121.61,122.99,118.1,120.0,3.0
2024-05-30,12893.0,120.0,121.0,121.0,120.0,120.0,0.0
2024-05-31,3310.0,120.0,122.0,122.0,120.0,120.56,0.56
2024-06-03,13957.0,120.56,118.1,122.95,113.26,120.79,0.23
2024-06-04,16167.0,120.79,119.0,122.75,118.01,121.42,0.63
2024-06-05,19736.0,121.42,118.05,120.49,118.05,118.76,-2.66
2024-06-06,8592.0,118.76,121.75,121.75,117.3,118.83,0.07
2024-06-07,249.0,118.83,118.0,119.95,117.05,117.84,-0.99
2024-06-10,5010.0,117.84,119.99,119.99,118.5,118.5,0.66
2024-06-11,15543.0,118.5,118.0,118.5,117.5,117.5,1.0
2024-06-12,2816.0,117.5,119.9,119.9,118.0,118.54,1.04
2024-06-13,7709.0,118.54,118.54,122.5,118.54,118.98,0.44
2024-06-14,17165.0,118.98,119.02,120.9,117.24,118.07,-0.91
2024-06-20,27342.0,118.07,119.0,120.24,118.0,118.57,0.5
2024-06-21,43097.0,118.57,122.29,122.29,120.0,121.01,2.44
2024-06-24,79903.0,121.01,122.75,123.93,120.05,121.16,0.15
2024-06-25,60900.0,121.16,119.51,121.9,117.8,119.46,-1.7
2024-06-26,61120.0,119.46,119.95,119.95,117.0,117.67,-1.79
2024-06-27,10576.0,117.67,117.27,118.99,116.06,117.5,-0.17
2024-06-28,6975.0,117.5,117.99,118.45,117.0,118.04,0.54
2024-07-01,10275.0,118.04,118.0,122.0,117.77,118.52,0.48
2024-07-02,11718.0,118.52,117.5,125.01,117.5,119.1,0.58
2024-07-03,13328.0,119.1,123.7,123.79,118.75,122.03,2.93
2024-07-04,18104.0,122.03,124.0,124.0,118.0,118.35,-3.68
2024-07-05,36407.0,118.35,123.75,124.95,119.0,121.44,3.09
2024-07-08,3176.0,121.44,120.0,123.0,119.95,119.98,-1.46
2024-07-09,10601.0,119.98,119.98,122.85,117.5,118.99,-0.99
2024-07-10,21857.0,118.99,118.1,120.0,117.0,118.5,-0.49
2024-07-11,20210.0,118.5,118.0,119.45,116.56,117.35,-1.15
2024-07-12,15628.0,117.35,119.0,119.0,112.0,116.87,-0.48
2024-07-15,255.0,116.87,119.81,119.81,118.99,119.7,2.83
2024-07-18,33912.0,119.7,120.25,120.25,118.0,120.0,0.3
2024-07-19,31417.0,120.0,120.0,120.03,117.1,117.59,-2.41
2024-07-22,5025.0,117.59,119.8,119.8,117.0,117.13,-0.46
2024-07-23,18125.0,117.13,117.02,117.49,115.0,116.0,-1.13
2024-07-24,11855.0,116.0,116.65,117.0,115.06,117.0,1.0
2024-07-25,7835.0,117.0,118.79,118.79,116.0,116.95,-0.05
2024-07-26,2012.0,116.95,116.95,118.0,113.56,115.05,-1.9
2024-07-29,32028.0,115.05,116.0,116.95,115.75,116.16,1.11
2024-07-30,2233.0,116.16,116.0,116.2,115.1,115.1,-1.06
2024-07-31,13098.0,115.1,116.0,117.44,114.0,114.55,-0.55
2024-08-01,14659.0,114.55,114.25,115.7,113.6,114.02,-0.53
2024-08-02,8006.0,114.02,114.01,116.5,114.01,115.47,1.45
2024-08-05,12145.0,115.47,114.5,117.95,113.52,114.17,-1.3
2024-08-06,11489.0,114.17,113.51,114.75,112.55,113.29,-0.88
2024-08-07,10810.0,113.29,110.1,114.7,110.1,112.7,-0.59
2024-08-08,40411.0,112.7,112.7,113.0,110.51,112.49,-0.21
2024-08-09,54933.0,112.49,112.0,123.5,112.0,115.0,2.51
2024-08-12,67264.0,115.0,115.12,118.4,115.12,117.2,2.2
2024-08-13,25993.0,117.2,117.0,117.44,116.5,116.51,-0.69
2024-08-15,42158.0,116.51,115.6,117.9,114.0,114.19,-2.32
2024-08-16,74929.0,114.19,116.95,118.5,115.05,117.94,3.75
2024-08-19,32129.0,117.94,118.75,118.8,114.25,115.24,-2.7
2024-08-20,28159.0,115.24,113.1,116.0,113.0,114.02,-1.22
2024-08-21,49440.0,114.02,114.99,114.99,114.0,114.12,0.1
2024-08-22,95721.0,114.12,115.15,117.75,114.12,114.87,0.75
2024-08-23,76352.0,114.87,115.0,116.0,108.11,109.0,-5.87
2024-08-26,77578.0,109.0,110.0,110.0,104.99,106.11,-2.89
2024-08-27,61550.0,106.11,106.9,107.0,106.0,106.0,-0.11
2024-08-28,50823.0,106.0,105.11,106.95,104.11,105.17,-0.83
2024-08-29,81750.0,105.17,106.0,108.5,105.9,106.61,1.44
2024-08-30,25607.0,106.61,106.0,108.75,104.5,106.49,-0.12
2024-09-02,8536.0,106.49,107.0,107.8,105.1,105.35,-1.14
2024-09-03,49848.0,105.35,105.35,109.0,105.0,105.11,-0.24
2024-09-04,28674.0,105.11,105.99,105.99,104.5,104.52,-0.59
2024-09-05,30159.0,104.52,107.0,107.0,104.0,105.75,1.23
2024-09-06,31595.0,105.75,106.02,106.75,104.9,106.75,1.0
2024-09-09,38748.0,106.75,108.0,108.1,103.0,103.23,-3.52
2024-09-10,29094.0,103.23,104.0,104.0,102.55,103.5,0.27
2024-09-11,26113.0,103.5,105.0,105.9,104.0,104.88,1.38
2024-09-12,25029.0,104.88,104.07,106.5,104.07,104.92,0.04
2024-09-13,60215.0,104.92,107.0,108.0,105.99,108.0,3.08
2024-09-16,67949.0,108.0,108.0,108.0,105.0,106.0,2.0
2024-09-18,28563.0,106.0,105.01,105.01,104.06,105.0,1.0
2024-09-19,79423.0,105.0,104.3,106.35,104.3,105.78,0.78
2024-09-20,23903.0,105.78,104.0,105.95,103.52,105.79,0.01
2024-09-23,23692.0,105.79,104.02,105.94,104.02,104.72,-1.07
2024-09-24,24237.0,104.72,104.99,104.99,103.07,103.2,-1.52
2024-09-25,23420.0,103.2,104.75,104.75,104.73,104.74,1.54
2024-09-26,40239.0,104.74,104.9,105.49,102.8,103.07,-1.67
2024-09-27,27675.0,103.07,103.0,103.77,103.0,103.0,-0.07
2024-09-30,38598.0,103.0,102.0,102.0,99.5,99.51,-3.49
2024-10-01,9857.0,99.51,99.51,102.91,99.51,100.64,1.13
2024-10-02,26353.0,100.64,102.93,102.93,102.0,102.0,1.36
2024-10-03,44769.0,102.0,101.0,103.48,101.0,102.85,0.85
2024-10-04,39640.0,99.35,102.8,102.8,100.0,102.0,2.65
2024-10-07,33426.0,102.0,102.9,103.0,102.0,102.34,0.34
2024-10-08,24519.0,102.34,102.99,102.99,102.0,102.0,-0.34
2024-10-09,29092.0,102.0,102.0,102.75,102.0,102.49,0.49
2024-10-10,29406.0,102.49,101.52,103.0,100.05,102.0,-0.49
2024-10-11,30762.0,102.0,101.05,103.81,101.0,103.0,1.0
2024-10-14,41393.0,103.0,102.0,102.8,100.08,101.55,-1.45
2024-10-15,37074.0,101.55,101.0,102.48,100.0,102.0,0.45
2024-10-16,73633.0,102.0,102.5,102.9,100.0,100.02,-1.98
2024-10-17,36427.0,100.02,98.5,101.0,98.5,100.76,0.74
2024-10-18,77319.0,100.76,101.5,103.0,101.0,102.98,2.22
2024-10-21,44616.0,102.98,103.0,105.6,103.0,104.99,2.01
2024-10-22,40499.0,104.99,104.01,105.7,104.0,104.39,-0.6
2024-10-23,61988.0,104.39,104.49,106.0,104.1,106.0,1.61
2024-10-24,67189.0,106.0,106.25,108.5,106.25,107.37,1.37
2024-10-25,71968.0,107.37,108.0,109.0,106.0,107.12,-0.25
2024-10-28,51493.0,107.12,107.95,107.95,105.02,106.87,-0.25
2024-10-29,35332.0,106.87,107.0,107.0,105.0,105.5,-1.37
2024-10-30,29339.0,105.5,106.9,106.9,105.0,105.95,0.45
2024-10-31,36059.0,105.95,106.0,106.0,103.75,104.0,-1.95
2024-11-01,35.0,104.0,0.0,0.0,0.0,104.0,0.0
2024-11-04,14109.0,104.0,104.5,105.0,102.0,103.67,-0.33
2024-11-05,36732.0,103.67,104.0,107.5,104.0,106.01,2.34
2024-11-06,12400.0,106.01,105.5,107.0,105.0,106.5,0.49
2024-11-07,32683.0,106.5,106.8,107.0,105.5,106.67,0.17
2024-11-08,134382.0,106.67,107.0,113.0,106.55,110.43,3.76
2024-11-11,507304.0,110.43,113.05,121.47,113.0,121.45,11.02
2024-11-12,168393.0,121.45,124.49,124.49,115.0,115.94,-5.51
2024-11-13,77682.0,115.94,114.05,117.0,113.99,114.22,-1.72
2024-11-14,125305.0,114.22,115.89,119.0,113.5,116.47,2.25
2024-11-15,84045.0,116.47,118.0,120.0,114.05,114.85,-1.62
2024-11-18,38787.0,114.85,117.9,117.9,112.27,113.94,-0.91
2024-11-19,76830.0,113.94,115.0,117.99,114.25,116.04,2.1
2024-11-20,81590.0,116.04,116.0,118.6,115.0,117.06,1.02
2024-11-21,43477.0,117.06,117.9,118.3,115.55,117.71,0.65
2024-11-22,47034.0,117.71,117.0,118.4,114.0,114.76,-2.95
2024-11-25,35103.0,114.76,114.76,118.0,114.26,116.75,1.99
2024-11-26,68756.0,116.75,115.01,115.85,110.99,111.27,-5.48
2024-11-27,36628.0,111.27,113.5,113.9,111.0,112.27,1.0
2024-11-28,238562.0,112.27,116.0,121.0,113.0,118.79,6.52
2024-11-29,739575.0,118.79,120.75,130.67,118.25,130.38,11.59
2024-12-02,459034.0,130.38,132.55,140.8,126.01,137.22,6.84
2024-12-03,243599.0,137.22,135.0,147.0,135.0,145.11,7.89
2024-12-04,181155.0,145.11,146.01,152.89,143.0,149.61,4.5
2024-12-05,80555.0,149.61,149.95,150.0,146.0,148.12,-1.49
2024-12-06,31365.0,148.12,146.0,148.98,142.0,143.58,-4.54
2024-12-09,72825.0,143.58,143.5,145.99,141.5,142.72,-0.86
2024-12-10,72583.0,142.72,143.0,144.01,136.0,138.83,-3.89
2024-12-11,82058.0,138.83,139.94,140.94,132.0,134.07,-4.76
2024-12-12,53531.0,134.07,133.5,136.39,130.06,135.88,1.81
2024-12-13,79377.0,135.88,135.8,142.0,134.81,140.37,4.49
