Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,195000.0,2.29,2.49,2.49,2.23,2.34,0.05
2024-01-02,66500.0,2.34,2.54,2.54,2.3,2.33,-0.01
2024-01-03,50500.0,2.33,2.35,2.43,2.26,2.4,0.07
2024-01-04,88000.0,2.4,2.49,2.49,2.25,2.47,0.07
2024-01-05,40500.0,2.47,2.58,2.58,2.3,2.36,-0.11
2024-01-08,169000.0,2.36,2.48,2.48,2.3,2.32,-0.04
2024-01-09,688500.0,2.32,2.44,2.75,2.25,2.46,0.14
2024-01-10,94000.0,2.46,2.47,2.6,2.45,2.46,0.0
2024-01-11,72500.0,2.46,2.55,2.59,2.42,2.45,-0.01
2024-01-12,80000.0,2.45,2.67,2.67,2.44,2.5,0.05
2024-01-15,173000.0,2.5,2.4,2.44,2.3,2.33,-0.17
2024-01-16,114000.0,2.33,2.31,2.38,2.3,2.31,-0.02
2024-01-17,41500.0,2.31,2.4,2.43,2.27,2.3,-0.01
2024-01-18,123500.0,2.3,2.49,2.49,2.23,2.24,-0.06
2024-01-19,57500.0,2.24,2.39,2.39,2.17,2.2,-0.04
2024-01-22,45000.0,2.2,2.26,2.27,2.2,2.27,0.07
2024-01-23,11500.0,2.27,2.28,2.39,2.28,2.38,0.11
2024-01-24,61500.0,2.38,2.25,2.44,2.16,2.36,-0.02
2024-01-25,17500.0,2.36,2.43,2.43,2.3,2.3,-0.06
2024-01-26,261500.0,2.3,2.4,2.4,2.11,2.16,-0.14
2024-01-29,301000.0,2.16,2.15,2.24,2.05,2.1,-0.06
2024-01-30,121500.0,2.1,2.11,2.17,1.99,2.02,-0.08
2024-01-31,107000.0,2.02,2.12,2.12,2.02,2.05,0.03
2024-02-01,36500.0,2.05,2.14,2.15,2.0,2.0,-0.05
2024-02-02,169500.0,2.0,2.05,2.14,2.01,2.03,0.03
2024-02-06,409000.0,2.03,1.99,2.13,1.99,2.06,0.03
2024-02-07,131500.0,2.06,2.14,2.15,2.07,2.15,0.09
2024-02-09,160000.0,2.15,2.06,2.14,2.03,2.05,-0.1
2024-02-12,255000.0,2.05,2.29,2.29,1.55,1.86,-0.19
2024-02-13,272000.0,1.86,1.81,1.98,1.75,1.87,0.01
2024-02-14,316000.0,1.87,1.99,2.06,1.82,2.0,0.13
2024-02-15,90500.0,2.0,2.0,2.13,1.95,2.02,0.02
2024-02-16,84000.0,2.02,1.96,2.0,1.9,1.91,-0.11
2024-02-19,237500.0,1.91,1.9,2.04,1.86,2.04,0.13
2024-02-20,40000.0,2.04,2.09,2.09,1.96,1.97,-0.07
2024-02-21,78000.0,1.97,2.0,2.15,1.9,1.96,-0.01
2024-02-22,794000.0,1.96,1.95,2.0,1.75,1.9,-0.06
2024-02-23,244500.0,1.9,1.9,1.99,1.9,1.95,0.05
2024-02-26,122000.0,1.95,1.98,2.03,1.97,1.97,0.02
2024-02-27,222500.0,1.97,2.04,2.13,1.95,1.98,0.01
2024-02-28,151000.0,1.98,1.95,1.97,1.9,1.94,-0.04
2024-02-29,38500.0,1.94,2.0,2.02,2.0,2.01,0.07
2024-03-01,674000.0,2.01,2.1,2.37,2.05,2.29,0.28
2024-03-04,713000.0,2.29,2.37,2.54,2.34,2.43,0.14
2024-03-05,436000.0,2.43,2.5,2.54,2.32,2.5,0.07
2024-03-06,875000.0,2.5,2.55,2.75,2.47,2.53,0.03
2024-03-07,982000.0,2.53,2.59,2.73,2.4,2.62,0.09
2024-03-08,842000.0,2.62,2.72,2.75,2.45,2.51,-0.11
2024-03-11,758000.0,2.51,2.68,2.69,2.5,2.52,0.01
2024-03-12,247000.0,2.52,2.62,2.62,2.37,2.38,-0.14
2024-03-13,379000.0,2.38,2.47,2.48,2.2,2.22,-0.16
