Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,73500.0,3.27,3.28,3.35,3.28,3.31,0.04
2024-01-02,17000.0,3.31,3.3,3.3,3.18,3.2,-0.11
2024-01-03,341000.0,3.2,3.2,3.5,3.2,3.49,0.29
2024-01-04,211500.0,3.49,3.4,3.74,3.4,3.57,0.08
2024-01-05,187000.0,3.57,3.51,3.7,3.3,3.35,-0.22
2024-01-08,33500.0,3.35,3.44,3.44,3.2,3.24,-0.11
2024-01-09,90000.0,3.24,3.24,3.27,3.18,3.19,-0.05
2024-01-10,20500.0,3.19,3.4,3.4,3.21,3.35,0.16
2024-01-11,196500.0,3.35,3.4,3.64,3.3,3.6,0.25
2024-01-12,12000.0,3.6,3.7,3.7,3.3,3.35,-0.25
2024-01-15,129000.0,3.35,3.36,3.36,3.12,3.2,-0.15
2024-01-16,90500.0,3.2,3.1,3.19,3.04,3.18,-0.02
2024-01-17,29500.0,3.18,3.11,3.13,3.1,3.12,-0.06
2024-01-18,104500.0,3.12,3.12,3.12,3.0,3.04,-0.08
2024-01-19,295500.0,3.04,3.03,3.08,2.9,2.99,-0.05
2024-01-22,20000.0,2.99,3.17,3.17,3.0,3.0,0.01
2024-01-23,10000.0,3.0,2.92,3.0,2.92,3.0,0.0
2024-01-24,29000.0,3.0,2.92,3.15,2.92,3.1,0.1
2024-01-25,33500.0,3.1,3.01,3.18,3.01,3.04,-0.06
2024-01-26,85000.0,3.04,3.01,3.03,2.9,2.92,-0.12
2024-01-29,63500.0,2.92,2.94,2.94,2.86,2.86,-0.06
2024-01-30,29000.0,2.86,2.85,2.92,2.75,2.9,0.04
2024-01-31,12000.0,2.9,2.9,2.96,2.77,2.77,-0.13
2024-02-01,1000.0,2.77,2.92,2.92,2.92,2.92,0.15
2024-02-02,1500.0,2.92,2.88,2.96,2.88,2.95,0.03
2024-02-06,35000.0,2.95,2.97,3.09,2.97,3.09,0.14
2024-02-07,20500.0,3.09,3.01,3.06,3.0,3.01,-0.08
2024-02-09,2000.0,3.01,2.76,3.03,2.76,2.95,-0.06
2024-02-12,70000.0,2.95,2.9,2.9,2.78,2.81,-0.14
2024-02-13,11500.0,2.81,2.81,2.87,2.8,2.81,0.0
2024-02-14,4500.0,2.81,2.89,2.89,2.85,2.86,0.05
2024-02-15,22500.0,2.86,2.15,2.85,2.15,2.8,-0.06
2024-02-16,16000.0,2.8,2.68,2.8,2.62,2.63,-0.17
2024-02-19,28000.0,2.63,2.66,2.79,2.66,2.79,0.16
2024-02-21,3000.0,2.79,2.78,2.95,2.56,2.71,-0.08
2024-02-22,7000.0,2.71,2.76,2.97,2.76,2.95,0.24
2024-02-23,428000.0,2.95,2.98,3.4,2.98,3.14,0.19
2024-02-26,160000.0,3.14,2.96,3.32,2.96,3.13,-0.01
2024-02-27,95000.0,3.13,2.9,3.14,2.9,3.09,-0.04
