Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,1274000.0,11.86,12.0,12.24,11.0,11.39,-0.47
2024-01-02,1126500.0,11.39,11.2,11.69,10.39,10.86,-0.53
2024-01-03,2485000.0,10.86,11.49,11.86,11.44,11.86,1.0
2024-01-04,1947000.0,11.86,12.35,12.86,11.65,12.52,0.66
2024-01-08,836500.0,13.52,14.0,14.5,12.65,12.9,-0.62
2024-01-12,1445500.0,14.98,15.01,15.01,13.86,13.86,-1.12
2024-01-18,348000.0,13.4,12.75,13.8,12.75,13.49,0.09
2024-01-19,154000.0,13.49,12.85,14.29,12.85,13.27,-0.22
2024-01-22,215000.0,13.27,13.0,13.5,12.92,13.22,-0.05
2024-01-23,69000.0,13.22,12.9,13.25,12.55,12.75,-0.47
2024-01-26,271500.0,11.73,11.49,12.45,11.35,12.09,0.36
2024-01-29,101500.0,12.09,12.8,12.8,11.09,11.3,-0.79
2024-01-30,270000.0,11.3,11.0,11.0,10.3,10.3,1.0
2024-01-31,1000000.0,10.3,9.57,10.0,9.3,9.3,1.0
2024-02-01,861000.0,9.3,9.5,10.19,8.42,8.82,-0.48
2024-02-02,403000.0,8.82,8.8,9.16,8.0,8.77,-0.05
2024-02-07,432500.0,8.55,8.55,9.55,8.55,9.55,1.0
2024-02-13,791500.0,11.4,10.51,12.4,10.51,12.4,1.0
2024-02-15,602000.0,13.36,13.5,14.36,13.5,14.36,1.0
2024-02-16,1374000.0,14.36,14.99,15.44,14.99,15.44,1.08
2024-02-19,361000.0,15.44,15.99,16.49,15.6,16.44,1.0
2024-02-20,1279000.0,16.44,15.5,17.67,15.4,17.48,1.04
2024-02-21,541500.0,17.48,17.99,18.79,17.7,18.79,1.31
2024-02-22,422500.0,18.79,19.9,20.2,18.79,20.2,1.41
2024-02-23,143000.0,20.2,21.72,21.72,21.51,21.72,1.52
2024-02-26,332000.0,21.72,23.35,23.35,23.35,23.35,1.63
2024-02-27,701000.0,23.35,24.0,25.1,21.9,25.1,1.75
2024-02-28,673000.0,25.1,26.91,26.98,26.9,26.98,1.88
2024-02-29,125500.0,26.98,29.0,29.0,29.0,29.0,2.02
2024-03-01,313000.0,29.0,31.18,31.18,31.18,31.18,2.18
2024-03-04,20000.0,31.18,33.52,33.52,33.52,33.52,2.34
2024-03-05,36000.0,33.52,36.03,36.03,36.03,36.03,2.51
2024-03-06,489500.0,36.03,38.73,38.73,38.73,38.73,2.7
2024-03-07,2177500.0,38.73,41.63,41.63,35.83,41.63,2.9
2024-03-08,1487500.0,41.63,44.75,44.75,43.0,44.75,3.12
