Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-02,2500.0,34.75,35.0,36.2,35.0,36.2,1.45
2024-01-03,8000.0,36.2,35.0,35.0,35.0,35.0,-1.2
2024-01-04,1000.0,35.0,35.01,36.65,35.01,36.65,1.65
2024-01-10,500.0,36.65,37.6,37.6,37.6,37.6,0.95
2024-01-17,1000.0,37.6,35.1,37.0,35.1,37.0,-0.6
2024-01-18,500.0,37.0,37.74,37.74,37.74,37.74,0.74
2024-01-22,4000.0,37.74,35.1,35.1,35.02,35.02,-2.72
2024-01-23,500.0,35.02,36.56,36.56,36.56,36.56,1.54
2024-01-24,500.0,36.56,37.3,37.3,37.3,37.3,0.74
2024-01-29,500.0,37.3,37.94,37.94,37.94,37.94,0.64
2024-02-01,3500.0,37.94,36.0,37.79,36.0,37.79,-0.15
2024-02-13,4000.0,37.79,34.97,34.97,34.96,34.97,-2.82
2024-02-14,500.0,34.97,36.98,36.98,36.98,36.98,2.01
2024-02-20,3000.0,36.98,35.1,36.69,35.1,36.69,-0.29
2024-02-22,2500.0,36.69,35.0,35.96,35.0,35.59,-1.1
2024-02-23,1000.0,35.59,33.5,33.5,33.3,33.4,-2.19
2024-02-26,500.0,33.4,35.89,35.89,35.89,35.89,2.49
2024-02-29,500.0,35.89,36.44,36.44,36.44,36.44,0.55
2024-03-05,1000.0,36.44,34.01,34.01,34.01,34.01,-2.43
2024-03-07,1500.0,34.01,34.0,34.94,34.0,34.94,0.93
2024-03-12,7500.0,34.94,33.03,33.97,33.01,33.97,-0.97
2024-03-13,1500.0,33.97,33.5,33.99,33.5,33.99,0.02
2024-03-14,4000.0,33.99,34.0,34.0,33.95,33.95,-0.04
2024-03-20,2000.0,33.95,33.95,34.49,33.95,34.49,0.54
2024-03-21,500.0,34.49,33.02,33.02,33.02,33.02,-1.47
2024-03-22,500.0,33.02,33.88,33.88,33.88,33.88,0.86
2024-03-29,1500.0,33.88,33.01,33.88,33.0,33.88,0.0
2024-04-01,1500.0,33.88,33.01,33.78,33.0,33.78,-0.1
2024-04-08,3000.0,33.78,34.5,34.5,33.01,34.05,0.27
2024-04-15,500.0,34.05,34.89,34.89,34.89,34.89,0.84
2024-04-17,2000.0,34.89,33.01,34.98,33.01,34.98,0.09
2024-04-23,500.0,34.98,35.9,35.9,35.9,35.9,0.92
2024-04-25,1000.0,35.9,34.3,35.5,34.3,35.5,-0.4
2024-04-26,7000.0,35.5,33.03,35.49,33.03,34.97,-0.53
2024-05-03,500.0,34.97,35.8,35.8,35.8,35.8,0.83
2024-05-06,1000.0,35.8,35.8,35.8,35.8,35.8,0.0
2024-05-07,16000.0,35.8,35.8,36.95,35.79,36.95,1.15
2024-05-08,2000.0,36.95,34.55,36.34,34.52,36.34,-0.61
2024-05-15,1500.0,36.34,35.04,36.08,35.04,36.08,-0.26
2024-05-17,500.0,36.08,36.89,36.89,36.89,36.89,0.81
2024-05-29,3500.0,36.89,35.5,35.89,34.5,35.56,-1.33
2024-05-31,1500.0,35.56,34.0,35.85,34.0,35.76,0.2
2024-06-04,500.0,35.76,35.85,36.55,35.85,36.25,0.49
2024-06-07,3255.0,36.25,33.51,36.88,33.51,36.88,0.63
2024-06-10,5000.0,36.88,0.0,0.0,0.0,36.88,0.0
2024-06-13,7.0,36.88,34.05,36.0,34.05,36.88,0.0
2024-06-14,3000.0,36.88,36.5,36.5,36.5,36.5,-0.38
2024-06-20,1206.0,36.5,35.0,36.97,35.0,36.89,0.39
2024-06-21,4722.0,36.89,36.98,38.85,36.05,37.51,0.62
2024-06-24,1019.0,37.51,38.49,38.49,37.29,37.94,0.43
2024-06-25,41598.0,37.94,37.97,38.49,35.01,37.79,-0.15
2024-06-28,3198.0,37.79,37.99,38.99,37.01,38.08,0.29
2024-07-01,200.0,38.08,37.9,37.9,35.13,38.08,0.0
2024-07-02,18399.0,38.08,37.89,41.51,37.89,41.51,3.43
2024-07-03,1000.0,41.51,45.25,45.25,45.25,45.25,3.74
2024-07-04,52779.0,45.25,49.32,49.32,41.3,45.39,0.14
2024-07-05,2080.0,45.39,42.01,44.85,41.4,42.03,-3.36
2024-07-08,26478.0,42.03,45.1,46.02,38.25,46.02,3.99
2024-07-09,29913.0,46.02,50.39,50.39,50.39,50.39,4.37
2024-07-10,22065.0,50.39,55.18,55.18,55.18,55.18,4.79
2024-07-11,7451.0,55.18,60.42,60.42,60.42,60.42,5.24
2024-07-12,176352.0,60.42,66.16,66.16,54.68,56.67,-3.75
2024-07-15,33207.0,56.67,55.95,57.4,51.29,53.14,-3.53
2024-07-18,122626.0,53.14,55.0,58.19,50.01,54.47,1.33
2024-07-19,8.0,54.47,55.01,55.01,53.01,54.47,0.0
2024-07-22,44475.0,54.47,52.5,54.9,49.1,49.49,-4.98
2024-07-23,153814.0,49.49,53.98,54.44,47.01,50.29,0.8
2024-07-24,70946.0,50.29,51.0,55.32,51.0,55.32,5.03
2024-07-25,20122.0,55.32,60.85,60.85,60.85,60.85,5.53
2024-07-26,171919.0,60.85,66.94,66.94,59.01,61.73,0.88
2024-07-29,45506.0,61.73,63.99,63.99,56.1,57.05,-4.68
2024-07-30,127466.0,57.05,56.56,62.76,52.2,53.62,-3.43
2024-07-31,71902.0,53.62,55.99,58.98,48.4,58.98,5.36
2024-08-01,9521.0,58.98,64.88,64.88,64.88,64.88,5.9
2024-08-02,261793.0,64.88,71.37,71.37,58.39,58.7,-6.18
2024-08-05,16922.0,58.7,57.01,60.0,54.01,54.16,-4.54
2024-08-06,28816.0,54.16,54.2,59.58,54.2,59.58,5.42
2024-08-07,16132.0,59.58,64.99,65.54,62.01,65.54,5.96
2024-08-08,121064.0,65.54,66.99,72.09,66.99,72.09,6.55
2024-08-09,53703.0,72.09,73.0,74.8,67.02,69.75,-2.34
2024-08-12,20911.0,69.75,67.01,69.4,64.2,64.5,-5.25
2024-08-13,6715.0,64.5,67.98,69.9,66.5,68.99,4.49
2024-08-15,31282.0,68.99,66.97,75.89,66.97,75.89,6.9
2024-08-16,30781.0,75.89,77.99,83.45,77.5,79.57,3.68
2024-08-19,6212.0,79.57,79.9,80.51,76.91,79.86,0.29
2024-08-20,4501.0,79.86,79.01,79.01,74.01,75.0,-4.86
2024-08-21,20379.0,75.0,75.99,76.99,72.01,73.66,-1.34
2024-08-22,5741.0,73.66,72.02,75.9,71.01,71.28,-2.38
2024-08-23,6251.0,71.28,73.87,73.87,69.02,70.28,1.0
2024-08-26,2353.0,70.28,69.01,71.99,69.0,69.01,-1.27
2024-08-27,2305.0,69.01,68.01,69.98,68.01,68.09,-0.92
2024-08-28,4139.0,68.09,69.99,69.99,65.01,65.2,-2.89
2024-08-29,7349.0,65.2,64.01,66.98,62.03,63.04,-2.16
2024-08-30,2967.0,63.04,58.0,65.0,58.0,60.83,-2.21
2024-09-02,438.0,60.83,62.0,62.0,62.0,62.0,1.17
2024-09-03,187.0,62.0,62.0,62.99,60.01,62.0,0.0
2024-09-04,2540.0,62.0,60.01,61.5,59.01,61.0,1.0
2024-09-05,5302.0,61.0,61.99,61.99,60.06,60.47,-0.53
2024-09-06,1079.0,60.47,62.99,62.99,59.01,59.34,-1.13
2024-09-09,3243.0,59.34,61.99,61.99,59.01,61.14,1.8
2024-09-10,6053.0,61.14,60.99,61.98,59.0,59.77,-1.37
2024-09-11,2103.0,59.77,58.02,61.5,58.02,58.66,-1.11
2024-09-12,1502.0,58.66,58.26,58.26,58.01,58.07,-0.59
2024-09-13,1429.0,58.07,57.2,57.2,57.0,57.01,-1.06
2024-09-16,1299.0,57.01,56.01,57.0,55.01,55.75,-1.26
2024-09-18,2766.0,55.75,55.01,56.5,53.2,54.03,-1.72
2024-09-19,3987.0,54.03,53.01,55.9,51.01,51.39,-2.64
2024-09-20,1369.0,51.39,51.1,52.95,50.02,50.29,-1.1
2024-09-23,112.0,50.29,50.25,52.89,50.02,50.29,0.0
2024-09-24,1404.0,50.29,50.9,50.9,50.01,50.01,-0.28
2024-09-25,4567.0,50.01,50.01,50.01,47.02,48.15,-1.86
2024-09-26,303.0,48.15,47.5,50.0,47.03,48.15,0.0
2024-09-27,1132.0,48.15,46.0,50.99,46.0,50.76,2.61
2024-09-30,348.0,50.76,48.01,50.98,48.01,50.76,0.0
2024-10-01,573.0,50.76,47.5,49.5,47.5,48.28,-2.48
2024-10-02,677.0,48.28,47.01,49.99,47.01,47.39,-0.89
2024-10-03,50.0,47.39,49.98,49.98,49.98,47.39,0.0
2024-10-04,345.0,47.39,49.99,49.99,45.0,47.39,0.0
2024-10-07,2.0,47.39,49.99,49.99,49.99,47.39,0.0
2024-10-08,50.0,47.39,49.98,49.99,49.98,47.39,0.0
2024-10-11,10.0,47.39,49.99,49.99,49.99,47.39,0.0
2024-10-15,160.0,47.39,49.98,49.99,49.98,47.39,0.0
2024-10-18,409.0,47.39,49.98,49.98,47.02,47.39,0.0
2024-10-22,1376.0,47.39,49.97,50.9,49.5,49.97,2.58
2024-10-25,16858.0,49.97,49.99,54.97,49.99,54.97,5.0
2024-10-28,5583.0,54.97,54.97,56.99,53.02,53.49,-1.48
2024-10-29,331.0,53.49,53.11,56.98,53.11,53.49,0.0
2024-10-30,1310.0,53.49,53.01,55.98,53.01,54.01,0.52
2024-11-01,22190.0,54.01,55.99,59.41,55.99,59.24,5.23
2024-11-04,23188.0,59.24,60.99,65.16,60.0,65.03,5.79
2024-11-05,4975.0,65.03,66.44,66.44,63.0,63.01,-2.02
2024-11-06,2329.0,63.01,65.9,65.9,62.01,62.08,-0.93
2024-11-07,1929.0,62.08,62.01,62.01,60.02,61.08,1.0
2024-11-08,2027.0,61.08,63.35,63.89,61.0,61.9,0.82
2024-11-11,1253.0,61.9,61.5,61.5,61.0,61.05,-0.85
2024-11-12,3048.0,61.05,61.0,61.0,59.0,59.6,-1.45
2024-11-13,29.0,59.6,59.0,60.0,59.0,59.6,0.0
2024-11-14,3857.0,59.6,59.0,60.9,57.01,59.81,0.21
2024-11-15,1282.0,59.81,59.98,59.98,57.01,57.4,-2.41
2024-11-18,102.0,57.4,57.05,57.6,57.05,57.4,0.0
2024-11-19,2975.0,57.4,57.03,58.96,56.01,56.03,-1.37
2024-11-20,200.0,56.03,58.5,58.75,58.5,56.03,0.0
2024-11-22,1310.0,56.03,58.97,58.99,55.01,55.4,-0.63
2024-11-25,13.0,55.4,55.1,57.88,55.1,55.4,0.0
2024-11-26,905.0,55.4,55.4,55.4,54.01,54.92,-0.48
2024-11-27,3765.0,54.92,54.05,54.09,53.01,53.18,-1.74
2024-11-29,23248.0,53.18,55.0,58.5,55.0,58.0,4.82
2024-12-02,2.0,58.0,59.98,59.98,59.95,58.0,0.0
2024-12-03,1262.0,58.0,56.03,59.39,56.03,56.25,-1.75
2024-12-04,2110.0,56.25,56.02,57.86,56.01,56.01,-0.24
2024-12-05,30.0,56.01,55.99,55.99,55.99,56.01,0.0
2024-12-06,1436.0,56.01,58.84,58.84,55.01,55.2,-0.81
2024-12-09,15588.0,55.2,54.01,60.72,54.01,60.72,5.52
2024-12-10,48515.0,60.72,61.99,66.79,57.01,57.96,-2.76
2024-12-11,1352.0,57.96,57.21,58.57,57.21,58.07,0.11
2024-12-12,3701.0,58.07,58.98,58.98,55.01,55.15,-2.92
2024-12-16,1200.0,55.15,57.95,57.95,56.98,57.14,1.99
2024-12-17,37.0,57.14,57.8,57.8,57.0,57.14,0.0
2024-12-18,1441.0,57.14,57.98,57.98,55.01,57.14,0.0
2024-12-19,459.0,57.14,57.85,57.85,55.0,55.1,-2.04
2024-12-20,131.0,55.1,57.7,57.7,55.8,55.1,0.0
2024-12-23,9671.0,55.1,57.96,60.61,57.1,60.61,5.51
2024-12-24,63.0,60.61,61.99,61.99,60.0,60.61,0.0
2024-12-26,599.0,60.61,61.88,61.88,58.01,58.61,2.0
2024-12-27,1072.0,58.61,60.99,60.99,58.01,58.28,-0.33
2024-12-30,33929.0,58.28,60.89,64.11,60.75,64.11,5.83
2024-12-31,53144.0,64.11,64.97,70.52,64.97,70.52,6.41
2025-01-01,110587.0,70.52,71.9,72.89,63.47,63.67,-6.85
2025-01-02,9137.0,63.67,63.0,63.57,62.01,62.43,-1.24
2025-01-03,4069.0,62.43,64.48,64.48,60.01,61.3,-1.13
2025-01-06,12112.0,61.3,60.3,62.91,59.0,60.42,-0.88
2025-01-07,255.0,60.42,60.0,60.88,58.51,60.42,0.0
2025-01-08,3386.0,60.42,59.0,60.89,58.01,58.18,-2.24
2025-01-09,84500.0,58.18,58.05,64.0,58.05,64.0,5.82
2025-01-10,28102.0,64.0,64.99,70.4,64.99,70.4,6.4
2025-01-13,139974.0,70.4,77.44,77.44,77.44,77.44,7.04
2025-01-14,84181.0,77.44,69.7,72.99,69.7,69.88,-7.56
2025-01-15,8420.0,69.88,68.01,69.0,66.01,66.41,-3.47
2025-01-16,6003.0,66.41,66.01,68.98,65.1,65.87,-0.54
2025-01-17,5858.0,65.87,67.0,67.98,65.02,66.88,1.01
2025-01-20,4192.0,66.88,68.4,68.4,64.01,66.74,-0.14
2025-01-21,6001.0,66.74,64.15,65.99,63.01,65.78,-0.96
2025-01-22,2042.0,65.78,65.99,65.99,63.01,65.88,0.1
2025-01-23,961.0,65.88,65.99,65.99,63.02,64.57,-1.31
2025-01-24,4900.0,64.57,65.95,65.95,65.0,65.89,1.32
2025-01-27,2551.0,65.89,65.98,65.98,65.6,65.97,0.08
2025-01-28,1213.0,65.97,63.01,65.4,63.0,63.01,-2.96
2025-01-29,1203.0,63.01,64.74,64.74,62.01,62.01,1.0
2025-01-30,39058.0,62.01,62.02,62.02,57.5,60.98,-1.03
2025-01-31,1234.0,60.98,61.94,61.94,58.15,60.0,-0.98
2025-02-03,1003.0,60.0,60.0,60.0,58.08,59.8,-0.2
2025-02-04,3177.0,59.8,61.95,61.95,58.01,60.6,0.8
2025-02-06,5217.0,60.6,58.0,58.02,56.0,56.24,-4.36
2025-02-07,304.0,56.24,55.02,57.0,55.02,56.24,0.0
2025-02-10,15066.0,56.24,55.01,57.7,55.01,56.97,0.73
2025-02-11,1020.0,56.97,57.0,58.94,56.95,58.94,1.97
2025-02-12,25.0,58.94,58.11,58.11,57.99,58.94,0.0
2025-02-13,2300.0,58.94,56.01,58.95,56.01,58.85,-0.09
2025-02-14,407.0,58.85,58.49,58.6,56.0,58.85,0.0
2025-02-17,1205.0,58.85,57.73,58.0,56.1,56.32,-2.53
2025-02-18,5201.0,56.32,55.05,56.99,55.0,56.96,0.64
2025-02-19,12804.0,56.96,55.5,56.0,55.0,56.0,-0.96
2025-02-20,116529.0,56.0,54.2,61.6,54.2,61.6,5.6
2025-02-21,37552.0,61.6,62.99,67.76,62.99,67.76,6.16
2025-02-24,40508.0,67.76,74.54,74.54,74.54,74.54,6.78
2025-02-25,127064.0,74.54,70.01,81.99,70.0,81.99,7.45
2025-02-26,46055.0,81.99,87.99,90.19,87.99,90.19,8.2
2025-02-27,49780.0,90.19,91.9,91.9,81.17,81.17,-9.02
2025-02-28,47509.0,81.17,73.05,83.99,73.05,73.05,-8.12
2025-03-03,111608.0,73.05,69.87,80.36,65.75,65.76,-7.29
2025-03-04,18929.0,65.76,64.01,67.99,62.0,65.85,0.09
2025-03-05,173123.0,65.85,66.95,66.95,59.27,59.27,-6.58
2025-03-06,6280.0,59.27,58.25,60.9,57.01,58.85,-0.42
