Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,133600.0,107.64,109.0,111.6,108.0,110.79,3.15
2024-01-02,165500.0,110.79,111.98,113.8,108.0,108.08,-2.71
2024-01-03,82000.0,108.08,108.08,110.19,106.7,108.52,0.44
2024-01-04,81900.0,108.52,110.49,110.5,108.5,109.04,0.52
2024-01-05,93100.0,109.04,109.0,111.48,108.0,110.26,1.22
2024-01-08,157600.0,110.26,110.0,117.0,110.0,114.06,3.8
2024-01-09,53900.0,114.06,115.98,115.98,113.7,115.11,1.05
2024-01-10,34700.0,115.11,113.6,114.75,113.23,113.66,-1.45
2024-01-11,34800.0,113.66,114.0,114.67,113.98,114.44,0.78
2024-01-12,37300.0,114.44,115.74,115.75,113.0,114.03,-0.41
2024-01-15,34200.0,114.03,114.99,115.5,113.1,114.19,0.16
2024-01-16,22400.0,114.19,113.99,114.85,112.22,113.46,-0.73
2024-01-17,20300.0,113.46,114.0,114.5,113.51,114.0,0.54
2024-01-18,10200.0,114.0,112.56,113.5,112.5,113.0,1.0
2024-01-19,90200.0,113.0,113.01,117.0,113.01,114.6,1.6
2024-01-22,13100.0,114.6,114.84,114.84,113.51,114.25,-0.35
2024-01-23,27700.0,114.25,114.25,117.83,114.01,116.19,1.94
2024-01-24,11100.0,116.19,116.19,116.5,115.5,115.96,-0.23
2024-01-25,32300.0,115.96,115.99,117.5,114.7,115.4,-0.56
2024-01-26,16700.0,115.4,114.05,117.0,114.0,114.49,-0.91
2024-01-29,27000.0,114.49,114.5,115.25,113.5,114.69,0.2
2024-01-30,83000.0,114.69,113.75,115.6,113.75,114.0,-0.69
2024-01-31,17800.0,114.0,113.25,114.25,113.25,114.01,0.01
2024-02-01,18900.0,114.01,115.0,115.0,114.0,114.4,0.39
2024-02-02,8000.0,114.4,114.5,115.0,114.0,114.16,-0.24
2024-02-06,9200.0,114.16,115.02,115.8,114.75,115.78,1.62
2024-02-07,7400.0,115.78,116.0,116.0,114.51,114.9,-0.88
2024-02-09,15400.0,114.9,114.0,115.0,114.0,115.0,0.1
2024-02-12,194400.0,115.0,114.0,114.01,112.28,113.0,2.0
