Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-06-03,536919.0,3.12,4.12,4.12,4.12,4.12,1.0
2024-06-04,1847685.0,4.12,4.7,4.75,3.92,4.02,-0.1
2024-06-05,615947.0,4.02,3.8,3.85,3.28,3.33,-0.69
2024-06-06,2749084.0,3.33,3.23,4.33,3.2,4.0,0.67
2024-06-07,1053436.0,4.0,4.0,4.4,3.61,3.91,-0.09
2024-06-10,1199440.0,3.91,4.3,4.3,3.1,3.25,-0.66
2024-06-11,637134.0,3.25,3.2,3.7,2.56,2.74,-0.51
2024-06-12,139066.0,2.74,2.76,3.1,2.74,2.88,0.14
2024-06-13,1222805.0,2.88,2.99,3.19,2.23,2.93,0.05
2024-06-14,337883.0,2.93,3.12,3.12,2.71,2.77,-0.16
2024-06-20,3581422.0,2.77,2.99,3.77,2.65,3.77,1.0
2024-06-21,2848301.0,3.77,4.34,4.35,3.82,4.04,0.27
2024-06-24,5098501.0,4.04,4.2,5.04,3.9,4.88,0.84
2024-06-25,6333875.0,4.88,4.85,5.25,4.32,4.84,-0.04
2024-06-26,3140253.0,4.84,4.95,5.35,4.67,4.93,0.09
2024-06-27,934535.0,4.93,5.0,5.23,4.83,5.11,0.18
2024-06-28,2142237.0,5.11,5.0,5.49,5.0,5.04,-0.07
2024-07-01,566833.0,5.04,5.02,5.17,4.98,5.0,-0.04
2024-07-02,3050559.0,5.0,5.0,6.0,4.95,6.0,1.0
2024-07-03,4855065.0,6.0,6.84,7.0,5.71,5.96,-0.04
2024-07-04,673800.0,5.96,6.0,6.1,5.65,5.7,-0.26
2024-07-05,595936.0,5.7,5.7,5.9,5.2,5.27,-0.43
2024-07-08,260938.0,5.27,5.25,5.8,4.75,5.06,-0.21
2024-07-09,440846.0,5.06,5.18,5.25,5.0,5.01,-0.05
2024-07-10,418281.0,5.01,5.08,5.21,4.83,5.0,-0.01
2024-07-11,704790.0,5.0,5.01,5.15,4.53,4.68,-0.32
2024-07-12,305976.0,4.68,4.52,4.78,4.41,4.5,-0.18
2024-07-15,328769.0,4.5,4.6,4.85,4.5,4.71,0.21
2024-07-18,1841926.0,4.71,4.71,5.69,4.67,5.5,0.79
2024-07-19,372296.0,5.5,5.5,5.8,5.0,5.09,-0.41
2024-07-22,154413.0,5.09,5.01,5.14,4.7,4.88,-0.21
2024-07-23,147101.0,4.88,4.99,5.09,4.55,4.72,-0.16
2024-07-24,182779.0,4.72,4.8,4.89,4.5,4.75,0.03
2024-07-25,1432077.0,4.75,4.9,5.7,4.5,5.44,0.69
2024-07-26,545037.0,5.44,5.48,5.78,5.1,5.29,-0.15
2024-07-29,4220824.0,5.29,5.4,6.29,5.12,6.29,1.0
