Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,554500.0,13.74,13.88,14.04,13.7,13.88,0.14
2024-01-02,143500.0,13.88,13.99,13.99,13.75,13.82,-0.06
2024-01-03,204000.0,13.82,13.85,13.9,13.83,13.85,0.03
2024-01-04,82500.0,13.85,13.84,13.97,13.8,13.91,0.06
2024-01-05,539000.0,13.91,14.0,14.14,13.8,13.97,0.06
2024-01-08,279500.0,13.97,14.0,14.0,13.81,13.89,-0.08
2024-01-09,320500.0,13.89,13.9,13.9,13.74,13.85,-0.04
2024-01-10,234000.0,13.85,13.9,13.95,13.8,13.88,0.03
2024-01-11,255000.0,13.88,13.9,13.99,13.8,13.92,0.04
2024-01-12,255500.0,13.92,13.85,13.97,13.85,13.88,-0.04
2024-01-15,2430000.0,13.88,14.04,14.04,13.9,13.92,0.04
2024-01-16,552500.0,13.92,13.95,13.96,13.83,13.9,-0.02
2024-01-17,670000.0,13.9,13.98,13.98,13.8,13.81,-0.09
2024-01-18,1099500.0,13.81,13.88,13.93,13.81,13.86,0.05
2024-01-19,505000.0,13.86,13.9,13.93,13.84,13.87,0.01
2024-01-22,401500.0,13.87,13.9,13.9,13.85,13.88,0.01
2024-01-23,1238500.0,13.38,13.6,13.6,13.5,13.57,0.19
2024-01-24,564000.0,13.57,13.59,13.61,13.5,13.59,0.02
2024-01-25,445500.0,13.59,13.6,13.62,13.55,13.56,-0.03
2024-01-26,198000.0,13.56,13.55,13.71,13.55,13.61,0.05
2024-01-29,237500.0,13.61,13.73,13.73,13.55,13.59,-0.02
2024-01-30,388500.0,13.59,13.68,13.68,13.53,13.54,-0.05
2024-01-31,333500.0,13.54,13.6,13.69,13.54,13.55,0.01
2024-02-01,552000.0,13.55,13.65,13.65,13.51,13.59,0.04
2024-02-02,353000.0,13.59,13.56,13.65,13.49,13.59,0.0
2024-02-06,256500.0,13.59,13.65,13.65,13.54,13.56,-0.03
2024-02-07,368000.0,13.56,13.64,13.64,13.54,13.56,0.0
2024-02-09,113000.0,13.56,13.51,13.6,13.46,13.6,0.04
2024-02-12,369500.0,13.6,13.64,13.64,13.5,13.56,-0.04
