Date,Volume,Prev_Rate,Open,High,Low,Close,Diff
2024-01-01,46000.0,6.4,6.5,6.6,6.5,6.51,0.11
2024-01-02,1000.0,6.51,6.17,6.22,6.17,6.22,-0.29
2024-01-04,13500.0,6.22,6.21,6.3,6.2,6.2,-0.02
2024-01-05,19000.0,6.2,6.13,6.13,6.0,6.0,-0.2
2024-01-08,1000.0,6.0,6.06,6.06,6.05,6.05,0.05
2024-01-10,5500.0,6.05,6.05,6.05,6.0,6.0,-0.05
2024-01-11,1500.0,6.0,6.01,6.1,6.01,6.1,0.1
2024-01-12,500.0,6.1,6.4,6.4,6.4,6.4,0.3
2024-01-15,57000.0,6.4,6.06,6.06,6.0,6.0,-0.4
2024-01-16,13500.0,6.0,5.9,5.97,5.8,5.96,-0.04
2024-01-17,1500.0,5.96,5.71,5.71,5.7,5.7,-0.26
2024-01-18,30000.0,5.7,5.6,5.6,5.5,5.6,-0.1
2024-01-23,31500.0,5.6,5.53,5.6,5.5,5.6,0.0
2024-01-26,170000.0,5.6,5.52,5.6,5.03,5.5,-0.1
2024-01-29,33500.0,5.5,5.5,5.5,5.0,5.07,-0.43
2024-01-30,76500.0,5.07,5.11,5.11,4.53,4.87,-0.2
2024-01-31,10500.0,4.87,4.76,5.0,4.76,5.0,0.13
2024-02-01,1000.0,5.0,5.1,5.1,5.1,5.1,0.1
2024-02-02,8000.0,5.1,5.0,5.17,5.0,5.16,0.06
2024-02-06,6500.0,5.16,5.03,5.17,5.02,5.17,0.01
2024-02-07,4000.0,5.17,5.02,5.1,5.02,5.1,-0.07
2024-02-09,500.0,5.1,5.15,5.15,5.15,5.15,0.05
2024-02-12,83500.0,5.15,4.76,5.0,4.75,4.95,-0.2
2024-02-13,30000.0,4.95,4.6,5.0,4.52,5.0,0.05
2024-02-14,70000.0,5.0,5.1,5.1,4.91,5.0,0.0
2024-02-15,500.0,5.0,4.81,4.81,4.81,4.81,-0.19
2024-02-16,449500.0,4.81,4.9,5.0,4.65,4.99,0.18
2024-02-19,24500.0,4.99,4.99,4.99,4.99,4.99,0.0
2024-02-20,2000.0,4.99,4.75,4.85,4.75,4.85,-0.14
2024-02-21,2500.0,4.85,4.92,5.02,4.9,5.02,0.17
2024-02-22,4500.0,5.02,5.1,5.15,5.1,5.1,0.08
2024-02-23,25000.0,5.1,5.01,5.2,5.0,5.19,0.09
2024-02-26,54500.0,5.19,5.25,5.25,5.0,5.25,0.06
2024-02-27,500.0,5.25,5.0,5.0,5.0,5.0,-0.25
2024-02-28,66500.0,5.0,4.86,5.49,4.83,5.25,0.25
2024-02-29,23500.0,5.25,5.24,5.69,5.05,5.05,-0.2
2024-03-01,2000.0,5.05,5.0,5.2,5.0,5.2,0.15
2024-03-04,52000.0,5.2,5.38,5.4,4.92,4.99,-0.21
2024-03-05,12500.0,4.99,5.0,5.18,4.91,4.95,-0.04
2024-03-06,500.0,4.95,5.2,5.2,5.2,5.2,0.25
2024-03-07,33500.0,5.2,5.01,5.05,5.0,5.02,-0.18
2024-03-08,77500.0,5.02,4.91,5.2,4.91,5.1,0.08
2024-03-15,2500.0,5.1,5.18,5.19,5.15,5.15,0.05
2024-03-18,500.0,5.15,5.0,5.0,5.0,5.0,-0.15
2024-03-21,30000.0,5.0,5.01,5.01,5.0,5.0,0.0
2024-03-25,11000.0,5.0,4.91,4.91,4.91,4.91,-0.09
2024-03-26,45000.0,4.91,4.92,4.92,4.85,4.86,-0.05
2024-04-02,500.0,4.86,5.0,5.0,5.0,5.0,0.14
2024-04-03,2000.0,5.0,5.18,5.18,5.15,5.15,0.15
2024-04-04,6500.0,5.15,5.02,5.28,5.02,5.28,0.13
2024-04-08,500.0,5.28,5.35,5.35,5.35,5.35,0.07
2024-04-09,16500.0,5.35,5.35,5.35,5.0,5.29,-0.06
2024-04-15,1500.0,5.29,4.88,5.0,4.88,5.0,-0.29
2024-04-16,7500.0,5.0,5.1,5.1,5.1,5.1,0.1
2024-04-17,17000.0,5.1,5.02,5.1,5.01,5.01,-0.09
2024-04-18,1500.0,5.01,4.91,5.17,4.91,5.17,0.16
2024-04-19,2500.0,5.17,5.3,5.39,5.3,5.39,0.22
2024-04-22,7500.0,5.39,5.21,5.25,5.15,5.25,-0.14
2024-04-24,113500.0,5.25,5.15,5.3,5.15,5.3,0.05
2024-04-25,55500.0,5.3,5.36,5.36,5.02,5.03,-0.27
2024-04-26,69500.0,5.03,5.05,5.05,5.0,5.03,0.0
2024-04-29,35500.0,5.03,5.05,5.06,5.05,5.05,0.02
2024-04-30,28000.0,5.05,5.01,5.15,5.01,5.09,0.04
2024-05-02,28500.0,5.09,5.0,5.05,5.0,5.05,-0.04
2024-05-03,1500.0,5.05,5.06,5.06,5.0,5.0,-0.05
2024-05-06,13000.0,5.0,5.01,5.2,5.0,5.2,0.2
2024-05-07,125000.0,5.2,5.0,5.25,5.0,5.12,-0.08
2024-05-08,5500.0,5.12,5.37,5.37,5.2,5.26,0.14
2024-05-09,149500.0,5.26,5.05,5.48,5.05,5.34,0.08
2024-05-10,82500.0,5.34,5.11,5.56,5.08,5.25,-0.09
2024-05-13,49000.0,5.25,5.67,5.67,5.4,5.45,0.2
2024-05-14,28500.0,5.45,5.66,5.69,5.4,5.64,0.19
2024-05-15,10000.0,5.64,5.65,5.65,5.4,5.43,-0.21
2024-05-16,31000.0,5.43,5.5,5.5,5.4,5.4,-0.03
2024-05-17,19500.0,5.4,5.45,5.75,5.45,5.7,0.3
2024-05-20,89500.0,5.7,5.75,5.75,5.5,5.5,-0.2
2024-05-21,17500.0,5.5,5.65,5.69,5.53,5.69,0.19
2024-05-22,28000.0,5.69,5.8,5.87,5.5,5.53,-0.16
2024-05-23,44000.0,5.53,5.51,5.51,5.5,5.5,-0.03
2024-05-24,8500.0,5.5,5.5,5.74,5.5,5.74,0.24
2024-05-27,1000.0,5.74,5.74,5.74,5.74,5.74,0.0
2024-05-29,13002.0,5.74,5.69,5.7,5.4,5.4,-0.34
2024-05-30,5.0,5.4,5.5,5.75,5.26,5.4,0.0
2024-05-31,6007.0,5.4,5.1,5.77,5.1,5.48,0.08
2024-06-03,9140.0,5.48,5.1,5.38,5.1,5.37,-0.11
2024-06-04,4556.0,5.37,5.25,5.37,5.25,5.25,-0.12
2024-06-05,1787.0,5.25,5.21,5.45,5.21,5.43,0.18
2024-06-06,42000.0,5.43,5.3,5.3,5.1,5.1,-0.33
2024-06-07,20102.0,5.1,5.02,5.34,5.01,5.1,0.0
2024-06-10,90753.0,5.1,5.02,5.2,4.92,5.2,0.1
2024-06-11,3606389.0,5.2,4.96,6.13,4.96,5.46,0.26
2024-06-12,985820.0,5.46,5.7,5.79,5.41,5.51,0.05
2024-06-13,39550.0,5.51,5.5,5.75,5.31,5.42,-0.09
2024-06-14,4582.0,5.42,5.69,5.69,5.23,5.24,-0.18
2024-06-20,5505.0,5.24,5.69,5.69,5.59,5.64,0.4
2024-06-21,14623.0,5.64,5.06,5.5,5.06,5.33,-0.31
2024-06-24,34700.0,5.33,5.33,5.44,5.03,5.29,-0.04
2024-06-25,31488.0,5.29,5.1,5.21,5.0,5.02,-0.27
2024-06-26,16542.0,5.02,5.0,5.23,5.0,5.22,0.2
2024-06-27,55306.0,5.22,5.38,5.4,5.1,5.37,0.15
2024-06-28,2400.0,5.37,5.2,5.45,5.05,5.29,-0.08
2024-07-01,9553.0,5.29,5.29,5.29,4.76,4.99,-0.3
2024-07-02,3899.0,4.99,5.39,5.39,5.3,5.35,0.36
2024-07-03,9391.0,5.35,5.4,5.4,5.1,5.34,-0.01
2024-07-04,17801.0,5.34,5.44,5.44,5.2,5.21,-0.13
2024-07-05,58107.0,5.21,5.25,5.49,5.05,5.4,0.19
2024-07-08,5012.0,5.4,4.8,5.38,4.75,4.75,-0.65
2024-07-09,10345.0,4.75,5.25,5.25,5.13,5.2,0.45
2024-07-10,11506.0,5.2,5.05,5.2,5.0,5.14,-0.06
2024-07-11,88215.0,5.14,5.01,5.48,4.86,5.43,0.29
2024-07-12,8202.0,5.43,5.69,5.69,5.15,5.15,-0.28
2024-07-15,68484.0,5.15,5.0,5.3,5.0,5.2,0.05
2024-07-18,305.0,5.2,5.3,5.3,5.01,5.2,0.0
2024-07-19,29012.0,5.2,5.3,5.38,5.01,5.3,0.1
2024-07-22,26492.0,5.3,5.1,5.1,4.8,4.9,-0.4
2024-07-23,5400.0,4.9,4.82,5.1,4.82,5.1,0.2
2024-07-24,605.0,5.1,4.81,5.0,4.71,4.76,-0.34
2024-07-25,10252.0,4.76,4.85,5.15,4.83,5.15,0.39
2024-07-26,5.0,5.15,5.25,5.25,5.25,5.15,0.0
2024-07-29,28378.0,5.15,5.2,5.2,5.05,5.2,0.05
2024-07-30,8703.0,5.2,5.1,5.24,5.0,5.0,-0.2
2024-07-31,3000.0,5.0,5.0,5.01,5.0,5.0,0.0
2024-08-01,595.0,5.0,4.98,5.24,4.97,4.98,-0.02
2024-08-02,555.0,4.98,5.28,5.28,4.85,4.91,-0.07
2024-08-05,3.0,4.91,5.1,5.1,5.1,4.91,0.0
2024-08-06,6.0,4.91,4.93,5.15,4.93,4.91,0.0
2024-08-07,3757.0,4.91,5.15,5.15,5.0,5.0,0.09
2024-08-08,11702.0,5.0,4.98,5.19,4.97,5.18,0.18
2024-08-09,552.0,5.18,5.0,5.25,5.0,5.0,-0.18
2024-08-12,20220.0,5.0,5.29,5.3,5.0,5.3,0.3
2024-08-13,3.0,5.3,5.39,5.39,5.01,5.3,0.0
2024-08-15,8004.0,5.3,5.29,5.29,5.0,5.01,-0.29
2024-08-16,7.0,5.01,5.35,5.35,4.94,5.01,0.0
2024-08-19,31663.0,5.01,4.97,5.27,4.95,5.03,0.02
2024-08-20,14370.0,5.03,5.11,5.18,5.0,5.18,0.15
2024-08-21,16267.0,5.18,5.18,5.2,5.1,5.1,-0.08
2024-08-22,5.0,5.1,5.3,5.3,5.02,5.1,0.0
2024-08-23,1011.0,5.1,5.02,5.28,5.02,5.02,-0.08
2024-08-26,139506.0,5.02,5.38,5.39,5.0,5.02,0.0
2024-08-27,43415.0,5.02,5.02,5.02,4.97,5.0,-0.02
2024-08-28,35323.0,5.0,5.0,5.29,4.91,5.0,0.0
2024-08-29,16007.0,5.0,5.24,5.24,5.0,5.0,0.0
2024-08-30,68810.0,5.0,5.0,5.22,4.9,5.0,0.0
2024-09-02,36258.0,5.0,5.0,5.0,4.91,5.0,0.0
2024-09-03,4608.0,5.0,4.85,5.15,4.81,5.15,0.15
2024-09-04,45187.0,5.15,4.95,5.18,4.95,5.16,0.01
2024-09-05,515145.0,5.16,5.3,5.8,5.29,5.53,0.37
2024-09-06,378617.0,5.53,6.0,6.53,6.0,6.53,1.0
2024-09-09,1446223.0,6.53,7.53,7.53,7.15,7.53,1.0
2024-09-10,1275034.0,7.53,7.53,8.53,7.53,8.53,1.0
2024-09-11,703599.0,8.53,9.5,9.53,9.2,9.53,1.0
2024-09-12,2133946.0,9.53,10.5,10.53,9.0,9.93,0.4
2024-09-13,542182.0,9.93,9.5,10.0,8.93,9.0,-0.93
2024-09-16,277900.0,9.0,9.25,9.25,8.08,8.29,-0.71
2024-09-18,94440.0,8.29,8.5,8.5,8.0,8.08,-0.21
2024-09-19,391125.0,8.08,8.44,8.44,7.08,7.12,-0.96
2024-09-20,641576.0,7.12,7.48,8.12,7.3,8.12,1.0
2024-09-23,227205.0,8.12,9.12,9.12,9.12,9.12,1.0
2024-09-24,800522.0,9.12,9.78,9.8,8.4,8.62,-0.5
2024-09-25,94371.0,8.62,8.98,8.98,8.3,8.33,-0.29
2024-09-26,147730.0,8.33,8.98,8.98,7.36,7.61,-0.72
2024-09-27,50960.0,7.61,7.92,8.5,7.7,7.99,0.38
2024-09-30,967961.0,7.99,8.69,8.69,6.99,7.17,-0.82
2024-10-01,286288.0,7.17,7.28,7.35,6.75,7.07,-0.1
2024-10-02,1106310.0,7.07,7.1,8.07,7.1,8.07,1.0
2024-10-03,896217.0,8.07,8.64,8.64,7.6,7.67,-0.4
2024-10-04,123993.0,7.67,7.8,8.11,7.6,7.69,0.02
2024-10-07,96313.0,7.69,7.78,7.78,7.0,7.27,-0.42
2024-10-08,44983.0,7.27,7.37,7.48,7.15,7.32,0.05
2024-10-09,10622.0,7.32,7.47,7.47,7.16,7.25,-0.07
2024-10-10,163046.0,7.25,7.4,7.4,7.05,7.15,-0.1
2024-10-11,291286.0,7.15,7.29,8.07,7.12,7.99,0.84
2024-10-14,100793.0,7.99,8.0,8.1,7.36,7.65,-0.34
2024-10-15,106031.0,7.65,8.0,8.0,7.5,7.53,-0.12
2024-10-16,139974.0,7.53,7.41,7.65,7.31,7.35,-0.18
2024-10-17,27969.0,7.35,6.67,7.55,6.67,7.23,-0.12
2024-10-18,32387.0,7.23,7.3,7.65,6.81,7.25,0.02
2024-10-21,73442.0,7.25,7.47,7.53,7.1,7.4,0.15
2024-10-22,17462.0,7.4,7.49,7.5,7.25,7.33,-0.07
2024-10-23,102014.0,7.33,7.39,7.39,7.1,7.34,0.01
2024-10-24,50802.0,7.34,7.45,7.46,7.12,7.14,-0.2
2024-10-25,7232.0,7.14,7.34,7.5,7.1,7.16,0.02
2024-10-28,218410.0,7.16,7.3,7.57,7.17,7.38,0.22
2024-10-29,22879.0,7.38,7.4,7.5,7.3,7.5,0.12
2024-10-30,65356.0,7.5,7.7,7.7,7.15,7.19,-0.31
2024-10-31,26071.0,7.19,7.2,7.31,7.1,7.3,0.11
2024-11-01,2534.0,7.3,7.57,7.57,7.22,7.26,-0.04
2024-11-04,47563.0,7.26,7.02,7.6,7.02,7.18,-0.08
2024-11-05,47344.0,7.18,7.3,7.3,7.0,7.02,-0.16
2024-11-06,50547.0,7.02,7.24,7.44,7.15,7.24,0.22
2024-11-07,45922.0,7.24,7.43,7.87,7.31,7.67,0.43
2024-11-08,49991.0,7.67,7.8,8.1,7.48,7.8,0.13
